Date,Open,High,Low,Close
20151127,60.17,60.45,59.61,60.00
20151130,59.96,60.21,57.96,58.15
20151201,58.23,59.10,57.16,59.02
20151202,59.17,59.39,57.37,57.72
20151203,57.71,57.75,55.53,56.12
20151204,56.50,57.48,56.20,57.18
20151207,57.90,57.99,55.76,56.27
20151208,55.56,56.87,55.51,56.67
20151209,56.28,57.44,55.72,56.03
20151210,56.00,56.65,55.65,55.78
20151211,55.78,55.78,53.85,54.04
20151214,53.71,55.48,53.24,55.44
20151215,56.15,57.00,55.91,56.39
20151216,56.67,57.69,56.20,57.63
20151217,57.66,57.93,56.35,56.38
20151218,55.90,56.10,55.36,55.74
20151221,56.00,56.26,55.70,56.20
20151222,56.54,57.99,56.42,57.59
20151223,57.88,58.61,57.61,58.58
20151224,58.38,58.73,58.00,58.46
20151228,58.27,58.97,57.76,58.75
20151229,59.02,59.70,59.02,59.45
20151230,59.40,60.12,59.31,59.80
20151231,59.50,59.93,59.20,59.24
20160104,58.06,58.32,56.40,57.61
20160105,57.99,58.25,56.82,57.37
20160106,56.37,57.56,56.18,57.38
20160107,56.52,57.84,56.34,57.21
20160108,57.55,57.81,55.48,55.65
20160111,55.86,55.98,52.83,53.88
20160112,54.47,54.97,53.57,54.84
20160113,54.55,54.62,50.98,51.18
20160114,51.32,56.83,50.71,54.56
20160115,53.01,57.41,53.01,57.34
20160119,57.53,57.73,54.23,54.99
20160120,54.21,57.93,53.70,57.15
20160121,57.29,58.77,56.92,58.36
20160122,59.10,59.43,57.82,58.83
20160125,59.03,59.81,58.18,58.65
20160126,59.01,59.27,57.21,58.26
20160127,58.36,58.93,56.45,57.11
20160128,57.23,57.73,54.78,55.85
20160129,53.42,55.31,53.42,54.90
20160201,54.16,54.88,52.51,54.39
20160202,53.64,54.78,53.32,53.95
20160203,54.53,57.18,54.05,56.84
20160204,56.74,57.31,55.36,56.76
20160205,56.25,56.34,52.62,53.12
20160208,52.58,54.10,51.94,52.89
20160209,52.31,53.94,52.06,53.48
20160210,54.11,54.69,52.55,52.72
20160211,52.30,53.12,51.82,52.18
20160212,52.53,52.97,51.60,52.58
20160216,53.44,53.87,52.73,53.51
20160217,54.34,55.15,53.35,55.01
20160218,55.53,55.53,54.17,54.55
20160219,54.50,55.00,53.98,54.29
20160222,54.29,55.32,53.74,55.28
20160223,55.70,56.31,55.00,55.07
20160224,54.66,55.07,54.01,54.89
20160225,55.17,56.23,54.43,56.20
20160226,56.26,56.79,55.80,56.00
20160229,55.87,56.00,54.47,54.61
20160301,54.78,56.34,54.24,56.34
20160302,56.17,56.43,55.40,55.70
20160303,55.69,56.09,55.15,55.93
20160304,56.00,56.70,55.30,56.15
20160307,55.70,56.50,54.83,56.40
20160308,56.18,56.47,55.23,55.32
20160309,55.51,56.65,55.04,56.39
20160310,56.56,57.37,55.32,56.23
20160311,56.40,57.87,56.35,57.73
20160314,57.67,57.73,56.97,57.21
20160315,56.65,56.93,55.13,55.62
20160316,55.58,56.54,55.25,56.31
20160317,56.46,56.46,54.41,55.32
20160318,55.59,56.60,54.80,56.57
20160321,56.52,56.78,55.73,56.01
20160322,55.75,57.54,55.75,57.50
20160323,57.16,57.50,56.22,56.36
20160324,56.14,56.25,55.67,56.12
20160328,56.35,56.70,55.80,56.11
20160329,56.10,57.10,55.22,57.05
20160330,57.43,57.53,56.72,57.00
20160331,57.02,57.46,56.82,57.12
20160401,56.58,57.57,56.36,57.42
20160404,57.64,59.40,57.49,59.21
20160405,58.54,59.56,58.09,58.54
20160406,58.52,59.90,58.52,59.89
20160407,59.42,59.90,58.76,59.30
20160408,59.49,59.80,58.17,58.47
20160411,58.59,59.25,58.25,58.50
20160412,58.98,60.05,58.69,59.89
20160413,59.87,60.00,58.70,59.06
20160414,59.15,59.49,59.00,59.28
20160415,59.55,59.74,58.78,59.51
20160418,59.50,60.32,59.30,59.88
20160419,60.09,61.23,59.67,60.17
20160420,60.17,61.11,59.96,60.48
20160421,60.57,61.43,60.54,61.37
20160422,61.30,61.99,60.96,61.42
20160425,61.13,61.30,60.75,60.97
20160426,60.96,61.29,60.53,60.93
20160427,60.93,61.48,60.25,60.70
20160428,58.56,62.10,57.53,61.20
20160429,61.03,61.45,60.48,61.00
20160502,60.79,62.00,60.70,61.44
20160503,60.99,62.09,60.72,61.77
20160504,61.30,61.65,61.01,61.46
20160505,61.41,62.40,61.09,62.34
20160506,62.00,62.75,61.65,62.51
20160509,62.36,63.87,62.28,63.70
20160510,63.51,63.76,63.32,63.74
20160511,63.77,63.83,62.64,62.70
20160512,62.86,63.07,62.39,62.49
20160513,62.15,62.86,61.82,62.00
20160516,61.91,62.62,61.50,62.45
20160517,62.44,62.79,58.50,60.25
20160518,59.87,60.80,59.56,60.46
20160519,60.06,60.35,58.90,59.28
20160520,59.63,60.05,59.03,59.69
20160523,59.75,59.84,59.13,59.30
20160524,59.73,60.91,59.52,60.70
20160525,61.08,61.47,60.79,61.22
20160526,61.00,62.17,60.90,61.90
20160527,61.99,63.20,61.90,62.71
20160531,62.71,63.49,62.64,62.93
20160601,62.93,63.17,62.63,62.83
20160602,62.87,65.15,62.83,65.09
20160603,64.76,65.37,63.75,65.00
20160606,62.13,62.99,61.87,62.82
20160607,62.59,63.59,62.30,63.10
20160608,62.21,62.30,61.37,61.73
20160609,61.50,62.17,60.52,60.75
20160610,59.99,61.01,59.72,61.00
20160613,60.46,61.39,59.85,59.93
20160614,59.46,60.38,59.16,59.90
20160615,60.29,61.27,60.01,60.40
20160616,59.93,60.94,59.91,60.90
20160617,60.88,60.97,59.57,60.01
20160620,60.64,61.18,60.06,60.11
20160621,60.20,60.40,59.75,59.98
20160622,60.00,61.18,59.92,60.39
20160623,60.86,61.32,60.62,61.31
20160624,59.26,60.60,59.18,59.86
20160627,59.38,59.68,58.33,58.68
20160628,59.28,60.13,59.15,59.99
20160629,60.58,62.03,60.23,61.81
20160630,61.79,62.02,61.14,61.91
20160701,61.98,63.22,61.83,62.71
20160705,62.50,62.71,61.77,61.92
20160706,61.84,63.76,61.80,63.37
20160707,63.60,63.75,63.21,63.43
20160708,63.48,64.48,62.74,64.16
20160711,64.25,64.99,64.07,64.35
20160712,64.67,65.81,64.32,65.50
20160713,64.81,65.04,64.25,64.77
20160714,63.70,64.14,62.94,63.62
20160715,63.82,64.17,63.13,63.32
20160718,63.23,63.77,63.18,63.56
20160719,63.41,63.97,63.09,63.32
