Date,Open,High,Low,Close
20151127,99.02,99.70,98.47,98.99
20151130,99.08,99.49,98.63,98.64
20151201,98.84,99.83,98.81,99.50
20151202,99.83,100.01,98.51,98.85
20151203,99.01,99.21,98.03,98.71
20151204,99.12,100.40,98.54,99.89
20151207,99.92,100.40,99.34,99.98
20151208,99.65,100.58,99.33,100.47
20151209,99.53,101.01,99.37,100.67
20151210,100.93,102.42,100.62,101.95
20151211,101.49,102.81,101.29,102.08
20151214,102.20,102.75,101.33,102.53
20151215,103.02,103.49,101.34,101.69
20151216,102.10,102.44,100.44,101.59
20151217,101.69,102.89,101.44,102.34
20151218,102.13,102.61,101.24,101.88
20151221,102.17,102.92,101.61,102.89
20151222,103.00,103.44,102.20,103.16
20151223,103.15,104.24,102.80,103.94
20151224,103.71,104.19,103.52,103.95
20151228,103.85,104.57,103.48,104.19
20151229,104.69,105.35,104.28,104.77
20151230,104.94,105.81,104.79,105.02
20151231,104.47,105.12,103.68,103.71
20160104,102.31,102.64,101.29,101.87
20160105,102.20,103.40,101.59,103.36
20160106,101.46,102.64,101.31,101.78
20160107,100.87,101.15,98.49,98.53
20160108,99.16,99.51,97.80,97.96
20160111,95.51,96.00,93.81,94.06
20160112,94.45,95.51,93.78,94.18
20160113,94.31,94.85,92.94,93.14
20160114,92.79,94.24,92.42,93.72
20160115,93.24,93.53,91.43,92.77
20160119,93.29,93.34,91.59,92.54
20160120,91.79,92.25,89.68,90.90
20160121,90.90,91.83,89.79,90.57
20160122,91.89,92.08,90.84,91.00
20160125,91.99,92.23,91.05,91.27
20160126,91.41,91.59,90.61,91.26
20160127,91.29,91.52,89.73,90.18
20160128,90.50,90.73,87.09,87.29
20160129,87.55,89.60,87.28,89.56
20160201,89.11,89.38,87.66,89.00
20160202,88.60,89.89,87.95,88.14
20160203,88.34,88.55,86.87,87.99
20160204,80.51,87.97,80.50,84.40
20160205,84.00,86.13,82.66,84.70
20160208,83.89,84.24,82.72,83.62
20160209,82.69,85.04,82.62,84.75
20160210,85.44,86.35,85.22,85.60
20160211,84.25,85.09,84.19,84.55
20160212,84.60,85.61,84.49,85.61
20160216,86.11,86.23,85.00,85.61
20160217,86.06,87.83,85.72,87.49
20160218,87.03,87.49,86.59,86.69
20160219,86.74,87.05,86.28,86.84
20160222,86.86,87.89,86.83,87.70
20160223,87.69,88.19,86.86,87.35
20160224,86.52,87.28,85.80,87.08
20160225,87.55,88.03,86.88,87.60
20160226,87.85,88.57,87.47,87.54
20160229,87.37,87.51,86.44,86.62
20160301,86.80,87.73,86.47,87.43
20160302,87.43,87.96,87.04,87.63
20160303,87.63,88.34,87.13,88.22
20160304,88.17,88.47,87.78,88.00
20160307,87.36,88.25,87.19,88.10
20160308,88.33,88.34,87.14,87.82
20160309,87.79,88.01,87.37,87.57
20160310,88.01,88.16,85.81,86.18
20160311,87.02,89.64,86.56,89.55
20160314,89.06,89.77,87.88,87.96
20160315,87.50,88.13,86.11,86.30
20160316,86.29,87.34,85.94,87.07
20160317,87.07,87.47,85.73,85.88
20160318,86.12,87.78,85.41,87.48
20160321,87.58,87.84,86.80,87.13
20160322,87.27,87.53,86.62,87.16
20160323,87.50,87.84,87.09,87.27
20160324,86.86,87.23,85.95,86.17
20160328,87.04,87.40,85.71,86.48
20160329,86.55,86.86,85.73,86.42
20160330,86.50,87.45,86.42,87.09
20160331,87.13,87.74,86.30,86.55
20160401,86.61,86.85,86.00,86.51
20160404,86.74,88.10,86.61,87.16
20160405,86.37,87.01,85.58,85.69
20160406,85.76,87.60,85.72,87.54
20160407,87.30,88.00,86.60,86.66
20160408,86.75,86.89,85.12,85.31
20160411,85.16,85.54,84.36,84.44
20160412,84.61,85.15,84.05,84.90
20160413,85.33,85.78,84.65,85.17
20160414,84.70,87.14,84.63,86.70
20160415,86.60,87.88,86.49,87.83
20160418,88.04,88.72,87.64,88.66
20160419,89.41,90.24,89.22,89.49
20160420,89.92,91.97,89.64,91.86
20160421,91.63,92.48,91.52,91.83
20160422,92.03,92.42,91.15,91.89
20160425,91.75,91.99,90.98,91.51
20160426,91.73,92.00,91.13,91.28
20160427,91.32,91.65,90.29,90.64
20160428,89.61,89.61,86.18,86.42
20160429,86.13,86.49,84.37,85.10
20160502,85.19,85.37,84.51,85.23
20160503,84.93,86.07,84.43,85.48
20160504,84.98,85.30,84.00,84.29
20160505,77.95,79.68,76.82,78.00
20160506,77.96,78.15,75.35,76.52
20160509,76.43,78.48,76.27,77.37
20160510,77.78,78.29,76.40,76.68
20160511,76.48,76.82,75.50,75.76
20160512,75.92,75.92,74.63,74.78
20160513,74.71,75.07,73.54,73.66
20160516,73.76,74.67,73.73,74.59
20160517,74.40,75.06,74.06,74.53
20160518,74.20,75.27,74.08,75.15
20160519,74.46,75.31,74.34,75.05
20160520,75.14,75.33,74.36,74.82
20160523,75.00,75.05,73.91,73.94
20160524,74.37,74.59,73.89,74.34
20160525,74.59,74.75,73.87,74.04
20160526,74.04,74.07,73.31,73.69
20160527,73.78,74.11,73.62,74.03
20160531,74.20,75.05,73.89,74.98
20160601,74.76,75.94,74.59,75.64
20160602,75.81,77.23,75.66,77.08
20160603,76.70,77.00,76.27,76.54
20160606,76.30,76.65,75.95,76.45
20160607,76.39,76.54,75.92,76.22
20160608,76.31,76.64,75.87,76.25
20160609,76.22,76.42,75.90,76.17
20160610,75.87,77.24,75.37,76.46
20160613,76.44,77.18,76.21,76.41
20160614,76.08,76.45,74.96,75.51
20160615,75.95,76.73,75.87,76.12
20160616,75.67,76.25,75.05,76.00
20160617,76.01,76.33,75.16,75.70
20160620,76.25,77.22,76.13,76.37
20160621,76.49,76.78,76.05,76.57
20160622,76.57,77.48,76.07,77.13
20160623,77.66,77.77,77.03,77.55
20160624,75.08,75.85,75.04,75.44
20160627,75.14,75.18,73.44,73.85
20160628,74.32,75.45,74.06,75.32
20160629,76.08,77.50,76.03,77.26
20160630,77.61,79.33,77.43,79.32
20160701,79.29,80.43,79.11,80.16
20160705,79.86,80.69,79.39,80.36
20160706,79.94,81.55,79.60,81.19
20160707,81.09,81.53,80.53,80.99
20160708,81.71,82.08,81.25,81.92
20160711,81.97,82.60,81.85,82.18
