Date,Open,High,Low,Close
20151127,82.38,84.45,82.38,83.49
20151130,83.28,84.65,81.45,81.57
20151201,81.75,84.24,81.01,83.84
20151202,84.10,85.80,83.51,84.72
20151203,85.35,85.77,78.70,79.00
20151204,78.92,80.75,77.72,80.50
20151207,80.00,81.15,78.53,79.82
20151208,79.33,86.73,78.77,86.40
20151209,86.36,87.99,82.37,82.78
20151210,82.95,84.93,82.20,84.63
20151211,83.30,84.50,81.86,82.98
20151214,82.68,82.99,80.21,80.70
20151215,81.42,84.93,81.06,84.43
20151216,85.38,86.99,84.01,86.54
20151217,87.00,87.70,84.80,85.67
20151218,85.80,88.88,85.80,87.60
20151221,87.60,89.19,86.94,88.32
20151222,88.21,88.45,85.05,87.68
20151223,87.73,89.85,87.23,88.25
20151224,88.47,91.38,88.20,90.33
20151228,89.81,90.48,88.22,88.97
20151229,89.46,92.99,88.80,92.83
20151230,92.41,92.94,91.01,92.12
20151231,91.55,92.07,90.19,90.28
20160104,88.80,89.42,84.77,85.24
20160105,85.20,87.30,83.74,85.00
20160106,84.01,87.13,83.75,85.30
20160107,83.71,84.88,81.92,81.92
20160108,82.66,85.71,82.66,84.58
20160111,85.13,86.46,83.02,85.00
20160112,87.56,90.82,86.28,88.32
20160113,88.96,90.71,85.52,85.81
20160114,86.10,88.41,83.21,87.88
20160115,85.16,87.82,84.55,87.41
20160119,88.60,88.96,84.28,86.25
20160120,84.75,84.79,79.19,83.17
20160121,83.42,84.00,81.46,82.94
20160122,84.23,86.76,83.63,86.68
20160125,86.66,90.46,86.52,89.29
20160126,89.52,90.23,85.98,86.62
20160127,86.53,87.10,83.02,83.35
20160128,83.79,84.75,80.22,81.77
20160129,81.96,85.49,81.34,85.33
20160201,84.13,86.12,82.01,85.46
20160202,84.87,85.25,83.74,84.48
20160203,84.89,87.00,83.73,84.81
20160204,89.52,92.57,87.26,92.00
20160205,92.00,92.50,81.09,81.53
20160208,80.59,81.38,67.81,71.16
20160209,70.50,72.94,68.54,71.00
20160210,71.98,73.98,71.55,72.38
20160211,70.84,73.22,69.14,72.77
20160212,73.44,74.37,70.75,73.03
20160216,74.00,78.78,73.72,78.36
20160217,78.68,79.98,77.00,77.45
20160218,77.77,80.41,77.77,79.51
20160219,79.10,81.68,78.46,81.32
20160222,81.89,82.99,80.50,82.45
20160223,82.52,83.73,81.59,82.07
20160224,80.54,81.42,79.23,80.89
