Date,Open,High,Low,Close
20151127,45.42,45.60,45.31,45.42
20151130,45.44,45.54,44.92,44.92
20151201,45.22,45.52,44.94,45.46
20151202,45.43,45.72,45.12,45.22
20151203,45.36,45.47,44.01,44.15
20151204,44.41,45.36,44.28,45.30
20151207,45.57,45.73,45.29,45.56
20151208,45.32,45.75,45.16,45.55
20151209,45.39,45.70,44.81,44.96
20151210,45.08,45.64,45.00,45.31
20151211,44.77,44.87,44.29,44.36
20151214,44.45,44.83,43.96,44.81
20151215,45.20,45.92,45.15,45.59
20151216,45.77,46.14,45.25,46.05
20151217,46.09,46.22,45.25,45.26
20151218,44.96,45.04,43.70,43.70
20151221,44.05,44.19,43.57,44.04
20151222,44.23,44.56,43.97,44.48
20151223,44.73,45.18,44.63,45.10
20151224,44.94,45.30,44.94,45.10
20151228,44.92,45.13,44.82,45.03
20151229,45.28,45.95,45.17,45.82
20151230,45.85,46.03,45.21,45.27
20151231,45.11,45.50,44.90,44.91
20160104,43.94,44.05,42.50,42.93
20160105,42.96,43.20,42.61,42.92
20160106,42.31,42.98,42.21,42.56
20160107,41.68,42.18,41.40,41.54
20160108,41.86,41.90,40.54,40.67
20160111,40.77,40.90,40.10,40.73
20160112,40.99,41.61,40.87,41.46
20160113,41.48,41.69,40.16,40.28
20160114,40.34,41.32,40.14,41.10
20160115,39.85,40.92,39.75,40.54
20160119,41.10,41.32,40.13,40.43
20160120,39.73,40.28,39.08,39.96
20160121,40.18,40.18,39.24,39.48
20160122,40.20,40.20,39.74,40.03
20160125,40.03,40.16,39.58,39.66
20160126,39.86,40.44,39.65,40.16
20160127,39.95,41.49,39.90,40.47
20160128,38.41,38.50,36.00,36.71
20160129,36.69,37.87,36.68,37.85
20160201,36.17,38.71,36.17,38.45
20160202,38.00,38.73,37.82,37.88
20160203,38.23,38.41,37.10,38.02
20160204,37.78,38.22,37.53,38.01
20160205,38.23,38.35,37.12,37.41
20160208,37.19,37.64,36.69,37.46
20160209,36.96,37.78,36.87,37.00
20160210,37.58,38.18,37.12,37.21
20160211,36.44,36.85,36.02,36.34
20160212,36.70,37.15,36.40,37.13
20160216,37.13,38.01,37.12,37.99
20160217,38.37,38.56,38.24,38.45
20160218,38.34,38.89,38.22,38.31
20160219,38.32,38.65,38.14,38.53
20160222,38.53,39.24,38.53,39.16
20160223,38.91,39.05,38.30,38.39
20160224,38.18,39.32,37.97,39.20
20160225,39.22,39.64,38.97,39.63
20160226,39.48,39.88,39.22,39.52
20160229,39.34,39.84,38.74,38.74
20160301,38.91,39.46,38.80,39.33
20160302,39.35,39.57,39.10,39.34
20160303,38.56,38.89,38.09,38.82
20160304,38.85,39.37,38.80,39.18
20160307,39.00,39.39,38.92,39.18
20160308,38.95,39.49,38.88,39.17
20160309,39.26,39.39,39.01,39.28
20160310,39.41,39.88,38.82,39.03
20160311,39.25,40.45,39.08,40.37
20160314,40.31,40.68,39.99,40.50
20160315,40.16,40.34,39.55,39.90
20160316,40.14,40.32,39.78,40.18
20160317,40.20,40.41,39.53,40.29
20160318,40.36,40.94,40.14,40.79
20160321,40.58,40.77,40.44,40.76
20160322,40.50,41.16,40.34,41.03
20160323,40.84,41.34,40.69,40.78
20160324,40.64,40.90,40.36,40.75
20160328,40.77,41.00,40.61,40.88
20160329,40.75,41.53,40.71,41.47
20160330,41.60,41.94,41.49,41.65
20160331,41.65,42.00,41.51,41.83
20160401,41.53,42.26,41.36,42.19
20160404,42.34,42.67,42.16,42.32
20160405,42.01,42.26,41.89,42.04
20160406,41.98,43.16,41.98,43.05
20160407,42.67,42.91,42.24,42.61
20160408,42.78,42.93,42.12,42.37
20160411,42.47,42.88,42.46,42.48
20160412,42.36,43.07,42.36,42.82
20160413,42.87,43.42,42.68,43.35
20160414,43.38,43.66,43.28,43.51
20160415,43.53,43.55,43.18,43.41
20160418,43.18,44.01,43.18,43.95
20160419,44.00,44.01,43.49,43.85
20160420,44.48,44.58,43.51,43.97
20160421,43.78,44.32,43.59,43.88
20160422,43.72,44.17,43.72,44.08
20160425,44.01,44.20,43.81,44.01
20160426,44.16,44.25,43.76,43.88
20160427,43.93,44.00,43.69,43.83
20160428,40.08,41.69,39.99,40.42
20160429,40.37,40.38,38.58,38.90
20160502,38.85,39.12,38.42,38.85
20160503,38.80,38.83,38.21,38.55
20160504,38.35,38.46,38.00,38.10
20160505,38.28,38.73,38.10,38.50
20160506,38.22,38.40,37.71,37.97
20160509,38.11,38.58,37.88,37.98
20160510,38.30,38.30,37.78,38.10
20160511,38.20,38.29,37.90,38.01
20160512,38.14,38.17,37.52,38.00
