Date,Open,High,Low,Close
20151127,107.06,107.76,106.93,107.46
20151130,107.58,107.79,107.10,107.22
20151201,107.29,108.25,107.22,108.13
20151202,107.91,108.65,107.51,107.59
20151203,107.54,108.17,105.37,105.93
20151204,106.29,109.26,106.25,109.10
20151207,109.13,109.65,108.24,108.94
20151208,107.47,109.24,107.39,108.91
20151209,108.56,109.63,106.74,107.29
20151210,107.29,108.50,106.84,107.60
20151211,106.46,106.72,105.02,105.30
20151214,105.69,107.11,105.37,106.36
20151215,107.28,107.99,106.47,106.72
20151216,107.32,109.22,106.84,109.08
20151217,107.00,107.15,103.24,103.26
20151218,103.13,103.13,101.91,101.93
20151221,102.92,103.33,102.19,102.99
20151222,103.29,103.94,102.74,103.76
20151223,104.06,104.65,103.75,104.42
20151224,104.22,104.79,104.19,104.23
20151228,103.64,104.20,103.42,104.08
20151229,104.50,105.60,104.50,105.32
20151230,105.30,106.39,104.91,105.86
20151231,105.40,105.93,104.38,104.50
20160104,102.62,102.65,100.97,101.83
20160105,101.97,102.87,101.47,102.36
20160106,100.81,103.06,100.54,102.16
20160107,99.75,100.84,98.84,99.16
20160108,99.48,99.81,98.00,98.20
20160111,98.48,99.72,98.08,99.23
20160112,99.96,101.29,99.44,101.01
20160113,101.39,101.75,98.74,99.26
20160114,99.12,102.47,98.91,101.88
20160115,98.74,101.01,98.45,99.27
20160119,100.16,101.95,99.78,101.38
20160120,99.24,100.19,97.14,99.06
20160121,99.04,99.91,98.00,98.29
20160122,99.79,102.36,99.56,102.24
20160125,102.21,103.15,101.24,101.75
20160126,101.79,103.13,101.45,102.53
20160127,102.67,103.60,101.33,101.96
20160128,102.84,103.59,101.59,103.08
20160129,103.37,105.65,103.24,105.54
20160201,104.75,106.80,104.73,106.28
20160202,105.27,105.62,103.45,103.82
20160203,104.45,104.68,100.62,102.10
20160204,102.22,103.02,101.38,102.73
20160205,102.42,102.59,98.58,98.97
20160208,96.65,96.65,93.35,95.07
20160209,94.01,95.08,91.40,93.32
20160210,94.43,95.74,94.13,94.21
20160211,92.54,93.92,92.25,93.43
20160212,94.43,95.00,93.99,94.70
20160216,96.24,97.09,95.48,96.91
20160217,97.74,99.91,97.73,99.01
20160218,99.62,101.12,98.31,98.52
20160219,98.31,99.02,97.93,98.95
20160222,100.16,100.59,99.58,100.35
20160223,100.34,100.68,99.55,99.65
20160224,98.65,99.62,97.92,99.55
20160225,99.96,100.93,99.16,100.91
20160226,101.48,102.10,100.95,101.12
20160229,100.68,101.73,100.14,100.26
20160301,101.38,103.45,101.00,103.45
20160302,103.48,103.48,101.98,102.66
20160303,102.45,102.85,101.18,102.80
20160304,103.09,103.55,102.57,103.18
20160307,102.44,102.56,101.50,102.40
20160308,101.75,102.94,101.36,102.62
20160309,102.93,103.42,102.62,103.40
20160310,103.64,104.40,102.10,103.58
20160311,104.49,105.80,104.16,105.68
20160314,105.10,106.70,104.97,106.32
20160315,106.06,107.29,105.40,107.07
20160316,107.24,107.92,106.26,107.59
20160317,107.59,108.67,107.19,108.56
20160318,108.73,108.73,107.19,107.77
20160321,107.33,108.85,107.14,108.16
20160322,107.72,108.43,107.29,107.83
20160323,107.38,108.36,107.21,107.66
20160324,108.79,114.44,108.68,114.30
20160328,114.43,115.46,113.68,114.17
20160329,113.50,115.47,113.45,115.26
20160330,115.40,116.51,115.03,115.37
20160331,115.10,116.00,115.00,115.40
20160401,114.76,116.52,114.70,116.35
20160404,116.08,116.20,114.92,115.50
20160405,114.49,115.15,113.90,114.13
20160406,113.99,114.95,113.74,114.67
20160407,113.73,114.02,111.79,112.10
20160408,112.92,113.23,111.85,112.83
20160411,112.94,114.00,112.80,113.10
20160412,113.33,114.50,112.92,114.39
20160413,113.87,115.02,113.47,114.96
20160414,115.00,115.27,114.14,114.75
20160415,114.76,115.31,114.34,114.82
20160418,114.27,115.68,113.95,115.59
20160419,115.61,115.83,114.38,115.10
20160420,115.50,116.18,115.09,115.54
20160421,115.33,116.17,114.44,114.48
20160422,114.00,114.97,113.64,113.95
20160425,113.86,114.25,113.24,114.10
20160426,114.41,115.06,113.84,114.61
20160427,114.14,115.67,114.14,115.48
20160428,114.99,116.04,113.98,114.33
20160429,114.19,114.19,112.29,112.92
20160502,112.90,114.70,112.31,114.40
20160503,113.48,113.88,112.25,113.30
20160504,112.26,113.91,112.26,113.55
20160505,113.65,114.43,113.47,114.08
20160506,113.82,115.67,113.35,115.55
20160509,115.28,116.23,115.00,115.47
20160510,115.59,116.95,115.48,116.94
20160511,116.99,116.99,115.86,115.98
20160512,116.42,116.63,115.47,116.36
20160513,116.22,116.63,115.14,115.44
20160516,115.62,117.59,115.01,117.15
20160517,117.31,117.50,115.87,116.22
20160518,116.06,117.35,115.46,116.52
20160519,116.27,116.27,114.59,116.03
20160520,116.10,116.91,116.10,116.47
20160523,116.69,116.69,115.84,116.18
20160524,116.58,119.21,116.58,119.12
20160525,119.23,119.72,118.47,118.55
20160526,118.59,119.20,118.05,118.41
20160527,118.84,118.94,117.77,118.94
20160531,118.89,119.15,118.09,118.97
20160601,118.97,119.12,118.11,119.01
20160602,118.70,119.27,118.00,119.24
20160603,118.88,119.00,117.91,118.90
20160606,119.00,119.76,118.52,119.60
20160607,119.94,120.15,119.24,119.65
20160608,119.59,119.95,118.54,119.32
20160609,118.35,119.53,117.80,119.44
20160610,118.50,118.89,117.94,118.27
20160613,117.86,118.94,117.03,117.08
20160614,117.08,118.32,116.75,118.09
20160615,118.30,118.39,117.33,117.45
20160616,116.82,118.52,116.63,118.30
20160617,118.09,118.11,116.79,117.57
20160620,119.10,120.33,118.90,119.05
20160621,119.61,119.84,119.20,119.43
20160622,119.94,120.78,118.92,119.03
20160623,118.54,118.91,116.50,118.91
20160624,112.77,114.90,110.93,111.45
20160627,110.34,110.75,108.66,109.29
20160628,110.60,111.00,109.58,110.56
20160629,111.67,112.02,110.90,111.76
20160630,112.32,113.31,112.11,113.29
20160701,113.66,114.23,113.29,113.52
20160705,113.51,113.56,112.63,113.10
20160706,112.63,113.52,111.96,113.52
20160707,113.51,113.90,112.51,112.70
20160708,113.73,115.24,113.17,115.11
20160711,115.70,115.98,115.13,115.46
20160712,115.90,117.42,115.60,116.50
20160713,117.00,117.16,116.29,116.83
20160714,117.50,118.00,116.66,116.77
20160715,116.48,116.64,114.25,115.09
20160718,115.18,115.32,113.91,114.14
20160719,113.65,114.04,113.04,113.37
20160720,113.87,116.05,113.87,115.45
20160721,115.07,115.29,111.97,112.36
20160722,112.78,113.13,111.85,112.86
20160725,112.78,113.11,112.06,113.07
20160726,113.40,114.42,112.96,114.26
20160727,114.45,114.45,113.21,113.71
20160728,113.93,113.93,111.92,112.08
20160729,112.40,113.12,111.33,112.81
20160801,112.58,113.55,112.30,112.88
20160802,112.64,112.99,112.08,112.83
20160803,112.81,113.61,112.59,113.61
20160804,113.17,113.99,112.69,113.71
20160805,113.20,114.74,112.54,114.60
20160808,114.60,114.75,113.49,113.68
20160809,113.47,113.81,112.75,112.88
20160810,113.19,113.48,112.77,113.22
20160811,113.53,113.99,113.38,113.39
20160812,113.20,113.55,112.67,113.03
20160815,113.00,114.11,112.75,113.60
20160816,113.10,113.26,112.34,112.98
20160817,113.09,113.72,112.41,112.93
20160818,112.74,113.13,111.92,112.35
20160819,112.21,113.15,111.73,113.05
20160822,112.73,113.85,112.36,113.76
20160823,113.94,115.90,113.64,115.48
20160824,115.47,115.72,114.27,114.57
20160825,114.24,115.26,113.67,115.04
20160826,115.17,116.20,114.54,115.20
20160829,115.08,115.56,114.35,114.85
20160830,114.98,115.55,114.73,115.35
20160831,114.93,115.38,114.48,115.00
20160901,114.75,115.50,114.04,115.06
20160902,115.50,116.26,115.24,115.66
20160906,115.83,116.00,114.83,115.36
20160907,115.37,115.86,114.94,115.12
20160908,114.43,114.56,112.25,112.30
20160909,111.71,112.09,110.33,110.39
20160912,110.22,112.96,110.11,112.76
20160913,111.58,111.96,110.17,110.53
20160914,110.75,111.54,109.29,109.80
20160915,109.64,111.42,108.83,110.72
20160916,110.33,110.49,109.12,109.88
20160919,110.61,111.28,110.14,110.50
20160920,111.18,111.75,110.70,110.70
20160921,111.49,111.89,110.75,111.70
20160922,111.98,114.27,111.91,113.66
20160923,110.51,113.79,109.50,113.09
20160926,112.45,113.95,112.45,113.73
20160927,113.75,116.22,113.75,116.13
20160928,115.68,117.06,115.37,116.65
20160929,120.56,124.96,120.35,121.64
20160930,121.78,123.03,121.78,122.17
20161003,121.59,122.47,120.64,120.86
20161004,121.18,121.44,117.76,118.24
20161005,118.49,118.71,117.51,118.21
20161006,118.21,118.81,117.68,118.52
20161007,118.52,118.64,115.93,116.00
20161010,116.38,117.98,116.38,117.46
20161011,117.38,117.44,116.21,116.97
20161012,117.41,117.97,116.71,117.62
20161013,117.08,118.50,116.03,118.11
20161014,118.46,119.16,117.86,118.25
20161017,118.25,118.25,116.75,116.85
20161018,117.70,118.26,117.35,117.53
20161019,116.71,117.51,116.13,116.82
20161020,116.60,117.14,115.96,116.05
20161021,115.95,116.00,114.91,115.59
20161024,116.02,116.50,115.48,115.80
20161025,115.80,115.87,114.95,115.27
20161026,114.79,115.90,114.51,115.45
20161027,115.65,116.11,115.20,115.46
20161028,115.85,116.58,115.03,115.67
20161031,115.63,116.56,115.47,116.24
20161101,116.50,116.70,115.46,116.14
20161102,116.14,119.20,116.00,118.61
20161103,118.13,118.50,116.66,116.95
20161104,117.04,118.12,116.44,117.23
20161107,118.11,120.00,118.11,119.97
20161108,119.90,121.00,119.51,119.81
20161109,115.88,118.00,114.66,117.21
20161110,117.34,120.80,117.29,120.33
20161111,119.66,121.00,118.71,119.18
20161114,119.17,119.59,116.20,117.25
20161115,117.55,117.84,115.38,115.99
20161116,116.19,118.03,115.76,117.32
20161117,117.50,118.54,117.21,118.37
20161118,118.25,118.56,117.87,118.43
20161121,118.70,119.88,118.43,119.68
20161122,119.92,120.39,119.32,119.48
20161123,119.36,120.29,119.07,119.82
20161125,119.90,120.78,119.59,120.74
20161128,120.53,121.39,120.09,120.76
20161129,120.74,121.53,120.37,120.94
20161130,121.01,121.14,119.43,119.43
20161201,119.50,120.05,117.12,117.66
20161202,117.63,118.25,116.17,117.29
20161205,117.86,118.58,117.29,117.72
20161206,118.13,118.89,117.73,118.41
20161207,118.65,121.65,118.45,121.57
20161208,121.67,122.39,121.27,121.74
20161209,121.33,123.46,120.86,123.31
20161212,122.86,123.79,122.60,123.61
20161213,123.80,125.72,123.68,125.40
20161214,125.25,125.65,123.43,123.65
20161215,123.45,125.28,123.26,124.55
20161216,124.58,125.16,122.44,123.00
20161219,123.23,124.44,123.16,123.65
20161220,124.04,124.27,123.01,124.10
20161221,118.55,119.98,117.60,117.90
20161222,118.06,118.63,117.01,117.79
20161223,117.40,118.21,117.11,117.48
20161227,117.36,118.48,117.21,117.55
20161228,118.00,118.00,116.09,116.61
20161229,116.98,117.98,116.51,117.01
20161230,117.56,117.95,116.59,117.13
20170103,117.38,117.81,115.82,116.46
20170104,116.91,117.80,116.43,116.74
20170105,116.98,117.14,114.95,114.99
20170106,114.99,116.74,114.34,116.30
20170109,116.14,116.35,114.92,115.00
20170110,114.94,115.99,114.64,115.06
20170111,115.40,116.26,114.91,116.12
20170112,115.62,115.97,114.84,115.78
20170113,115.35,117.44,115.35,116.95
20170117,115.92,116.36,115.47,116.03
20170118,116.54,116.95,115.74,115.95
20170119,115.60,116.00,115.27,115.50
20170120,115.88,116.25,114.81,115.07
20170123,114.78,115.27,114.61,114.82
20170124,115.20,116.64,114.84,116.48
20170125,116.90,118.36,116.70,117.57
20170126,116.99,117.44,115.62,115.93
20170127,116.20,116.44,115.07,115.35
20170130,115.32,115.33,113.41,114.63
20170131,113.97,114.02,112.61,113.87
20170201,113.80,114.77,112.31,113.21
20170202,113.15,113.77,112.71,113.64
20170203,114.00,114.83,113.34,114.49
20170206,114.07,115.22,113.38,114.18
20170207,114.95,116.17,114.95,115.92
20170208,116.15,116.15,114.92,115.43
20170209,115.43,117.46,115.43,116.98
20170210,116.70,118.84,116.52,117.60
20170213,117.90,118.95,117.73,118.59
20170214,118.47,120.00,118.41,120.00
20170215,119.61,120.17,119.30,119.93
20170216,119.93,120.99,119.53,120.72
20170217,120.51,121.29,120.10,121.23
20170221,120.63,122.22,120.57,122.10
20170222,121.66,122.88,121.58,122.21
20170223,122.59,122.71,121.73,122.48
20170224,122.00,123.43,121.60,123.43
20170227,123.01,123.43,122.48,122.79
20170228,122.75,123.09,121.93,122.50
20170301,123.24,124.29,122.46,124.07
20170302,123.99,124.43,123.56,124.35
20170303,124.20,124.25,122.99,123.64
20170306,122.99,123.43,122.53,123.24
20170307,123.63,124.38,123.12,124.14
20170308,124.11,124.79,123.78,124.46
20170309,124.37,124.37,122.65,123.18
20170310,123.65,124.33,123.07,123.93
20170313,124.23,124.75,123.47,124.04
20170314,124.17,124.73,123.63,123.91
20170315,123.41,124.99,123.03,124.80
20170316,124.89,125.19,123.61,124.10
20170317,124.71,125.45,123.83,125.22
20170320,125.22,125.39,124.17,124.39
20170321,125.08,125.41,123.63,124.64
20170322,125.03,126.53,124.47,126.48
20170323,122.71,123.01,120.54,120.76
20170324,120.78,121.31,118.76,118.98
20170327,118.73,119.80,118.30,119.39
20170328,119.82,122.34,119.01,121.35
20170329,121.66,121.71,120.15,120.98
20170330,120.89,121.00,120.05,120.52
20170331,120.71,121.21,119.84,119.88
20170403,118.00,118.17,117.00,117.64
20170404,117.28,118.07,117.28,118.04
20170405,118.24,119.09,117.49,117.64
20170406,117.68,117.93,116.76,116.81
20170407,117.00,117.74,116.50,117.44
20170410,117.50,118.56,117.37,117.84
20170411,116.18,116.80,115.79,116.08
20170412,116.05,116.40,115.47,115.58
20170413,115.36,115.89,114.82,114.86
20170417,114.88,115.73,114.88,115.72
20170418,115.50,116.36,115.39,116.24
20170419,116.37,117.36,116.00,116.95
20170420,117.65,119.86,117.38,119.21
20170421,119.74,119.98,119.03,119.23
20170424,119.94,120.51,119.11,119.36
20170425,119.38,119.94,118.68,118.69
20170426,118.73,119.46,118.40,118.98
20170427,119.12,120.62,119.12,120.49
20170428,120.19,121.35,120.03,121.30
20170501,121.37,121.69,121.10,121.25
20170502,121.29,121.71,120.21,120.68
20170503,120.43,120.87,119.67,120.30
20170504,120.75,120.99,120.22,120.82
20170505,120.91,121.52,120.77,121.52
20170508,121.10,121.52,120.76,121.11
20170509,121.30,121.63,120.91,121.07
20170510,121.07,121.37,120.56,121.20
20170511,120.75,120.90,119.67,120.80
20170512,120.38,121.50,120.38,120.96
20170515,120.96,122.54,120.76,122.25
20170516,122.69,123.31,122.22,123.14
20170517,123.14,123.14,120.34,120.44
20170518,120.86,121.03,119.41,120.40
20170519,121.01,121.21,120.19,120.98
20170522,121.60,122.84,121.22,122.71
20170523,122.86,123.07,121.80,122.15
20170524,120.43,122.15,120.30,121.95
20170525,122.75,123.56,122.20,123.10
20170526,122.94,123.11,122.52,122.89
20170530,122.61,123.97,122.35,123.77
20170531,124.00,124.60,123.53,124.47
20170601,124.93,125.29,123.86,125.29
20170602,125.37,125.98,124.89,125.74
20170605,126.00,126.98,125.44,126.58
20170606,126.19,127.00,126.01,126.33
20170607,126.08,126.77,125.53,126.55
20170608,126.55,127.00,125.52,126.17
20170609,126.00,126.74,124.98,125.82
20170612,125.53,126.30,124.73,126.30
20170613,126.44,127.56,126.08,127.07
20170614,127.80,128.00,126.70,127.25
20170615,126.28,127.36,124.50,127.03
20170616,127.52,128.00,126.53,127.56
20170619,128.47,128.47,127.39,127.77
20170620,127.33,127.64,126.38,126.53
20170621,127.07,127.18,126.03,127.11
20170622,122.97,123.90,119.10,122.08
20170623,122.14,123.62,121.72,122.74
20170626,123.15,124.05,122.28,122.34
20170627,122.50,122.84,122.00,122.19
20170628,122.78,123.83,122.19,123.74
20170629,123.50,123.50,122.61,122.99
20170630,123.30,124.40,123.15,123.68
20170703,123.82,124.88,123.79,123.93
20170705,124.00,124.78,123.99,124.05
20170706,123.35,123.63,122.03,122.94
20170707,123.55,124.75,123.07,124.21
20170710,124.05,124.37,123.59,124.06
20170711,124.06,124.10,123.20,123.85
20170712,124.30,125.48,124.12,125.47
20170713,125.70,126.35,125.44,125.73
20170714,126.19,126.96,125.73,126.70
20170717,126.77,127.05,126.15,126.42
20170718,126.25,127.57,125.48,127.37
