Date,Open,High,Low,Close
20151127,36.43,36.57,36.26,36.46
20151130,36.53,36.62,36.10,36.49
20151201,36.80,37.02,36.44,36.70
20151202,36.60,36.87,36.45,36.52
20151203,36.48,36.74,35.41,35.61
20151204,35.67,36.14,35.60,35.97
20151207,35.97,36.02,35.22,35.41
20151208,35.16,35.61,34.88,35.27
20151209,35.01,36.02,35.00,35.41
20151210,35.41,35.69,35.04,35.09
20151211,35.09,35.09,34.11,34.22
20151214,34.19,34.51,33.84,34.18
20151215,34.44,35.10,34.40,34.86
20151216,34.92,35.46,34.54,35.40
20151217,35.33,35.45,34.27,34.29
20151218,34.12,35.13,33.94,35.00
20151221,35.23,35.74,35.05,35.31
20151222,35.47,36.59,35.42,36.41
20151223,36.65,37.17,36.34,36.68
20151224,36.68,36.88,36.47,36.65
20151228,36.66,36.73,36.09,36.50
20151229,36.59,37.15,36.57,37.09
20151230,37.00,37.17,36.77,36.88
20151231,36.64,36.90,36.45,36.68
20160104,36.11,36.15,35.40,35.84
20160105,35.82,36.27,35.41,36.24
20160106,35.72,35.83,35.25,35.36
20160107,34.91,35.09,34.33,34.52
20160108,34.76,35.10,34.31,34.39
20160111,34.54,34.73,33.94,34.16
20160112,34.56,34.66,33.77,34.27
20160113,34.34,34.55,33.42,33.47
20160114,33.42,33.67,32.76,33.36
20160115,32.60,32.62,31.16,31.51
20160119,31.94,32.05,30.29,30.51
20160120,30.25,31.71,29.86,31.29
20160121,31.26,32.48,31.20,31.92
20160122,32.52,33.37,32.49,33.23
20160125,32.90,33.00,32.36,32.43
20160126,32.88,33.65,32.49,33.63
20160127,33.50,34.46,33.42,33.74
20160128,34.16,34.95,33.98,34.70
20160129,34.86,35.55,34.75,35.35
20160201,34.77,35.64,34.31,35.46
20160202,33.52,33.60,32.28,32.36
20160203,32.56,33.80,32.47,33.44
20160204,33.44,34.69,33.34,34.25
20160205,34.28,34.51,33.92,34.07
20160208,34.40,34.73,33.05,33.30
20160209,33.44,33.68,32.56,33.58
20160210,33.61,34.07,33.15,33.18
20160211,32.27,32.83,31.50,31.63
20160212,31.69,32.48,31.30,32.45
20160216,32.96,33.82,32.85,33.62
20160217,33.74,34.12,33.30,33.40
20160218,33.40,33.99,33.24,33.90
20160219,33.66,33.78,32.31,32.65
20160222,32.89,33.90,32.80,33.79
20160223,33.77,34.42,33.37,33.79
20160224,33.55,33.91,33.08,33.85
20160225,34.04,34.74,33.75,34.62
20160226,34.72,35.10,34.50,34.79
20160229,34.79,35.41,34.55,34.96
20160301,35.13,35.62,34.56,35.48
20160302,35.28,35.91,35.19,35.83
20160303,36.17,36.86,35.74,36.83
20160304,36.90,37.99,36.90,37.65
20160307,37.17,37.29,36.85,37.14
20160308,37.03,37.27,35.57,36.03
20160309,36.28,36.44,35.80,36.06
20160310,36.11,36.35,35.36,35.77
20160311,36.17,36.63,36.10,36.60
20160314,36.40,36.89,36.20,36.71
20160315,36.30,36.67,36.14,36.56
20160316,36.38,37.59,36.38,37.46
20160317,37.51,38.76,37.51,38.20
20160318,38.33,38.96,37.91,38.07
20160321,37.85,38.28,37.72,38.17
20160322,37.90,37.95,37.55,37.61
20160323,37.48,37.59,36.55,36.60
20160324,36.30,36.73,35.83,36.47
20160328,36.60,36.71,36.24,36.35
20160329,36.44,36.98,36.22,36.87
20160330,37.01,37.20,36.26,36.62
20160331,36.69,36.75,35.98,36.31
20160401,36.05,36.51,35.38,36.47
20160404,36.33,36.53,35.95,36.04
20160405,35.57,35.57,34.55,35.11
20160406,35.09,35.55,34.79,35.54
20160407,35.35,36.22,35.29,35.72
20160408,36.12,36.54,35.95,36.09
20160411,36.12,36.65,35.97,36.00
20160412,36.04,36.90,36.03,36.83
20160413,37.06,37.30,36.98,37.14
20160414,37.02,37.11,36.35,36.59
20160415,36.64,37.33,36.52,37.30
20160418,37.10,37.82,36.88,37.71
20160419,37.98,38.58,37.84,38.23
20160420,38.25,38.99,38.07,38.87
20160421,39.00,39.16,38.20,38.35
20160422,38.79,39.63,38.64,39.62
20160425,39.37,39.46,38.91,39.26
20160426,39.50,40.00,39.19,39.73
20160427,39.74,40.09,39.42,39.91
20160428,39.86,40.62,39.72,40.07
20160429,39.87,40.11,39.49,39.94
20160502,39.59,40.55,39.55,40.26
20160503,39.95,40.65,39.03,39.10
20160504,39.01,39.37,38.56,38.72
20160505,38.87,39.23,37.96,38.08
20160506,38.05,38.36,37.87,38.20
20160509,38.23,38.39,37.36,37.73
20160510,37.95,38.43,37.95,38.40
20160511,38.27,38.48,37.90,37.96
20160512,38.25,38.79,38.04,38.54
20160513,38.41,38.43,37.45,37.63
20160516,37.28,37.90,37.18,37.65
20160517,37.44,37.89,37.36,37.49
20160518,37.20,37.82,37.08,37.51
20160519,37.30,38.38,37.00,38.37
20160520,38.59,40.13,38.54,39.83
20160523,39.73,40.75,39.63,40.44
20160524,41.23,42.14,41.00,42.05
20160525,42.29,42.73,42.13,42.48
20160526,42.97,43.54,42.66,43.07
20160527,43.30,43.54,42.82,43.23
20160531,43.33,43.54,42.67,42.77
20160601,42.77,42.95,42.38,42.83
20160602,42.77,43.73,42.61,43.47
20160603,43.43,43.87,43.37,43.60
20160606,43.84,44.14,43.58,43.67
20160607,43.79,43.88,43.50,43.66
20160608,43.86,44.10,43.60,43.82
20160609,43.63,43.95,43.23,43.83
20160610,43.44,43.56,42.74,43.03
20160613,42.73,42.96,41.78,41.82
20160614,41.71,42.15,41.36,41.78
20160615,41.83,42.52,41.79,42.15
20160616,41.88,42.14,41.56,42.05
20160617,41.87,42.71,41.87,42.31
20160620,42.83,42.96,42.44,42.45
20160621,42.60,42.64,41.79,41.94
20160622,42.03,42.35,41.95,42.00
20160623,42.43,42.76,42.43,42.71
20160624,41.20,41.64,40.40,40.50
20160627,40.09,40.19,39.01,39.14
20160628,39.74,40.57,39.60,40.56
20160629,41.02,41.73,41.00,41.58
20160630,41.70,42.90,41.64,42.89
20160701,42.99,43.03,42.35,42.61
20160705,42.33,42.38,41.57,41.95
20160706,41.67,42.23,41.21,42.12
20160707,42.25,42.85,41.90,42.12
20160708,42.51,43.51,42.51,43.48
20160711,43.54,43.73,43.14,43.16
20160712,43.23,43.57,42.76,43.29
20160713,43.25,43.41,42.85,43.10
20160714,43.35,43.60,43.14,43.48
20160715,43.55,44.00,43.40,43.95
20160718,44.00,44.31,43.92,44.25
20160719,44.00,44.08,43.33,43.48
20160720,43.33,43.57,43.00,43.39
20160721,43.35,43.87,43.20,43.39
20160722,43.40,43.80,43.26,43.72
20160725,43.61,43.79,43.50,43.60
20160726,43.64,44.12,43.63,43.87
20160727,43.87,44.17,43.56,43.90
20160728,44.02,45.00,43.80,44.94
20160729,44.74,45.39,44.74,45.08
20160801,44.58,44.74,43.70,44.24
20160802,43.05,44.61,42.88,43.45
20160803,43.45,43.93,42.91,43.93
20160804,44.37,44.49,43.42,43.74
20160805,43.82,44.60,43.71,44.45
20160808,44.57,45.05,44.43,44.52
20160809,44.64,44.73,44.23,44.38
20160810,44.48,44.82,44.16,44.31
20160811,44.40,44.43,43.74,43.93
20160812,43.85,44.20,43.54,44.07
20160815,43.56,44.13,43.49,43.77
20160816,43.55,43.76,43.41,43.47
20160817,43.47,43.70,43.16,43.63
20160818,43.69,43.96,43.51,43.57
20160819,43.40,43.64,43.17,43.48
20160822,43.44,43.83,43.29,43.80
20160823,43.99,44.43,43.90,44.12
20160824,44.03,44.03,43.19,43.32
20160825,43.22,43.22,42.50,42.56
20160826,42.84,43.00,42.19,42.39
20160829,42.61,43.01,42.28,42.84
20160830,42.84,43.39,42.84,43.21
20160831,43.24,43.81,43.03,43.76
20160901,43.68,43.76,42.92,43.14
20160902,43.37,43.83,43.37,43.82
20160906,43.85,44.00,43.49,43.94
20160907,43.76,44.04,43.66,44.02
20160908,43.87,43.89,43.17,43.24
20160909,42.82,42.95,42.02,42.02
20160912,41.91,43.07,41.54,42.96
20160913,42.66,42.74,41.90,42.00
20160914,42.05,42.50,41.77,41.98
20160915,41.94,42.37,41.75,42.28
20160916,41.99,42.07,41.73,42.03
20160919,42.25,42.50,42.12,42.18
20160920,42.39,42.39,41.94,42.15
20160921,42.32,43.01,42.32,42.81
20160922,43.08,43.32,42.77,42.98
20160923,42.76,42.93,42.47,42.47
20160926,42.28,42.31,41.87,41.90
20160927,41.65,41.90,41.36,41.89
20160928,41.89,42.11,41.43,41.85
20160929,41.81,42.16,41.38,41.53
20160930,41.70,42.39,41.59,42.17
20161003,41.98,42.97,41.95,42.90
20161004,42.80,43.52,42.70,42.79
20161005,42.79,43.46,42.66,43.27
20161006,43.07,43.46,43.03,43.16
20161007,43.20,43.26,42.49,42.65
20161010,42.91,43.32,42.86,43.27
20161011,43.17,43.28,42.07,42.34
20161012,42.32,42.65,42.10,42.39
20161013,41.96,42.53,41.63,42.25
20161014,42.42,42.85,42.13,42.13
20161017,42.13,42.30,41.79,41.85
20161018,42.24,42.38,41.97,41.98
20161019,41.96,42.27,41.49,42.22
20161020,42.12,42.51,41.99,42.18
20161021,41.92,42.43,41.61,42.32
20161024,42.60,42.97,42.37,42.51
20161025,42.62,42.83,42.38,42.53
20161026,42.42,43.45,42.31,43.28
20161027,43.37,43.42,42.76,43.08
20161028,43.17,43.96,43.10,43.59
20161031,43.70,44.20,43.51,43.57
20161101,45.37,47.34,45.36,46.75
20161102,46.75,47.88,46.66,47.26
20161103,47.05,47.87,47.05,47.43
20161104,47.38,47.55,46.89,46.92
20161107,47.46,47.59,46.93,47.05
20161108,46.95,47.88,46.93,47.72
20161109,46.84,46.92,45.07,46.28
20161110,46.42,46.57,45.05,45.18
20161111,43.57,43.79,41.60,41.73
20161114,41.58,42.97,41.44,42.88
20161115,42.86,43.52,42.85,43.49
20161116,43.68,43.68,42.76,43.26
20161117,43.28,43.35,42.76,43.00
20161118,42.92,43.61,42.92,43.49
20161121,43.49,43.97,43.38,43.65
20161122,43.86,43.92,43.21,43.51
20161123,43.57,43.64,42.92,43.25
20161125,43.47,43.57,43.24,43.55
20161128,43.51,43.69,42.99,43.11
20161129,43.23,43.25,42.61,42.77
20161130,42.86,43.47,42.85,43.23
20161201,43.15,44.40,43.15,44.31
20161202,44.42,44.75,43.92,44.00
20161205,44.12,44.35,43.50,43.90
20161206,44.00,45.00,43.99,44.68
20161207,44.66,45.26,44.54,45.20
20161208,45.04,46.05,44.98,45.97
20161209,45.93,46.56,45.53,46.56
20161212,46.62,47.15,46.56,47.02
20161213,46.75,47.27,46.33,46.40
20161214,46.40,46.57,45.35,45.59
20161215,45.39,46.07,45.14,45.74
20161216,45.73,46.53,45.63,46.51
20161219,46.49,46.68,45.81,46.07
20161220,46.38,46.38,45.68,46.22
20161221,46.26,46.48,46.00,46.13
20161222,46.14,46.21,44.99,45.18
20161223,45.20,45.49,45.02,45.15
20161227,45.22,45.72,45.17,45.65
20161228,45.67,45.78,45.25,45.34
20161229,45.27,45.72,45.25,45.36
20161230,45.42,45.69,45.03,45.65
20170103,45.69,46.25,45.55,46.19
20170104,46.38,46.54,45.44,46.11
20170105,46.10,46.40,45.71,45.77
20170106,45.02,45.02,43.84,44.72
20170109,44.51,45.31,44.40,44.75
20170110,44.80,45.41,44.40,44.46
20170111,43.75,44.26,43.15,44.01
20170112,44.04,44.21,43.34,43.44
20170113,43.55,43.78,43.33,43.56
20170117,43.78,44.74,43.58,44.69
20170118,44.74,45.22,44.70,44.95
20170119,44.96,45.03,44.27,44.50
20170120,44.67,45.21,44.26,44.73
20170123,44.62,44.73,44.13,44.71
20170124,44.76,45.46,44.60,44.66
20170125,44.90,45.45,44.87,45.20
20170126,45.05,45.34,44.49,44.55
20170127,44.56,44.90,44.28,44.52
20170130,44.51,44.59,43.69,44.13
20170131,44.18,44.33,43.32,44.26
20170201,44.48,44.55,43.59,43.77
20170202,43.87,44.13,43.49,43.99
20170203,44.18,44.39,43.91,43.99
20170206,44.09,44.35,43.80,44.02
20170207,42.96,45.05,41.74,44.59
