Date,Open,High,Low,Close
20151127,86.48,87.04,86.23,86.69
20151130,86.97,87.08,86.18,86.26
20151201,86.81,87.97,86.49,87.56
20151202,87.33,87.90,86.81,86.91
20151203,86.96,87.14,84.94,85.26
20151204,85.44,87.54,85.44,87.43
20151207,87.05,87.37,86.22,86.60
20151208,85.78,86.67,85.37,86.32
20151209,85.65,86.61,84.48,84.95
20151210,85.08,86.30,84.70,85.46
20151211,84.29,84.91,83.14,83.33
20151214,83.66,84.73,83.24,84.60
20151215,85.31,86.07,84.91,85.47
20151216,86.06,86.36,84.73,86.20
20151217,86.29,86.73,84.76,84.81
20151218,84.13,84.68,83.21,83.28
20151221,83.81,84.19,83.28,84.14
20151222,84.76,85.23,83.66,84.86
20151223,85.39,85.96,84.86,85.73
20151224,85.92,86.32,85.66,85.94
20151228,85.45,85.92,85.02,85.75
20151229,86.50,87.25,86.44,86.84
20151230,86.74,87.10,86.33,86.38
20151231,85.78,86.34,84.55,84.72
20160104,82.93,83.19,81.25,82.07
20160105,82.66,83.21,81.82,82.27
20160106,81.08,81.71,80.88,81.26
20160107,79.64,80.35,78.46,78.78
20160108,78.93,79.25,77.80,78.13
20160111,78.45,79.03,77.71,78.51
20160112,78.86,79.50,78.44,79.47
20160113,79.34,79.80,77.12,77.34
20160114,77.60,79.51,77.50,78.99
20160115,76.84,78.40,76.65,77.92
20160119,78.92,79.46,78.26,79.11
20160120,78.09,79.04,76.90,78.22
20160121,78.69,79.98,77.77,79.25
20160122,80.83,81.18,79.82,81.11
20160125,80.37,81.01,79.99,80.09
20160126,80.09,81.45,80.05,80.89
20160127,80.98,81.83,79.89,80.48
20160128,81.00,81.52,80.49,80.75
20160129,81.52,83.12,81.17,83.09
20160201,80.72,83.42,80.54,82.97
20160202,82.73,82.95,81.70,82.17
20160203,83.12,83.24,80.81,82.15
20160204,82.03,82.90,81.55,82.80
20160205,82.80,82.99,80.94,81.31
20160208,80.40,81.50,78.98,81.25
20160209,80.95,81.83,80.35,80.67
20160210,81.82,82.57,80.59,80.83
20160211,79.38,80.55,79.08,80.21
20160212,81.27,81.88,80.57,81.74
20160216,83.05,84.02,82.59,83.78
20160217,84.18,85.44,83.90,85.33
20160218,85.48,85.70,84.76,84.91
20160219,84.82,85.69,84.39,85.56
20160222,85.99,86.76,85.95,86.40
20160223,86.12,86.48,84.69,84.85
20160224,83.92,85.47,83.09,85.26
20160225,86.11,86.12,84.83,85.92
20160226,86.54,86.57,85.22,85.66
20160229,85.41,86.04,84.67,84.69
20160301,85.62,86.77,85.26,86.77
20160302,86.36,86.37,85.01,85.65
20160303,84.85,85.72,84.85,85.65
20160304,85.91,86.36,85.33,86.19
20160307,85.48,86.46,85.48,86.09
20160308,85.60,86.14,85.05,85.49
20160309,85.33,85.77,85.03,85.72
20160310,86.21,86.75,84.36,85.20
20160311,86.31,87.49,85.67,87.27
20160314,86.81,87.44,86.57,87.27
20160315,86.55,87.34,86.41,87.32
20160316,86.99,87.88,86.71,87.66
20160317,87.76,89.09,87.62,88.84
20160318,89.24,89.24,88.02,88.64
20160321,88.21,89.33,88.14,89.01
20160322,88.79,89.01,88.41,88.64
20160323,88.56,88.79,88.21,88.53
20160324,88.23,88.77,87.77,88.75
20160328,88.80,88.96,88.23,88.30
20160329,88.42,89.46,88.25,89.43
20160330,89.71,89.78,89.06,89.15
20160331,89.07,90.00,89.07,89.71
20160401,88.74,90.37,88.74,90.26
20160404,90.08,90.40,89.47,89.71
20160405,90.69,90.69,89.40,89.75
20160406,89.69,90.94,89.34,90.84
20160407,90.07,90.45,89.41,89.80
20160408,90.32,90.68,89.94,90.33
20160411,90.95,90.99,89.69,89.71
20160412,89.93,90.16,89.41,90.11
20160413,90.54,90.54,89.70,90.24
20160414,90.53,90.65,89.96,90.26
20160415,90.83,90.83,89.75,90.15
20160418,89.96,90.76,89.71,90.70
20160419,91.00,91.00,90.27,90.74
20160420,90.68,90.79,90.10,90.12
20160421,90.62,90.71,89.23,89.35
20160422,89.11,89.81,88.89,89.65
20160425,89.54,89.63,89.00,89.58
20160426,89.82,90.33,89.32,89.79
20160427,89.73,90.45,89.61,90.12
20160428,87.84,90.89,87.40,89.10
20160429,88.40,88.89,87.77,88.44
20160502,88.24,89.60,88.21,89.43
20160503,89.19,89.49,87.85,88.81
20160504,88.32,88.74,87.87,88.39
20160505,86.67,87.91,86.28,86.45
20160506,86.14,87.12,86.09,86.85
20160509,87.15,87.69,86.77,87.16
20160510,87.43,88.53,87.16,88.50
20160511,88.19,88.49,86.66,86.67
20160512,87.31,87.31,86.11,86.54
20160513,86.42,86.87,85.74,85.76
20160516,86.03,87.00,85.90,86.70
20160517,86.33,86.85,85.09,85.35
20160518,85.28,86.01,84.91,85.60
20160519,84.76,85.26,84.36,85.14
20160520,85.46,86.08,85.29,85.47
20160523,85.49,85.70,85.20,85.25
20160524,85.99,87.49,85.86,87.46
20160525,87.67,88.01,87.43,87.52
20160526,87.39,87.93,87.09,87.70
20160527,87.74,88.08,87.53,88.04
