Date,Open,High,Low,Close
20151127,43.28,43.45,43.11,43.31
20151130,43.45,44.07,43.42,43.76
20151201,44.00,44.09,43.45,43.83
20151202,43.94,43.94,42.77,42.83
20151203,42.64,42.82,41.98,42.25
20151204,42.48,43.38,42.44,43.34
20151207,42.80,43.02,42.60,42.97
20151208,42.89,43.07,42.43,42.74
20151209,42.52,43.00,42.37,42.58
20151210,42.58,42.66,41.55,41.71
20151211,41.52,42.08,41.33,41.72
20151214,41.70,41.89,41.41,41.80
20151215,42.00,42.27,41.81,41.94
20151216,42.26,43.12,42.04,43.00
20151217,43.06,44.06,43.00,44.03
20151218,43.79,43.85,43.01,43.20
20151221,43.28,43.53,42.66,42.86
20151222,42.98,43.29,42.44,43.20
20151223,43.36,43.95,43.34,43.85
20151224,43.76,43.81,43.59,43.68
20151228,43.61,44.05,43.57,44.04
20151229,44.15,44.44,44.02,44.12
20151230,44.18,44.37,43.92,44.00
20151231,43.95,44.00,42.92,43.23
20160104,43.13,43.22,42.58,43.03
20160105,43.02,43.59,42.35,43.54
20160106,43.24,43.93,43.15,43.82
20160107,43.47,44.08,43.40,43.85
20160108,43.88,44.05,43.43,43.51
20160111,43.54,43.85,43.41,43.52
20160112,43.64,43.64,42.98,43.38
20160113,43.54,43.75,43.05,43.14
20160114,43.06,43.97,42.86,43.71
20160115,43.12,43.70,42.91,43.51
20160119,44.00,44.00,43.14,43.45
20160120,43.39,43.50,41.50,42.33
20160121,42.33,42.52,41.76,42.13
20160122,42.35,43.02,42.10,42.95
20160125,43.06,43.09,42.54,42.67
20160126,42.76,43.42,42.55,42.76
20160127,42.78,43.46,42.54,43.20
20160128,43.14,44.10,42.75,43.85
20160129,44.30,44.97,44.08,44.92
20160201,44.73,45.81,44.69,45.66
20160202,45.53,46.50,45.33,46.38
20160203,46.77,47.90,46.73,47.33
20160204,47.16,47.39,46.26,46.53
20160205,46.18,46.74,45.54,46.49
20160208,46.62,46.94,45.55,46.17
20160209,45.93,46.50,45.84,46.08
20160210,46.03,46.47,45.34,46.20
20160211,46.16,46.43,45.34,45.37
20160212,45.31,45.71,44.84,45.25
20160216,45.32,45.62,44.91,45.58
20160217,45.55,45.57,45.19,45.31
20160218,45.25,46.59,45.16,46.28
20160219,45.81,46.69,45.10,45.60
20160222,45.56,46.36,45.46,46.23
20160223,45.94,46.63,45.76,46.52
20160224,46.53,47.56,46.32,47.48
20160225,47.66,48.22,47.53,48.13
20160226,47.84,47.90,46.47,46.49
20160229,46.40,47.44,46.31,46.95
20160301,47.19,47.54,46.53,46.93
20160302,46.63,46.98,45.56,46.96
