Date,Open,High,Low,Close
20151127,55.66,56.13,55.48,55.94
20151130,55.95,56.59,55.95,56.01
20151201,56.36,56.88,55.96,56.73
20151202,56.45,56.60,55.27,55.33
20151203,55.04,55.32,54.50,54.70
20151204,54.96,55.89,54.92,55.84
20151207,56.23,56.30,55.76,56.25
20151208,56.12,56.22,55.56,55.88
20151209,55.72,56.91,55.38,56.25
20151210,56.28,56.33,54.81,54.88
20151211,54.65,55.10,54.40,54.56
20151214,54.56,54.96,54.08,54.54
20151215,55.10,56.38,54.79,56.04
20151216,56.19,57.19,56.11,57.01
20151217,56.97,58.03,56.85,57.42
20151218,57.21,57.28,56.03,56.28
20151221,56.61,56.93,56.18,56.55
20151222,56.70,57.33,56.22,57.21
20151223,57.34,58.42,57.17,58.25
20151224,58.14,58.55,58.05,58.40
20151228,58.16,58.74,58.05,58.60
20151229,58.80,59.07,58.66,58.89
20151230,58.94,59.14,58.73,58.90
20151231,58.82,59.44,57.69,58.27
20160104,57.82,58.36,57.53,58.33
20160105,58.25,58.98,57.31,58.81
20160106,58.43,59.35,58.21,59.03
20160107,58.47,58.98,58.17,58.35
20160108,58.35,58.93,58.13,58.26
20160111,58.38,59.00,58.21,58.77
20160112,58.89,58.97,57.46,58.17
20160113,58.23,58.54,57.82,57.95
20160114,58.28,59.56,57.90,59.14
20160115,58.36,59.09,57.88,58.69
20160119,59.00,59.72,58.70,59.57
20160120,59.21,59.46,57.17,57.92
20160121,57.38,58.38,57.10,57.64
20160122,58.46,58.57,57.72,58.53
20160125,58.54,58.56,57.67,57.75
20160126,58.00,58.97,57.87,58.20
20160127,58.19,58.80,57.68,58.19
20160128,57.13,59.84,56.75,59.45
20160129,60.00,61.08,59.96,60.97
20160201,61.00,62.56,60.82,61.79
20160202,61.66,62.30,61.50,62.00
20160203,62.38,63.63,62.18,63.31
20160204,63.15,63.34,62.03,62.29
20160205,62.17,63.28,61.55,62.84
20160208,62.23,63.05,61.38,62.49
20160209,62.40,62.93,61.95,62.37
20160210,62.06,63.38,61.55,62.90
20160211,62.53,63.00,61.28,61.31
20160212,61.31,61.85,60.41,60.60
20160216,60.92,61.56,60.50,61.09
20160217,61.12,61.28,60.33,61.10
20160218,61.29,62.78,60.92,62.45
20160219,62.43,62.45,61.59,61.91
20160222,62.01,62.88,61.85,62.85
20160223,62.47,62.94,62.10,62.76
20160224,62.78,63.30,62.40,63.01
20160225,63.17,63.90,63.02,63.89
20160226,63.28,63.77,61.42,61.47
20160229,61.47,62.39,61.44,61.75
20160301,62.07,62.27,61.25,61.73
20160302,61.51,61.97,60.15,61.89
20160303,61.78,61.85,60.66,61.77
20160304,61.46,62.71,61.02,62.43
20160307,62.41,63.40,62.17,63.24
20160308,63.24,63.92,62.91,63.61
20160309,63.68,64.63,63.55,64.30
20160310,64.30,64.44,63.48,64.13
20160311,64.56,64.69,64.09,64.23
20160314,63.89,64.38,63.72,64.22
20160315,64.26,64.70,63.87,64.41
20160316,64.33,65.25,63.73,65.13
20160317,65.20,65.63,64.85,65.43
20160318,65.64,65.68,64.78,64.79
20160321,64.39,65.03,64.02,64.80
20160322,65.01,65.34,64.57,64.77
20160323,64.64,65.31,64.40,65.08
20160324,65.02,65.40,64.72,65.06
20160328,65.39,65.76,64.88,65.00
20160329,65.14,66.07,64.82,66.03
20160330,66.06,66.37,65.70,66.02
20160331,66.01,66.49,65.77,66.40
20160401,66.10,67.14,66.09,67.01
20160404,67.07,67.19,66.21,66.58
20160405,66.54,66.62,65.36,65.40
20160406,65.33,65.69,64.98,65.63
20160407,65.47,65.98,65.37,65.50
20160408,65.87,66.35,65.74,66.01
20160411,66.05,66.47,65.60,65.68
20160412,65.75,66.38,65.62,66.31
20160413,66.40,66.40,65.41,65.79
20160414,65.61,65.98,65.46,65.59
20160415,65.78,66.18,65.58,66.05
20160418,66.05,66.31,65.49,66.24
20160419,66.37,66.43,65.52,65.84
20160420,65.86,66.11,63.56,63.70
20160421,63.60,63.60,62.01,62.26
20160422,62.50,62.99,62.34,62.74
20160425,62.68,62.84,62.46,62.81
20160426,62.92,63.25,62.73,62.90
20160427,63.00,64.42,62.90,63.93
20160428,61.85,63.41,61.42,63.06
20160429,62.73,63.63,62.09,63.50
20160502,63.60,64.42,63.41,64.36
20160503,64.32,64.70,64.07,64.50
20160504,64.38,65.71,64.17,65.39
20160505,65.19,65.96,64.78,65.15
20160506,64.59,64.78,63.65,64.56
20160509,64.62,65.38,64.32,65.29
20160510,65.54,65.56,64.92,65.05
20160511,65.05,65.34,64.53,65.21
20160512,65.12,65.85,64.78,65.66
20160513,65.57,65.80,64.92,65.61
20160516,65.43,65.97,65.02,65.93
20160517,65.87,65.89,64.18,64.51
20160518,64.03,64.52,62.97,63.30
20160519,63.18,63.87,62.61,63.85
20160520,64.05,64.10,63.35,63.80
20160523,63.80,63.87,62.91,62.95
20160524,63.25,63.80,63.04,63.63
20160525,63.29,63.78,63.00,63.43
20160526,63.33,64.38,63.32,64.33
20160527,64.26,64.57,63.86,64.31
20160531,64.22,64.84,64.03,64.73
20160601,64.73,65.04,64.52,64.89
20160602,64.69,64.84,64.04,64.68
20160603,65.20,66.22,65.20,65.81
20160606,65.93,66.06,65.45,65.70
20160607,65.95,66.22,65.67,65.84
20160608,65.75,66.20,65.68,66.20
20160609,66.21,67.01,66.11,66.96
20160610,66.88,67.34,66.55,66.85
20160613,66.92,67.20,66.48,66.55
20160614,66.55,66.83,66.09,66.83
20160615,66.91,67.00,65.95,66.24
20160616,66.37,67.04,66.25,66.88
20160617,67.03,67.28,66.47,67.21
20160620,67.11,67.28,66.34,66.79
20160621,66.93,67.15,66.40,66.77
20160622,66.90,66.96,66.42,66.50
20160623,66.61,66.63,66.10,66.59
20160624,65.92,67.94,65.84,67.26
20160627,67.17,68.52,67.04,68.35
20160628,68.27,68.65,67.50,68.64
20160629,68.90,69.08,68.32,68.72
20160630,68.82,70.10,68.58,70.09
20160701,70.46,70.49,69.45,70.14
20160705,70.29,70.92,70.15,70.81
20160706,70.81,71.32,70.43,71.27
20160707,70.96,70.98,70.12,70.28
20160708,70.02,70.81,69.45,70.71
20160711,70.43,70.76,69.68,70.70
20160712,70.25,70.42,69.51,69.58
20160713,69.92,70.14,69.63,70.01
20160714,69.46,69.90,69.15,69.38
20160715,69.44,69.74,69.17,69.64
20160718,69.73,70.11,69.68,69.95
20160719,70.00,70.10,69.32,69.77
20160720,69.80,69.87,69.21,69.35
20160721,69.18,69.45,68.70,69.43
20160722,69.47,70.25,69.16,70.06
20160725,70.08,70.16,69.45,69.77
20160726,70.24,70.27,69.33,69.74
20160727,69.54,69.63,68.25,68.86
20160728,68.97,69.22,68.58,68.92
20160729,68.84,69.56,68.82,69.30
20160801,68.87,69.48,68.87,69.31
20160802,68.95,69.26,68.58,69.01
20160803,68.84,69.03,68.12,68.45
20160804,68.57,69.04,68.39,68.64
20160805,68.48,68.56,67.63,67.85
20160808,67.44,67.84,67.01,67.15
20160809,67.19,67.60,66.99,67.39
20160810,67.47,67.76,67.22,67.56
20160811,67.60,67.73,67.21,67.72
20160812,67.94,68.18,67.51,67.55
20160815,67.71,67.80,66.49,66.52
20160816,66.36,66.44,65.68,65.68
20160817,65.75,66.62,65.08,66.50
20160818,66.37,67.42,66.27,67.40
20160819,67.11,67.36,66.14,66.37
20160822,66.56,66.90,66.32,66.52
20160823,66.64,66.99,66.28,66.28
20160824,66.12,66.47,65.76,66.34
20160825,66.41,66.64,66.22,66.37
20160826,66.42,66.91,64.63,64.69
20160829,64.87,65.37,64.82,65.18
20160830,65.21,65.50,64.26,64.32
20160831,64.55,64.61,64.07,64.57
20160901,64.41,64.70,64.22,64.41
20160902,64.57,65.37,64.48,65.24
20160906,65.51,66.17,65.40,66.04
20160907,65.97,66.24,65.65,66.05
20160908,65.89,66.35,65.77,66.10
20160909,65.51,65.60,63.62,63.71
20160912,63.68,64.89,63.68,64.71
