Date,Open,High,Low,Close
20151127,32.65,32.80,32.56,32.65
20151130,32.65,32.78,32.46,32.62
20151201,32.74,33.04,32.70,32.99
20151202,32.97,33.26,32.76,32.79
20151203,32.85,32.85,31.31,31.55
20151204,31.57,31.82,31.40,31.76
20151207,31.70,31.83,31.22,31.40
20151208,31.11,31.15,30.83,31.06
20151209,30.95,31.30,30.49,30.63
20151210,30.59,30.80,30.49,30.55
20151211,30.06,30.40,29.70,29.86
20151214,30.01,30.09,29.50,29.77
20151215,30.09,30.64,30.09,30.46
20151216,30.61,30.98,30.49,30.85
20151217,30.86,30.86,30.19,30.19
20151218,29.99,30.00,29.14,29.14
20151221,29.20,29.45,29.05,29.24
20151222,29.29,29.75,29.25,29.64
20151223,29.90,30.21,29.83,30.16
20151224,30.11,30.27,30.00,30.09
20151228,29.99,30.21,29.91,30.20
20151229,30.39,30.58,30.25,30.47
20151230,30.42,30.53,30.21,30.26
20151231,30.08,30.27,29.92,29.95
20160104,29.39,29.59,29.10,29.59
20160105,29.58,29.82,29.37,29.55
20160106,29.17,29.30,28.98,29.10
20160107,28.56,29.00,28.46,28.61
20160108,28.83,28.89,28.30,28.36
20160111,28.51,28.64,28.14,28.54
20160112,28.82,28.97,28.51,28.90
20160113,29.16,29.42,28.33,28.45
20160114,28.51,28.95,28.25,28.66
20160115,28.01,28.51,27.94,28.30
20160119,28.54,28.64,28.05,28.25
20160120,27.73,28.09,27.29,27.77
20160121,27.87,28.23,27.67,27.91
20160122,28.36,28.66,28.27,28.64
20160125,28.62,28.82,28.22,28.27
20160126,28.51,28.91,28.47,28.76
20160127,28.70,29.14,28.45,28.73
20160128,28.95,29.25,28.70,29.16
20160129,28.99,29.05,28.27,28.98
20160201,28.68,28.78,28.16,28.25
20160202,28.36,29.31,27.87,28.64
20160203,29.20,29.42,28.04,28.66
20160204,28.57,29.05,28.48,29.01
20160205,28.99,29.25,28.83,29.11
20160208,28.70,29.10,28.52,29.00
20160209,28.75,29.18,28.52,28.96
20160210,29.15,29.43,28.71,28.75
20160211,27.80,28.30,27.62,27.80
20160212,28.26,28.69,28.13,28.66
20160216,29.05,29.18,28.67,29.07
20160217,29.38,29.68,29.35,29.54
20160218,29.62,29.70,29.41,29.58
20160219,29.49,29.67,29.27,29.66
20160222,29.91,30.03,29.71,29.85
20160223,29.82,29.89,29.62,29.68
20160224,29.36,29.91,29.23,29.82
20160225,29.86,30.17,29.58,30.17
20160226,30.29,30.39,30.01,30.08
20160229,30.09,30.22,29.76,29.76
20160301,29.96,30.58,29.96,30.54
20160302,30.51,30.73,30.39,30.70
20160303,30.63,30.69,30.38,30.49
20160304,30.61,30.68,30.34,30.51
20160307,30.29,30.49,30.18,30.27
20160308,30.05,30.29,29.66,30.03
20160309,30.21,30.39,29.83,30.21
20160310,30.26,30.50,29.93,30.18
20160311,30.56,31.17,30.48,31.14
20160314,30.92,31.04,30.75,30.83
20160315,30.61,30.83,30.52,30.77
20160316,30.73,31.31,30.62,31.23
20160317,31.17,31.89,30.93,31.70
20160318,31.83,31.98,31.50,31.76
20160321,31.62,31.84,31.56,31.64
20160322,31.53,31.86,31.42,31.67
20160323,31.73,31.83,31.59,31.70
20160324,31.45,31.47,31.17,31.35
20160328,31.39,31.70,31.39,31.58
20160329,31.46,31.67,31.33,31.59
20160330,31.75,32.17,31.70,31.86
20160331,31.86,31.99,31.54,31.57
20160401,31.50,32.08,31.42,32.06
20160404,32.07,32.08,31.73,31.80
20160405,31.61,32.05,31.61,31.86
20160406,31.86,31.96,31.61,31.83
20160407,31.59,31.82,31.30,31.50
20160408,31.74,32.04,31.73,31.95
20160411,32.01,32.30,31.96,32.02
20160412,32.13,32.80,32.04,32.76
20160413,32.97,33.22,32.88,33.22
20160414,33.40,33.67,33.33,33.49
20160415,33.46,33.62,33.33,33.44
20160418,33.37,33.65,33.21,33.60
20160419,33.62,33.81,33.58,33.78
20160420,33.88,34.15,33.81,34.03
20160421,33.78,34.04,33.67,33.70
20160422,33.76,34.08,33.72,33.96
20160425,33.82,34.00,33.60,33.94
20160426,34.02,34.34,33.88,34.00
20160427,33.95,34.74,33.91,34.66
20160428,34.53,34.80,34.38,34.51
20160429,34.41,34.61,34.26,34.49
20160502,34.24,34.65,34.17,34.56
20160503,34.38,34.52,34.13,34.49
20160504,34.31,34.38,34.01,34.22
20160505,34.24,34.49,34.21,34.33
20160506,34.21,34.46,34.10,34.42
20160509,34.33,34.49,34.20,34.32
20160510,34.21,34.62,34.12,34.59
20160511,34.37,34.65,34.28,34.38
20160512,34.60,34.72,34.38,34.62
20160513,34.56,34.85,34.40,34.44
20160516,34.28,34.64,34.23,34.51
20160517,34.51,34.58,34.13,34.22
20160518,34.21,34.70,34.12,34.50
20160519,34.42,34.48,34.01,34.30
20160520,34.34,34.42,34.22,34.37
20160523,34.24,34.33,34.11,34.25
20160524,34.39,34.90,34.39,34.78
20160525,34.97,35.04,34.85,34.92
20160526,34.88,34.95,34.58,34.59
20160527,34.62,34.78,34.58,34.78
20160531,34.83,34.93,34.45,34.73
20160601,34.51,34.75,34.38,34.71
20160602,34.62,34.79,34.49,34.79
20160603,34.49,34.67,34.26,34.56
20160606,34.68,34.90,34.44,34.67
20160607,34.77,34.87,34.61,34.65
20160608,34.62,34.98,34.54,34.95
20160609,34.78,34.89,34.62,34.85
20160610,34.48,34.67,34.40,34.47
20160613,34.39,34.53,34.15,34.19
20160614,34.15,34.30,34.05,34.15
20160615,34.26,34.37,34.05,34.08
20160616,33.82,34.41,33.71,34.40
20160617,34.39,34.54,34.27,34.40
20160620,34.88,35.10,34.84,34.89
20160621,35.03,35.31,34.94,35.28
20160622,35.35,35.53,35.28,35.42
20160623,35.80,35.99,35.63,35.88
20160624,34.34,35.24,34.28,34.63
20160627,34.22,34.29,33.56,33.67
20160628,34.16,34.55,33.91,34.42
20160629,34.61,35.06,34.53,35.04
20160630,35.10,36.08,35.00,36.08
20160701,36.10,36.40,36.01,36.25
20160705,35.97,36.00,35.64,35.75
20160706,35.63,36.11,35.59,36.10
20160707,36.08,36.08,35.51,35.71
20160708,36.13,36.38,35.96,36.24
20160711,36.25,36.53,36.25,36.33
20160712,36.52,36.76,36.50,36.60
20160713,36.68,36.80,36.55,36.64
20160714,37.00,37.05,36.85,36.85
20160715,36.97,37.07,36.60,36.68
20160718,36.69,36.81,36.60,36.60
20160719,36.53,36.76,36.45,36.60
20160720,36.83,36.88,36.65,36.72
20160721,36.76,36.81,36.58,36.67
20160722,36.74,36.75,36.58,36.74
20160725,36.80,36.80,36.56,36.62
20160726,36.70,36.87,36.63,36.85
20160727,36.79,36.97,36.67,36.68
20160728,36.56,36.76,36.42,36.66
20160729,35.94,36.94,35.56,36.14
20160801,35.96,36.12,35.67,35.79
20160802,35.82,35.90,35.58,35.81
20160803,35.90,36.12,35.76,35.99
20160804,35.90,36.03,35.76,35.98
20160805,36.21,36.66,36.10,36.53
20160808,36.61,36.67,36.47,36.54
20160809,36.50,36.60,36.36,36.55
20160810,36.53,36.59,36.46,36.58
20160811,36.60,36.93,36.53,36.53
20160812,36.45,36.58,36.30,36.35
20160815,36.48,36.58,36.32,36.34
20160816,36.31,36.33,36.10,36.10
20160817,36.21,36.35,36.12,36.33
20160818,36.38,36.38,35.99,36.13
20160819,36.01,36.52,35.83,36.44
20160822,36.12,36.34,36.06,36.32
20160823,36.35,36.49,36.35,36.39
20160824,36.35,36.43,36.28,36.35
20160825,36.26,36.53,36.26,36.49
20160826,36.47,36.79,36.21,36.38
20160829,36.47,36.99,36.46,36.85
20160830,36.85,37.19,36.85,37.14
20160831,37.19,37.25,36.81,37.09
20160901,37.14,37.18,36.69,36.94
20160902,37.04,37.18,36.83,36.99
20160906,36.97,36.97,36.66,36.83
20160907,36.74,36.89,36.63,36.76
20160908,36.77,36.78,36.45,36.47
20160909,36.40,36.67,36.20,36.20
20160912,36.03,36.83,35.86,36.71
20160913,36.32,36.38,35.85,35.92
20160914,35.94,36.13,35.80,35.90
20160915,35.92,36.23,35.90,36.17
