Date,Open,High,Low,Close
20151127,37.82,38.50,37.82,38.42
20151130,38.46,38.78,38.05,38.11
20151201,38.28,38.79,38.17,38.77
20151202,38.65,38.90,38.00,38.11
20151203,37.94,38.13,37.44,37.49
20151204,37.63,38.81,37.43,38.73
20151207,38.56,38.77,38.29,38.38
20151208,38.19,38.55,38.06,38.45
20151209,38.20,38.63,37.92,38.27
20151210,38.25,38.40,37.62,37.62
20151211,37.36,37.93,37.17,37.62
20151214,37.52,37.90,37.34,37.85
20151215,38.45,38.99,38.24,38.49
20151216,38.95,39.94,38.85,39.78
20151217,39.77,39.89,39.33,39.53
20151218,39.47,39.87,39.37,39.39
20151221,39.64,39.82,39.18,39.52
20151222,39.56,39.93,39.47,39.52
20151223,39.57,39.75,39.49,39.70
20151224,39.71,39.75,39.44,39.62
20151228,39.62,39.87,39.47,39.82
20151229,40.00,40.36,39.84,40.36
20151230,40.32,40.68,40.15,40.36
20151231,40.42,40.49,40.01,40.03
20160104,39.47,39.66,39.17,39.65
20160105,39.78,40.84,39.60,40.66
20160106,40.37,40.69,40.01,40.20
20160107,39.76,40.10,39.67,39.97
20160108,40.02,40.17,39.12,39.21
20160111,39.29,39.70,38.82,39.46
20160112,39.67,39.72,38.86,39.18
20160113,39.20,39.49,38.40,38.44
20160114,38.56,38.80,37.76,37.81
20160115,37.22,37.94,37.01,37.81
20160119,38.16,40.24,37.98,38.24
20160120,38.02,38.47,36.62,36.96
20160121,37.16,37.47,36.51,36.95
20160122,37.28,37.96,36.95,37.76
20160125,37.72,38.24,37.49,37.67
20160126,37.78,38.73,37.75,38.73
20160127,38.69,38.69,37.99,38.24
20160128,38.10,38.86,37.55,38.11
20160129,38.52,39.23,38.25,39.15
20160201,38.87,40.05,38.68,39.61
20160202,39.58,39.69,38.98,39.14
20160203,39.31,39.65,38.86,39.62
20160204,39.37,39.97,39.03,39.68
20160205,38.69,39.36,36.83,37.01
20160208,36.95,37.09,34.97,35.60
20160209,35.24,35.82,35.00,35.45
20160210,35.68,36.97,35.61,36.32
20160211,35.51,36.04,35.47,35.77
20160212,36.01,36.12,35.43,36.05
20160216,36.36,36.65,35.83,36.62
20160217,36.52,36.78,36.03,36.25
20160218,36.23,36.50,36.00,36.35
20160219,36.28,36.49,35.98,36.18
20160222,36.42,36.88,36.29,36.46
20160223,36.27,36.97,36.03,36.17
20160224,36.12,36.43,35.46,36.04
20160225,36.25,36.77,36.25,36.62
20160226,36.65,36.78,36.39,36.47
20160229,36.40,37.15,36.38,36.61
20160301,36.91,37.89,36.74,37.87
20160302,37.70,38.33,37.19,38.32
20160303,38.40,38.59,37.95,38.58
20160304,38.54,38.62,38.17,38.54
20160307,38.27,38.63,38.21,38.59
20160308,38.61,38.94,38.25,38.31
20160309,38.36,38.87,38.05,38.49
20160310,38.76,38.91,38.05,38.47
20160311,38.92,39.30,38.60,39.27
20160314,39.17,39.56,38.88,39.14
20160315,38.95,39.32,38.91,39.27
20160316,39.10,39.71,38.89,39.66
20160317,39.80,40.68,39.55,40.53
20160318,40.55,40.86,40.24,40.26
20160321,40.19,40.53,40.11,40.26
20160322,40.13,40.66,39.96,40.46
20160323,40.38,40.71,40.26,40.35
20160324,40.26,40.44,39.94,40.37
20160328,40.47,40.70,40.20,40.65
20160329,40.68,41.58,40.68,41.43
20160330,41.55,41.91,41.33,41.67
20160331,41.67,41.95,41.47,41.82
20160401,41.65,42.14,41.62,42.03
20160404,42.02,42.19,41.84,42.13
20160405,41.85,42.16,41.60,41.74
20160406,41.67,42.05,41.63,42.02
20160407,41.86,42.13,41.53,41.87
20160408,42.08,42.43,41.93,42.19
20160411,42.06,42.25,41.27,41.33
20160412,41.42,41.83,41.27,41.60
20160413,41.40,41.50,40.49,40.62
20160414,40.53,40.54,39.45,39.60
20160415,39.61,40.61,39.49,40.48
20160418,40.43,40.90,40.23,40.87
20160419,40.82,41.06,40.65,40.90
20160420,40.91,40.91,40.02,40.04
20160421,40.02,40.21,39.45,39.57
20160422,39.81,40.31,39.52,40.14
20160425,40.03,40.70,39.93,40.70
20160426,40.83,41.07,40.37,40.60
20160427,40.35,40.42,39.69,40.23
20160428,39.89,40.60,39.89,40.06
20160429,39.83,40.34,39.41,40.06
20160502,40.17,41.21,40.11,41.11
20160503,41.12,41.60,40.99,41.55
20160504,41.13,42.25,40.54,42.17
20160505,42.12,42.65,41.93,42.31
20160506,42.32,43.00,42.02,42.82
20160509,42.91,43.10,42.66,43.03
20160510,43.20,43.62,42.81,43.10
20160511,43.15,43.15,42.06,42.42
20160512,42.44,42.51,41.90,42.50
20160513,42.43,42.56,42.14,42.26
20160516,42.37,42.96,42.12,42.67
20160517,42.56,42.56,41.76,42.01
20160518,41.68,42.00,41.11,41.63
20160519,41.19,41.42,41.03,41.18
20160520,41.39,41.65,41.11,41.53
20160523,41.64,41.74,41.34,41.59
20160524,41.71,42.18,41.19,42.10
20160525,42.26,42.55,41.88,42.35
20160526,42.22,42.69,42.02,42.64
20160527,42.66,42.98,42.41,42.78
20160531,42.87,42.97,42.38,42.65
20160601,42.25,42.60,41.70,41.88
20160602,41.65,41.85,41.06,41.63
20160603,41.81,42.02,40.70,40.89
20160606,40.82,40.92,39.73,39.81
20160607,39.82,40.22,39.74,40.07
20160608,39.96,40.45,39.69,40.38
20160609,40.35,40.96,40.11,40.92
20160610,40.66,40.87,39.14,40.83
20160613,40.92,41.30,40.73,40.95
20160614,40.97,41.36,40.74,40.94
20160615,41.03,41.63,40.84,41.36
20160616,41.26,41.65,41.08,41.57
20160617,41.61,41.68,41.25,41.58
20160620,41.84,42.19,41.43,41.51
20160621,41.55,41.86,41.55,41.74
20160622,41.84,42.08,41.57,41.85
20160623,42.14,42.35,41.91,42.12
20160624,40.98,42.35,40.87,41.77
20160627,41.61,41.95,41.31,41.70
20160628,41.93,42.60,41.66,42.60
20160629,42.98,43.53,42.67,43.41
20160630,43.43,44.16,43.13,44.16
20160701,44.42,44.73,44.18,44.51
20160705,44.58,45.18,44.41,45.12
20160706,45.10,45.42,44.78,45.26
20160707,45.16,45.16,44.52,44.89
20160708,45.26,45.67,44.96,45.54
20160711,45.69,45.88,45.19,45.73
20160712,45.73,45.88,45.22,45.78
20160713,45.97,46.23,45.73,46.10
20160714,45.95,46.24,45.66,45.73
20160715,45.70,45.76,45.15,45.51
20160718,45.40,45.49,44.96,45.12
20160719,45.10,45.34,44.80,45.34
20160720,45.33,45.38,44.90,45.09
20160721,44.99,45.06,44.64,44.80
20160722,44.80,45.23,44.80,45.12
20160725,45.21,45.34,44.82,44.84
20160726,44.73,44.75,44.37,44.48
20160727,44.30,44.33,43.45,43.80
20160728,43.68,44.73,43.64,44.26
20160729,44.56,46.42,44.35,45.97
20160801,45.72,46.42,45.71,46.06
20160802,45.82,45.86,45.04,45.17
20160803,45.24,45.28,44.71,45.05
20160804,45.05,45.18,44.73,44.88
20160805,44.96,45.36,44.71,45.36
20160808,45.38,46.08,45.20,45.88
20160809,45.88,46.14,45.67,45.98
20160810,46.05,46.14,45.21,45.40
20160811,45.48,45.51,44.58,44.87
20160812,44.87,45.41,44.73,45.05
20160815,45.10,45.73,45.10,45.54
20160816,45.30,45.35,44.51,44.61
20160817,44.38,44.44,43.62,44.22
20160818,44.22,44.46,43.81,44.20
20160819,44.10,44.18,43.46,43.74
20160822,43.76,44.07,43.50,44.05
20160823,44.27,44.42,44.05,44.24
20160824,44.19,44.24,43.63,44.00
20160825,44.06,45.25,44.06,44.87
20160826,44.92,45.32,43.96,44.34
20160829,44.50,45.19,44.50,45.15
20160830,45.10,45.10,44.14,44.85
20160831,44.75,45.36,44.65,45.18
20160901,45.10,45.39,44.64,45.38
20160902,45.55,46.26,45.38,45.82
20160906,45.98,46.77,45.61,46.75
20160907,46.67,46.95,46.30,46.85
20160908,46.66,46.67,45.54,45.55
20160909,44.94,45.12,43.82,43.83
20160912,43.60,44.79,43.60,44.53
20160913,44.23,44.24,43.30,43.30
20160914,43.49,43.89,43.22,43.68
20160915,43.65,44.11,43.57,43.84
20160916,43.69,43.90,43.58,43.78
20160919,43.88,44.25,43.88,44.17
20160920,44.53,44.76,44.39,44.64
20160921,44.70,45.48,44.25,45.38
20160922,45.98,46.67,45.46,46.58
20160923,46.43,47.36,46.14,46.95
20160926,46.78,47.82,46.78,47.59
20160927,47.82,47.91,47.08,47.16
20160928,47.30,47.57,46.93,47.38
20160929,47.22,47.47,46.58,46.60
20160930,46.93,46.96,45.88,45.91
20161003,45.69,45.69,44.69,44.72
20161004,44.71,44.76,43.64,43.97
20161005,44.16,44.27,42.17,42.23
20161006,41.94,42.54,41.39,42.01
20161007,42.30,42.65,41.79,41.96
20161010,42.01,42.57,41.94,42.36
20161011,42.36,42.72,42.20,42.28
20161012,42.37,42.96,42.28,42.68
