Date,Open,High,Low,Close
20151127,52.90,53.34,52.76,53.11
20151130,53.29,53.69,53.10,53.56
20151201,53.68,53.80,52.83,52.95
20151202,52.75,53.07,51.80,52.28
20151203,52.27,52.96,51.80,52.83
20151204,52.51,53.52,51.94,52.99
20151207,52.53,52.66,50.88,51.10
20151208,50.55,50.71,49.67,49.78
20151209,50.77,51.42,49.62,50.02
20151210,49.93,49.96,49.03,49.21
20151211,47.97,48.40,47.31,47.95
20151214,47.83,47.97,46.34,47.76
20151215,48.10,49.34,48.00,48.68
20151216,49.15,52.06,48.75,51.83
20151217,51.99,53.10,51.33,52.42
20151218,52.01,53.31,50.97,51.18
20151221,51.60,51.87,50.79,51.46
20151222,51.60,54.77,51.43,54.31
20151223,54.56,56.45,54.49,56.29
20151224,56.25,56.50,55.80,55.95
20151228,55.72,56.79,55.13,56.75
20151229,57.41,57.99,56.24,56.73
20151230,56.42,57.20,56.26,56.34
20151231,56.06,57.49,55.83,56.01
20160104,54.97,55.69,54.27,55.55
20160105,55.55,56.10,53.88,54.70
20160106,53.47,54.25,51.84,52.31
20160107,51.26,51.70,49.48,49.95
20160108,50.45,51.08,48.97,49.01
20160111,49.24,49.53,47.38,48.04
20160112,48.79,49.18,48.05,48.95
20160113,49.62,51.27,47.31,47.71
20160114,48.03,49.65,46.84,48.90
20160115,47.64,48.02,45.78,47.91
20160119,48.48,49.50,47.57,48.42
20160120,47.56,48.79,46.16,48.01
20160121,47.99,50.74,47.42,49.43
20160122,50.66,52.27,50.65,51.29
20160125,51.09,51.25,49.70,49.98
20160126,50.37,52.47,50.08,51.88
20160127,51.55,52.26,50.44,50.93
20160128,51.65,52.52,51.28,51.76
20160129,51.79,52.66,51.15,52.64
20160201,51.87,52.95,50.97,52.82
20160202,52.17,53.02,51.35,51.86
20160203,52.66,53.62,51.16,53.52
20160204,53.64,54.26,51.23,51.95
20160205,51.38,52.70,50.72,51.54
20160208,50.91,50.91,47.49,48.79
20160209,48.22,50.03,48.08,49.89
20160210,50.60,51.05,49.41,50.09
20160211,48.78,50.83,48.42,50.09
20160212,50.68,52.02,50.04,51.38
20160216,52.19,52.62,51.05,52.32
20160217,52.94,54.25,52.51,52.77
20160218,51.34,55.60,50.95,54.53
20160219,54.42,54.54,53.27,54.48
20160222,54.84,55.49,54.65,54.83
20160223,54.47,55.59,52.51,52.66
20160224,51.97,53.36,51.03,53.31
20160225,53.60,55.46,53.26,55.44
20160226,55.94,56.86,55.55,56.56
20160229,56.60,57.95,56.11,56.22
20160301,57.12,58.86,57.00,58.66
20160302,58.26,59.42,57.37,57.71
20160303,57.48,57.89,56.03,57.22
20160304,57.52,59.88,57.35,59.17
20160307,59.02,59.97,57.92,58.80
20160308,58.33,59.13,58.05,58.48
20160309,58.80,60.34,58.60,60.24
20160310,59.89,60.54,58.93,59.38
20160311,59.79,61.90,59.45,61.24
20160314,60.38,60.96,59.73,60.02
20160315,59.34,60.04,58.84,59.19
20160316,59.10,61.69,59.10,61.62
20160317,61.47,62.87,60.76,62.43
20160318,62.36,62.75,60.70,61.38
20160321,61.38,61.93,60.95,61.64
20160322,61.36,62.56,61.19,62.16
20160323,61.95,62.19,61.26,61.39
20160324,60.67,62.09,60.34,61.92
20160328,61.99,62.26,61.52,62.12
20160329,62.09,63.00,61.51,62.96
20160330,63.29,64.25,62.91,63.99
20160331,63.88,64.33,63.65,63.93
20160401,63.44,65.50,63.40,65.20
20160404,65.38,65.90,64.99,65.33
20160405,64.62,65.48,64.06,64.50
20160406,64.43,66.08,63.73,66.03
20160407,65.90,66.93,64.24,64.69
20160408,65.64,65.72,64.46,64.85
20160411,65.13,65.94,65.04,65.25
20160412,65.58,65.85,65.26,65.30
