Date,Open,High,Low,Close
20151127,66.49,67.28,66.40,67.13
20151130,67.27,67.99,67.01,67.21
20151201,67.34,68.08,67.25,68.03
20151202,67.90,68.08,67.03,67.31
20151203,67.40,67.40,65.41,66.10
20151204,66.35,67.48,65.88,67.12
20151207,66.97,67.15,66.36,66.39
20151208,65.64,66.50,65.42,65.85
20151209,65.14,66.37,64.97,65.18
20151210,65.18,65.92,64.99,65.39
20151211,64.74,65.44,64.43,64.59
20151214,64.53,64.97,63.64,64.91
20151215,65.21,65.73,64.94,65.43
20151216,65.97,66.66,65.42,66.46
20151217,66.48,66.48,65.60,65.62
20151218,65.39,65.54,63.96,64.65
20151221,65.00,65.49,64.38,64.76
20151222,65.07,65.20,64.42,65.17
20151223,65.55,65.94,65.24,65.82
20151224,65.84,65.92,65.44,65.61
20151228,65.45,66.39,65.12,66.31
20151229,67.04,67.54,66.57,66.96
20151230,66.70,67.09,66.45,66.61
20151231,66.26,66.92,65.31,65.92
20160104,64.88,64.88,63.39,64.53
20160105,64.57,65.40,64.11,64.46
20160106,63.62,63.83,62.39,62.77
20160107,61.63,62.29,60.75,60.96
20160108,61.30,61.71,59.62,59.77
20160111,60.02,60.45,58.98,59.49
20160112,59.96,60.44,59.33,60.11
20160113,60.53,60.69,58.66,58.81
20160114,59.80,60.94,59.04,60.23
20160115,60.42,60.42,56.66,58.68
20160119,60.05,60.21,57.28,58.01
20160120,57.55,58.04,55.53,57.41
20160121,57.44,57.77,55.76,57.21
20160122,58.15,60.13,58.13,59.96
20160125,59.69,60.35,58.83,59.19
20160126,59.04,60.12,58.78,59.94
20160127,59.68,60.57,59.37,59.73
20160128,60.06,60.17,58.76,59.22
20160129,59.53,60.65,59.17,60.56
20160201,60.00,60.74,59.53,60.45
20160202,59.95,59.95,58.31,58.73
20160203,59.39,59.49,57.70,59.38
20160204,59.32,60.97,59.22,59.80
20160205,59.83,60.35,56.01,56.27
20160208,55.38,55.88,52.95,53.77
20160209,53.33,54.95,53.19,54.28
20160210,54.81,56.52,54.41,54.85
20160211,56.19,58.77,54.45,56.74
20160212,58.09,58.87,57.17,57.50
20160216,58.38,58.81,56.88,58.50
20160217,58.90,59.55,58.43,58.81
20160218,59.09,59.40,58.38,58.59
20160219,58.50,58.80,57.97,58.76
20160222,58.76,61.43,58.76,61.07
20160223,60.80,62.00,60.53,61.11
20160224,60.45,62.77,60.01,62.63
20160225,62.72,63.87,60.60,63.80
20160226,64.00,64.50,63.13,63.88
20160229,63.92,64.24,62.94,63.00
20160301,63.58,64.91,63.32,64.83
20160302,64.59,64.98,64.05,64.64
20160303,64.57,64.98,64.22,64.84
20160304,64.83,65.00,63.84,63.94
20160307,63.59,63.96,62.98,63.49
20160308,63.08,63.36,62.43,62.95
20160309,63.43,63.68,62.87,63.32
20160310,63.55,64.11,62.63,63.10
20160311,63.78,63.96,63.35,63.75
20160314,63.23,64.47,63.23,64.17
20160315,63.66,64.15,63.41,63.64
20160316,63.34,64.10,63.03,63.76
20160317,63.63,64.52,63.15,64.37
20160318,64.68,65.36,64.49,64.56
20160321,64.26,64.74,63.97,64.49
20160322,64.16,64.46,63.95,64.22
20160323,64.07,64.07,63.22,63.36
20160324,63.23,63.38,62.69,63.14
20160328,63.33,63.53,62.93,63.37
20160329,63.41,63.81,62.96,63.64
20160330,63.82,63.94,63.04,63.84
20160331,63.80,64.29,63.46,63.71
