Date,Open,High,Low,Close
20151127,182.32,183.10,179.84,182.46
20151130,181.99,182.47,178.22,178.44
20151201,179.96,181.47,177.57,180.28
20151202,179.74,179.84,175.83,176.58
20151203,176.46,177.36,167.02,168.79
20151204,169.16,175.94,169.10,175.76
20151207,177.00,183.25,176.64,179.15
20151208,183.82,190.71,180.17,188.72
20151209,186.75,188.61,180.82,183.16
20151210,183.60,189.74,182.19,187.63
20151211,182.65,189.06,182.65,188.06
20151214,187.81,190.99,186.00,187.79
20151215,188.46,190.77,185.20,186.21
20151216,188.28,189.16,185.02,188.91
20151217,189.72,190.74,185.43,185.79
20151218,184.61,186.67,182.13,182.13
20151221,183.79,185.12,182.09,185.07
20151222,186.19,187.39,183.83,187.07
20151223,188.82,189.52,186.74,187.39
20151224,187.96,190.22,186.99,189.41
20151228,188.16,190.34,187.86,189.10
20151229,190.09,193.39,189.40,191.88
20151230,191.76,192.77,190.05,191.31
20151231,190.18,193.45,189.94,190.75
20160104,187.01,187.07,182.50,184.68
20160105,185.36,187.59,184.00,184.90
20160106,183.72,186.92,182.57,184.07
20160107,180.51,181.13,174.37,174.37
20160108,175.01,175.01,167.76,168.13
20160111,169.60,169.60,158.97,161.65
20160112,162.99,167.30,160.57,166.12
20160113,166.61,167.00,156.74,157.92
20160114,158.39,169.84,155.28,167.29
20160115,156.27,163.77,156.27,158.68
20160119,162.59,163.71,152.23,156.75
20160120,153.90,162.65,149.65,159.89
20160121,159.68,161.35,155.28,155.52
20160122,158.69,159.48,155.38,159.15
20160125,158.65,160.15,154.21,154.54
20160126,155.12,156.29,150.06,152.64
20160127,152.96,157.37,149.23,151.12
20160128,151.96,155.00,143.03,145.61
20160129,147.68,147.68,141.16,145.93
20160201,144.18,146.80,139.34,143.50
20160202,141.64,143.65,137.05,137.36
20160203,132.50,147.30,130.51,145.97
20160204,143.81,152.41,143.81,146.02
20160205,146.20,146.90,139.13,142.28
20160208,138.02,141.41,136.44,139.15
20160209,136.97,142.07,134.00,136.46
20160210,138.20,144.43,136.76,138.82
20160211,134.52,137.63,134.25,135.36
20160212,136.91,141.26,134.31,141.11
20160216,143.10,144.55,140.42,142.39
20160217,143.93,149.16,141.79,148.60
20160218,148.52,149.27,142.78,143.15
20160219,142.28,146.13,140.50,145.89
20160222,147.79,148.67,144.50,145.32
20160223,144.22,147.67,141.86,142.06
20160224,140.66,142.55,135.76,141.97
20160225,142.09,144.99,139.03,140.54
20160226,141.40,141.82,137.95,140.16
20160229,138.91,142.81,138.91,140.80
20160301,142.47,151.19,140.11,150.83
20160302,149.55,152.49,149.00,151.59
20160303,150.75,151.19,145.67,145.85
20160304,146.49,148.23,144.12,144.46
20160307,143.16,150.12,142.20,149.60
20160308,147.15,147.59,140.80,141.03
20160309,141.62,142.89,137.27,140.52
20160310,141.73,141.73,135.01,136.76
20160311,138.22,139.79,136.71,139.27
20160314,139.15,139.15,134.49,134.50
20160315,133.75,134.59,130.52,134.44
20160316,134.44,136.74,129.71,130.84
20160317,130.56,131.59,124.16,127.91
20160318,128.58,129.52,124.77,128.45
20160321,128.38,131.80,128.07,131.06
20160322,129.91,135.92,129.82,135.71
20160323,134.96,136.75,131.25,133.63
20160324,132.88,136.37,130.37,133.19
20160328,133.95,135.20,131.93,132.50
20160329,131.61,134.74,129.61,134.54
20160330,135.88,138.07,133.81,134.82
20160331,135.32,140.41,134.31,139.22
20160401,135.87,143.20,135.87,142.94
20160404,143.48,148.74,143.09,147.10
20160405,145.98,149.71,145.21,148.03
20160406,148.29,157.19,148.29,157.02
20160407,154.97,156.48,147.67,148.03
20160408,150.00,150.62,145.79,148.89
20160411,150.00,150.98,146.93,147.88
20160412,148.49,153.91,147.87,153.55
20160413,154.59,155.83,151.13,152.88
20160414,153.55,155.99,152.02,154.75
20160415,155.13,155.29,151.65,153.09
20160418,153.76,157.71,152.43,155.71
20160419,155.93,156.84,153.66,155.44
20160420,156.24,158.12,154.92,157.04
20160421,157.07,161.64,156.78,161.38
20160422,161.04,162.00,157.36,159.10
20160425,158.86,159.93,156.73,158.02
20160426,158.08,158.08,151.96,154.01
20160427,154.47,155.48,150.75,150.78
20160428,142.99,146.48,139.12,142.53
20160429,141.88,142.31,137.40,139.28
20160502,140.07,140.78,138.50,140.53
20160503,141.71,147.79,141.00,144.37
20160504,143.70,144.46,140.87,141.41
20160505,142.16,143.74,140.36,142.58
20160506,141.32,143.52,139.67,140.99
20160509,141.59,145.32,141.49,143.52
20160510,144.75,145.70,141.52,145.48
20160511,145.72,146.44,138.69,138.86
20160512,139.58,140.46,136.68,139.11
20160513,138.65,140.27,138.00,139.74
20160516,139.19,144.88,138.64,144.57
20160517,143.81,144.39,139.38,139.96
20160518,139.70,142.45,139.57,142.33
20160519,140.90,142.30,137.64,139.03
20160520,139.29,143.00,139.22,142.52
20160523,142.42,144.50,141.73,142.51
20160524,143.93,146.93,142.53,146.67
20160525,146.73,150.00,146.71,149.61
20160526,148.97,149.70,147.02,148.17
20160527,148.20,150.65,146.55,150.42
20160531,151.07,153.44,149.80,150.90
20160601,150.87,153.61,149.89,152.70
20160602,152.69,157.02,152.69,156.77
20160603,156.00,156.25,150.60,153.89
20160606,154.02,155.78,152.14,154.99
20160607,139.97,140.75,136.14,138.13
20160608,138.14,139.79,137.91,138.88
20160609,138.26,141.48,137.75,138.24
20160610,136.70,137.86,134.02,135.61
20160613,135.72,137.63,133.18,133.32
20160614,133.19,134.05,130.27,131.22
20160615,131.67,132.20,129.35,129.55
20160616,128.74,129.55,127.20,127.49
20160617,126.98,127.49,124.80,125.20
20160620,128.33,128.55,123.79,123.96
20160621,124.57,124.83,122.65,124.14
20160622,123.92,126.06,121.07,121.41
20160623,123.08,123.71,121.43,123.57
20160624,117.50,119.51,110.56,112.99
20160627,113.63,115.39,111.02,111.89
20160628,113.00,115.69,113.00,114.94
20160629,115.80,116.79,112.20,114.17
20160630,114.10,116.89,113.24,116.76
20160701,116.68,119.76,115.84,118.59
20160705,117.35,118.21,116.00,117.64
20160706,117.27,121.63,116.40,121.12
20160707,122.20,125.54,121.90,123.34
20160708,124.63,125.11,123.29,124.42
20160711,126.03,126.47,124.01,125.30
20160712,125.98,127.20,124.22,125.35
20160713,126.37,126.78,123.24,123.47
20160714,125.00,125.72,123.97,125.15
20160715,126.37,126.87,124.96,125.58
20160718,125.62,125.98,124.00,125.46
20160719,125.00,125.86,123.14,124.16
20160720,124.15,128.00,123.96,126.93
20160721,128.24,129.95,126.34,127.30
20160722,127.74,127.98,125.34,125.80
20160725,125.71,127.93,125.34,127.46
20160726,126.77,127.81,125.39,126.65
20160727,126.63,130.32,125.81,129.78
20160728,134.00,135.00,129.53,130.40
20160729,130.41,131.30,127.70,128.60
