Date,Open,High,Low,Close
20151127,9.66,9.66,9.66,9.66
20151130,9.66,9.66,9.66,9.66
20151201,9.66,9.66,9.66,9.66
20151202,9.66,9.66,9.66,9.66
20151203,9.66,9.66,9.66,9.66
20151204,9.66,9.66,9.66,9.66
20151207,9.66,9.66,9.66,9.66
20151208,9.66,9.66,9.66,9.66
20151209,9.53,9.53,9.53,9.53
20151210,9.53,9.53,9.53,9.53
20151211,9.53,9.53,9.53,9.53
20151214,9.53,9.53,9.53,9.53
20151215,9.53,9.53,9.53,9.53
20151216,9.53,9.53,9.53,9.53
20151217,9.53,9.53,9.53,9.53
20151218,9.53,9.53,9.53,9.53
20151221,9.36,9.36,9.36,9.36
20151222,9.53,9.53,9.53,9.53
20151223,9.53,9.53,9.53,9.53
20151224,9.53,9.53,9.53,9.53
20151228,9.53,9.53,9.53,9.53
20151229,9.53,9.53,9.53,9.53
20151230,9.53,9.53,9.53,9.53
20151231,9.65,9.65,9.65,9.65
20160104,9.65,9.65,9.65,9.65
20160105,9.45,9.45,9.44,9.44
20160106,9.44,9.44,9.44,9.44
20160107,9.44,9.44,9.44,9.44
20160108,9.44,9.44,9.44,9.44
20160111,9.05,9.05,9.05,9.05
20160112,8.70,8.70,8.70,8.70
20160113,8.70,8.70,8.70,8.70
20160114,8.70,8.70,8.70,8.70
20160115,8.70,8.70,8.70,8.70
20160119,8.70,8.70,8.70,8.70
20160120,8.70,8.70,8.70,8.70
20160121,8.70,8.70,8.70,8.70
20160122,8.70,8.70,8.70,8.70
20160125,8.70,8.70,8.70,8.70
20160126,8.70,8.70,8.70,8.70
20160127,8.70,8.70,8.70,8.70
20160128,8.70,8.70,8.70,8.70
20160129,8.70,8.70,8.70,8.70
20160201,8.70,8.70,8.70,8.70
20160202,8.70,8.70,8.70,8.70
20160203,8.70,8.70,8.70,8.70
20160204,8.70,8.70,8.70,8.70
20160205,8.70,8.70,8.70,8.70
20160208,8.70,8.70,8.70,8.70
20160209,8.70,8.70,8.70,8.70
20160210,8.70,8.70,8.70,8.70
20160211,8.70,8.70,8.70,8.70
20160212,8.70,8.70,8.70,8.70
20160216,8.70,8.70,8.70,8.70
20160217,8.70,8.70,8.70,8.70
20160218,8.70,8.70,8.70,8.70
20160219,8.70,8.70,8.70,8.70
20160222,8.70,8.70,8.70,8.70
20160223,8.70,8.70,8.70,8.70
20160224,8.70,8.70,8.70,8.70
20160225,8.70,8.70,8.70,8.70
20160226,8.70,8.70,8.70,8.70
20160229,8.70,8.70,8.70,8.70
20160301,8.70,8.70,8.70,8.70
20160302,8.70,8.70,8.70,8.70
20160303,8.70,8.70,8.70,8.70
20160304,8.70,8.70,8.70,8.70
20160307,8.70,8.70,8.70,8.70
20160308,8.70,8.70,8.70,8.70
20160309,8.70,8.70,8.70,8.70
20160310,10.47,10.47,10.47,10.47
20160311,10.47,10.47,10.47,10.47
20160314,10.47,10.47,10.47,10.47
20160315,10.47,10.47,10.47,10.47
20160316,10.47,10.47,10.47,10.47
20160317,10.47,10.47,10.47,10.47
20160318,10.47,10.47,10.47,10.47
20160321,10.47,10.47,10.47,10.47
20160322,10.47,10.47,10.47,10.47
20160323,10.47,10.47,10.47,10.47
20160324,10.47,10.47,10.47,10.47
20160328,10.47,10.47,10.47,10.47
20160329,10.47,10.47,10.47,10.47
20160330,10.47,10.47,10.47,10.47
20160331,10.47,10.47,10.47,10.47
20160401,10.47,10.47,10.47,10.47
20160404,10.47,10.47,10.47,10.47
20160405,10.47,10.47,10.47,10.47
20160406,10.47,10.47,10.47,10.47
20160407,10.85,10.85,10.85,10.85
20160408,10.85,10.85,10.85,10.85
20160411,11.00,11.00,11.00,11.00
20160412,11.00,11.00,11.00,11.00
20160413,11.00,11.00,11.00,11.00
20160414,11.00,11.00,11.00,11.00
20160415,11.00,11.00,11.00,11.00
20160418,11.00,11.00,11.00,11.00
20160419,11.00,11.00,11.00,11.00
20160420,11.00,11.00,11.00,11.00
20160421,11.00,11.00,11.00,11.00
20160422,11.00,11.00,11.00,11.00
20160425,11.00,11.00,11.00,11.00
20160426,11.00,11.00,11.00,11.00
20160427,11.00,11.00,11.00,11.00
20160428,11.00,11.00,11.00,11.00
20160429,11.00,11.00,11.00,11.00
20160502,11.00,11.00,11.00,11.00
20160503,11.00,11.00,11.00,11.00
20160504,11.75,11.76,11.75,11.76
20160505,11.76,11.76,11.76,11.76
20160506,11.76,11.76,11.76,11.76
20160509,11.76,11.76,11.76,11.76
20160510,11.76,11.76,11.76,11.76
20160511,11.76,11.76,11.76,11.76
20160512,11.76,11.76,11.76,11.76
20160513,11.76,11.76,11.76,11.76
20160516,11.76,11.76,11.76,11.76
20160517,11.76,11.76,11.76,11.76
20160518,11.76,11.76,11.76,11.76
20160519,11.76,11.76,11.76,11.76
20160520,11.76,11.76,11.76,11.76
20160523,11.76,11.76,11.76,11.76
20160524,11.76,11.76,11.76,11.76
20160525,11.76,11.76,11.76,11.76
20160526,11.76,11.76,11.76,11.76
20160527,11.76,11.76,11.76,11.76
20160531,11.76,11.76,11.76,11.76
20160601,11.76,11.76,11.76,11.76
20160602,11.76,11.76,11.76,11.76
20160603,11.76,11.76,11.76,11.76
20160606,11.76,11.76,11.76,11.76
20160607,11.92,11.92,11.92,11.92
20160608,11.92,11.92,11.92,11.92
20160609,11.18,11.18,11.18,11.18
20160610,11.18,11.18,11.18,11.18
20160613,11.18,11.18,11.18,11.18
20160614,11.18,11.18,11.18,11.18
