Date,Open,High,Low,Close
20151127,2.37,2.38,2.32,2.33
20151130,2.34,2.37,2.25,2.36
20151201,2.36,2.37,2.31,2.34
20151202,2.31,2.34,2.23,2.27
20151203,2.25,2.31,2.20,2.23
20151204,2.23,2.29,2.21,2.28
20151207,2.26,2.36,2.21,2.36
20151208,2.34,2.40,2.25,2.39
20151209,2.37,2.40,2.32,2.35
20151210,2.36,2.50,2.33,2.45
20151211,2.41,2.47,2.36,2.36
20151214,2.36,2.39,2.30,2.34
20151215,2.35,2.43,2.32,2.36
20151216,2.39,2.55,2.37,2.54
20151217,2.52,2.60,2.52,2.56
20151218,2.51,2.55,2.42,2.45
20151221,2.47,2.53,2.43,2.53
20151222,2.55,2.78,2.54,2.77
20151223,2.76,2.94,2.75,2.83
20151224,2.88,3.00,2.86,2.92
20151228,2.91,3.02,2.86,3.00
20151229,3.04,3.06,2.97,3.00
20151230,2.99,3.04,2.93,2.98
20151231,2.97,3.01,2.87,2.87
20160104,2.77,2.82,2.63,2.77
20160105,2.77,2.80,2.64,2.75
20160106,2.66,2.71,2.47,2.51
20160107,2.43,2.48,2.26,2.28
20160108,2.36,2.42,2.10,2.14
20160111,2.16,2.36,2.12,2.34
20160112,2.40,2.46,2.28,2.39
20160113,2.40,2.45,2.21,2.25
20160114,2.29,2.35,2.21,2.21
20160115,2.10,2.13,1.99,2.03
20160119,2.08,2.11,1.90,1.95
20160120,1.81,1.95,1.75,1.80
20160121,1.82,2.18,1.81,2.09
20160122,2.11,2.17,1.98,2.02
20160125,2.01,2.15,2.01,2.12
20160126,2.14,2.15,2.03,2.07
20160127,2.08,2.18,2.07,2.13
20160128,2.16,2.17,2.07,2.08
20160129,2.09,2.20,2.07,2.20
20160201,2.17,2.19,2.11,2.14
20160202,2.11,2.14,1.96,1.99
20160203,2.04,2.08,1.95,2.07
20160204,2.06,2.17,2.03,2.09
20160205,2.06,2.08,1.98,1.98
20160208,1.97,1.98,1.87,1.93
20160209,1.89,2.00,1.85,1.90
20160210,1.92,1.98,1.83,1.84
20160211,1.82,1.94,1.81,1.86
20160212,1.89,1.91,1.82,1.83
20160216,1.86,1.90,1.82,1.83
20160217,1.85,1.94,1.85,1.90
20160218,1.93,1.98,1.90,1.91
20160219,1.93,1.93,1.83,1.91
20160222,1.94,2.04,1.93,2.01
20160223,2.04,2.06,1.97,1.97
20160224,1.98,2.04,1.93,2.02
20160225,2.02,2.04,1.98,2.03
20160226,2.04,2.10,2.03,2.07
20160229,2.06,2.15,2.05,2.14
20160301,2.16,2.20,2.12,2.18
20160302,2.20,2.33,2.18,2.32
20160303,2.32,2.55,2.30,2.46
20160304,2.42,2.50,2.34,2.37
20160307,2.36,2.47,2.36,2.47
20160308,2.44,2.46,2.30,2.30
20160309,2.32,2.35,2.20,2.26
20160310,2.29,2.31,2.15,2.26
20160311,2.29,2.54,2.29,2.52
20160314,2.53,2.75,2.50,2.72
20160315,2.67,2.69,2.45,2.49
20160316,2.50,2.64,2.49,2.63
20160317,2.77,2.81,2.70,2.80
20160318,2.80,2.93,2.77,2.93
20160321,2.90,2.90,2.75,2.80
20160322,2.73,2.85,2.71,2.79
20160323,2.80,2.83,2.68,2.68
20160324,2.69,2.81,2.62,2.79
20160328,2.81,2.84,2.73,2.78
20160329,2.74,2.88,2.70,2.86
20160330,2.88,2.98,2.85,2.86
20160331,2.84,2.88,2.80,2.85
20160401,2.79,2.88,2.76,2.83
20160404,2.83,2.87,2.80,2.83
20160405,2.76,2.84,2.72,2.76
20160406,2.75,2.80,2.72,2.80
20160407,2.76,2.83,2.61,2.64
20160408,2.70,2.76,2.68,2.74
20160411,2.76,2.82,2.74,2.76
20160412,2.79,2.85,2.76,2.81
20160413,2.78,2.82,2.73,2.80
20160414,2.77,2.79,2.70,2.72
20160415,2.72,2.75,2.68,2.70
20160418,2.67,2.80,2.65,2.76
20160419,2.78,2.78,2.61,2.62
20160420,2.62,2.72,2.61,2.70
20160421,2.65,2.70,2.60,2.62
20160422,3.19,3.99,3.18,3.99
20160425,3.81,3.82,3.31,3.45
20160426,3.45,3.75,3.44,3.66
20160427,3.55,3.75,3.53,3.73
20160428,3.69,3.80,3.60,3.61
20160429,3.69,3.69,3.45,3.55
20160502,3.58,3.75,3.57,3.74
20160503,3.70,3.71,3.58,3.60
20160504,3.54,3.67,3.54,3.60
20160505,3.64,3.80,3.61,3.66
20160506,3.65,3.75,3.64,3.68
20160509,3.66,3.68,3.45,3.65
20160510,3.66,3.68,3.56,3.64
20160511,3.61,3.68,3.60,3.65
20160512,3.65,3.68,3.55,3.59
20160513,3.56,3.73,3.55,3.67
20160516,3.67,3.85,3.65,3.79
20160517,3.80,3.98,3.69,3.79
20160518,3.79,3.97,3.77,3.84
20160519,3.83,3.85,3.69,3.77
20160520,3.83,3.90,3.81,3.87
20160523,3.90,4.20,3.88,4.04
20160524,4.09,4.21,3.92,4.20
20160525,4.24,4.35,4.15,4.18
20160526,4.19,4.38,4.17,4.35
20160527,4.39,4.63,4.37,4.60
20160531,4.67,4.71,4.50,4.57
20160601,4.60,4.64,4.38,4.43
20160602,4.37,4.40,4.07,4.24
20160603,4.16,4.20,4.08,4.16
20160606,4.20,4.51,4.17,4.47
20160607,4.56,4.67,4.47,4.51
20160608,4.54,4.56,4.38,4.46
20160609,4.41,4.54,4.32,4.52
20160610,4.40,4.47,4.30,4.32
20160613,4.32,4.48,4.32,4.40
20160614,4.40,4.51,4.33,4.39
20160615,4.44,4.48,4.30,4.42
20160616,4.50,4.75,4.46,4.75
20160617,4.75,5.27,4.68,5.26
20160620,5.39,5.45,5.09,5.10
20160621,5.10,5.50,5.09,5.45
20160622,5.46,5.52,4.96,5.02
20160623,5.17,5.26,5.05,5.21
20160624,4.82,5.07,4.76,4.88
20160627,4.88,5.05,4.65,4.72
20160628,4.95,5.19,4.91,5.12
20160629,5.31,5.40,5.10,5.13
20160630,5.13,5.19,4.95,5.14
20160701,5.09,5.14,5.00,5.07
20160705,5.03,5.05,4.88,4.96
20160706,4.91,5.11,4.90,5.04
20160707,5.07,5.10,4.94,5.02
20160708,4.84,5.15,4.82,5.10
20160711,5.13,5.19,5.00,5.01
20160712,5.01,5.17,5.01,5.14
20160713,5.14,5.19,5.04,5.09
20160714,5.15,5.24,5.06,5.17
20160715,5.20,5.20,5.10,5.14
20160718,5.19,5.57,5.13,5.51
20160719,5.50,5.55,5.34,5.41
20160720,5.48,5.50,5.40,5.41
20160721,5.43,5.45,5.10,5.22
20160722,5.73,5.97,5.45,5.84
20160725,5.93,6.95,5.92,6.70
20160726,6.76,7.16,6.71,6.98
20160727,6.93,6.98,6.68,6.85
20160728,6.79,6.98,6.74,6.82
