Date,Open,High,Low,Close
20151127,112.90,113.80,112.59,113.51
20151130,113.61,114.21,112.80,112.95
20151201,113.64,114.78,113.25,114.61
20151202,114.52,115.29,112.77,113.00
20151203,113.40,113.73,110.85,111.30
20151204,111.56,115.18,111.31,114.94
20151207,114.49,115.29,112.69,113.31
20151208,112.52,113.35,111.01,111.57
20151209,110.58,111.85,108.27,108.83
20151210,108.79,110.20,108.41,108.79
20151211,107.00,107.35,104.44,105.15
20151214,105.24,106.64,103.08,104.96
20151215,106.17,107.20,105.75,105.88
20151216,106.98,107.97,104.62,107.56
20151217,107.89,107.99,104.81,105.10
20151218,104.23,104.38,102.65,103.08
20151221,103.96,105.47,103.54,105.43
20151222,106.11,107.74,100.08,107.17
20151223,107.46,108.76,106.80,108.68
20151224,108.29,108.83,107.61,107.94
20151228,107.80,107.92,107.01,107.80
20151229,108.56,109.77,108.24,108.58
20151230,108.13,108.83,107.00,107.29
20151231,106.50,107.72,106.13,106.42
20160104,103.93,104.33,102.64,104.25
20160105,104.50,105.47,103.14,103.84
20160106,102.22,102.22,99.92,100.31
20160107,98.00,99.42,96.79,97.13
20160108,97.90,99.36,94.75,94.94
20160111,96.04,96.18,94.10,95.66
20160112,96.81,96.98,94.71,96.15
20160113,96.34,96.46,92.25,92.41
20160114,92.95,96.20,91.37,95.09
20160115,93.76,93.93,91.01,92.83
20160119,94.61,94.61,91.69,92.54
20160120,90.81,92.61,89.00,91.61
20160121,92.09,93.20,90.43,90.57
20160122,92.15,93.61,92.08,93.25
20160125,92.38,93.15,90.02,90.32
20160126,91.00,92.95,90.46,92.36
20160127,91.84,94.72,90.73,91.11
20160128,90.80,92.93,81.40,86.92
20160129,87.43,90.68,87.19,90.65
20160201,89.24,90.29,87.50,87.79
20160202,86.20,86.37,82.92,83.94
20160203,84.89,85.51,81.19,84.82
20160204,84.81,86.21,84.24,85.47
20160205,85.29,85.98,82.49,82.79
20160208,81.33,82.11,79.32,80.77
20160209,79.26,80.49,78.80,79.17
20160210,79.98,81.47,79.21,80.31
20160211,77.06,78.13,76.00,76.27
20160212,78.89,80.39,76.16,80.15
20160216,81.62,83.27,80.62,82.92
20160217,84.03,85.42,83.44,84.97
20160218,85.00,85.48,83.62,84.28
20160219,83.54,83.69,82.12,82.69
20160222,84.30,85.19,83.97,84.54
20160223,84.22,84.31,83.03,83.43
20160224,82.15,83.79,80.39,83.43
20160225,83.74,84.80,82.97,84.37
20160226,85.42,87.34,85.00,86.49
20160229,86.08,86.42,83.93,83.95
20160301,85.08,88.16,85.01,88.01
20160302,88.04,88.16,86.87,87.89
20160303,88.12,89.92,87.50,89.54
20160304,89.70,90.70,89.05,90.46
20160307,89.24,89.91,88.75,89.76
20160308,88.46,89.68,87.75,88.82
20160309,89.60,89.60,87.77,88.66
20160310,89.62,89.88,86.81,88.46
20160311,90.04,92.68,89.96,92.60
20160314,91.94,92.44,90.22,91.83
20160315,90.68,90.75,88.82,90.10
20160316,89.16,91.71,89.16,91.44
20160317,91.04,94.12,91.04,93.38
20160318,93.91,95.24,93.24,94.36
20160321,93.86,94.53,92.99,94.14
20160322,92.99,93.88,92.52,93.35
20160323,93.48,94.04,92.39,92.76
20160324,91.40,92.01,90.65,91.98
20160328,92.00,93.56,91.45,93.39
20160329,92.64,94.25,91.15,94.17
20160330,95.00,96.54,94.88,95.57
20160331,95.11,95.47,93.51,94.01
20160401,93.70,94.95,92.49,94.67
20160404,94.37,94.37,92.89,93.18
20160405,91.63,92.48,90.88,91.91
20160406,92.47,95.19,92.44,93.24
20160407,92.07,92.78,90.11,91.04
20160408,91.85,92.87,91.05,91.30
20160411,92.29,93.57,92.01,92.55
20160412,92.63,94.27,92.19,94.17
20160413,95.43,97.64,95.32,97.63
20160414,97.29,98.13,96.37,97.14
20160415,97.05,97.45,95.89,96.42
20160418,96.00,96.98,95.54,96.58
20160419,96.96,97.07,95.99,96.84
20160420,97.21,99.09,96.71,98.76
20160421,99.10,99.89,98.28,98.83
20160422,99.21,100.39,98.99,99.92
20160425,99.31,99.79,98.02,98.86
20160426,99.42,100.30,99.06,100.24
20160427,99.79,101.43,98.53,101.07
20160428,100.31,101.00,97.76,98.13
20160429,97.48,97.84,95.44,95.90
20160502,96.09,97.94,95.11,97.82
20160503,95.84,96.13,94.01,95.57
20160504,94.60,95.77,93.71,94.78
20160505,94.37,95.05,93.04,93.17
20160506,92.33,93.38,91.90,93.25
20160509,93.04,93.40,92.55,92.93
20160510,93.68,95.49,93.55,95.22
20160511,94.87,96.08,94.78,95.17
20160512,95.87,96.71,94.31,95.34
20160513,95.23,96.45,93.48,93.83
20160516,93.79,95.17,93.47,94.56
20160517,94.21,96.23,94.02,95.09
20160518,94.66,97.62,94.25,97.53
20160519,96.74,97.98,95.52,96.61
20160520,97.26,98.24,97.11,97.67
20160523,97.38,97.93,96.92,97.55
20160524,98.45,99.93,98.07,99.77
20160525,100.17,102.05,100.01,101.36
20160526,101.25,101.27,100.12,100.17
20160527,100.44,101.54,99.79,101.52
20160531,101.81,102.31,101.00,101.67
20160601,101.67,102.74,99.98,102.35
20160602,101.43,102.13,100.73,102.02
20160603,100.10,100.68,99.02,100.50
20160606,100.63,102.49,100.49,102.02
20160607,102.15,102.43,101.48,101.75
20160608,101.53,102.51,100.77,101.44
20160609,100.96,100.99,99.95,100.67
20160610,99.33,99.67,98.76,99.55
20160613,98.85,100.14,98.75,98.85
20160614,98.40,99.17,95.67,96.19
20160615,96.75,98.09,96.15,96.76
20160616,95.66,96.34,94.62,96.26
20160617,96.33,97.39,96.06,96.70
20160620,97.36,99.62,97.36,98.29
20160621,98.94,99.06,98.10,98.69
20160622,98.62,99.65,98.49,99.17
20160623,100.50,101.72,100.48,101.71
20160624,94.63,96.55,91.30,91.32
20160627,88.66,88.66,85.21,85.52
