Date,Open,High,Low,Close
20151127,99.09,100.04,99.09,99.68
20151130,99.95,100.21,99.23,99.38
20151201,99.50,101.19,99.50,101.17
20151202,100.96,101.24,99.24,99.46
20151203,99.43,99.68,97.44,97.89
20151204,98.07,99.01,97.17,97.55
20151207,97.06,97.98,97.05,97.69
20151208,97.34,97.61,96.28,96.88
20151209,96.29,97.44,94.86,95.54
20151210,95.54,96.04,94.97,95.07
20151211,94.04,94.60,93.25,93.68
20151214,93.38,94.41,92.88,94.04
20151215,94.87,96.15,94.78,95.61
20151216,96.01,97.77,95.64,97.50
20151217,97.83,97.88,96.08,96.09
20151218,95.61,95.90,94.59,94.60
20151221,95.42,95.74,94.79,95.56
20151222,96.15,97.00,95.86,96.42
20151223,96.68,98.54,96.68,98.50
20151224,98.63,98.70,97.92,98.14
20151228,97.74,98.52,97.50,98.37
20151229,98.95,99.59,98.92,99.41
20151230,99.33,99.53,98.02,98.10
20151231,97.96,97.99,96.88,96.95
20160104,96.29,96.78,95.09,96.70
20160105,96.94,98.75,96.80,98.61
20160106,98.07,98.64,97.52,98.26
20160107,96.90,97.33,95.37,95.81
20160108,95.99,96.49,93.90,94.23
20160111,94.73,95.00,93.84,94.48
20160112,95.11,95.18,93.78,94.48
20160113,94.85,95.07,92.10,92.15
20160114,92.74,93.05,91.70,92.21
20160115,90.51,91.63,87.85,88.39
20160119,89.76,93.53,89.60,90.91
20160120,90.01,90.18,86.21,89.00
20160121,88.87,91.16,88.21,90.02
20160122,90.91,93.59,90.33,93.25
20160125,93.28,93.39,90.93,91.12
20160126,92.00,93.69,91.90,92.47
20160127,92.06,93.45,91.42,92.51
20160128,92.63,93.45,92.34,92.51
20160129,93.64,94.50,92.87,94.34
20160201,93.60,93.90,92.83,93.10
20160202,92.48,92.84,91.15,91.35
20160203,91.76,91.76,88.40,90.49
20160204,90.32,91.84,90.01,91.09
20160205,90.70,90.95,88.56,88.84
20160208,88.41,88.46,84.55,85.41
20160209,84.56,85.89,83.91,85.57
20160210,85.85,87.13,85.36,85.84
20160211,84.65,84.65,83.07,83.66
20160212,85.09,85.82,83.75,85.67
20160216,87.09,87.46,85.98,86.45
20160217,86.93,87.34,86.11,86.19
20160218,86.09,88.01,85.78,87.50
20160219,87.41,87.92,86.51,87.32
20160222,88.02,89.82,88.02,89.24
20160223,88.87,89.36,87.58,88.02
20160224,87.57,89.43,87.01,89.03
20160225,89.27,90.14,88.96,89.42
20160226,88.80,91.80,87.29,90.01
20160229,90.16,93.25,90.01,92.20
20160301,92.75,94.79,91.65,94.70
20160302,94.39,94.70,93.74,94.62
20160303,94.80,95.32,94.13,95.30
20160304,95.12,96.33,95.10,95.94
20160307,95.46,96.20,95.21,95.60
20160308,95.02,95.56,94.37,94.60
20160309,94.94,95.18,94.26,94.60
20160310,95.31,95.81,93.69,94.71
20160311,95.55,98.56,95.42,98.46
20160314,97.69,98.31,96.69,98.06
20160315,97.07,98.63,97.02,98.41
20160316,98.11,99.98,97.79,99.81
20160317,99.72,102.90,99.47,101.75
20160318,102.20,102.20,100.15,100.51
20160321,100.01,100.66,99.76,100.34
20160322,100.08,100.37,99.46,99.93
20160323,100.00,100.96,99.57,99.58
20160324,99.40,100.62,98.87,100.35
20160328,100.46,100.88,99.89,100.24
20160329,100.30,102.07,99.80,101.92
20160330,102.35,102.91,102.08,102.31
20160331,102.00,102.93,101.88,102.37
20160401,101.93,104.82,101.87,104.50
20160404,104.70,104.88,104.12,104.70
20160405,104.00,104.39,103.74,104.00
20160406,104.00,105.84,103.75,105.70
20160407,105.23,105.55,104.43,105.00
20160408,105.02,106.07,104.82,105.71
20160411,106.25,106.53,105.67,106.01
20160412,105.91,106.49,105.26,106.17
20160413,106.74,106.75,105.81,106.23
20160414,106.15,106.34,105.08,105.20
20160415,105.28,106.00,104.87,105.78
20160418,105.22,105.76,105.00,105.54
20160419,105.02,105.54,103.95,105.50
20160420,105.51,105.89,104.64,104.82
20160421,104.50,104.50,102.38,102.57
20160422,102.96,105.14,102.85,104.19
20160425,104.09,104.55,103.31,104.18
20160426,104.45,105.05,104.38,104.77
20160427,104.53,105.28,103.80,104.49
20160428,103.81,105.34,103.52,104.13
20160429,103.95,105.25,102.29,104.88
20160502,105.00,105.77,104.50,105.51
20160503,104.42,104.99,103.15,104.16
20160504,103.65,105.73,103.26,105.51
20160505,105.61,106.72,105.61,106.31
20160506,106.06,106.68,105.24,106.57
20160509,106.63,107.16,106.24,106.65
20160510,106.87,107.24,106.55,107.18
20160511,106.93,107.13,105.70,105.73
20160512,106.26,106.78,105.59,106.56
20160513,106.34,106.60,105.37,105.70
20160516,105.75,106.72,105.70,106.48
20160517,106.65,106.65,104.82,105.36
20160518,105.18,105.44,103.41,104.55
20160519,103.50,104.09,103.11,103.77
20160520,104.28,104.43,103.63,104.01
20160523,104.28,104.44,103.63,104.16
20160524,104.45,105.35,104.20,105.30
20160525,106.00,106.47,105.52,106.17
20160526,106.03,106.24,104.91,105.30
20160527,105.44,106.54,105.36,106.06
20160531,105.96,106.30,105.25,105.78
20160601,105.46,105.85,104.87,105.47
20160602,105.35,106.57,104.93,106.56
20160603,106.96,107.29,106.41,106.97
20160606,107.11,107.66,106.66,107.20
20160607,107.27,108.27,106.94,107.87
20160608,107.84,108.31,107.23,107.56
20160609,107.40,109.10,107.10,109.07
20160610,108.43,109.38,108.03,108.79
20160613,108.77,109.80,108.55,108.93
20160614,108.52,108.85,107.21,107.61
20160615,107.25,107.76,106.86,107.23
20160616,106.98,107.75,106.64,107.69
20160617,107.60,107.71,106.50,106.94
20160620,107.84,108.56,107.37,107.42
20160621,107.91,109.79,107.64,109.44
20160622,109.39,109.82,108.63,109.40
20160623,110.00,111.47,109.53,111.47
20160624,108.18,110.27,107.68,108.27
20160627,107.64,108.92,106.64,108.89
20160628,109.82,110.84,109.19,110.80
20160629,111.65,113.13,111.11,113.00
20160630,113.22,113.63,111.74,113.61
20160701,113.94,114.50,113.45,113.60
20160705,113.62,114.23,113.47,113.83
