Date,Open,High,Low,Close
20151127,94.68,94.94,94.17,94.65
20151130,94.32,95.11,94.32,94.74
20151201,95.04,95.82,94.78,95.70
20151202,95.58,95.67,94.36,94.53
20151203,94.53,94.99,93.15,93.68
20151204,94.03,96.69,93.75,96.65
20151207,96.19,96.90,95.92,96.74
20151208,96.02,96.27,94.97,95.10
20151209,94.43,95.80,93.99,94.23
20151210,94.23,94.39,93.51,93.83
20151211,92.66,94.01,92.30,93.30
20151214,93.59,94.49,92.20,94.08
20151215,94.82,96.95,94.62,96.69
20151216,97.14,97.79,95.58,96.92
20151217,96.76,97.41,93.25,93.27
20151218,92.65,93.25,90.81,90.99
20151221,91.47,92.17,89.94,90.80
20151222,90.85,91.67,89.20,91.07
20151223,91.40,91.78,90.03,91.76
20151224,91.81,92.53,91.19,92.05
20151228,91.74,92.18,91.23,92.00
20151229,92.70,93.94,92.63,93.84
20151230,93.82,94.16,93.27,93.54
20151231,93.11,93.51,92.19,92.21
20160104,90.71,90.88,89.72,90.71
20160105,90.72,91.45,90.36,91.26
20160106,90.40,90.59,89.28,89.88
20160107,88.33,88.97,88.15,88.57
20160108,88.81,89.09,86.83,87.02
20160111,87.53,87.70,85.56,86.41
20160112,87.20,87.29,85.72,87.15
20160113,87.71,87.89,85.52,85.91
20160114,86.11,88.09,85.80,87.39
20160115,87.65,87.65,85.09,86.09
20160119,86.76,87.08,85.57,85.98
20160120,84.58,85.84,83.83,84.94
20160121,85.23,85.96,84.24,84.62
20160122,85.92,86.68,85.72,86.41
20160125,86.19,86.63,85.24,85.74
20160126,86.19,86.75,85.65,86.03
20160127,86.02,86.39,85.25,85.91
20160128,86.10,87.99,85.43,86.09
20160129,86.73,87.98,86.30,87.83
20160201,87.53,87.97,86.99,87.58
20160202,86.49,87.01,85.91,86.20
20160203,87.06,88.11,86.31,87.74
20160204,87.45,89.04,87.21,88.95
20160205,89.20,92.89,89.01,92.87
20160208,92.27,93.70,91.96,92.98
20160209,92.47,93.50,92.11,92.88
20160210,93.04,94.79,92.65,92.83
20160211,91.31,93.23,90.86,92.69
20160212,93.76,94.98,93.72,93.80
20160216,94.65,94.99,93.90,94.15
20160217,95.09,95.58,94.71,95.00
20160218,94.75,95.02,93.99,94.57
20160219,94.28,94.42,92.98,93.58
20160222,94.36,94.69,93.43,93.77
20160223,93.21,95.02,92.88,94.07
20160224,93.08,95.12,92.92,94.66
20160225,94.91,95.45,94.52,95.31
20160226,95.68,96.50,95.44,95.76
20160229,95.44,96.45,95.26,95.29
20160301,95.99,96.81,95.69,95.95
20160302,95.98,97.41,95.60,97.39
20160303,97.13,98.35,97.07,98.22
20160304,98.00,99.46,97.95,98.93
20160307,98.33,99.29,98.04,99.14
20160308,98.47,99.59,98.20,98.44
20160309,98.74,98.95,98.30,98.72
20160310,99.19,99.54,97.62,98.56
20160311,99.63,100.59,98.92,100.48
20160314,99.93,100.64,99.77,99.77
20160315,98.91,99.93,98.91,99.89
20160316,99.11,100.55,99.08,99.79
20160317,99.94,102.58,99.58,102.00
20160318,102.17,102.48,100.98,101.47
20160321,101.08,101.86,100.93,101.59
20160322,101.31,102.23,100.97,101.46
20160323,101.46,101.46,100.05,100.51
20160324,100.03,101.32,99.67,101.13
20160328,101.51,102.49,101.25,102.14
20160329,102.05,103.06,101.74,102.94
20160330,103.20,104.12,102.93,103.96
20160331,103.96,104.76,103.62,104.45
20160401,104.09,105.01,103.63,104.87
20160404,104.63,105.24,104.50,104.85
20160405,103.60,104.06,101.85,101.91
20160406,101.57,102.13,100.98,102.10
20160407,101.67,102.09,100.68,101.03
20160408,102.00,102.26,101.04,101.31
20160411,101.96,102.56,101.46,101.47
20160412,101.85,102.54,101.24,102.51
20160413,103.08,103.78,102.53,103.75
20160414,103.75,104.40,103.46,103.90
20160415,103.47,104.39,103.32,104.30
20160418,103.89,105.66,103.77,105.66
20160419,105.99,106.17,105.11,105.19
20160420,105.64,105.70,103.95,104.43
20160421,104.08,104.66,103.18,103.19
20160422,103.36,104.00,102.94,103.23
20160425,103.04,103.51,102.27,103.45
20160426,103.90,104.77,103.72,104.73
20160427,104.50,104.73,103.97,104.31
20160428,103.11,104.16,102.82,103.16
20160429,102.66,105.37,102.56,105.12
20160502,105.55,106.78,105.11,106.62
20160503,105.81,106.14,104.68,105.77
20160504,105.32,106.21,104.74,105.97
20160505,106.02,106.69,105.27,105.41
20160506,105.17,105.34,104.30,104.78
20160509,104.68,105.11,104.36,104.71
20160510,105.44,106.31,105.01,106.12
20160511,106.07,106.42,105.44,105.51
20160512,105.81,106.00,104.71,105.72
20160513,105.75,106.16,105.16,105.81
20160516,105.60,106.47,105.54,106.18
20160517,106.14,106.50,105.40,105.72
20160518,105.74,106.64,104.91,105.39
20160519,104.95,105.21,103.94,104.78
20160520,105.19,105.78,104.64,105.39
20160523,104.96,105.49,103.88,105.13
20160524,105.53,106.97,105.12,106.93
20160525,107.00,107.47,106.49,106.72
20160526,107.00,107.22,106.29,106.98
20160527,107.22,109.00,106.87,108.63
20160531,108.87,109.65,108.51,109.27
20160601,108.62,109.41,108.07,109.34
20160602,109.15,109.44,108.57,109.43
20160603,108.88,108.90,107.79,108.72
20160606,108.80,109.45,108.49,109.40
20160607,109.46,110.04,108.74,109.52
