Date,Open,High,Low,Close
20151127,39.97,40.50,39.72,40.43
20151130,40.56,40.58,39.79,39.88
20151201,40.06,40.40,39.69,40.38
20151202,40.26,40.53,39.58,39.74
20151203,39.91,39.91,38.27,38.66
20151204,38.82,39.49,38.53,39.47
20151207,39.53,39.72,39.29,39.51
20151208,39.05,39.43,38.75,39.28
20151209,39.09,39.65,38.28,38.65
20151210,38.76,39.26,38.62,39.04
20151211,38.56,39.24,38.12,38.22
20151214,38.31,38.80,38.26,38.72
20151215,39.14,39.24,38.63,38.88
20151216,39.24,39.48,38.45,39.08
20151217,39.13,39.35,38.26,38.26
20151218,38.17,38.35,37.62,38.10
20151221,38.43,38.79,37.73,37.99
20151222,38.05,38.31,37.76,38.17
20151223,38.54,38.61,38.29,38.55
20151224,38.51,38.78,38.29,38.65
20151228,38.50,39.19,38.16,39.17
20151229,39.38,39.53,38.96,39.17
20151230,39.03,39.49,39.00,39.01
20151231,38.88,38.93,38.30,38.30
20160104,37.74,37.74,36.87,37.59
20160105,37.59,38.17,37.30,37.38
20160106,36.92,37.10,36.22,36.64
20160107,35.85,35.85,34.63,34.85
20160108,34.46,34.63,33.54,33.61
20160111,33.65,34.28,32.72,32.74
20160112,33.15,33.44,32.65,33.20
20160113,33.33,33.46,31.50,31.62
20160114,31.62,32.36,30.81,32.08
20160115,31.11,32.06,31.11,31.75
20160119,32.13,32.34,31.12,31.28
20160120,30.70,31.42,30.15,31.03
20160121,31.04,32.79,30.88,32.09
20160122,32.63,33.42,32.50,32.80
20160125,32.69,32.80,32.03,32.08
20160126,32.24,34.46,32.24,34.24
20160127,34.12,34.47,32.82,33.01
20160128,33.39,34.08,32.57,33.93
20160129,33.44,35.03,31.37,34.92
20160201,34.72,35.14,34.14,34.87
20160202,34.50,34.81,34.04,34.09
20160203,34.51,34.70,33.26,33.99
20160204,33.92,34.67,33.50,33.88
20160205,33.85,33.88,32.26,32.78
20160208,32.22,32.35,30.99,31.49
20160209,30.83,32.25,30.76,31.87
20160210,32.06,32.68,31.88,32.19
20160211,31.47,32.70,30.64,32.27
20160212,32.85,33.74,32.64,32.90
20160216,33.35,33.85,33.33,33.49
20160217,33.66,34.71,33.58,34.50
20160218,34.65,34.76,34.12,34.49
20160219,34.26,34.62,34.00,34.42
20160222,34.62,35.17,34.26,34.97
20160223,34.90,35.37,34.44,34.46
20160224,34.03,35.04,33.78,34.99
20160225,35.01,35.66,34.58,35.61
20160226,35.78,36.42,35.72,36.03
20160229,36.03,36.26,35.19,35.19
20160301,35.62,36.50,35.22,36.49
20160302,36.26,36.46,35.94,36.43
20160303,36.47,36.67,36.27,36.51
20160304,36.61,37.08,35.85,37.07
20160307,36.79,37.06,36.30,36.46
20160308,36.40,37.12,36.04,36.66
20160309,36.76,36.90,36.18,36.30
20160310,36.53,36.88,36.35,36.71
20160311,37.01,37.21,36.54,36.62
20160314,36.42,36.83,36.37,36.76
20160315,36.40,36.79,36.33,36.60
20160316,36.40,36.88,36.40,36.72
20160317,36.79,37.78,36.73,37.55
20160318,37.51,38.08,37.45,37.78
20160321,37.74,37.91,37.55,37.88
20160322,37.73,37.91,37.47,37.77
20160323,37.70,37.80,37.17,37.22
20160324,37.06,37.43,36.90,37.42
20160328,37.46,37.89,37.30,37.66
20160329,37.67,38.40,37.57,38.38
20160330,38.50,38.71,38.01,38.21
20160331,38.26,38.30,37.65,38.15
20160401,37.91,38.91,37.61,38.88
20160404,38.84,38.85,38.21,38.47
20160405,38.29,38.67,38.15,38.48
20160406,38.48,39.03,38.17,39.01
20160407,38.90,38.91,38.05,38.39
20160408,38.74,38.83,38.40,38.54
20160411,38.55,38.72,38.17,38.21
20160412,38.17,38.60,38.04,38.48
20160413,38.91,39.55,38.69,39.53
20160414,39.53,39.70,38.97,39.15
20160415,39.17,39.63,38.99,39.62
20160418,39.32,39.94,39.17,39.82
20160419,39.99,39.99,39.26,39.31
20160420,39.40,39.80,39.17,39.58
20160421,39.49,40.30,39.40,39.98
20160422,39.93,40.24,39.56,40.21
20160425,40.18,40.22,39.49,39.69
20160426,39.71,40.03,39.24,40.01
20160427,40.53,41.15,38.31,39.58
20160428,39.46,39.60,38.58,38.67
20160429,38.58,38.94,38.29,38.61
20160502,38.88,39.29,38.79,39.28
20160503,39.19,39.21,38.37,38.58
20160504,38.51,38.60,37.81,38.33
20160505,38.53,38.76,37.99,38.08
20160506,38.05,38.97,37.74,38.97
20160509,38.97,39.08,38.58,38.85
20160510,39.08,39.45,38.90,39.40
20160511,39.47,39.71,39.03,39.17
20160512,39.46,39.72,38.99,39.29
20160513,39.22,39.78,38.90,39.12
20160516,39.22,39.70,39.22,39.53
20160517,39.57,39.84,39.17,39.40
20160518,39.39,40.45,39.08,40.10
20160519,39.83,39.97,39.33,39.80
20160520,40.08,40.61,39.74,40.26
20160523,40.41,40.47,40.00,40.30
20160524,40.65,41.59,40.24,41.51
20160525,41.81,41.96,41.45,41.65
20160526,41.65,41.94,41.24,41.47
20160527,41.62,41.70,41.46,41.67
20160531,41.90,41.93,40.84,41.15
20160601,41.15,41.29,40.78,41.24
20160602,41.15,41.35,40.91,41.35
20160603,41.20,41.28,40.95,41.01
20160606,41.31,41.57,41.01,41.42
20160607,41.54,42.15,41.38,41.92
20160608,41.88,42.60,41.88,42.58
20160609,42.31,42.70,42.12,42.61
20160610,42.23,42.56,41.62,41.84
20160613,41.51,42.17,41.51,41.58
20160614,41.44,41.72,41.28,41.53
20160615,41.65,42.15,41.55,41.82
20160616,41.61,41.97,41.22,41.92
20160617,41.79,42.29,41.74,42.22
20160620,42.74,43.24,42.46,42.67
20160621,42.66,42.88,42.30,42.40
20160622,42.45,42.85,42.40,42.44
20160623,42.83,43.34,42.82,43.34
20160624,41.79,42.60,41.69,41.88
20160627,41.69,41.69,40.51,40.92
20160628,41.43,41.90,41.27,41.84
20160629,42.28,42.98,42.28,42.80
20160630,42.95,44.05,42.83,44.05
20160701,44.05,44.49,43.47,43.60
20160705,43.54,43.54,42.88,43.26
20160706,43.15,43.67,43.01,43.61
20160707,43.74,43.99,43.55,43.74
20160708,44.10,44.71,44.04,44.62
20160711,44.97,45.38,44.88,45.14
20160712,45.55,45.82,45.31,45.48
20160713,45.58,45.71,45.15,45.23
20160714,45.88,45.95,45.32,45.33
20160715,45.51,45.65,45.24,45.48
20160718,45.50,45.84,45.34,45.67
20160719,45.53,45.56,45.10,45.19
20160720,45.45,45.53,44.99,45.28
20160721,45.27,45.40,44.65,44.83
20160722,44.76,44.83,44.19,44.78
20160725,44.78,44.86,44.36,44.38
20160726,46.03,46.90,45.40,46.86
20160727,47.17,47.35,46.62,46.85
20160728,46.85,47.12,46.67,46.78
20160729,46.79,46.96,46.42,46.45
20160801,46.37,46.69,46.22,46.40
20160802,46.44,46.65,45.88,46.22
20160803,46.26,46.62,45.90,46.62
20160804,46.70,47.06,46.58,46.70
20160805,46.99,47.44,46.89,47.17
20160808,47.17,47.28,46.58,46.90
20160809,47.01,47.23,46.79,47.17
20160810,47.28,47.35,46.85,47.17
20160811,47.23,47.46,46.96,47.43
20160812,47.44,47.44,46.86,47.05
20160815,47.28,47.52,47.12,47.38
20160816,47.28,47.28,46.72,46.76
20160817,46.88,46.97,46.54,46.79
20160818,46.84,47.09,46.62,46.95
20160819,46.87,47.19,46.59,47.10
20160822,47.00,47.33,46.76,47.33
20160823,47.50,48.08,47.48,47.90
20160824,47.79,47.90,47.51,47.63
20160825,47.60,47.80,47.39,47.75
20160826,47.76,48.01,47.25,47.66
20160829,47.83,48.56,47.74,48.31
20160830,48.35,48.44,48.13,48.42
20160831,48.26,48.56,47.83,48.24
20160901,48.21,48.43,47.87,48.18
20160902,48.43,48.79,48.30,48.49
20160906,49.19,49.19,47.78,47.89
20160907,48.02,48.13,47.53,47.98
20160908,48.31,48.50,47.85,48.42
20160909,47.85,47.85,45.28,45.54
20160912,45.18,46.62,44.62,46.51
20160913,46.17,46.35,45.62,45.80
20160914,45.85,45.99,45.52,45.85
20160915,45.83,46.74,45.56,46.64
20160916,46.35,46.55,46.01,46.07
20160919,46.45,47.03,46.19,46.58
20160920,47.05,47.14,46.64,46.64
20160921,47.04,47.49,46.72,47.43
20160922,47.99,48.51,47.90,48.45
20160923,48.53,48.81,48.39,48.44
20160926,48.08,48.40,47.76,48.10
20160927,48.17,49.30,47.80,49.26
20160928,49.26,49.58,48.92,49.54
20160929,49.54,49.60,48.84,48.96
20160930,49.33,49.70,49.05,49.40
20161003,49.31,49.97,49.22,49.81
20161004,49.88,50.45,49.79,50.16
20161005,50.44,51.37,50.27,50.87
20161006,50.56,51.49,50.39,51.41
20161007,51.09,51.40,49.69,49.97
20161010,49.21,50.34,48.57,50.09
20161011,49.12,49.86,49.06,49.54
20161012,49.22,50.20,49.00,49.86
20161013,49.30,49.50,48.66,49.29
20161014,49.28,49.81,48.93,48.93
20161017,49.07,49.60,48.90,49.36
20161018,49.77,50.00,49.18,49.20
20161019,49.11,49.16,48.61,48.80
20161020,48.53,48.58,47.97,48.46
20161021,48.04,48.34,47.84,48.09
20161024,48.55,48.92,48.29,48.38
20161025,48.10,48.20,46.21,46.74
20161026,46.58,47.13,45.19,45.39
20161027,45.36,45.72,44.43,44.90
20161028,44.86,45.47,44.50,44.99
20161031,45.03,45.41,44.84,45.17
20161101,45.17,45.62,44.51,44.72
20161102,44.52,44.76,43.90,44.02
20161103,44.10,44.18,43.66,43.81
20161104,43.83,45.54,43.67,44.86
20161107,45.60,45.87,45.29,45.57
20161108,45.39,46.10,45.36,45.99
20161109,45.39,47.88,45.35,47.58
20161110,47.96,48.64,47.89,48.31
20161111,48.14,48.62,47.59,48.06
20161114,48.40,48.84,47.11,47.56
20161115,47.60,48.06,47.38,47.53
20161116,47.23,47.59,46.75,46.95
20161117,46.98,47.40,46.79,47.10
20161118,47.08,47.50,46.95,47.07
20161121,47.39,47.69,46.93,47.64
20161122,47.82,48.25,47.57,48.23
20161123,48.09,48.64,47.90,48.57
20161125,48.56,49.25,48.46,49.20
20161128,48.94,49.00,48.38,48.71
20161129,48.72,49.19,48.63,48.92
20161130,49.05,49.26,48.48,48.63
20161201,48.75,49.05,48.49,48.99
20161202,48.93,49.36,48.71,49.23
20161205,49.54,49.94,49.54,49.90
20161206,50.00,50.29,49.50,50.08
20161207,50.07,51.12,49.77,50.75
20161208,50.74,50.88,50.42,50.72
20161209,50.67,51.05,50.56,50.87
20161212,50.70,51.03,50.23,50.41
20161213,50.50,50.82,49.69,49.91
20161214,49.86,50.62,49.37,49.46
20161215,49.40,49.63,48.55,48.61
20161216,48.78,49.08,48.46,48.51
20161219,48.40,49.07,48.25,48.65
20161220,48.53,48.81,48.49,48.68
20161221,48.76,48.80,48.44,48.61
20161222,48.66,48.76,47.70,47.89
20161223,47.93,48.12,47.75,47.84
20161227,48.08,48.38,47.81,48.24
20161228,48.43,48.43,47.44,47.59
20161229,47.69,47.97,47.30,47.66
20161230,47.92,47.92,47.14,47.35
20170103,47.70,48.11,47.19,47.50
20170104,47.70,48.52,47.68,47.92
20170105,47.81,48.23,47.50,47.70
20170106,47.70,48.15,47.49,47.72
20170109,47.50,47.66,46.90,47.40
20170110,47.44,48.12,47.35,47.76
20170111,47.86,48.34,47.69,48.31
20170112,48.27,48.27,47.27,47.83
20170113,47.85,48.88,47.85,48.46
20170117,48.27,48.27,47.69,47.87
20170118,47.91,48.17,47.69,47.90
20170119,47.83,48.25,47.33,47.45
20170120,47.44,47.89,47.27,47.89
20170123,47.76,48.31,47.54,47.97
20170124,48.07,49.20,48.07,48.98
20170125,49.32,49.85,49.31,49.41
20170126,49.44,49.65,48.48,48.81
20170127,48.70,48.75,48.25,48.58
20170130,48.21,48.46,47.39,48.45
20170131,48.10,48.97,47.61,48.75
20170201,48.67,49.22,48.05,48.45
20170202,46.94,48.26,46.44,47.19
20170203,47.57,49.82,47.57,49.36
20170206,49.31,49.76,49.14,49.57
20170207,49.54,49.64,49.06,49.36
20170208,49.36,49.50,49.08,49.36
20170209,49.36,49.99,49.00,49.89
