Date,Open,High,Low,Close
20151127,49.70,50.19,49.21,49.42
20151130,49.76,49.99,48.85,49.18
20151201,49.34,49.73,48.63,49.15
20151202,48.77,49.28,47.01,47.32
20151203,47.74,48.10,45.56,45.76
20151204,44.96,46.04,43.74,45.79
20151207,44.73,45.09,43.60,44.22
20151208,43.42,45.32,42.92,44.87
20151209,45.02,45.99,44.52,44.95
20151210,44.59,46.54,44.39,46.19
20151211,45.25,45.51,42.68,42.92
20151214,42.50,44.18,41.60,43.49
20151215,43.76,45.37,43.76,45.27
20151216,44.91,45.44,44.25,44.80
20151217,44.70,45.18,42.70,42.95
20151218,42.80,43.80,42.56,42.69
20151221,42.67,43.07,41.98,42.53
20151222,42.91,43.54,42.35,42.78
20151223,43.87,45.81,43.52,45.71
20151224,46.06,46.56,45.16,45.80
20151228,44.71,45.30,44.39,44.92
20151229,45.91,46.34,45.04,45.45
20151230,44.59,45.64,44.56,44.81
20151231,44.50,45.09,44.39,44.47
20160104,44.25,45.11,43.75,44.43
20160105,43.50,44.03,42.14,43.53
20160106,42.10,42.12,38.45,38.53
20160107,37.37,38.63,36.23,36.55
20160108,36.86,37.59,35.07,36.65
20160111,36.67,36.86,34.37,35.06
20160112,35.55,35.69,34.19,35.42
20160113,35.94,37.22,35.36,35.60
20160114,35.88,37.64,35.26,37.03
20160115,35.24,35.91,33.56,35.33
20160119,35.50,35.69,33.80,34.48
20160120,33.27,35.35,32.20,34.61
20160121,34.33,37.59,34.12,37.24
20160122,38.99,40.06,37.64,39.38
20160125,38.36,40.64,37.38,37.43
20160126,38.35,38.81,37.08,38.03
20160127,37.67,40.26,37.40,38.63
20160128,40.76,40.98,38.98,40.60
20160129,40.98,42.54,40.92,42.54
20160201,41.27,41.75,40.24,40.82
20160202,39.50,40.07,38.45,38.55
20160203,39.73,41.30,37.76,41.24
20160204,42.06,43.80,40.49,40.74
20160205,40.30,40.31,38.46,39.05
20160208,38.20,38.36,36.87,37.58
20160209,36.53,37.13,34.29,35.58
20160210,35.41,36.33,35.01,35.33
20160211,34.35,35.04,33.23,34.38
20160212,34.97,36.94,34.66,36.53
20160216,37.19,37.88,36.64,37.47
20160217,38.22,40.34,37.91,40.06
20160218,40.77,40.89,37.92,38.80
20160219,37.90,37.97,36.27,37.33
20160222,38.34,39.75,38.34,39.61
20160223,38.89,39.78,37.86,37.88
20160224,36.95,38.72,36.21,38.60
20160225,37.93,38.93,36.09,37.79
20160226,39.09,40.48,38.40,39.47
20160229,39.49,39.50,37.69,38.28
20160301,38.47,38.68,36.26,38.62
20160302,38.33,42.01,38.16,41.97
20160303,41.75,45.60,41.75,45.09
20160304,45.63,48.94,45.16,48.04
20160307,48.03,51.11,47.62,51.02
20160308,50.32,50.42,46.12,46.17
20160309,47.25,47.69,45.01,46.23
20160310,45.90,46.65,44.75,46.25
20160311,47.38,49.04,47.37,48.97
20160314,47.72,48.90,47.43,48.19
20160315,47.03,48.02,46.83,47.93
20160316,48.51,49.98,48.11,49.25
20160317,49.95,51.02,49.48,50.47
20160318,51.27,51.81,48.53,49.63
20160321,49.14,50.75,48.74,49.88
20160322,49.06,51.32,49.02,50.27
20160323,49.28,49.73,47.65,47.86
20160324,47.01,48.86,46.59,48.85
20160328,48.98,49.08,47.60,48.41
20160329,47.48,48.63,47.05,48.56
20160330,49.25,49.51,48.07,48.64
20160331,48.35,49.18,48.02,48.81
20160401,47.46,48.63,47.09,47.50
20160404,47.54,48.29,46.62,46.82
20160405,46.40,48.18,46.15,47.33
20160406,47.81,49.90,47.31,49.76
20160407,49.21,50.01,48.35,49.19
20160408,50.75,51.64,50.18,50.66
20160411,51.18,51.66,49.92,49.95
20160412,50.59,53.69,50.14,53.29
20160413,53.10,53.11,51.52,52.46
20160414,52.84,53.45,52.35,52.97
20160415,52.31,52.64,51.54,52.05
20160418,50.27,53.87,50.07,53.44
20160419,53.98,55.50,53.21,55.02
20160420,54.48,55.44,53.58,54.68
20160421,54.94,55.62,54.33,54.78
20160422,55.27,56.66,55.16,56.20
20160425,55.66,55.98,53.99,54.41
20160426,54.89,56.01,53.93,55.88
20160427,56.43,58.06,56.31,57.54
20160428,56.88,57.63,55.28,55.43
