Date,Open,High,Low,Close
20151127,127.79,128.59,127.00,127.57
20151130,127.52,128.11,126.60,126.63
20151201,126.49,127.97,125.20,127.66
20151202,127.21,128.62,126.40,128.12
20151203,128.55,129.02,125.18,125.60
20151204,126.13,128.24,125.91,128.07
20151207,127.33,127.43,125.92,126.56
20151208,125.31,126.45,122.75,123.01
20151209,123.46,125.25,122.46,123.82
20151210,123.50,123.98,122.14,122.58
20151211,120.59,121.20,119.44,120.70
20151214,120.54,120.93,118.41,119.30
20151215,120.32,122.02,120.18,121.65
20151216,122.77,122.84,119.81,122.30
20151217,122.60,122.93,120.00,120.59
20151218,119.80,120.28,118.22,118.27
20151221,119.63,120.38,118.58,120.21
20151222,120.79,122.16,120.40,121.69
20151223,122.69,123.37,122.13,123.20
20151224,122.95,123.84,122.76,123.21
20151228,122.59,123.01,122.14,122.66
20151229,123.68,124.63,122.49,123.22
20151230,122.19,123.15,122.00,122.35
20151231,121.60,122.23,120.23,120.36
20160104,118.60,119.59,117.55,119.51
20160105,118.84,119.58,116.48,117.37
20160106,115.50,115.71,113.64,114.51
20160107,112.18,113.53,110.25,110.68
20160108,111.29,111.83,109.93,110.10
20160111,112.05,112.16,109.75,110.54
20160112,111.65,112.18,110.51,112.13
20160113,112.79,113.18,109.52,109.67
20160114,110.31,110.63,106.98,109.51
20160115,106.99,109.29,106.25,108.99
20160119,109.89,111.14,108.54,110.63
20160120,108.79,109.72,106.05,108.75
20160121,109.32,110.01,107.66,108.39
20160122,110.18,111.65,109.09,110.06
20160125,110.00,110.27,107.45,107.59
20160126,108.50,110.62,107.72,109.54
20160127,109.27,111.46,108.71,109.22
20160128,109.83,111.42,109.22,110.09
20160129,113.13,117.28,112.22,117.22
20160201,116.04,121.81,115.65,121.42
20160202,121.24,122.42,119.37,121.01
20160203,122.84,123.86,121.03,123.39
20160204,123.30,126.73,123.00,125.96
20160205,125.96,126.65,124.85,125.44
20160208,123.97,124.12,119.14,120.95
20160209,119.59,123.46,119.17,122.53
20160210,122.90,124.42,120.37,120.68
20160211,118.93,120.26,116.66,117.68
20160212,119.16,121.15,117.73,120.58
20160216,122.05,122.10,119.97,121.51
20160217,122.75,123.18,121.43,122.58
20160218,122.47,123.00,120.80,121.34
20160219,120.91,122.02,119.22,121.67
20160222,122.91,123.88,122.37,122.96
20160223,122.16,122.67,120.79,121.38
20160224,119.14,121.86,116.91,121.69
20160225,122.20,123.03,120.68,123.02
20160226,123.64,124.39,123.04,123.63
20160229,123.43,124.66,122.49,122.54
20160301,123.76,125.10,122.03,124.32
20160302,123.41,124.87,122.71,124.16
20160303,124.43,125.76,123.97,124.77
20160304,125.50,126.03,123.57,124.69
20160307,124.60,125.81,123.76,124.88
20160308,123.89,124.97,122.05,124.16
20160309,124.99,125.35,123.67,124.59
20160310,125.32,125.89,123.05,124.51
20160311,125.79,127.46,124.88,126.24
20160314,125.79,126.43,125.12,126.04
20160315,124.95,125.33,123.62,124.01
20160316,123.30,126.23,123.18,125.86
20160317,126.83,130.80,125.99,130.40
20160318,130.53,132.04,129.80,130.98
20160321,130.68,131.23,129.26,130.15
20160322,129.51,133.11,129.27,132.35
20160323,131.79,133.15,130.93,133.15
20160324,133.25,133.54,130.73,131.14
20160328,131.69,132.88,131.32,132.41
20160329,131.59,135.03,130.93,134.16
20160330,134.14,136.13,133.55,134.37
20160331,134.26,134.76,132.58,133.26
20160401,132.75,134.63,131.27,134.42
20160404,132.96,133.28,131.36,132.01
20160405,131.36,132.65,130.92,132.01
20160406,131.71,132.95,131.04,132.92
20160407,132.38,132.47,130.95,131.22
20160408,132.65,133.15,131.43,131.84
20160411,132.72,133.54,132.41,132.62
20160412,133.01,133.99,132.14,133.42
20160413,134.11,134.33,132.89,133.58
20160414,134.07,134.30,133.39,134.21
20160415,134.26,134.33,133.44,134.16
20160418,133.82,135.54,133.33,135.49
20160419,136.39,138.02,135.65,138.02
20160420,138.14,138.14,137.10,137.68
20160421,137.62,138.23,136.84,137.21
20160422,137.88,138.30,136.50,137.02
20160425,136.26,136.94,135.68,136.87
20160426,137.10,137.59,135.98,136.44
20160427,136.53,137.64,135.08,137.20
20160428,136.73,140.76,135.86,137.41
20160429,136.53,137.51,134.54,134.96
20160502,133.97,136.06,133.97,134.94
20160503,133.40,134.14,131.35,132.41
20160504,131.71,132.51,131.39,132.15
20160505,132.78,133.56,132.03,132.52
20160506,132.90,134.73,132.28,133.74
20160509,133.27,134.13,131.65,131.92
20160510,132.43,133.56,131.67,133.51
20160511,133.46,133.87,131.67,131.75
20160512,133.40,133.63,131.96,132.60
20160513,132.28,132.89,130.63,131.20
20160516,131.35,133.15,131.25,132.79
20160517,132.75,133.47,131.56,132.17
20160518,131.36,132.83,130.55,131.08
20160519,131.12,131.94,129.96,131.08
20160520,131.86,132.16,130.52,130.84
20160523,131.12,131.77,130.95,131.05
20160524,131.29,132.82,130.96,132.56
20160525,133.06,133.93,132.74,132.91
20160526,133.21,133.43,132.29,132.35
20160527,132.39,132.78,132.15,132.34
20160531,132.91,132.91,131.61,131.95
20160601,131.51,133.36,130.67,133.21
20160602,132.69,132.75,131.62,132.75
20160603,132.65,132.75,131.61,132.52
20160606,133.09,134.95,133.09,134.65
20160607,134.51,135.00,134.15,134.37
20160608,134.83,136.17,134.14,135.88
20160609,134.94,135.85,134.23,135.62
20160610,134.88,135.61,134.19,135.42
20160613,135.00,135.39,133.12,133.24
20160614,133.17,133.60,132.15,133.12
20160615,133.91,134.84,132.78,132.89
20160616,132.42,133.69,130.78,133.54
20160617,133.69,133.69,132.01,132.57
20160620,133.95,135.12,133.09,133.25
20160621,133.45,133.64,131.86,132.42
20160622,132.85,133.01,132.15,132.75
20160623,134.21,135.26,134.14,135.08
20160624,130.45,132.04,128.83,129.62
20160627,128.54,128.71,124.10,124.72
20160628,125.89,126.55,124.27,126.48
20160629,126.54,129.13,125.98,128.83
20160630,129.12,131.44,128.43,131.40
20160701,131.00,132.00,130.04,130.38
20160705,129.53,130.10,127.55,128.11
20160706,128.01,129.04,127.02,128.92
20160707,129.38,129.92,128.55,129.20
20160708,130.41,133.88,129.88,133.53
20160711,134.57,134.65,132.76,134.01
20160712,134.63,136.80,134.44,136.63
20160713,136.87,136.91,135.73,136.84
20160714,137.31,138.44,136.95,137.74
20160715,138.21,138.47,137.32,138.16
20160718,138.17,138.46,137.51,138.01
20160719,137.47,138.22,137.15,138.19
20160720,138.05,138.76,137.84,138.16
20160721,138.30,138.30,136.74,137.19
20160722,137.36,137.72,136.73,137.49
20160725,137.32,137.65,136.71,137.39
20160726,137.84,139.27,137.10,138.62
20160727,138.71,138.83,137.50,137.84
20160728,140.14,141.25,137.35,137.83
20160729,137.66,139.45,137.16,138.22
20160801,136.68,138.17,136.10,137.97
20160802,137.85,137.97,136.48,137.12
20160803,137.60,137.60,136.72,137.10
20160804,137.07,138.33,136.51,137.84
20160805,138.29,138.76,137.58,138.03
20160808,138.48,138.48,137.23,137.61
20160809,137.69,138.09,137.36,137.93
20160810,138.07,138.07,137.42,137.86
20160811,138.38,138.64,137.51,137.88
20160812,138.76,140.68,138.21,138.61
20160815,138.92,140.36,138.77,140.17
20160816,141.22,143.30,141.08,141.32
20160817,141.40,142.51,140.25,142.20
20160818,142.18,143.39,141.90,143.36
20160819,142.60,144.26,142.17,144.01
20160822,143.52,144.23,143.11,143.83
20160823,144.31,145.10,143.74,143.78
20160824,143.56,144.12,143.14,143.58
20160825,143.47,144.46,143.47,144.06
20160826,144.14,144.31,142.06,142.69
20160829,142.99,145.71,142.99,144.21
20160830,144.07,145.46,143.67,144.91
20160831,144.38,145.00,143.70,143.96
20160901,144.43,144.82,143.89,144.59
20160902,145.24,145.57,144.62,145.32
20160906,145.57,146.01,144.65,145.61
20160907,144.98,145.81,144.63,145.61
20160908,145.64,145.87,144.14,144.21
20160909,143.45,143.45,140.16,140.18
20160912,139.61,141.24,138.07,139.30
20160913,138.60,139.31,135.32,136.64
20160914,136.65,137.47,134.61,135.82
20160915,135.57,136.05,135.09,135.60
20160916,134.82,135.58,134.02,134.88
20160919,135.68,136.73,135.52,135.80
20160920,136.71,137.19,135.98,136.05
20160921,136.41,137.78,136.22,137.59
20160922,138.88,139.28,136.73,137.05
20160923,136.34,137.01,136.11,136.41
20160926,136.36,137.72,135.99,137.23
20160927,137.28,138.25,136.97,137.69
20160928,138.14,138.97,137.64,138.56
20160929,138.55,140.24,138.48,139.23
20160930,140.02,140.49,138.66,139.07
20161003,139.84,141.02,138.85,140.57
20161004,140.68,141.07,136.99,137.32
20161005,137.32,138.14,136.54,136.98
20161006,135.99,137.15,135.90,137.03
20161007,137.23,137.23,133.74,135.08
20161010,135.94,135.94,135.07,135.40
20161011,135.01,135.03,131.73,132.65
20161012,132.27,133.15,131.99,132.81
20161013,131.34,132.56,129.90,132.26
20161014,133.27,133.27,132.00,132.65
20161017,132.65,133.23,132.18,132.28
20161018,133.91,134.52,133.46,133.82
20161019,134.23,134.38,133.22,133.91
20161020,133.68,134.77,133.21,134.39
20161021,133.35,134.64,132.77,134.44
20161024,135.08,136.07,134.45,134.81
20161025,135.39,135.39,133.48,133.51
20161026,132.78,133.05,131.75,132.98
20161027,133.50,135.05,129.00,133.40
20161028,133.40,135.14,132.67,133.81
20161031,134.26,134.49,133.38,133.42
20161101,133.74,134.51,131.12,132.26
20161102,132.33,133.87,131.80,133.55
20161103,134.00,134.72,133.05,133.09
20161104,132.99,134.06,132.07,133.37
20161107,135.35,137.26,134.84,137.08
20161108,136.88,137.88,136.38,136.93
20161109,134.98,137.92,134.18,137.22
20161110,138.11,141.00,137.89,139.98
20161111,140.08,141.14,138.16,138.54
20161114,138.55,139.19,137.88,137.98
