Date,Open,High,Low,Close
20151127,54.75,55.07,54.62,54.96
20151130,55.19,55.27,54.75,55.05
20151201,55.24,55.68,55.19,55.49
20151202,55.54,55.68,54.52,54.59
20151203,54.73,54.75,53.35,53.62
20151204,53.89,54.84,53.68,54.79
20151207,54.60,54.93,54.39,54.71
20151208,54.17,54.77,53.98,54.33
20151209,53.99,54.55,53.34,53.89
20151210,53.78,54.06,53.34,53.56
20151211,53.01,53.19,52.47,52.61
20151214,52.58,53.05,52.13,52.83
20151215,53.17,53.26,52.14,52.43
20151216,52.70,53.07,52.04,52.87
20151217,52.88,53.50,52.71,52.73
20151218,52.35,52.46,51.62,51.64
20151221,52.13,52.62,51.60,52.10
20151222,52.43,53.09,52.22,53.03
20151223,53.29,53.71,53.06,53.54
20151224,53.51,53.64,53.22,53.42
20151228,53.27,53.54,52.77,53.17
20151229,53.58,53.69,53.06,53.45
20151230,53.39,53.54,52.92,52.93
20151231,52.81,52.81,52.23,52.23
20160104,51.07,51.27,50.41,50.87
20160105,50.89,51.19,50.13,50.30
20160106,49.53,49.74,49.01,49.11
20160107,48.16,48.57,46.97,47.34
20160108,47.53,47.68,46.50,46.63
20160111,47.03,47.27,45.45,46.27
20160112,46.86,47.51,46.29,47.43
20160113,47.50,47.74,46.36,46.55
20160114,46.87,47.09,46.11,46.71
20160115,45.55,45.94,45.00,45.49
20160119,46.02,46.59,45.14,45.42
20160120,44.54,47.27,44.50,46.51
20160121,46.93,49.05,46.63,47.78
20160122,48.53,48.94,48.40,48.70
20160125,48.54,48.71,48.01,48.18
20160126,48.34,48.98,48.30,48.58
20160127,48.39,48.83,48.02,48.39
20160128,48.76,48.90,48.18,48.46
20160129,48.79,49.57,48.79,49.57
20160201,49.10,50.10,49.04,49.87
20160202,49.19,49.74,49.09,49.20
20160203,49.46,49.61,48.41,49.05
20160204,49.04,49.74,48.79,49.57
20160205,49.27,49.65,49.04,49.55
20160208,48.96,49.42,48.18,48.98
20160209,48.49,49.27,48.33,49.04
20160210,49.35,50.25,49.31,49.72
20160211,48.76,49.32,48.48,49.01
20160212,49.46,49.68,48.87,49.54
20160216,50.24,50.90,49.97,50.73
20160217,51.01,52.05,50.95,52.02
20160218,52.05,52.49,51.87,52.10
20160219,52.01,52.24,51.65,52.10
20160222,52.49,52.79,52.12,52.50
20160223,52.44,52.54,52.08,52.15
20160224,51.80,52.49,51.47,52.43
20160225,52.43,52.79,51.93,52.72
20160226,52.87,53.41,52.67,52.94
20160229,52.91,53.66,52.89,53.07
20160301,53.56,55.37,53.46,54.86
20160302,54.74,55.30,54.57,55.19
20160303,55.11,55.88,54.95,55.83
20160304,56.00,56.57,55.75,56.20
20160307,55.75,56.87,55.68,56.73
20160308,56.41,56.46,55.45,55.68
20160309,55.81,56.08,55.52,55.78
20160310,55.82,56.06,54.87,55.42
20160311,55.97,56.25,55.59,56.17
20160314,55.50,55.78,55.16,55.67
20160315,55.18,55.65,54.98,55.52
20160316,55.56,56.57,55.50,56.41
20160317,56.28,57.36,56.06,57.11
20160318,57.43,58.00,57.26,57.64
