Date,Open,High,Low,Close
20151127,73.46,74.10,73.27,73.42
20151130,73.77,74.28,73.19,73.66
20151201,74.00,74.51,73.60,74.29
20151202,74.05,74.05,72.56,72.62
20151203,72.91,73.17,71.44,71.98
20151204,72.05,73.78,71.89,73.64
20151207,73.58,73.99,72.19,72.53
20151208,71.89,72.05,70.56,71.67
20151209,71.17,73.01,70.13,70.75
20151210,70.71,71.61,70.60,70.76
20151211,69.35,70.00,68.51,68.73
20151214,68.87,69.00,67.99,68.86
20151215,69.43,70.91,69.40,70.13
20151216,70.55,72.05,70.49,71.89
20151217,71.68,71.92,69.95,69.96
20151218,69.85,70.58,69.28,70.00
20151221,70.93,71.47,69.66,70.45
20151222,70.91,71.68,70.34,71.01
20151223,72.15,73.62,72.15,73.03
20151224,73.04,73.31,72.51,72.79
20151228,72.46,73.09,72.11,73.08
20151229,73.55,73.81,73.37,73.45
20151230,73.29,73.41,72.35,72.54
20151231,72.07,72.67,71.70,71.86
20160104,70.79,71.08,69.49,70.40
20160105,70.80,70.99,68.06,68.45
20160106,67.23,67.37,66.10,66.63
20160107,64.97,65.50,62.64,62.90
20160108,63.46,64.12,61.58,61.68
20160111,61.89,63.81,61.65,63.57
20160112,64.72,64.92,60.84,62.82
20160113,63.24,63.33,58.70,58.80
20160114,58.86,59.17,55.26,58.19
20160115,56.24,57.37,55.12,56.55
20160119,57.27,57.79,55.76,56.45
20160120,55.47,56.03,53.20,55.09
20160121,55.41,56.20,54.43,54.57
20160122,55.76,56.67,54.17,54.52
20160125,54.34,54.64,53.50,53.88
20160126,54.79,55.75,54.48,55.63
20160127,55.37,56.11,54.89,55.52
20160128,56.25,56.98,53.74,53.76
20160129,53.81,54.55,53.23,54.43
20160201,54.23,55.87,54.12,55.66
20160202,55.10,55.31,53.29,53.62
20160203,54.36,54.40,51.64,52.43
20160204,51.14,52.42,47.78,52.16
20160205,51.74,52.88,49.26,49.82
20160208,49.02,49.64,47.06,47.79
20160209,46.96,48.88,46.60,48.32
20160210,48.77,49.77,48.71,49.42
20160211,48.27,50.64,48.11,49.15
20160212,50.08,51.50,49.41,51.33
20160216,52.28,53.25,51.79,52.91
20160217,53.26,55.48,53.14,55.33
20160218,55.47,56.29,54.48,54.79
20160219,54.54,54.80,53.55,54.62
20160222,55.41,56.59,55.07,55.41
20160223,54.99,55.27,53.81,53.99
20160224,53.21,53.66,52.07,53.39
20160225,53.49,55.93,53.29,55.89
20160226,56.64,57.02,55.70,55.93
20160229,55.92,56.71,55.65,55.89
20160301,56.81,57.91,56.24,57.73
20160302,57.65,58.19,57.34,57.79
20160303,57.96,59.47,57.71,59.34
