Date,Open,High,Low,Close
20151127,62.26,62.98,62.26,62.84
20151130,62.81,63.06,62.14,62.31
20151201,62.58,62.94,62.08,62.59
20151202,62.65,62.65,61.85,61.93
20151203,61.85,61.85,60.91,61.14
20151204,61.17,62.34,61.10,62.25
20151207,62.05,62.22,61.62,61.98
20151208,61.77,62.29,61.56,62.20
20151209,62.09,62.99,61.99,62.56
20151210,62.50,62.59,61.05,61.14
20151211,60.83,61.62,60.50,60.81
20151214,60.70,61.23,60.42,60.86
20151215,60.74,61.73,60.50,61.59
20151216,61.86,63.50,61.66,63.26
20151217,63.29,63.70,62.94,63.14
20151218,63.14,63.16,61.73,62.81
20151221,62.57,62.78,61.71,62.08
20151222,62.06,62.63,61.42,62.43
20151223,62.60,63.43,62.43,63.27
20151224,63.07,63.43,62.92,63.17
20151228,63.14,64.25,63.06,64.22
20151229,64.44,64.79,64.07,64.25
20151230,64.13,64.34,63.95,64.15
20151231,64.11,64.11,62.92,63.04
20160104,63.02,63.04,62.02,62.37
20160105,62.37,62.82,61.83,62.60
20160106,62.43,63.18,62.20,62.80
20160107,62.17,62.71,61.96,62.19
20160108,62.18,65.49,61.70,62.26
20160111,61.71,62.69,61.71,62.47
20160112,62.70,62.70,61.51,62.09
20160113,62.27,62.39,61.51,61.74
20160114,61.88,63.26,61.86,62.98
20160115,61.06,63.08,60.00,62.97
20160119,63.45,64.22,63.06,63.96
20160120,63.85,64.19,61.55,62.39
20160121,62.44,62.69,61.62,62.38
20160122,62.70,64.08,61.82,64.02
20160125,64.12,64.96,63.34,63.84
20160126,64.14,65.47,64.14,65.41
20160127,65.39,65.90,64.81,65.13
20160128,65.59,67.61,65.51,67.19
20160129,67.71,69.22,67.56,69.22
20160201,69.26,69.81,68.38,68.59
20160202,68.67,69.97,67.94,69.90
20160203,69.00,70.54,68.90,69.72
20160204,69.66,69.95,68.85,69.63
20160205,69.58,69.85,68.67,69.53
20160208,69.47,69.92,69.01,69.85
20160209,69.73,70.98,69.20,70.80
20160210,70.91,70.91,69.69,70.28
20160211,69.78,70.53,69.59,70.29
20160212,70.91,71.08,68.75,69.83
20160216,70.59,70.92,69.81,70.43
20160217,70.45,70.48,69.03,69.64
20160218,69.33,71.19,69.08,70.82
20160219,70.29,70.89,69.87,70.10
20160222,70.19,70.46,69.99,70.36
20160223,70.36,71.05,70.18,70.45
20160224,70.45,71.10,69.27,71.06
20160225,71.42,71.90,71.04,71.62
20160226,71.32,71.53,69.81,70.15
20160229,70.05,70.33,68.15,69.41
20160301,69.74,69.98,68.95,69.27
20160302,69.30,70.36,68.60,70.33
20160303,70.29,70.30,69.12,69.62
20160304,69.15,71.08,69.14,70.70
20160307,70.31,70.87,70.08,70.68
20160308,71.16,71.35,70.60,70.78
20160309,70.57,71.47,70.27,70.91
20160310,70.99,71.28,70.39,70.93
20160311,71.14,71.30,70.64,70.95
20160314,71.09,71.40,70.51,71.29
20160315,71.08,72.10,71.08,71.72
20160316,71.60,72.40,71.03,72.35
20160317,72.35,73.16,72.09,72.94
20160318,72.44,72.75,71.22,72.08
20160321,71.81,72.00,71.00,71.32
20160322,71.51,71.89,71.14,71.61
20160323,71.70,72.04,71.09,71.84
20160324,71.88,72.52,71.64,72.38
20160328,72.74,72.98,72.11,72.57
20160329,72.81,74.38,72.29,74.33
20160330,74.60,74.60,73.85,74.05
20160331,73.94,74.44,73.47,74.26
20160401,73.98,74.86,73.62,74.56
20160404,74.84,74.84,73.81,74.38
20160405,74.36,74.36,73.07,73.21
20160406,73.04,73.49,72.80,73.48
20160407,73.45,73.84,73.13,73.64
20160408,73.70,74.57,73.34,74.19
20160411,74.34,74.62,73.62,73.74
20160412,73.69,74.40,73.49,73.99
20160413,74.16,74.16,73.22,73.89
20160414,73.89,74.33,73.10,73.10
20160415,73.24,73.94,73.12,73.63
20160418,73.89,73.89,73.42,73.68
20160419,73.68,74.27,73.39,74.04
20160420,74.11,74.49,72.55,72.62
20160421,72.42,72.42,70.41,70.60
20160422,70.59,71.46,70.48,71.31
20160425,71.18,71.53,71.00,71.32
20160426,71.49,72.04,71.39,71.71
20160427,71.81,72.49,71.05,71.80
20160428,71.41,72.48,71.30,72.07
20160429,71.69,72.69,71.20,72.55
20160502,72.74,73.32,72.56,72.95
20160503,73.28,73.49,72.68,72.82
20160504,72.96,74.83,72.65,74.09
20160505,72.19,74.85,72.12,73.57
20160506,73.58,73.86,72.80,73.59
20160509,73.90,74.63,73.65,74.30
20160510,74.40,75.05,74.22,74.46
20160511,74.50,74.96,74.13,74.53
20160512,74.34,74.71,74.13,74.49
20160513,74.53,75.02,73.83,74.26
20160516,74.42,75.10,74.00,74.99
20160517,74.83,74.83,72.42,72.76
20160518,72.30,73.33,71.56,71.77
20160519,71.08,71.96,70.84,71.89
20160520,72.00,72.21,71.48,72.10
20160523,72.16,72.30,71.43,71.46
20160524,71.48,72.48,70.92,72.42
20160525,72.26,72.53,71.78,71.86
20160526,71.96,72.45,71.87,72.37
20160527,72.52,72.70,71.89,72.69
20160531,72.73,73.14,72.36,72.90
20160601,72.90,73.50,72.62,72.91
20160602,73.02,73.02,72.42,72.70
20160603,73.49,74.95,73.23,74.73
20160606,74.99,75.06,74.13,74.36
20160607,74.33,74.81,73.08,74.46
20160608,74.60,75.06,74.35,74.90
20160609,75.00,76.49,74.90,76.39
20160610,76.40,76.62,75.86,75.95
20160613,76.02,76.33,75.58,75.74
20160614,75.80,76.30,75.45,76.27
20160615,76.37,76.38,75.30,76.00
20160616,75.90,76.58,75.77,76.33
20160617,75.94,76.21,75.28,75.98
20160620,75.98,76.35,75.52,76.18
20160621,76.18,76.92,75.80,76.63
20160622,76.85,76.90,76.36,76.54
20160623,76.69,76.93,76.27,76.93
20160624,76.28,77.95,75.85,77.05
20160627,76.83,78.13,76.80,77.87
20160628,78.03,78.25,77.12,78.23
20160629,78.59,79.26,78.35,78.47
20160630,78.85,81.35,78.69,81.32
20160701,81.97,81.97,79.72,80.47
20160705,80.69,81.25,80.07,81.13
20160706,81.10,81.56,80.47,81.16
20160707,80.70,80.70,79.48,79.60
20160708,79.52,80.03,78.69,80.00
20160711,79.71,80.12,79.10,80.09
20160712,79.53,80.41,79.17,79.91
20160713,80.49,81.00,80.13,80.74
20160714,80.08,80.58,79.83,80.09
20160715,80.16,80.60,79.78,80.06
20160718,80.14,80.38,79.72,79.90
20160719,80.04,80.04,79.70,79.93
20160720,79.94,80.04,79.61,79.66
20160721,79.45,79.93,78.94,79.74
20160722,79.62,80.61,79.53,80.51
20160725,80.13,80.15,79.63,79.95
20160726,80.05,80.25,79.39,79.59
20160727,79.59,79.69,78.39,78.84
20160728,78.80,79.53,78.51,79.30
20160729,79.38,80.08,79.33,79.79
20160801,79.66,79.75,79.08,79.42
20160802,79.15,79.40,78.65,79.22
20160803,79.34,79.46,78.23,78.91
20160804,77.94,80.18,77.90,79.01
20160805,78.97,78.97,77.71,78.12
20160808,77.97,78.47,77.33,77.62
20160809,77.56,77.93,77.29,77.41
20160810,77.56,77.79,77.21,77.39
20160811,77.35,77.77,77.19,77.35
20160812,77.69,78.00,77.15,77.26
20160815,77.27,77.37,75.67,75.77
20160816,75.50,75.60,74.26,74.28
20160817,74.23,75.33,73.87,75.25
20160818,75.01,76.01,74.83,76.01
20160819,75.14,75.65,74.50,75.09
20160822,75.22,75.49,74.98,75.23
20160823,75.31,75.80,74.85,74.90
20160824,74.84,74.97,74.11,74.72
20160825,74.67,75.21,74.02,74.92
20160826,75.03,75.53,73.61,73.79
20160829,73.99,74.93,73.99,74.49
20160830,74.66,75.27,73.71,73.89
20160831,73.80,74.23,73.25,73.70
20160901,73.68,73.85,73.05,73.25
20160902,73.35,74.41,73.13,73.97
20160906,74.28,74.94,74.08,74.69
20160907,74.73,76.14,74.32,75.51
20160908,75.33,75.77,74.99,75.39
20160909,74.59,75.05,71.86,71.88
20160912,71.77,73.33,71.61,73.23
20160913,72.97,73.05,72.18,72.59
20160914,72.72,73.31,72.28,72.64
20160915,72.69,73.59,72.60,73.51
20160916,73.24,74.22,72.90,74.09
20160919,74.09,75.49,74.09,75.45
20160920,75.92,76.00,75.15,75.20
20160921,75.42,76.94,75.29,76.86
20160922,77.42,77.72,76.65,77.65
20160923,77.24,77.52,76.64,76.64
20160926,76.59,77.06,76.41,76.67
20160927,76.75,77.13,75.78,75.91
20160928,75.99,76.17,75.18,75.84
20160929,75.87,75.87,74.45,74.88
20160930,75.30,75.33,73.96,74.47
20161003,74.34,74.39,73.25,73.73
20161004,73.64,73.79,70.75,71.27
20161005,71.43,71.74,70.46,70.61
20161006,70.54,71.07,70.03,70.74
20161007,71.16,71.56,69.90,70.07
20161010,69.92,70.96,69.68,70.70
20161011,70.45,70.52,68.93,68.96
20161012,69.06,70.18,69.06,70.03
