Date,Open,High,Low,Close
20151127,180.80,183.40,179.86,182.35
20151130,182.79,185.01,181.15,181.79
20151201,182.65,184.89,182.10,184.89
20151202,184.47,185.32,180.61,180.86
20151203,180.00,182.65,175.36,176.21
20151204,177.40,182.23,176.75,182.11
20151207,180.29,182.88,178.18,179.03
20151208,178.82,179.94,178.14,179.36
20151209,178.12,179.81,176.19,177.12
20151210,177.67,177.81,173.78,173.78
20151211,173.61,175.57,172.44,174.92
20151214,174.67,176.08,171.70,174.32
20151215,175.90,178.52,175.27,176.87
20151216,177.67,181.43,176.97,180.92
20151217,181.02,181.73,177.81,178.98
20151218,178.15,179.90,177.22,178.21
20151221,179.42,181.05,178.83,179.95
20151222,180.71,182.99,180.66,180.82
20151223,181.13,183.16,180.92,183.07
20151224,182.76,183.62,181.39,182.73
20151228,182.10,184.08,181.76,183.90
20151229,183.94,185.57,182.85,185.54
20151230,185.24,186.38,184.99,185.32
20151231,185.37,186.31,183.89,184.13
20160104,182.35,182.70,179.25,180.72
20160105,181.43,185.12,180.77,184.88
20160106,183.23,184.22,182.40,183.50
20160107,181.45,184.46,180.87,182.66
20160108,183.13,184.40,179.34,179.42
20160111,179.66,181.77,179.18,180.54
20160112,181.10,181.10,178.61,179.51
20160113,179.58,182.07,176.95,177.00
20160114,177.71,179.29,175.80,176.18
20160115,174.44,179.00,171.48,175.70
20160119,177.03,179.13,175.49,178.35
20160120,178.00,178.25,169.29,171.52
20160121,172.66,173.67,170.34,171.30
20160122,173.16,174.85,172.16,174.33
20160125,174.88,177.48,173.31,174.27
20160126,174.73,178.50,174.73,178.00
20160127,177.56,178.03,174.51,175.59
20160128,175.15,176.06,170.02,170.74
20160129,172.46,173.59,166.20,171.49
20160201,170.87,173.82,170.02,171.97
20160202,172.43,173.47,168.22,168.42
20160203,169.76,170.48,166.16,169.09
20160204,169.79,173.08,167.18,171.12
20160205,169.98,171.46,165.92,166.27
20160208,166.13,167.29,161.36,163.55
20160209,162.17,164.28,160.66,161.11
20160210,162.20,166.02,161.51,164.53
20160211,161.77,163.15,160.81,161.56
20160212,163.29,164.82,162.00,164.42
20160216,165.85,165.87,162.79,165.37
20160217,166.06,168.93,164.90,167.76
20160218,167.35,169.82,167.10,168.36
20160219,167.86,171.47,166.19,170.11
20160222,170.93,172.54,170.55,171.07
20160223,170.57,173.04,168.12,170.47
20160224,169.87,172.36,168.16,169.73
20160225,171.00,172.98,169.94,172.71
20160226,172.67,172.89,170.85,171.42
20160229,171.42,174.02,171.05,171.64
20160301,172.73,177.63,171.84,177.63
20160302,177.25,179.40,174.60,178.53
20160303,178.52,179.85,176.74,179.79
20160304,179.57,180.30,178.11,180.02
20160307,178.40,180.48,177.54,180.21
20160308,180.18,181.21,179.03,179.35
20160309,179.00,181.94,178.45,180.45
20160310,181.50,181.97,177.67,179.44
20160311,181.34,183.21,179.80,183.21
20160314,183.38,183.74,181.63,183.30
20160315,182.55,184.37,181.95,184.03
20160316,183.43,185.47,182.42,185.18
20160317,185.60,189.28,184.79,188.95
20160318,189.07,190.42,187.04,187.04
20160321,187.04,187.66,184.27,185.03
20160322,185.10,186.80,184.88,185.85
20160323,186.04,186.59,184.96,185.51
20160324,185.10,185.58,183.84,185.09
20160328,186.05,187.45,185.20,186.93
20160329,185.70,189.65,185.60,189.61
20160330,190.35,190.49,188.72,188.83
20160331,189.21,190.20,188.22,190.20
20160401,189.87,190.50,188.72,189.87
20160404,190.10,190.83,188.18,189.70
20160405,188.82,190.06,188.57,189.68
20160406,189.35,189.89,188.17,189.45
20160407,188.56,189.48,186.65,187.94
20160408,189.09,190.42,188.37,189.20
20160411,187.83,188.14,185.27,185.54
20160412,186.11,186.20,183.81,185.61
20160413,186.12,186.50,182.09,183.09
20160414,182.62,182.72,178.00,178.28
20160415,177.93,182.23,177.20,181.42
20160418,181.78,183.11,180.30,183.11
20160419,182.98,183.64,182.31,183.62
20160420,183.92,184.39,179.35,179.41
20160421,179.00,181.12,176.76,177.62
20160422,178.77,180.73,177.98,180.17
20160425,179.68,181.67,179.68,181.65
20160426,182.01,184.23,180.90,181.75
20160427,180.46,180.47,175.68,179.52
20160428,178.19,183.56,177.46,179.56
20160429,178.57,179.09,174.68,176.79
20160502,177.63,181.25,177.63,180.83
20160503,180.23,181.52,179.57,181.38
20160504,179.52,185.23,178.98,185.15
20160505,184.81,187.22,184.56,186.53
20160506,186.33,188.05,184.25,187.71
20160509,188.00,189.02,187.11,188.98
20160510,189.35,192.29,188.10,191.00
20160511,190.83,191.10,185.90,187.08
20160512,187.03,187.95,184.96,187.65
20160513,187.52,187.52,185.55,186.09
20160516,186.00,188.33,185.59,187.66
20160517,186.98,187.04,183.40,184.35
20160518,184.34,184.34,179.81,181.86
20160519,179.64,180.54,178.24,179.31
20160520,179.91,180.89,179.00,180.44
20160523,181.05,181.06,179.57,180.21
20160524,181.76,183.02,179.28,180.09
20160525,180.73,181.31,178.75,180.81
20160526,180.86,180.91,179.24,179.94
20160527,180.38,182.20,178.90,180.15
20160531,180.68,180.68,178.00,179.88
20160601,178.10,178.81,174.66,176.42
20160602,175.99,176.73,173.95,176.55
20160603,177.70,177.94,173.33,173.41
20160606,173.36,174.37,168.16,170.23
20160607,170.49,172.11,169.47,169.79
20160608,168.30,169.77,166.59,169.61
20160609,169.13,171.45,168.22,170.25
20160610,169.44,170.38,168.91,170.06
20160613,170.92,172.85,170.33,170.63
20160614,170.31,170.52,169.19,170.00
20160615,170.39,173.31,169.61,172.61
20160616,172.29,174.28,171.54,174.20
20160617,173.99,173.99,172.38,173.50
20160620,174.62,176.73,173.71,174.00
20160621,174.11,175.48,174.11,175.07
20160622,175.54,176.50,174.17,174.95
20160623,176.59,176.96,174.11,174.73
20160624,170.32,175.24,169.80,172.57
20160627,171.79,175.50,171.49,174.98
20160628,174.11,177.93,172.79,177.91
20160629,178.67,180.32,177.22,178.15
20160630,178.37,180.42,176.80,180.39
20160701,180.86,181.87,180.05,180.72
20160705,180.51,183.23,180.51,182.91
20160706,182.47,183.26,180.90,181.88
20160707,181.68,181.93,179.45,180.85
20160708,182.64,185.17,181.52,184.94
20160711,185.00,185.00,183.12,184.55
20160712,184.53,185.71,183.01,185.67
20160713,186.28,187.74,185.31,187.43
20160714,187.37,188.00,184.56,185.45
20160715,184.90,184.90,182.07,183.26
20160718,183.11,183.56,182.54,183.16
20160719,182.73,184.46,182.33,184.24
20160720,184.30,184.60,182.67,183.77
20160721,183.49,184.84,182.51,184.00
20160722,184.17,185.89,183.96,185.32
20160725,185.58,186.45,184.07,185.17
20160726,183.87,183.87,181.08,182.42
20160727,181.67,182.19,176.62,179.76
20160728,179.50,183.50,179.07,182.28
20160729,182.28,187.43,182.28,185.65
20160801,185.41,187.48,183.61,186.73
20160802,186.30,186.78,184.23,184.79
20160803,184.43,184.67,181.94,182.83
20160804,183.13,183.13,181.08,181.48
20160805,181.60,182.66,180.82,182.62
20160808,183.00,185.89,182.21,185.83
20160809,185.54,186.24,183.62,185.98
20160810,186.35,186.60,182.96,183.74
20160811,183.90,183.90,180.21,181.31
20160812,181.46,183.63,180.33,180.79
20160815,181.34,182.10,181.09,181.77
20160816,181.12,181.82,178.54,178.84
20160817,179.23,179.30,176.04,178.30
20160818,178.29,178.87,176.62,177.23
20160819,176.62,177.42,174.90,176.16
20160822,176.49,177.20,174.54,175.95
20160823,176.43,176.59,174.93,174.97
20160824,175.14,175.75,173.00,174.48
20160825,174.61,177.20,173.58,175.18
20160826,175.67,176.83,172.60,173.55
20160829,174.24,176.32,174.21,175.55
20160830,175.84,175.84,173.28,174.42
20160831,174.60,175.76,173.49,175.01
20160901,175.20,176.26,174.22,175.81
20160902,176.31,178.92,175.20,175.46
20160906,177.08,178.83,175.45,178.83
20160907,178.34,179.88,176.51,179.82
20160908,178.82,178.82,175.90,175.94
20160909,173.05,174.02,169.69,169.69
20160912,169.55,173.20,169.03,172.55
20160913,170.86,171.61,168.57,168.91
20160914,169.32,171.90,169.14,171.26
20160915,171.06,173.34,170.33,173.28
20160916,172.77,173.42,171.60,173.33
20160919,173.81,175.58,173.25,175.41
20160920,176.36,176.55,175.74,176.15
20160921,175.99,179.08,174.04,178.81
20160922,180.00,182.41,180.00,182.11
20160923,181.21,183.95,180.20,182.77
20160926,182.54,183.78,181.41,183.48
20160927,184.00,184.00,181.22,181.76
20160928,181.13,182.20,179.42,181.59
20160929,180.85,181.85,178.94,179.40
20160930,180.93,181.52,177.78,177.84
20161003,177.19,177.58,173.54,173.73
20161004,174.27,174.33,170.95,172.63
20161005,172.99,173.51,166.84,167.09
20161006,166.75,168.56,164.62,166.95
20161007,167.52,170.01,165.00,165.63
20161010,165.68,167.42,165.34,167.12
20161011,167.07,167.56,165.58,166.88
20161012,167.34,168.12,166.20,167.66
20161013,166.71,168.25,166.53,168.11
20161014,168.31,169.46,166.92,168.93
20161017,168.86,169.66,168.14,169.09
20161018,170.25,170.72,168.72,168.77
20161019,168.48,169.23,167.64,169.14
20161020,169.74,171.27,167.50,168.12
20161021,166.75,168.74,166.64,167.94
20161024,168.88,170.04,167.48,168.22
20161025,164.93,167.62,159.18,166.87
20161026,166.91,169.32,165.08,169.13
20161027,169.11,169.11,164.28,165.70
20161028,166.53,169.62,165.70,167.46
20161031,168.33,171.26,167.69,171.18
20161101,171.39,171.39,167.38,169.26
20161102,169.77,171.12,169.07,169.57
20161103,169.60,172.03,168.92,170.61
20161104,170.91,172.58,169.57,171.61
20161107,173.38,174.17,170.01,170.72
20161108,171.14,173.57,170.57,172.92
20161109,169.88,172.02,166.37,169.30
20161110,168.39,169.23,163.18,166.53
20161111,166.60,170.24,166.53,167.66
20161114,167.00,173.18,164.20,171.20
20161115,171.53,171.72,164.71,165.13
20161116,165.37,168.08,164.57,166.69
20161117,166.68,168.56,163.34,164.09
20161118,163.92,164.88,161.29,162.32
20161121,162.55,164.08,159.68,159.75
20161122,160.58,163.75,159.28,162.40
20161123,160.76,160.87,158.32,160.44
20161125,159.96,161.50,159.96,160.90
20161128,161.65,164.72,161.61,163.42
20161129,163.98,165.81,163.65,164.76
20161130,163.38,165.83,162.49,164.49
20161201,163.44,164.90,161.59,163.50
20161202,164.40,167.48,163.46,164.63
20161205,164.61,165.57,163.27,164.62
20161206,164.73,166.37,163.58,164.20
20161207,164.39,168.18,164.12,168.10
20161208,167.45,169.39,165.41,168.77
20161209,168.70,170.88,168.29,169.05
20161212,169.12,170.98,168.30,170.40
20161213,171.27,171.47,168.85,170.63
20161214,170.63,172.92,168.78,170.03
20161215,169.99,172.32,168.47,169.60
20161216,171.08,174.53,170.77,172.93
20161219,174.16,175.08,172.67,174.79
20161220,173.94,175.73,173.58,175.23
20161221,175.00,176.57,172.93,172.93
20161222,172.36,174.07,171.30,173.72
20161223,174.37,175.30,173.43,174.49
20161227,174.27,176.90,173.81,175.82
20161228,174.81,175.34,172.22,173.94
20161229,173.90,176.17,173.33,175.60
20161230,175.26,177.77,174.89,177.15
20170103,178.30,178.30,175.26,176.62
20170104,177.08,178.39,175.58,177.35
20170105,175.89,178.63,174.84,178.43
20170106,178.10,180.69,178.10,180.00
20170109,179.83,180.03,176.87,177.22
20170110,176.59,177.70,175.64,176.82
20170111,176.59,177.89,174.26,175.17
20170112,174.90,177.02,173.64,176.59
