Date,Open,High,Low,Close
20151127,71.80,72.00,71.43,71.85
20151130,71.85,72.07,71.42,71.64
20151201,72.00,72.44,71.57,72.20
20151202,72.14,72.44,71.06,71.20
20151203,71.41,71.70,70.12,70.42
20151204,70.50,71.31,70.36,71.10
20151207,70.82,71.09,70.17,70.61
20151208,70.04,70.15,69.31,69.91
20151209,69.44,70.80,69.35,69.86
20151210,69.74,70.65,69.61,70.11
20151211,69.04,69.83,68.48,68.86
20151214,68.99,69.42,67.80,68.83
20151215,69.75,70.64,69.59,70.15
20151216,70.71,70.96,69.80,70.71
20151217,70.79,70.96,69.41,69.57
20151218,69.13,69.13,67.57,67.87
20151221,68.15,68.77,67.99,68.40
20151222,68.74,69.13,68.21,68.85
20151223,69.05,69.99,68.94,69.97
20151224,69.74,70.51,69.74,70.16
20151228,70.00,70.10,69.36,69.76
20151229,70.28,70.61,70.12,70.55
20151230,70.51,70.75,70.08,70.16
20151231,70.01,70.32,69.53,69.55
20160104,68.09,68.18,66.77,67.59
20160105,67.37,67.71,65.67,66.55
20160106,65.24,65.55,64.24,64.42
20160107,63.31,64.25,63.08,63.84
20160108,64.18,64.41,63.57,63.63
20160111,63.74,64.21,63.10,64.05
20160112,64.80,64.90,63.60,64.40
20160113,63.65,64.37,62.23,62.85
20160114,62.85,63.75,62.37,63.29
20160115,62.03,63.05,61.50,62.91
20160119,63.41,63.79,62.24,62.64
20160120,61.54,63.54,61.29,63.03
20160121,63.00,64.32,62.51,62.64
20160122,58.39,58.89,54.14,55.06
20160125,54.46,55.77,54.14,55.02
20160126,55.20,55.74,54.96,55.09
20160127,55.37,55.82,54.42,54.52
20160128,54.68,54.76,52.15,52.88
20160129,53.18,53.71,53.05,53.50
20160201,53.41,54.99,53.00,54.70
20160202,54.33,54.39,53.49,53.66
20160203,54.00,54.29,52.83,54.11
20160204,54.08,54.46,53.81,54.38
20160205,54.72,54.85,53.81,53.98
20160208,53.24,53.45,52.23,52.40
20160209,52.26,53.02,51.91,52.63
20160210,53.00,53.43,52.28,52.29
20160211,51.22,51.59,50.27,51.11
20160212,51.88,52.73,51.64,52.66
20160216,53.01,53.48,52.73,53.18
20160217,53.50,54.00,53.30,53.61
20160218,53.50,54.35,53.45,54.15
20160219,54.25,55.03,54.03,54.71
20160222,54.71,55.63,54.71,55.63
20160223,55.52,55.60,54.96,55.11
20160224,54.45,54.87,53.56,54.64
20160225,54.78,55.39,54.30,55.39
20160226,55.71,55.90,55.15,55.38
20160229,55.30,56.15,54.81,55.58
20160301,56.03,56.84,55.62,56.80
20160302,56.88,57.23,56.57,57.12
20160303,57.16,58.18,57.16,58.09
20160304,58.44,58.65,57.81,58.29
20160307,58.00,59.48,57.63,59.00
20160308,58.84,60.00,58.71,59.43
20160309,59.73,59.79,58.52,59.05
