Date,Open,High,Low,Close
20151127,784.98,789.50,781.75,785.96
20151130,786.39,793.82,778.87,783.77
20151201,786.04,792.42,773.78,779.24
20151202,780.06,786.29,767.00,769.13
20151203,770.37,770.90,753.08,757.37
20151204,759.59,761.65,754.24,760.99
20151207,760.00,763.31,748.56,752.17
20151208,768.37,798.60,754.87,796.09
20151209,794.00,800.87,775.50,783.81
20151210,786.09,786.31,775.64,777.69
20151211,765.00,790.74,749.02,755.88
20151214,755.88,761.61,748.04,760.50
20151215,764.04,764.61,756.03,761.30
20151216,765.97,766.41,751.84,764.69
20151217,762.73,763.50,753.30,755.31
20151218,759.91,759.91,741.57,741.88
20151221,749.30,752.00,735.52,742.95
20151222,747.00,748.59,739.05,744.82
20151223,747.76,749.02,741.79,744.35
20151224,743.85,744.30,734.55,740.56
20151228,739.88,742.19,734.96,741.87
20151229,743.29,753.01,742.87,749.18
20151230,745.38,755.08,745.38,750.17
20151231,747.98,751.50,741.84,741.91
20160104,733.00,742.23,728.52,735.48
20160105,735.48,742.56,731.09,738.86
20160106,733.32,738.35,727.11,729.20
20160107,720.29,740.48,711.07,735.96
20160108,735.96,738.87,708.90,712.06
20160111,712.56,726.10,709.97,718.69
20160112,722.51,730.49,712.84,728.99
20160113,732.83,732.83,702.57,704.20
20160114,702.82,718.20,699.37,712.61
20160115,696.32,710.31,693.01,704.74
20160119,712.97,718.13,704.01,715.71
20160120,708.00,718.61,698.90,713.66
20160121,713.10,724.82,710.10,717.73
20160122,722.71,733.30,721.44,728.32
20160125,728.81,738.95,727.73,728.52
20160126,731.11,745.57,731.11,743.59
20160127,740.30,754.99,736.51,744.29
20160128,751.74,753.80,741.16,747.55
20160129,745.48,771.59,743.00,767.39
20160201,765.00,774.80,762.01,768.55
20160202,768.18,769.04,756.08,763.60
20160203,768.59,768.59,745.30,751.90
20160204,748.04,750.32,734.30,747.87
20160205,748.61,749.61,722.58,727.35
20160208,716.55,722.90,681.01,695.46
20160209,692.00,704.06,686.22,697.58
20160210,702.57,709.89,695.06,697.17
20160211,698.99,720.84,692.76,712.75
20160212,717.14,732.37,714.02,729.62
20160216,745.00,767.20,741.01,757.69
20160217,762.00,772.45,745.70,754.18
20160218,750.00,756.08,746.54,748.51
20160219,746.91,760.10,745.36,759.91
20160222,767.25,771.95,763.01,764.90
20160223,766.55,771.18,755.69,764.28
20160224,760.63,778.36,758.06,777.83
20160225,780.00,785.71,772.26,785.15
20160226,785.72,787.48,776.87,781.64
20160229,784.50,787.00,774.57,774.57
20160301,782.21,794.50,778.06,790.56
20160302,788.00,792.44,774.45,780.89
20160303,776.13,785.16,772.82,782.49
20160304,784.71,784.71,773.87,777.62
20160307,771.10,781.43,767.43,770.95
20160308,766.02,773.17,765.00,765.05
20160309,770.01,778.57,765.99,776.29
20160310,779.32,790.69,770.83,788.36
20160311,791.03,798.99,786.65,797.02
20160314,794.98,801.00,793.90,796.61
20160315,791.61,803.83,789.94,793.87
20160316,793.87,795.64,783.23,792.52
20160317,792.31,792.31,775.19,784.71
20160318,788.63,788.63,777.25,780.21
20160321,779.08,787.32,779.08,786.58
20160322,784.38,794.31,784.14,785.99
20160323,787.53,807.49,786.18,805.29
20160324,803.48,810.00,798.50,803.06
20160328,803.78,804.68,795.87,799.79
20160329,802.67,805.00,796.48,798.04
20160330,803.00,803.55,792.45,802.52
20160331,804.53,804.53,793.65,796.69
20160401,793.97,809.37,791.92,805.40
20160404,803.12,803.80,787.03,792.95
20160405,789.62,792.99,786.49,787.60
20160406,786.29,790.36,782.82,788.74
20160407,787.19,790.00,781.00,785.13
20160408,786.24,786.24,776.85,783.93
20160411,782.73,786.41,772.22,773.88
20160412,774.12,778.27,769.79,777.04
20160413,782.02,782.42,772.20,777.45
20160414,776.33,785.11,775.66,778.14
20160415,778.53,783.96,776.40,779.78
20160418,778.24,787.37,778.24,783.22
20160419,781.66,787.11,776.07,777.43
20160420,777.45,781.84,773.05,777.05
20160421,777.05,778.65,765.69,766.55
20160422,767.07,773.36,762.77,771.07
20160425,768.00,778.02,766.26,774.65
20160426,775.76,781.27,774.47,778.79
20160427,775.04,784.65,772.63,780.27
20160428,775.00,775.00,765.85,767.47
20160429,767.23,769.00,753.44,765.23
20160502,770.00,776.84,768.31,774.98
20160503,770.66,787.96,770.66,784.58
20160504,780.00,786.87,776.77,785.42
20160505,782.60,783.60,772.49,774.04
20160506,770.64,777.78,764.13,776.21
20160509,774.94,785.64,769.58,783.72
20160510,784.72,790.42,781.24,788.80
20160511,783.90,784.37,768.71,769.29
20160512,775.01,783.33,771.95,780.81
20160513,781.88,783.50,768.52,769.44
20160516,768.87,781.99,767.53,779.13
20160517,778.22,781.77,758.80,761.38
20160518,759.50,765.43,754.36,760.86
20160519,745.00,758.97,742.63,756.52
20160520,759.24,769.16,755.87,761.56
20160523,760.24,761.50,740.51,742.08
20160524,733.35,766.64,732.22,760.42
20160525,760.75,771.85,757.45,767.63
20160526,766.45,776.33,764.74,767.38
20160527,768.00,773.28,763.63,765.75
20160531,767.49,767.52,759.23,762.20
