Date,Open,High,Low,Close
20151127,147.50,147.97,146.68,146.95
20151130,146.97,147.26,145.36,145.45
20151201,146.54,149.40,146.47,147.74
20151202,147.55,148.03,146.38,146.96
20151203,147.05,147.63,144.28,145.56
20151204,146.35,148.78,146.09,148.50
20151207,148.30,149.50,147.32,148.45
20151208,146.82,147.23,144.65,144.99
20151209,144.60,145.69,142.27,144.24
20151210,144.62,147.46,144.16,146.41
20151211,145.00,145.70,143.72,144.62
20151214,144.50,144.50,141.46,143.00
20151215,145.66,147.10,144.12,146.53
20151216,147.98,148.61,146.23,148.11
20151217,148.85,149.80,145.50,145.56
20151218,144.41,144.41,138.89,139.58
20151221,140.21,141.94,139.70,140.90
20151222,141.72,142.79,140.50,142.38
20151223,143.08,144.07,142.81,144.06
20151224,143.60,143.93,143.36,143.53
20151228,143.26,144.67,142.85,144.54
20151229,145.06,147.56,145.00,147.35
20151230,147.22,148.00,146.01,146.41
20151231,145.96,145.96,144.50,144.59
20160104,141.38,141.70,139.43,140.50
20160105,140.99,141.70,139.77,141.07
20160106,138.83,139.35,137.26,138.83
20160107,136.38,136.67,132.51,133.01
20160108,133.70,135.10,129.80,129.99
20160111,130.85,131.00,128.92,130.21
20160112,131.58,132.17,129.64,131.92
20160113,132.70,132.88,127.75,128.12
20160114,129.59,130.07,125.81,129.20
20160115,125.80,127.14,124.51,125.63
20160119,127.06,127.22,125.11,126.06
20160120,124.00,124.94,119.82,122.14
20160121,122.77,125.98,121.54,123.40
20160122,124.42,125.68,123.32,124.61
20160125,124.60,125.24,123.40,124.01
20160126,124.98,128.15,124.50,128.01
20160127,119.90,120.11,115.02,116.58
20160128,117.10,118.03,115.06,118.01
20160129,118.14,120.18,118.02,120.13
20160201,119.64,122.29,118.65,121.56
20160202,119.69,120.28,117.37,117.52
20160203,118.80,122.13,117.15,121.87
20160204,121.12,124.91,121.12,123.61
20160205,123.63,124.17,121.03,122.56
20160208,120.67,121.33,117.25,119.47
20160209,117.98,119.98,117.43,118.88
20160210,118.16,119.46,116.27,116.36
20160211,113.18,113.40,102.10,108.44
20160212,105.12,109.84,105.00,108.63
20160216,109.73,112.76,109.00,112.60
20160217,114.03,116.83,113.99,116.34
20160218,116.91,118.23,116.68,117.57
20160219,117.31,117.33,114.42,115.16
20160222,115.16,118.97,115.16,117.39
20160223,116.97,118.50,115.93,116.90
20160224,115.37,115.96,112.51,115.59
20160225,116.35,117.60,115.78,116.82
20160226,117.75,119.45,117.50,118.16
20160229,118.12,119.47,117.50,118.18
20160301,119.01,120.99,118.25,119.96
20160302,119.63,120.75,118.50,119.65
20160303,118.84,119.73,118.25,119.61
20160304,120.17,122.23,119.85,121.07
20160307,120.80,123.32,120.57,122.90
20160308,121.98,122.97,121.31,122.35
20160309,122.38,123.26,122.03,122.86
20160310,123.14,123.82,121.43,122.94
20160311,124.13,125.50,123.86,124.63
20160314,123.93,127.00,123.86,126.34
20160315,125.55,126.37,124.21,126.36
20160316,126.24,128.13,125.75,127.57
20160317,128.07,131.60,127.42,130.70
20160318,131.24,134.68,131.01,133.96
20160321,133.46,136.78,133.39,135.86
20160322,135.14,136.10,134.78,135.12
20160323,134.99,135.00,132.74,132.86
20160324,131.61,132.23,130.03,132.12
20160328,132.53,132.62,130.55,131.29
20160329,129.83,130.93,128.18,130.88
20160330,131.48,132.73,128.02,128.58
20160331,128.09,128.38,125.25,126.94
20160401,126.23,127.09,125.11,126.96
20160404,126.54,127.97,125.88,126.34
20160405,126.15,128.59,125.58,127.03
20160406,127.16,128.04,125.75,127.93
20160407,127.00,128.94,126.56,127.00
20160408,128.04,130.02,127.61,127.88
20160411,128.25,129.90,127.68,127.91
20160412,127.62,130.38,126.68,129.47
20160413,130.49,131.50,129.81,131.14
20160414,131.50,131.95,130.53,130.85
20160415,130.95,131.60,130.68,131.13
20160418,131.13,132.25,130.32,131.97
20160419,132.57,133.85,132.21,132.68
20160420,128.55,131.36,128.49,130.57
20160421,130.98,132.64,130.30,130.74
20160422,131.09,131.83,130.50,131.05
20160425,130.45,131.00,129.31,130.75
20160426,131.25,133.27,131.06,133.24
20160427,133.20,137.89,131.95,137.08
20160428,136.29,137.72,134.50,134.80
20160429,134.42,135.23,132.81,134.80
20160502,134.38,135.00,133.23,134.01
20160503,132.70,133.31,131.46,132.49
20160504,131.59,132.31,130.53,130.89
20160505,131.73,132.64,131.12,132.08
20160506,132.11,133.63,131.76,133.26
20160509,132.80,133.81,131.82,132.10
20160510,133.18,135.24,132.79,134.72
20160511,133.81,134.99,132.94,133.00
20160512,133.49,135.04,133.49,134.42
20160513,133.74,134.94,131.91,132.12
20160516,131.63,134.41,131.55,134.14
20160517,133.62,134.49,131.96,132.56
20160518,132.45,133.18,130.34,130.99
20160519,130.24,130.43,127.09,128.08
20160520,129.13,129.25,127.21,127.39
20160523,127.40,128.41,125.88,127.58
20160524,127.76,128.81,126.32,127.50
20160525,128.00,129.78,127.37,128.86
20160526,128.48,129.90,128.32,129.31
20160527,128.96,129.70,128.83,129.22
20160531,129.88,129.98,126.04,126.15
20160601,126.00,126.50,124.78,126.41
20160602,126.65,127.03,125.32,126.85
20160603,126.42,127.58,125.95,127.38
20160606,127.60,132.08,127.45,131.90
20160607,132.41,133.39,131.82,131.93
20160608,132.52,133.53,132.04,133.00
20160609,132.10,133.82,131.92,133.10
20160610,131.76,132.12,130.37,131.14
20160613,130.79,131.51,129.88,129.92
20160614,129.63,130.60,128.50,130.50
20160615,130.88,131.76,129.97,130.16
20160616,129.32,129.89,126.90,129.37
20160617,129.83,129.99,128.81,129.82
20160620,131.36,133.90,131.21,132.75
20160621,133.19,133.28,131.49,131.52
20160622,132.10,133.16,131.58,131.77
20160623,133.91,134.55,132.73,133.55
20160624,128.14,129.39,126.21,126.52
20160627,125.68,125.75,122.35,122.70
20160628,124.50,124.76,122.70,123.89
20160629,125.49,127.32,124.16,126.99
20160630,127.08,129.87,127.08,129.87
20160701,129.54,130.34,129.16,129.69
20160705,128.43,129.00,126.63,126.97
20160706,127.25,127.31,123.96,126.96
20160707,126.92,128.17,126.26,127.17
20160708,128.60,130.46,127.66,130.09
20160711,130.84,133.25,130.80,132.04
20160712,132.80,133.00,130.33,130.81
20160713,131.28,131.39,129.37,130.11
20160714,131.63,131.92,130.20,131.55
20160715,131.80,132.75,131.45,132.39
20160718,132.38,133.89,131.95,133.43
20160719,132.91,135.67,132.83,134.66
20160720,134.55,135.18,134.04,134.72
20160721,134.76,134.98,133.03,133.53
20160722,131.75,133.49,130.57,133.47
20160725,133.18,133.30,132.38,132.94
20160726,132.90,134.97,132.51,134.85
20160727,136.14,139.45,135.71,135.96
20160728,135.40,135.86,132.55,133.01
20160729,133.05,133.80,132.30,133.66
20160801,133.21,134.23,132.70,133.21
20160802,132.95,133.40,131.35,131.60
20160803,131.77,132.45,131.62,131.87
20160804,132.00,132.55,130.96,131.21
20160805,132.21,132.44,131.01,131.73
20160808,132.14,132.95,131.75,132.19
20160809,132.73,132.99,132.23,132.62
20160810,132.10,133.53,131.71,132.28
20160811,132.85,133.56,132.30,133.00
20160812,132.90,133.78,132.63,133.10
20160815,133.70,135.00,133.55,134.66
20160816,134.15,135.21,133.40,135.00
20160817,134.85,134.99,134.11,134.72
20160818,134.72,135.96,134.53,135.00
20160819,134.50,135.00,133.84,134.44
20160822,134.30,135.67,133.84,134.99
20160823,135.32,136.37,133.64,134.14
20160824,134.01,134.65,133.07,133.29
20160825,133.30,133.30,132.42,132.98
20160826,133.50,134.08,131.82,132.23
20160829,132.72,133.58,132.32,132.90
20160830,133.19,133.44,130.68,130.81
20160831,130.83,130.83,129.14,129.45
20160901,130.03,130.03,128.36,129.90
20160902,130.89,131.96,130.58,131.16
20160906,131.63,132.99,131.27,132.99
20160907,132.48,133.08,132.00,132.64
20160908,132.32,132.91,131.51,132.90
20160909,131.94,131.94,128.52,128.53
20160912,126.88,130.68,126.31,130.12
20160913,129.22,130.02,128.26,128.76
20160914,128.91,129.31,127.34,127.67
20160915,127.57,128.46,126.94,127.77
20160916,127.71,127.71,126.34,126.70
20160919,127.50,128.30,127.27,127.48
20160920,127.95,128.50,127.57,127.79
20160921,128.18,130.63,128.18,130.56
20160922,131.45,132.48,131.17,131.87
20160923,131.25,132.29,131.01,131.78
20160926,131.07,131.58,130.43,130.57
20160927,130.29,131.74,129.86,131.32
20160928,131.59,132.36,130.59,132.23
20160929,131.80,132.78,130.68,131.03
20160930,132.09,132.63,131.27,131.74
20161003,131.28,132.72,130.74,132.38
20161004,132.77,133.23,131.69,132.25
20161005,132.93,134.90,132.55,134.66
20161006,134.83,135.00,133.68,134.42
20161007,133.93,134.66,132.54,133.85
20161010,134.59,136.87,134.59,135.84
20161011,134.94,135.69,133.27,133.74
20161012,133.76,134.28,133.00,133.16
20161013,132.42,133.93,131.39,133.38
20161014,134.56,135.25,133.48,133.50
20161017,133.50,135.38,133.33,134.00
20161018,135.03,135.74,134.92,135.10
20161019,135.42,136.95,135.33,136.18
20161020,135.92,136.75,135.37,135.84
20161021,134.72,136.19,134.25,135.63
20161024,136.41,138.88,136.41,137.45
20161025,137.53,139.42,137.35,139.02
20161026,138.43,146.19,136.72,145.54
20161027,145.83,146.23,141.78,143.31
20161028,143.72,144.00,142.17,143.01
20161031,143.05,143.35,142.15,142.43
20161101,142.95,143.90,141.81,142.41
20161102,142.00,142.87,140.59,140.75
20161103,140.76,140.90,139.35,140.02
20161104,139.11,140.85,138.80,139.54
20161107,141.50,143.10,141.49,143.03
20161108,141.92,143.31,141.29,142.20
20161109,141.60,145.85,141.54,145.09
20161110,146.51,149.34,146.39,147.69
20161111,147.12,148.60,146.56,148.52
