Date,Open,High,Low,Close
20151127,17.46,17.50,17.33,17.48
20151130,17.48,17.58,17.42,17.43
20151201,17.52,17.81,17.48,17.81
20151202,17.88,17.89,17.55,17.62
20151203,17.68,17.77,17.25,17.30
20151204,17.44,17.83,17.38,17.80
20151207,17.79,17.80,17.44,17.54
20151208,17.39,17.46,17.13,17.19
20151209,17.11,17.38,16.87,17.10
20151210,17.15,17.41,16.96,17.20
20151211,16.97,17.06,16.64,16.73
20151214,16.76,16.89,16.50,16.80
20151215,17.02,17.49,16.99,17.42
20151216,17.65,17.78,17.23,17.75
20151217,17.80,17.83,17.30,17.30
20151218,17.19,17.27,16.76,16.76
20151221,16.98,17.03,16.77,16.97
20151222,17.05,17.11,16.85,17.08
20151223,17.16,17.34,17.10,17.34
20151224,17.32,17.38,17.22,17.27
20151228,17.22,17.23,16.98,17.13
20151229,17.25,17.35,17.16,17.28
20151230,17.20,17.24,17.04,17.05
20151231,17.01,17.07,16.83,16.83
20160104,16.45,16.49,16.25,16.43
20160105,16.52,16.59,16.23,16.43
20160106,16.19,16.29,16.02,16.08
20160107,15.73,15.90,15.44,15.50
20160108,15.94,15.94,15.16,15.20
20160111,15.26,15.37,14.94,15.31
20160112,15.54,15.58,15.06,15.31
20160113,15.47,15.52,14.85,14.90
20160114,15.01,15.20,14.65,14.99
20160115,14.41,14.66,14.13,14.46
20160119,14.69,14.79,14.01,14.24
20160120,13.79,14.00,13.27,13.69
20160121,13.67,13.84,13.25,13.36
20160122,13.65,13.72,13.47,13.56
20160125,13.54,13.55,12.94,12.96
20160126,13.07,13.35,13.04,13.31
20160127,13.20,13.73,13.19,13.36
20160128,13.59,13.71,13.26,13.53
20160129,13.66,14.15,13.59,14.14
20160201,14.05,14.09,13.80,13.96
20160202,13.74,13.75,13.13,13.23
20160203,13.28,13.29,12.52,13.03
20160204,12.89,13.59,12.89,13.25
20160205,13.32,13.39,12.89,12.95
20160208,12.67,12.70,12.13,12.27
20160209,11.99,12.43,11.96,12.20
20160210,12.42,12.54,11.91,11.98
20160211,11.46,11.55,10.99,11.16
20160212,11.48,12.03,11.40,11.95
20160216,12.38,12.39,12.11,12.25
20160217,12.57,12.69,12.47,12.56
20160218,12.71,12.74,12.10,12.24
20160219,12.22,12.24,11.98,12.13
20160222,12.13,12.54,12.13,12.54
20160223,12.47,12.48,12.10,12.16
20160224,11.96,12.15,11.65,12.13
20160225,12.14,12.33,12.09,12.32
20160226,12.49,12.95,12.40,12.70
20160229,12.70,12.86,12.51,12.52
20160301,12.64,13.21,12.62,13.19
20160302,13.20,13.51,13.13,13.41
20160303,13.38,13.55,13.25,13.50
20160304,13.76,13.89,13.49,13.54
20160307,13.45,13.62,13.37,13.53
20160308,13.40,13.47,13.05,13.06
20160309,13.17,13.27,13.00,13.14
20160310,13.23,13.40,13.00,13.27
20160311,13.44,13.84,13.37,13.79
20160314,13.72,13.74,13.49,13.64
20160315,13.51,13.60,13.39,13.57
20160316,13.51,13.81,13.09,13.31
20160317,13.22,13.48,13.05,13.40
20160318,13.68,13.88,13.55,13.79
20160321,13.80,14.03,13.72,13.84
20160322,13.67,13.84,13.63,13.76
20160323,13.77,13.83,13.60,13.62
20160324,13.41,13.69,13.27,13.68
20160328,13.73,13.74,13.54,13.62
20160329,13.54,13.54,13.26,13.42
20160330,13.49,13.66,13.46,13.48
20160331,13.49,13.71,13.45,13.52
20160401,13.47,13.65,13.32,13.56
20160404,13.54,13.65,13.41,13.51
20160405,13.30,13.34,13.16,13.19
20160406,13.20,13.30,13.11,13.27
20160407,13.15,13.21,12.75,12.85
20160408,13.03,13.14,12.86,12.88
20160411,12.92,13.09,12.88,12.97
20160412,13.00,13.33,12.93,13.27
20160413,13.55,13.85,13.53,13.79
20160414,13.71,14.28,13.70,14.14
20160415,14.27,14.29,13.95,14.00
20160418,13.85,14.24,13.82,14.17
20160419,14.26,14.54,14.24,14.45
20160420,14.56,14.94,14.53,14.93
20160421,14.93,15.14,14.75,14.90
20160422,14.87,15.14,14.87,15.11
20160425,15.02,15.14,14.81,14.96
20160426,15.02,15.14,14.80,15.09
20160427,15.02,15.30,14.98,15.02
20160428,14.92,15.08,14.76,14.79
20160429,14.73,14.85,14.43,14.56
20160502,14.58,14.78,14.40,14.77
20160503,14.51,14.51,14.15,14.36
20160504,14.09,14.27,14.00,14.13
20160505,14.15,14.32,14.00,14.05
20160506,13.83,14.14,13.80,14.11
20160509,14.08,14.19,13.91,13.99
20160510,14.08,14.33,14.05,14.30
20160511,14.25,14.50,14.19,14.20
20160512,14.30,14.47,14.05,14.14
20160513,14.15,14.37,13.87,13.88
20160516,13.82,14.02,13.80,13.93
20160517,13.89,14.13,13.82,14.01
20160518,14.02,14.75,14.01,14.69
20160519,14.60,14.87,14.43,14.53
20160520,14.64,14.70,14.43,14.52
20160523,14.54,14.60,14.40,14.47
20160524,14.60,14.75,14.53,14.68
20160525,14.83,15.15,14.83,14.92
20160526,14.98,14.99,14.69,14.70
20160527,14.76,14.88,14.69,14.88
20160531,15.03,15.05,14.73,14.79
20160601,14.60,14.90,14.45,14.86
20160602,14.95,14.98,14.77,14.94
20160603,14.46,14.50,14.19,14.42
20160606,14.44,14.70,14.37,14.52
20160607,14.54,14.60,14.34,14.35
20160608,14.35,14.46,14.30,14.43
20160609,14.32,14.32,14.08,14.19
20160610,13.98,14.00,13.75,13.83
20160613,13.64,13.91,13.58,13.60
20160614,13.56,13.73,13.17,13.26
20160615,13.38,13.66,13.28,13.34
20160616,13.23,13.33,13.02,13.31
20160617,13.38,13.53,13.28,13.40
20160620,13.74,13.85,13.51,13.54
20160621,13.62,13.65,13.45,13.62
20160622,13.60,13.78,13.59,13.61
20160623,13.84,14.05,13.82,14.04
20160624,13.05,13.44,12.97,13.00
20160627,12.77,12.77,12.05,12.18
20160628,12.57,12.72,12.35,12.70
20160629,13.07,13.22,12.92,13.19
20160630,13.37,13.38,13.07,13.27
20160701,13.19,13.27,13.02,13.10
20160705,12.93,12.94,12.63,12.74
20160706,12.52,12.92,12.45,12.86
20160707,12.87,13.11,12.84,13.01
20160708,13.28,13.32,13.11,13.17
20160711,13.29,13.40,13.20,13.21
20160712,13.41,13.60,13.40,13.54
20160713,13.50,13.58,13.32,13.44
20160714,13.73,13.78,13.64,13.65
20160715,13.78,13.79,13.52,13.66
20160718,13.84,14.23,13.82,14.11
20160719,14.06,14.37,14.03,14.26
20160720,14.35,14.43,14.26,14.40
20160721,14.43,14.47,14.26,14.27
20160722,14.26,14.40,14.18,14.38
20160725,14.31,14.39,14.28,14.37
20160726,14.32,14.55,14.31,14.53
20160727,14.57,14.70,14.45,14.63
20160728,14.57,14.69,14.46,14.68
20160729,14.56,14.70,14.48,14.49
20160801,14.52,14.60,14.26,14.33
20160802,14.28,14.45,14.09,14.13
20160803,14.11,14.48,14.10,14.48
20160804,14.48,14.54,14.36,14.48
20160805,14.75,15.06,14.75,15.05
20160808,15.08,15.17,14.92,15.13
20160809,15.11,15.19,15.07,15.19
20160810,15.16,15.18,14.78,14.81
