Date,Open,High,Low,Close
20151127,37.84,37.88,37.65,37.68
20151130,37.73,37.85,37.47,37.65
20151201,37.88,38.04,37.62,37.94
20151202,37.91,38.00,37.31,37.36
20151203,37.47,37.70,36.82,36.87
20151204,36.91,37.73,36.91,37.54
20151207,37.50,37.78,37.34,37.73
20151208,37.50,37.52,37.03,37.20
20151209,36.91,37.50,36.65,36.77
20151210,36.84,37.61,36.67,37.28
20151211,36.89,38.40,36.54,36.84
20151214,36.85,36.98,36.08,36.53
20151215,36.79,37.40,36.77,37.26
20151216,37.40,37.89,37.16,37.83
20151217,37.79,37.84,37.37,37.54
20151218,37.34,37.38,36.65,36.65
20151221,36.74,36.94,36.35,36.68
20151222,36.81,37.72,36.64,37.62
20151223,37.71,38.34,37.56,38.14
20151224,38.06,38.38,38.06,38.15
20151228,38.02,38.31,37.86,38.14
20151229,38.39,38.69,38.30,38.56
20151230,38.48,38.65,37.99,38.05
20151231,37.86,38.55,37.72,38.15
20160104,37.66,37.69,36.85,37.17
20160105,37.16,37.43,36.87,37.32
20160106,36.79,37.53,36.75,37.41
20160107,36.89,37.04,36.16,36.79
20160108,36.87,36.96,36.11,36.20
20160111,36.31,36.50,35.24,35.59
20160112,35.79,36.22,34.95,35.48
20160113,35.74,36.20,34.76,34.83
20160114,34.97,35.55,34.75,35.31
20160115,34.57,35.46,34.54,35.10
20160119,35.45,35.50,34.92,35.36
20160120,34.82,35.06,34.06,34.76
20160121,34.80,35.44,34.57,35.25
20160122,35.75,36.13,35.71,36.07
20160125,36.03,36.50,35.93,36.05
20160126,36.14,36.56,35.98,36.54
20160127,36.43,37.25,36.33,36.50
20160128,36.96,37.23,35.42,35.70
20160129,35.64,36.63,35.63,36.60
20160201,36.37,37.49,36.28,37.28
20160202,37.50,38.29,36.37,37.95
20160203,38.23,38.45,37.42,38.26
20160204,38.33,38.52,37.78,38.29
20160205,38.10,38.30,37.26,37.49
20160208,37.08,37.15,35.54,36.00
20160209,35.88,36.58,35.78,36.19
20160210,36.48,37.46,36.39,36.91
20160211,36.29,36.56,35.74,35.88
20160212,36.11,36.63,35.79,36.61
20160216,36.88,37.46,36.67,37.41
20160217,37.67,38.57,37.67,38.21
20160218,38.14,38.34,37.91,38.07
20160219,37.98,38.03,37.36,37.65
20160222,38.17,38.47,37.89,38.41
20160223,38.15,38.41,37.69,38.34
20160224,37.93,39.02,37.78,38.97
20160225,39.07,39.86,38.90,39.84
20160226,39.83,40.56,39.39,39.43
20160229,39.48,40.05,39.38,39.51
20160301,39.65,40.00,39.25,39.98
20160302,39.52,39.94,39.52,39.71
20160303,39.48,39.53,38.99,39.33
20160304,39.23,39.76,38.99,39.46
20160307,39.29,39.99,39.21,39.82
20160308,39.67,39.85,39.41,39.58
20160309,39.76,39.89,39.06,39.59
20160310,39.75,40.17,39.42,39.80
20160311,39.97,40.50,39.88,40.48
20160314,40.19,40.67,40.05,40.44
20160315,40.06,40.24,39.89,40.12
20160316,40.08,40.30,39.69,40.03
20160317,40.00,40.00,39.28,39.72
20160318,39.78,40.41,39.56,40.13
20160321,40.13,40.26,39.87,40.05
20160322,39.96,40.84,39.91,40.60
20160323,40.72,41.07,40.32,40.69
20160324,40.36,40.51,39.90,40.11
20160328,40.15,40.65,39.98,40.48
20160329,40.48,41.37,40.27,41.28
20160330,41.29,41.45,40.94,41.26
20160331,41.33,41.50,41.05,41.08
20160401,40.72,41.73,40.52,41.69
20160404,41.75,42.31,41.61,42.08
20160405,41.80,41.99,41.14,41.31
20160406,41.20,42.23,41.20,42.22
20160407,42.04,42.30,41.35,41.73
20160408,41.92,42.00,41.56,41.84
20160411,41.96,42.23,41.80,41.94
20160412,41.92,42.15,41.72,42.03
20160413,42.20,42.42,42.11,42.34
20160414,42.81,42.98,42.35,42.65
20160415,42.64,42.69,42.43,42.69
20160418,42.53,43.25,42.53,43.10
20160419,43.08,43.50,42.97,43.37
20160420,43.37,43.52,43.09,43.26
20160421,43.29,43.46,42.87,43.01
20160422,43.10,43.59,43.00,43.32
20160425,43.31,43.69,43.25,43.63
20160426,44.00,44.75,43.53,43.97
20160427,44.34,44.78,44.07,44.18
20160428,44.05,44.67,43.95,44.26
20160429,44.12,44.61,43.84,44.22
20160502,44.39,44.72,44.24,44.71
20160503,44.36,44.95,44.31,44.39
20160504,44.27,45.25,44.15,45.12
20160505,45.08,45.46,44.91,45.30
20160506,45.20,45.46,44.61,45.07
20160509,45.04,45.52,45.04,45.15
20160510,45.05,45.67,44.82,45.50
20160511,45.30,46.51,45.24,46.39
20160512,46.56,46.95,45.22,45.63
20160513,45.56,45.91,45.23,45.52
20160516,45.39,45.88,45.30,45.47
20160517,45.35,45.78,44.22,44.60
20160518,44.59,45.08,44.04,45.08
20160519,44.37,44.65,43.05,43.16
20160520,43.35,43.51,42.89,42.92
20160523,42.95,43.08,42.57,42.70
20160524,42.82,43.92,42.79,43.66
20160525,43.93,43.93,43.16,43.50
20160526,43.63,43.74,43.25,43.43
20160527,43.47,43.55,43.15,43.31
20160531,43.31,43.44,42.92,43.16
20160601,43.03,43.40,42.84,43.33
20160602,43.31,43.60,43.11,43.43
20160603,43.15,43.58,43.07,43.48
20160606,43.50,43.97,43.42,43.97
20160607,43.94,44.19,43.77,43.93
20160608,43.86,44.62,43.81,44.60
20160609,44.53,44.79,44.22,44.75
20160610,44.41,44.59,44.06,44.49
20160613,44.12,44.78,44.12,44.41
20160614,44.31,44.60,44.06,44.44
20160615,44.60,44.63,44.18,44.21
20160616,44.14,44.62,44.01,44.57
20160617,44.63,44.67,44.00,44.44
20160620,44.83,45.05,44.54,44.96
20160621,45.05,45.11,44.59,45.01
20160622,45.09,45.16,44.78,44.94
20160623,45.18,45.96,45.16,45.96
20160624,44.84,44.84,43.72,43.85
20160627,43.55,43.55,42.22,42.35
20160628,42.70,43.41,42.31,43.38
20160629,43.78,44.84,43.78,44.82
20160630,44.99,45.24,44.76,45.22
20160701,45.18,45.50,45.03,45.45
20160705,45.25,45.58,45.15,45.31
