Date,Open,High,Low,Close
20151127,32.09,32.16,31.45,31.48
20151130,31.73,32.32,31.50,31.78
20151201,31.83,31.89,30.94,31.37
20151202,31.45,31.63,30.72,30.90
20151203,30.90,31.49,30.19,31.30
20151204,31.47,31.51,30.89,31.02
20151207,31.00,31.15,30.36,30.91
20151208,30.48,31.36,30.35,30.86
20151209,30.58,31.46,30.29,30.52
20151210,30.56,30.85,30.23,30.32
20151211,29.98,30.30,29.70,29.79
20151214,29.98,30.44,29.54,29.90
20151215,30.11,30.42,29.80,30.04
20151216,30.11,30.79,30.04,30.70
20151217,30.67,30.78,29.78,29.80
20151218,29.67,29.67,28.90,29.04
20151221,29.09,29.45,28.88,29.15
20151222,29.36,30.43,29.30,30.16
20151223,30.27,30.87,30.00,30.60
20151224,30.53,30.85,30.46,30.50
20151228,30.52,30.71,30.23,30.53
20151229,30.75,31.05,30.59,30.75
20151230,30.82,31.13,30.44,30.46
20151231,30.43,30.74,30.25,30.45
20160104,29.84,31.08,29.76,30.65
20160105,30.72,31.20,30.49,31.15
20160106,30.53,30.73,29.74,29.95
20160107,29.56,30.67,29.38,30.23
20160108,29.74,29.78,28.64,28.95
20160111,29.08,29.59,28.97,29.43
20160112,29.61,30.33,29.39,30.13
20160113,30.15,30.32,29.09,29.26
20160114,27.08,27.24,25.61,26.43
20160115,25.35,27.36,25.31,27.11
20160119,27.05,27.10,25.40,25.87
20160120,25.70,26.90,25.42,26.53
20160121,26.61,27.69,26.46,27.28
20160122,27.68,28.00,27.07,27.27
20160125,27.20,27.43,26.92,27.07
20160126,27.14,28.13,27.02,28.04
20160127,27.96,28.43,27.20,27.27
20160128,27.34,27.56,26.90,26.97
20160129,27.20,28.14,27.17,27.93
20160201,27.84,28.70,27.66,28.57
20160202,28.43,28.64,27.92,28.31
20160203,28.29,28.45,27.51,28.33
20160204,27.82,28.53,27.50,28.36
20160205,28.28,28.66,27.77,28.20
20160208,27.98,28.83,27.95,28.62
20160209,28.48,28.83,27.51,27.92
20160210,27.94,28.20,27.20,27.30
20160211,26.97,27.40,26.72,26.93
20160212,26.40,28.19,26.10,28.12
20160216,28.34,29.58,28.02,29.50
20160217,29.80,30.33,29.69,30.05
20160218,29.69,30.91,29.58,30.75
20160219,29.80,30.27,29.35,29.95
20160222,30.04,31.20,30.04,30.73
20160223,30.97,31.45,30.67,30.92
20160224,30.27,31.59,29.39,31.47
20160225,32.20,32.46,30.48,32.24
