Date,Open,High,Low,Close
20151127,41.80,41.91,41.34,41.58
20151130,41.68,42.00,41.61,41.92
20151201,42.10,42.23,41.49,41.83
20151202,41.83,41.88,40.87,41.03
20151203,41.18,41.22,40.25,40.42
20151204,40.52,41.24,40.39,41.14
20151207,41.09,41.22,40.61,40.82
20151208,39.90,40.09,39.23,39.32
20151209,39.15,39.66,38.41,38.51
20151210,38.51,39.04,38.36,38.47
20151211,37.77,37.89,35.92,36.18
20151214,36.06,36.26,34.62,35.12
20151215,35.55,36.22,35.52,35.60
20151216,35.97,36.23,35.29,36.16
20151217,36.22,36.39,35.08,35.45
20151218,35.22,35.28,34.79,35.00
20151221,35.34,35.53,34.93,35.24
20151222,35.11,35.94,34.93,35.82
20151223,36.11,37.50,36.01,37.36
20151224,37.17,37.56,36.80,36.97
20151228,36.78,36.97,36.60,36.92
20151229,37.15,37.54,37.07,37.40
20151230,37.19,37.55,36.99,37.03
20151231,36.78,37.26,36.69,36.82
20160104,35.64,36.21,35.41,36.18
20160105,36.28,36.43,35.70,36.12
20160106,35.45,35.65,34.95,35.20
20160107,34.36,34.96,33.90,34.07
20160108,34.21,34.49,33.54,33.65
20160111,33.66,34.00,32.96,33.50
20160112,33.62,34.51,33.37,34.00
20160113,34.21,34.38,32.94,32.98
20160114,33.09,33.56,32.39,33.37
20160115,32.34,32.81,31.97,32.61
20160119,33.17,33.54,32.57,33.05
20160120,32.38,33.34,31.87,32.91
20160121,32.98,34.34,32.82,33.21
20160122,33.97,34.50,33.72,34.04
20160125,33.79,34.00,32.49,32.53
20160126,32.67,33.41,32.55,33.37
20160127,33.26,34.21,32.92,33.21
20160128,33.82,34.11,33.11,33.31
20160129,33.70,34.66,33.51,34.66
20160201,34.25,34.33,33.20,33.69
20160202,33.09,33.09,32.20,32.24
20160203,32.72,33.37,31.17,32.76
20160204,32.29,33.89,32.02,33.79
20160205,33.55,34.22,33.42,33.71
20160208,33.22,33.24,32.02,32.46
20160209,31.64,32.65,31.59,32.09
20160210,32.50,33.42,32.43,32.45
20160211,31.54,32.03,31.00,31.45
20160212,32.08,32.72,31.60,32.32
20160216,32.97,33.99,32.86,33.85
20160217,34.28,34.62,34.12,34.26
20160218,34.53,34.82,34.18,34.66
20160219,34.43,34.59,33.78,34.08
20160222,34.76,35.28,34.71,35.01
20160223,34.98,35.39,34.70,34.94
20160224,34.19,34.92,33.73,34.76
20160225,34.77,35.83,34.46,35.73
20160226,36.13,36.68,35.74,36.15
20160229,36.05,36.67,35.83,35.85
20160301,36.37,36.97,36.17,36.92
20160302,36.78,37.37,36.38,37.35
20160303,37.41,38.26,37.34,37.88
20160304,37.81,38.80,37.81,38.47
20160307,37.88,38.58,37.65,38.45
20160308,38.06,38.39,37.67,38.00
20160309,38.10,38.36,37.09,37.41
20160310,37.48,37.70,35.97,36.76
20160311,37.43,38.45,37.32,38.36
20160314,38.17,38.33,37.76,38.09
20160315,36.20,37.47,36.19,36.83
20160316,36.58,37.72,36.46,37.57
20160317,37.57,39.31,37.43,38.77
20160318,38.97,39.49,38.43,39.09
20160321,38.94,39.36,38.77,39.05
20160322,38.74,39.25,38.44,39.05
20160323,38.96,39.15,38.54,38.57
20160324,38.06,38.13,37.67,38.09
20160328,38.25,38.45,37.82,38.33
20160329,37.86,39.16,37.63,39.10
20160330,39.47,39.94,39.03,39.14
20160331,39.11,39.33,38.94,39.05
20160401,38.66,39.52,38.33,39.46
20160404,39.57,39.57,38.69,38.80
20160405,38.49,38.83,38.32,38.45
20160406,38.32,38.89,37.99,38.48
20160407,38.21,38.28,36.98,37.20
20160408,37.41,37.75,37.12,37.24
20160411,37.61,38.09,37.42,37.43
20160412,37.52,38.32,37.05,37.97
20160413,38.32,39.68,38.22,39.58
20160414,39.66,40.20,39.59,39.88
20160415,39.95,40.04,39.35,39.51
20160418,39.42,39.85,39.21,39.65
20160419,39.97,40.52,39.93,40.40
