Date,Open,High,Low,Close
20151127,292.97,294.10,290.78,293.21
20151130,293.16,294.26,285.10,286.86
20151201,289.30,290.59,285.80,290.04
20151202,289.14,290.39,284.58,284.96
20151203,284.22,285.58,274.23,275.44
20151204,277.00,284.75,276.13,284.45
20151207,283.31,284.98,279.70,281.63
20151208,279.89,289.76,278.00,288.46
20151209,286.21,290.09,283.02,284.61
20151210,285.36,291.22,284.68,289.88
20151211,285.54,288.59,282.23,283.46
20151214,283.77,285.00,276.43,282.39
20151215,285.01,291.69,282.56,289.11
20151216,292.23,299.68,290.00,299.29
20151217,299.04,300.87,296.38,297.17
20151218,294.80,299.82,293.05,293.37
20151221,294.84,297.86,293.50,297.56
20151222,298.00,301.84,296.35,300.77
20151223,303.79,303.79,299.16,300.19
20151224,300.29,303.87,299.50,302.29
20151228,302.03,304.98,301.50,303.84
20151229,304.99,311.65,304.77,309.67
20151230,309.98,310.29,307.00,308.34
20151231,306.10,309.33,306.10,306.35
20160104,300.34,301.02,291.40,294.62
20160105,295.38,298.64,293.56,296.70
20160106,292.60,296.58,291.01,293.68
20160107,286.52,289.99,283.03,284.01
20160108,284.65,288.11,280.00,280.59
20160111,280.59,283.95,271.66,278.54
20160112,281.18,285.56,271.00,278.67
20160113,279.42,281.99,267.00,267.25
20160114,268.57,283.30,265.37,280.57
20160115,271.01,279.89,269.25,273.33
20160119,276.98,276.99,264.72,269.85
20160120,263.25,272.78,257.66,269.35
20160121,269.67,271.05,261.02,262.08
20160122,266.36,269.48,264.62,268.92
20160125,269.46,271.21,261.30,262.10
20160126,262.76,264.48,257.78,259.87
20160127,275.05,285.28,270.34,273.26
20160128,275.77,276.97,261.70,265.96
20160129,268.42,273.90,265.70,273.06
20160201,270.34,275.83,269.58,273.45
20160202,267.74,271.20,265.16,266.06
20160203,267.58,270.74,261.00,270.43
20160204,270.16,279.38,269.11,273.27
20160205,271.10,272.67,258.46,263.86
20160208,260.45,260.45,248.16,250.77
20160209,246.54,255.00,243.85,249.99
20160210,253.35,257.37,249.28,252.20
20160211,246.31,250.02,243.03,245.11
20160212,248.78,249.20,242.07,247.22
20160216,249.00,257.42,249.00,256.52
20160217,256.29,265.86,256.08,265.63
20160218,266.60,266.96,258.51,259.05
20160219,257.36,263.00,255.12,261.40
20160222,265.26,266.00,261.34,265.83
20160223,264.81,265.86,257.90,258.99
20160224,256.35,257.68,249.01,257.22
20160225,261.90,262.84,259.16,262.35
20160226,264.06,266.47,260.88,264.49
20160229,262.68,265.60,259.18,259.42
20160301,261.37,271.01,259.25,270.90
20160302,270.17,274.57,268.66,273.66
20160303,272.22,272.82,266.14,268.64
20160304,269.64,269.68,263.13,263.94
20160307,262.14,272.44,261.20,269.52
20160308,267.24,269.02,260.78,261.28
20160309,261.26,263.28,252.38,255.66
20160310,257.00,260.57,251.00,251.97
20160311,255.98,260.04,255.10,259.74
20160314,258.91,259.89,256.90,257.77
20160315,257.47,257.92,248.54,250.33
20160316,250.42,256.19,247.61,250.84
20160317,250.00,250.03,242.25,246.31
20160318,247.83,251.16,243.21,250.78
20160321,249.52,257.41,247.01,256.05
20160322,252.70,261.38,252.20,259.42
20160323,257.00,258.35,253.59,255.24
20160324,253.79,257.54,251.13,254.69
20160328,255.05,256.71,251.45,251.76
20160329,251.68,254.97,246.74,254.68
20160330,256.04,257.92,252.63,254.18
20160331,255.07,261.40,254.19,260.32
20160401,258.83,261.96,257.50,260.54
20160404,260.56,266.00,260.04,264.01
20160405,262.28,267.75,262.15,265.62
20160406,266.33,280.58,266.17,279.57
20160407,278.03,280.70,271.15,273.04
20160408,275.00,275.16,267.33,270.83
20160411,271.57,272.98,264.21,265.19
20160412,265.00,268.68,262.27,267.61
20160413,269.22,272.77,267.35,271.73
20160414,270.71,272.00,269.07,270.56
20160415,270.56,271.07,265.31,268.50
20160418,267.85,273.37,267.04,272.92
20160419,273.10,275.98,270.23,271.00
20160420,271.92,271.92,263.31,265.89
20160421,268.84,280.13,268.84,279.60
20160422,280.40,283.54,278.21,282.70
20160425,281.57,286.32,281.56,284.85
20160426,285.63,285.95,280.67,281.70
20160427,281.57,282.00,278.52,280.06
20160428,278.00,284.05,277.51,281.08
20160429,278.24,280.53,271.40,274.99
20160502,274.74,274.99,268.88,273.69
20160503,272.82,276.61,271.09,273.71
20160504,271.70,271.75,262.44,263.12
20160505,263.58,265.40,262.63,264.62
20160506,263.47,265.87,260.89,263.61
20160509,264.72,273.14,264.10,270.17
20160510,271.64,273.61,269.60,273.27
20160511,272.22,273.61,267.00,267.25
20160512,268.25,270.55,259.59,262.71
20160513,261.41,264.98,260.10,262.03
20160516,263.03,266.95,262.60,266.26
20160517,265.15,267.89,263.08,263.52
20160518,262.65,265.82,262.26,264.29
20160519,262.80,264.70,256.42,258.72
20160520,259.31,265.55,259.00,263.66
20160523,263.77,267.18,263.15,264.85
20160524,266.33,273.42,263.94,272.94
20160525,273.73,280.07,273.51,279.70
20160526,279.53,284.28,279.09,282.00
20160527,282.00,284.25,280.61,282.79
20160531,285.00,291.63,284.66,289.73
20160601,287.97,289.95,286.14,286.82
20160602,286.88,289.91,286.56,289.73
20160603,289.51,292.69,283.79,290.23
20160606,290.00,290.74,285.21,289.84
20160607,264.45,264.73,250.87,252.86
20160608,255.03,256.79,251.41,254.17
20160609,253.14,256.19,249.57,250.46
20160610,248.15,249.04,244.02,246.13
20160613,245.76,248.40,244.04,244.35
20160614,243.35,245.01,240.16,241.70
20160615,242.38,242.99,238.59,238.91
20160616,236.91,243.34,236.54,242.19
20160617,242.27,242.27,238.20,238.21
20160620,241.00,242.50,237.17,237.39
20160621,238.00,238.99,232.99,233.00
20160622,233.66,238.48,232.16,234.60
20160623,237.18,238.79,235.76,238.62
20160624,232.00,235.30,229.00,229.02
20160627,227.00,229.54,223.02,224.60
20160628,225.68,229.75,225.68,228.52
20160629,232.87,239.85,232.00,238.91
20160630,239.31,241.90,236.67,241.82
20160701,242.57,246.55,241.59,245.06
20160705,244.62,244.80,240.07,242.03
20160706,241.64,247.89,240.71,247.48
20160707,247.24,249.66,245.22,247.27
20160708,248.63,251.78,246.11,251.30
20160711,253.25,255.10,251.12,252.54
20160712,253.78,254.85,251.29,253.36
20160713,254.24,254.27,250.82,251.19
20160714,253.30,253.80,250.02,252.87
20160715,254.12,260.45,253.81,260.30
20160718,260.04,262.80,257.47,261.50
20160719,260.94,262.49,258.16,259.82
20160720,259.87,263.16,257.57,262.41
20160721,279.76,282.54,274.23,282.45
20160722,282.09,290.92,281.38,287.78
20160725,287.84,290.58,285.02,287.35
20160726,286.00,289.95,285.47,287.04
20160727,286.83,288.77,286.08,288.35
20160728,288.61,289.98,285.07,289.03
20160729,288.85,290.46,286.80,289.93
20160801,300.00,307.50,299.06,301.83
20160802,302.88,333.65,297.66,330.11
20160803,321.77,324.30,310.06,321.34
20160804,320.15,320.45,314.01,314.56
20160805,316.16,318.91,313.69,315.96
20160808,316.02,316.35,309.16,313.65
20160809,313.72,316.24,311.80,314.42
20160810,315.00,315.00,307.14,308.87
20160811,309.47,316.25,309.42,314.49
20160812,311.99,315.23,311.65,313.94
20160815,313.40,315.08,310.01,313.39
20160816,313.27,316.67,312.64,313.42
20160817,314.17,314.71,311.29,313.82
20160818,313.57,313.76,312.00,313.38
20160819,313.69,319.89,312.39,316.81
20160822,316.15,320.82,315.13,316.81
20160823,316.81,322.99,315.28,318.17
20160824,318.18,321.74,306.73,309.33
20160825,309.03,311.97,301.02,306.85
20160826,307.21,310.74,304.56,308.17
20160829,307.87,309.14,304.79,306.13
20160830,305.24,309.00,305.00,307.86
20160831,307.68,308.68,304.22,305.63
20160901,307.96,309.25,305.02,306.03
20160902,311.83,318.88,308.66,313.59
20160906,310.43,316.47,309.12,310.67
20160907,309.96,313.72,309.96,312.30
20160908,311.35,312.45,307.42,307.73
20160909,304.62,305.48,296.07,296.10
20160912,294.14,303.85,293.83,302.66
20160913,300.25,300.76,294.74,297.41
20160914,298.34,304.11,298.21,299.79
20160915,300.00,304.46,298.01,302.82
20160916,303.15,306.29,300.17,304.51
20160919,304.83,308.00,303.17,303.50
20160920,306.06,308.86,304.00,307.05
20160921,309.00,312.39,304.11,312.00
20160922,313.07,315.98,311.37,314.81
20160923,312.58,317.32,312.11,312.58
20160926,311.70,312.02,308.68,309.82
20160927,309.78,315.00,307.50,314.53
20160928,315.99,315.99,308.74,310.55
20160929,310.17,312.47,304.04,305.78
20160930,306.59,314.38,306.04,313.03
20161003,313.00,313.00,308.85,311.59
20161004,311.94,314.00,309.89,311.48
20161005,313.27,313.32,308.60,309.70
20161006,308.30,309.89,303.92,305.99
20161007,307.31,308.00,302.21,305.59
20161010,308.00,308.70,304.27,304.59
20161011,304.13,304.52,296.32,298.30
20161012,298.29,299.12,291.49,291.88
20161013,289.19,296.62,288.91,294.41
20161014,295.63,297.34,290.13,290.50
20161017,289.89,293.42,288.25,291.67
20161018,292.87,298.57,292.63,295.05
20161019,296.26,296.54,292.49,295.14
20161020,293.85,300.32,293.77,299.66
20161021,299.07,299.07,289.78,290.65
20161024,292.30,293.40,290.00,290.78
20161025,290.84,291.08,285.27,286.00
20161026,294.98,301.34,291.30,296.46
