Date,Open,High,Low,Close
20151127,43.87,44.00,43.75,43.88
20151130,43.92,44.49,43.76,43.84
20151201,44.05,44.27,43.65,43.91
20151202,44.08,44.16,43.42,43.49
20151203,43.67,43.81,42.83,42.98
20151204,43.21,44.22,43.11,44.06
20151207,43.95,44.10,43.35,43.59
20151208,43.18,43.46,43.00,43.15
20151209,42.88,43.30,42.17,42.40
20151210,42.42,42.74,42.04,42.27
20151211,41.66,41.82,40.51,40.77
20151214,40.93,41.27,40.02,40.39
20151215,40.99,42.21,40.99,42.04
20151216,42.46,42.95,42.03,42.70
20151217,42.67,42.78,41.26,41.26
20151218,40.87,41.03,40.20,40.22
20151221,40.55,40.75,40.15,40.59
20151222,40.92,41.03,40.41,40.99
20151223,41.24,41.38,41.05,41.35
20151224,41.34,41.43,41.10,41.23
20151228,41.00,41.23,40.83,41.14
20151229,41.46,42.02,41.33,41.72
20151230,41.59,41.79,41.27,41.28
20151231,40.97,41.81,40.90,41.22
20160104,40.29,40.29,39.48,39.97
20160105,39.94,40.24,39.59,39.82
20160106,39.15,39.23,38.69,38.82
20160107,38.14,38.62,37.73,37.84
20160108,38.20,38.30,37.07,37.15
20160111,37.65,37.73,36.96,37.42
20160112,38.00,38.10,37.16,37.72
20160113,38.01,38.10,36.27,36.46
20160114,36.74,37.41,36.10,37.07
20160115,35.61,36.20,35.34,35.78
20160119,36.38,36.49,35.72,35.93
20160120,34.89,35.90,34.75,35.47
20160121,35.71,36.00,34.24,34.31
20160122,34.82,35.40,34.64,35.15
20160125,35.02,35.20,34.56,34.67
20160126,34.75,35.73,34.75,35.56
20160127,35.41,36.38,35.16,35.43
20160128,35.75,35.98,34.99,35.37
20160129,35.58,36.23,35.43,36.22
20160201,35.86,36.05,35.23,35.50
20160202,34.96,35.12,34.06,34.29
20160203,34.55,34.59,33.16,34.34
20160204,34.27,35.21,34.15,34.95
20160205,35.00,35.37,34.33,34.46
20160208,33.69,33.82,32.81,33.30
20160209,32.60,33.91,32.42,33.60
20160210,34.06,34.27,33.54,33.56
20160211,32.31,33.04,32.20,32.74
20160212,33.42,33.94,33.00,33.83
20160216,34.46,34.83,34.18,34.55
20160217,35.04,35.35,34.86,34.91
20160218,34.96,35.11,34.42,34.54
20160219,34.41,35.01,34.33,34.93
20160222,34.93,35.69,34.93,35.43
20160223,35.29,35.31,34.70,35.06
20160224,34.29,34.89,33.82,34.77
