Date,Open,High,Low,Close
20151127,52.08,52.94,51.81,52.78
20151130,53.06,55.19,52.81,54.07
20151201,53.83,54.84,53.15,54.76
20151202,54.28,55.24,53.28,53.85
20151203,54.64,54.88,52.27,52.62
20151204,51.92,52.82,51.10,52.62
20151207,51.47,51.79,48.80,49.86
20151208,49.01,51.18,48.51,49.37
20151209,49.50,53.47,49.50,53.03
20151210,52.76,53.49,51.35,51.68
20151211,50.92,51.28,47.03,47.80
20151214,45.23,47.17,43.00,46.78
20151215,47.66,49.76,46.07,46.50
20151216,46.44,46.94,44.67,44.76
20151217,44.88,45.41,43.33,43.36
20151218,43.24,44.50,42.78,43.92
20151221,44.22,44.39,43.17,43.76
20151222,44.10,45.41,43.93,45.17
20151223,45.99,47.66,45.85,47.63
20151224,47.68,48.60,47.06,47.72
20151228,46.84,47.33,45.62,45.69
20151229,46.91,47.04,45.80,46.49
20151230,45.95,46.82,45.74,45.76
20151231,45.38,46.40,45.32,46.15
20160104,45.85,47.43,45.56,47.25
20160105,47.19,47.88,45.56,45.92
20160106,44.48,45.50,43.55,43.65
20160107,42.57,43.83,42.32,42.52
20160108,42.89,43.01,41.38,41.58
20160111,41.64,42.27,40.77,41.51
20160112,42.20,42.25,40.13,41.04
20160113,41.80,42.19,38.65,39.25
20160114,39.45,41.55,38.62,41.17
20160115,39.48,40.22,38.99,39.89
20160119,40.11,40.87,39.26,39.79
20160120,39.00,39.34,37.58,38.88
20160121,38.77,41.33,38.50,40.73
20160122,42.52,42.95,40.66,42.04
20160125,41.26,41.77,39.12,39.18
20160126,40.30,40.59,39.39,39.97
20160127,39.85,41.88,39.74,40.83
20160128,42.00,43.29,41.56,43.12
20160129,43.30,44.16,42.55,43.51
20160201,42.56,43.65,42.06,43.29
20160202,42.20,42.50,41.78,42.00
20160203,42.72,44.46,41.96,44.41
20160204,44.98,45.85,43.91,44.24
20160205,43.75,45.09,42.65,44.85
20160208,43.13,43.60,42.22,42.82
20160209,42.23,42.90,41.59,41.75
20160210,41.75,42.32,41.22,41.51
20160211,40.40,40.99,39.11,39.78
20160212,40.40,40.79,39.40,39.90
20160216,40.69,41.47,40.26,41.20
20160217,41.82,42.93,41.47,42.49
20160218,43.06,43.33,41.83,41.99
20160219,42.13,42.25,41.30,42.14
20160222,43.12,43.72,42.77,43.49
20160223,43.49,43.71,42.36,42.49
20160224,41.64,42.28,41.20,41.91
20160225,41.83,43.78,41.50,43.25
20160226,44.10,45.19,43.76,44.25
20160229,44.17,44.53,42.23,42.87
20160301,43.29,44.47,43.16,44.26
20160302,44.23,45.51,43.09,45.41
20160303,45.14,46.99,45.14,46.55
20160304,46.67,47.45,45.53,46.20
20160307,45.78,47.52,45.66,46.58
20160308,46.25,46.46,43.87,44.05
20160309,44.76,45.30,43.67,44.31
20160310,44.20,44.61,42.60,43.53
20160311,44.25,46.00,43.88,45.79
20160314,44.93,45.42,43.39,43.88
20160315,43.28,44.22,42.76,44.21
20160316,44.65,46.01,44.31,45.90
20160317,46.27,47.05,45.74,46.81
20160318,47.28,47.47,46.61,47.44
20160321,47.13,47.59,46.45,47.04
20160322,46.54,47.17,46.18,46.43
20160323,46.23,46.60,44.92,44.96
20160324,44.27,44.85,43.76,44.68
20160328,44.82,44.93,43.57,43.87
20160329,43.33,43.43,42.33,42.72
20160330,43.27,44.32,42.62,43.37
20160331,43.32,44.04,43.19,43.83
20160401,42.95,44.02,42.67,42.95
20160404,41.80,42.58,40.24,41.47
20160405,40.79,41.08,38.16,39.36
20160406,39.00,43.25,38.77,42.83
20160407,42.22,43.32,41.07,41.93
20160408,43.16,43.88,42.40,43.11
20160411,43.47,43.74,41.19,41.74
20160412,41.75,42.17,40.35,41.23
20160413,41.12,41.63,40.69,41.30
20160414,41.53,43.87,41.18,43.18
20160415,43.12,43.90,42.45,43.80
20160418,42.92,45.83,42.71,45.70
20160419,45.82,46.60,45.38,46.50
20160420,46.38,47.17,45.62,47.00
20160421,46.58,47.42,46.36,46.69
20160422,47.11,48.16,45.70,46.43
20160425,46.17,46.40,44.51,45.04
20160426,45.34,45.81,44.75,45.80
20160427,44.23,47.67,44.05,46.94
20160428,46.35,48.11,46.35,47.86
20160429,47.90,49.25,47.31,48.36
20160502,49.44,50.76,45.93,47.40
20160503,46.69,46.96,45.15,45.54
20160504,45.50,46.04,44.14,44.49
20160505,45.13,45.62,44.29,45.05
20160506,44.59,46.28,44.50,45.88
