Date,Open,High,Low,Close
20151127,359.65,360.00,355.27,358.39
20151130,359.16,364.87,358.34,363.72
20151201,362.94,364.81,360.24,361.73
20151202,360.70,363.41,356.13,358.92
20151203,359.08,360.62,350.11,352.00
20151204,353.91,361.66,351.68,360.76
20151207,359.42,360.39,353.22,355.47
20151208,353.40,354.94,346.56,348.94
20151209,348.04,353.49,343.13,344.57
20151210,344.25,349.04,342.82,345.25
20151211,340.64,341.86,321.22,322.78
20151214,322.68,327.81,314.62,319.60
20151215,324.95,331.43,322.65,329.54
20151216,331.10,334.00,322.16,331.00
20151217,332.85,336.35,328.58,330.21
20151218,326.98,328.15,321.43,321.47
20151221,325.63,328.12,322.48,325.55
20151222,326.00,331.42,322.47,330.51
20151223,333.81,340.17,332.59,339.64
20151224,340.37,340.87,335.18,337.40
20151228,336.94,342.82,334.88,342.45
20151229,344.77,347.15,341.99,343.60
20151230,342.36,345.19,341.22,342.05
20151231,339.94,345.75,337.80,340.52
20160104,333.04,333.46,329.01,333.10
20160105,334.19,336.10,329.12,333.96
20160106,327.28,331.90,327.00,330.16
20160107,320.60,325.65,312.61,315.73
20160108,317.56,319.76,307.03,307.78
20160111,309.07,310.00,304.37,308.32
20160112,312.42,314.60,307.59,313.59
20160113,315.21,318.43,303.62,304.61
20160114,305.26,315.45,299.31,310.00
20160115,298.96,299.95,290.46,296.58
20160119,300.40,301.76,290.48,294.00
20160120,288.67,294.15,280.55,292.00
20160121,292.79,296.89,289.48,289.90
20160122,295.84,301.89,294.99,300.56
20160125,300.06,300.94,289.20,289.72
20160126,292.46,300.43,291.27,299.26
20160127,299.00,311.00,297.38,302.12
20160128,302.61,307.81,298.04,299.17
20160129,303.37,314.34,301.90,314.26
20160201,311.91,314.50,306.68,312.25
20160202,305.82,305.82,298.02,301.21
20160203,301.70,306.91,290.07,304.06
20160204,302.25,316.00,302.25,313.70
20160205,312.03,315.17,306.35,307.75
20160208,301.36,301.36,289.37,293.46
20160209,287.00,297.61,286.52,294.53
20160210,299.29,305.73,297.13,298.56
20160211,289.47,297.23,289.00,294.21
20160212,300.18,307.50,297.04,306.80
20160216,312.03,315.65,309.33,314.47
20160217,318.84,321.27,316.99,319.88
20160218,319.52,320.05,314.14,315.97
20160219,313.07,314.55,307.59,314.29
20160222,314.29,321.72,312.25,316.45
20160223,315.00,317.42,306.41,309.86
20160224,304.49,311.87,297.89,307.98
20160225,309.59,313.75,303.87,313.62
20160226,316.60,318.57,311.92,313.92
20160229,312.60,315.63,311.09,311.96
20160301,315.27,323.03,314.13,322.57
20160302,320.10,327.23,318.40,326.73
20160303,323.46,324.97,320.43,323.14
20160304,323.28,325.87,320.70,323.76
20160307,320.52,327.86,317.83,326.73
20160308,323.30,325.00,316.75,320.40
20160309,323.91,328.35,321.00,328.31
20160310,329.77,330.00,320.00,324.99
20160311,330.00,340.19,326.65,339.65
20160314,337.46,338.91,334.21,337.82
20160315,333.13,334.33,330.39,334.13
20160316,333.15,335.50,329.59,334.07
20160317,334.23,344.73,332.67,341.94
20160318,344.21,346.96,339.63,342.56
20160321,342.77,345.82,339.04,341.98
20160322,337.17,342.83,337.17,340.22
20160323,340.98,341.86,337.30,339.23
20160324,336.47,337.87,331.73,334.28
20160328,336.00,338.64,334.21,336.91
20160329,336.24,340.43,332.00,339.91
20160330,343.63,344.91,340.81,341.37
20160331,340.34,344.20,339.93,340.57
20160401,337.27,344.56,335.07,342.53
20160404,342.00,343.29,336.24,338.52
20160405,335.92,336.66,331.45,334.80
20160406,334.40,338.73,334.09,337.20
20160407,334.37,335.87,326.93,328.37
20160408,332.74,335.24,330.80,331.60
20160411,334.91,337.16,332.78,332.96
20160412,334.04,339.87,332.33,339.31
20160413,343.00,348.62,341.42,348.29
20160414,343.00,356.20,342.00,354.91
20160415,354.42,358.31,353.59,357.74
20160418,353.00,359.45,351.05,358.00
20160419,361.54,366.31,361.20,364.66
20160420,365.94,368.91,364.45,366.92
20160421,364.36,367.88,362.24,364.09
20160422,365.16,369.21,363.83,365.47
20160425,364.01,365.00,360.47,363.66
20160426,363.74,366.00,362.31,365.96
20160427,366.00,369.33,363.81,367.47
20160428,363.20,365.88,357.68,358.83
20160429,356.63,358.04,353.15,356.33
20160502,358.77,362.68,355.12,361.50
20160503,356.00,356.63,352.08,355.69
20160504,352.59,355.53,350.73,352.17
20160505,352.42,354.50,351.17,352.08
20160506,350.56,357.09,350.23,356.01
20160509,355.95,357.75,353.29,355.01
20160510,358.00,360.30,355.77,360.18
20160511,358.40,359.78,353.42,353.82
20160512,356.56,357.71,352.68,355.60
20160513,354.72,357.85,346.27,347.29
20160516,347.61,354.15,347.61,351.83
20160517,350.78,352.86,347.62,348.82
20160518,347.05,356.71,347.05,353.49
20160519,350.38,353.22,345.69,350.57
20160520,353.61,357.33,352.17,354.01
20160523,354.00,356.53,353.17,353.90
20160524,358.00,361.71,356.40,361.18
20160525,363.44,365.47,363.13,364.09
20160526,364.10,364.85,361.44,363.10
20160527,363.34,366.05,363.34,365.09
20160531,366.30,366.30,361.99,363.85
20160601,361.56,365.92,358.85,364.59
20160602,360.88,363.16,356.71,361.11
20160603,358.49,359.88,351.88,359.37
20160606,358.88,364.48,358.88,362.06
20160607,363.26,363.64,358.81,359.06
20160608,358.56,361.67,358.40,360.35
20160609,356.65,359.00,355.39,357.96
20160610,351.50,352.37,345.64,346.97
20160613,346.16,350.57,344.47,344.59
20160614,343.08,344.59,339.49,339.79
20160615,342.33,344.08,339.01,339.55
20160616,336.88,339.90,332.01,339.46
20160617,340.33,343.27,339.58,341.88
20160620,349.51,351.97,347.84,348.43
20160621,349.11,350.59,346.51,348.00
20160622,348.50,351.74,346.74,347.67
20160623,352.81,356.93,351.91,356.85
20160624,337.13,343.88,331.01,332.51
20160627,326.48,326.63,317.60,319.54
20160628,324.33,326.97,318.00,323.96
20160629,329.00,336.92,327.25,336.74
20160630,337.96,342.67,334.23,342.53
20160701,342.03,346.30,339.60,341.28
20160705,338.66,339.17,332.53,336.08
20160706,332.50,338.20,329.58,336.11
20160707,335.00,337.55,331.21,335.11
20160708,341.58,345.39,339.04,345.20
20160711,348.04,349.44,345.14,347.50
20160712,350.01,357.84,349.55,357.37
20160713,357.58,358.89,354.01,357.50
20160714,354.50,362.00,352.99,355.19
20160715,355.94,357.59,351.13,356.85
20160718,357.56,359.69,356.80,357.78
20160719,355.46,357.48,355.40,356.58
20160720,358.66,360.73,355.58,359.78
20160721,359.28,360.30,357.66,359.50
20160722,360.40,363.21,359.27,363.05
20160725,363.00,363.78,360.08,361.42
20160726,360.75,362.74,358.67,361.93
20160727,362.19,365.67,361.21,363.31
20160728,362.64,364.98,360.69,363.37
20160729,362.87,367.22,362.80,366.25
20160801,366.66,368.45,365.52,368.32
20160802,366.10,367.92,364.98,367.08
20160803,367.08,369.00,366.37,368.16
20160804,367.67,369.16,365.65,366.25
20160805,370.28,375.26,369.01,374.75
20160808,374.54,375.95,370.93,371.69
20160809,372.50,372.50,368.24,368.65
20160810,369.52,369.52,365.51,366.44
20160811,366.29,368.81,366.29,367.39
20160812,365.00,367.07,364.00,366.60
20160815,368.00,371.77,367.73,370.74
20160816,369.12,370.95,366.99,367.07
20160817,367.02,370.42,366.56,370.10
20160818,369.02,370.90,369.02,370.79
20160819,369.93,372.98,367.74,372.05
20160822,371.90,372.49,369.75,371.55
20160823,374.48,374.48,372.15,372.28
20160824,371.65,372.76,368.36,369.12
20160825,368.00,369.36,366.67,368.50
20160826,370.00,373.91,368.52,371.09
20160829,372.14,375.72,371.86,373.80
20160830,374.10,376.65,373.60,376.00
20160831,372.52,374.04,370.66,372.81
20160901,374.12,375.83,366.72,372.17
20160902,374.51,375.69,371.91,373.85
20160906,373.81,374.49,369.76,371.59
20160907,369.86,373.65,368.00,373.54
20160908,372.02,373.44,371.18,372.38
20160909,369.66,370.17,362.13,362.18
20160912,360.00,369.32,358.42,368.10
20160913,365.57,367.75,358.86,360.91
20160914,361.78,364.74,359.28,360.70
20160915,360.70,366.86,359.35,365.50
20160916,362.64,366.58,360.11,365.97
20160919,368.87,372.41,366.52,367.96
20160920,371.81,371.81,365.71,365.71
20160921,367.66,371.24,366.33,370.37
20160922,373.68,375.95,372.30,373.87
20160923,372.09,373.26,365.55,365.65
20160926,363.00,364.56,359.90,360.70
20160927,359.00,362.61,358.29,361.79
20160928,363.78,363.79,359.14,361.68
20160929,360.00,363.64,354.02,357.23
20160930,359.95,363.88,358.00,362.46
20161003,361.70,364.13,357.73,360.07
20161004,360.50,361.52,355.26,356.03
20161005,357.63,359.72,355.67,358.24
