Date,Open,High,Low,Close
20151127,34.35,34.60,34.03,34.51
20151130,34.48,34.76,34.26,34.71
20151201,34.71,35.00,34.37,34.42
20151202,34.37,34.80,33.67,33.75
20151203,34.22,34.51,33.74,33.95
20151204,33.96,34.92,33.92,34.88
20151207,34.58,34.81,34.07,34.40
20151208,34.01,34.13,33.26,33.72
20151209,34.07,34.97,33.79,34.42
20151210,34.83,36.24,34.67,35.95
20151211,35.38,36.08,35.13,35.67
20151214,35.62,35.76,35.14,35.42
20151215,35.67,35.75,35.28,35.57
20151216,35.81,35.95,35.25,35.81
20151217,35.89,36.00,35.17,35.26
20151218,35.13,35.36,34.77,34.90
20151221,35.09,35.29,34.60,35.17
20151222,35.24,35.63,34.83,35.47
20151223,35.79,36.35,35.57,36.29
20151224,36.25,36.44,36.06,36.27
20151228,36.14,36.47,35.99,36.38
20151229,36.52,36.93,36.30,36.91
20151230,36.80,37.12,36.65,36.67
20151231,36.45,36.67,36.22,36.37
20160104,35.80,36.08,35.37,36.05
20160105,36.12,36.50,36.05,36.48
20160106,35.95,36.32,35.90,36.13
20160107,35.57,35.72,35.08,35.18
20160108,35.46,35.49,34.83,34.89
20160111,34.95,35.17,34.15,34.58
20160112,34.89,35.51,34.85,35.29
20160113,35.44,35.49,34.23,34.32
20160114,34.31,34.58,33.65,34.41
20160115,33.43,34.55,33.25,34.49
20160119,34.72,35.17,34.20,34.67
20160120,33.78,34.60,33.33,34.30
20160121,34.10,34.42,33.51,33.53
20160122,33.90,34.43,33.69,34.38
20160125,34.17,34.38,33.10,33.31
20160126,33.50,34.04,33.35,33.92
20160127,33.74,33.81,32.86,33.05
20160128,31.50,33.65,31.50,33.45
20160129,33.33,33.60,32.88,33.42
20160201,33.22,33.71,32.93,33.60
20160202,33.25,33.26,32.68,32.79
20160203,32.81,33.15,32.42,33.06
20160204,33.31,34.07,33.10,33.92
20160205,33.67,33.88,32.40,32.61
20160208,32.40,32.40,31.15,31.95
20160209,31.80,32.82,31.64,32.58
20160210,32.62,33.12,32.47,32.63
20160211,32.22,32.35,31.75,32.04
20160212,32.28,32.79,32.15,32.58
20160216,32.96,33.22,32.53,33.13
20160217,33.42,33.63,33.01,33.56
20160218,33.47,33.68,33.22,33.26
20160219,33.12,33.17,32.58,33.03
20160222,33.35,33.74,33.10,33.24
20160223,32.99,33.26,32.77,33.01
20160224,32.72,33.51,32.62,33.45
20160225,33.33,33.47,32.96,33.42
20160226,33.60,33.88,33.31,33.51
20160229,33.45,33.76,33.12,33.12
20160301,33.45,34.16,33.13,33.95
20160302,33.80,34.35,33.68,34.03
20160303,33.88,34.40,33.85,34.35
20160304,34.24,34.33,33.90,34.09
20160307,33.88,34.04,33.42,33.63
20160308,33.35,33.91,33.30,33.71
20160309,33.56,33.99,33.56,33.75
20160310,33.41,33.76,33.21,33.59
20160311,33.95,34.64,33.69,34.51
20160314,34.36,34.79,34.17,34.38
20160315,34.03,34.62,33.93,34.29
20160316,34.20,34.95,34.15,34.83
20160317,34.92,35.99,34.92,35.79
20160318,35.92,35.96,35.15,35.19
20160321,35.10,35.15,34.75,34.95
20160322,34.80,35.47,34.78,35.26
20160323,35.28,35.58,35.17,35.24
20160324,35.05,35.27,34.78,35.12
20160328,35.26,35.33,34.92,35.18
20160329,35.15,35.54,34.99,35.51
20160330,35.68,35.70,35.26,35.45
20160331,35.82,35.97,35.53,35.65
20160401,35.54,35.86,35.15,35.80
20160404,35.72,35.96,35.24,35.30
20160405,35.14,35.43,34.62,35.26
20160406,35.26,35.67,35.20,35.65
20160407,35.44,35.67,35.17,35.32
20160408,35.55,35.56,35.16,35.40
20160411,35.47,35.64,35.00,35.24
20160412,35.31,35.67,35.13,35.58
20160413,35.75,35.97,35.22,35.94
20160414,35.72,35.96,35.62,35.92
20160415,35.92,36.22,35.78,36.14
20160418,35.94,37.33,35.94,37.31
20160419,37.38,37.70,37.30,37.49
20160420,37.45,37.84,37.26,37.67
20160421,37.60,37.73,37.15,37.58
20160422,37.57,38.15,37.43,37.92
20160425,38.03,38.35,37.30,37.35
20160426,37.46,37.58,37.17,37.53
20160427,37.60,37.62,37.16,37.43
20160428,36.60,37.16,35.93,36.47
20160429,36.23,36.38,35.38,35.69
20160502,35.69,36.17,35.61,36.03
20160503,36.15,36.17,35.30,35.78
20160504,35.46,36.06,35.42,36.02
20160505,36.03,36.11,35.87,35.92
20160506,35.88,36.01,35.49,35.72
20160509,35.63,36.22,35.44,36.01
20160510,36.05,36.31,35.93,36.08
20160511,36.15,36.41,35.97,36.08
20160512,36.40,36.68,36.17,36.42
20160513,36.26,36.40,36.00,36.07
20160516,36.08,36.66,36.08,36.55
20160517,36.50,36.55,35.75,35.85
20160518,35.71,36.24,35.42,35.88
20160519,35.52,35.80,35.22,35.71
20160520,35.88,36.00,35.76,35.88
20160523,35.76,35.84,35.46,35.47
20160524,35.76,36.03,35.56,35.88
20160525,35.95,36.31,35.88,36.04
20160526,36.12,36.20,35.77,35.91
20160527,35.74,36.14,35.74,36.13
20160531,35.92,36.15,35.77,36.15
20160601,36.15,36.15,35.60,35.96
20160602,35.85,36.85,35.72,36.84
20160603,36.70,37.22,36.60,37.12
20160606,37.11,37.22,36.96,37.15
20160607,37.25,37.47,37.06,37.26
20160608,37.24,37.50,36.99,37.48
20160609,37.19,37.49,37.04,37.44
20160610,37.19,37.20,36.69,36.84
20160613,36.54,36.60,35.94,36.01
20160614,35.49,36.01,35.30,35.97
20160615,36.00,36.09,35.71,36.01
20160616,35.54,35.96,35.38,35.93
20160617,35.94,35.94,35.47,35.73
20160620,36.17,36.46,35.97,36.03
20160621,36.01,36.25,35.97,35.99
20160622,36.17,36.29,36.00,36.24
20160623,36.69,36.97,36.45,36.76
20160624,35.26,35.90,34.63,34.71
20160627,34.30,34.43,33.76,34.17
20160628,34.38,35.38,34.05,35.30
20160629,35.65,35.83,35.21,35.70
20160630,35.60,36.19,35.10,36.15
20160701,36.31,36.62,35.02,35.71
20160705,35.62,35.70,34.83,35.03
20160706,35.04,35.27,34.62,35.17
20160707,35.43,35.83,35.22,35.41
20160708,35.84,35.99,35.58,35.81
20160711,36.00,36.03,35.53,35.85
20160712,36.20,36.20,35.63,35.64
20160713,35.91,35.98,35.53,35.67
20160714,35.81,35.81,35.20,35.65
20160715,35.75,35.93,34.98,35.01
20160718,34.95,34.99,34.34,34.97
20160719,34.87,34.92,34.53,34.88
20160720,34.81,35.33,34.78,35.27
20160721,35.36,35.78,35.29,35.47
20160722,35.42,35.53,35.30,35.38
20160725,35.33,35.55,35.15,35.53
20160726,35.46,35.79,35.40,35.74
20160727,35.79,35.87,35.39,35.58
20160728,35.53,35.61,35.24,35.46
20160729,35.28,35.47,35.22,35.33
20160801,35.47,35.53,35.25,35.35
20160802,35.24,35.38,34.91,35.03
20160803,35.04,35.15,34.88,35.05
20160804,37.28,39.38,37.28,39.26
20160805,39.26,39.72,38.96,39.58
20160808,39.56,40.22,39.35,40.10
20160809,40.30,40.62,39.82,40.03
20160810,40.09,40.39,39.85,40.10
20160811,40.32,40.42,40.09,40.28
20160812,40.33,40.50,39.97,40.15
20160815,40.04,40.47,40.04,40.37
20160816,40.24,40.38,40.05,40.15
20160817,40.13,40.17,39.90,40.13
20160818,40.19,40.24,39.94,40.13
20160819,39.91,40.33,39.62,40.29
20160822,40.06,40.35,40.03,40.35
20160823,40.35,40.39,40.13,40.26
20160824,40.17,40.35,39.83,39.90
20160825,39.88,40.10,39.72,39.91
20160826,40.07,40.07,39.09,39.35
20160829,39.37,39.65,39.22,39.47
20160830,39.29,39.51,39.22,39.47
20160831,39.26,39.67,39.15,39.60
20160901,39.70,39.95,39.35,39.92
20160902,40.13,40.35,40.02,40.33
