Date,Open,High,Low,Close
20151127,68.08,68.44,67.81,67.85
20151130,67.85,67.99,66.85,67.01
20151201,67.54,68.37,66.93,68.26
20151202,68.62,69.71,67.66,67.78
20151203,67.59,68.04,66.14,66.45
20151204,66.88,69.31,66.85,69.11
20151207,69.00,69.45,68.48,68.84
20151208,68.38,69.85,68.35,69.40
20151209,69.10,69.39,68.27,68.56
20151210,68.56,69.42,68.17,68.94
20151211,68.94,68.94,67.47,67.62
20151214,67.89,68.69,67.34,68.64
20151215,69.30,70.48,69.30,70.22
20151216,70.35,70.84,69.07,70.71
20151217,70.79,70.87,69.21,69.28
20151218,68.81,69.18,67.63,67.64
20151221,68.23,68.65,67.31,68.04
20151222,68.30,68.44,67.36,68.31
20151223,68.55,69.10,68.24,68.99
20151224,68.78,69.25,68.44,68.97
20151228,68.76,69.18,68.63,69.17
20151229,69.49,70.14,69.35,69.74
20151230,69.50,70.03,69.35,69.52
20151231,69.12,69.73,68.79,68.79
20160104,67.45,67.91,66.38,67.03
20160105,67.50,68.90,67.42,68.35
20160106,67.47,68.27,66.85,67.15
20160107,65.85,66.69,64.95,65.29
20160108,65.60,65.79,63.50,63.63
20160111,63.71,63.99,61.98,62.98
20160112,63.25,63.79,62.12,63.44
20160113,63.60,64.48,61.19,61.28
20160114,61.32,63.91,60.89,63.51
20160115,61.69,62.92,61.07,62.78
20160119,63.61,64.43,62.56,63.21
20160120,62.24,64.58,61.80,63.55
20160121,63.94,63.97,62.50,63.13
20160122,64.46,64.80,63.65,64.40
20160125,64.23,64.42,62.64,62.92
20160126,63.03,63.05,61.92,62.69
20160127,62.94,62.95,61.16,61.71
20160128,64.17,64.25,60.00,61.16
20160129,61.65,62.64,61.16,62.16
20160201,61.87,62.36,60.05,60.82
20160202,60.03,60.30,58.46,58.87
20160203,59.20,60.18,57.94,60.12
20160204,59.62,60.75,59.19,59.70
20160205,59.75,60.06,58.99,59.63
20160208,59.04,61.17,58.77,60.72
20160209,60.27,61.98,60.03,61.02
20160210,61.25,62.42,60.92,61.08
20160211,59.88,60.25,58.94,59.52
20160212,60.20,60.41,59.16,60.20
20160216,62.72,62.72,61.35,62.18
20160217,62.89,64.02,61.96,63.92
20160218,63.95,64.02,62.91,63.32
20160219,62.92,64.54,62.91,63.80
20160222,63.90,64.42,63.33,63.70
20160223,63.28,63.35,62.02,62.07
20160224,61.84,62.36,60.83,62.23
20160225,62.63,63.06,62.30,63.03
20160226,63.35,63.58,62.24,62.25
20160229,62.26,62.73,61.92,61.93
20160301,62.31,64.24,61.92,64.22
20160302,64.18,65.09,63.71,64.90
20160303,64.49,65.24,63.64,65.00
20160304,65.00,65.29,64.17,64.71
20160307,64.50,66.63,64.45,66.49
20160308,66.11,66.36,65.73,66.26
20160309,66.66,66.68,64.95,65.54
20160310,66.17,66.26,64.48,64.94
20160311,65.18,65.59,64.54,64.96
20160314,64.68,64.70,64.01,64.12
20160315,63.97,64.28,63.32,63.68
20160316,63.38,64.32,62.21,62.64
20160317,62.52,62.61,60.98,61.47
20160318,61.54,62.83,61.00,62.83
20160321,62.53,62.88,62.13,62.70
20160322,62.58,63.25,62.38,62.80
20160323,63.08,63.08,62.26,62.34
20160324,62.18,62.56,61.73,62.52
20160328,62.58,63.15,62.22,62.77
20160329,62.45,64.45,62.33,64.19
20160330,63.96,64.16,63.20,63.44
20160331,63.60,64.04,63.30,63.88
20160401,63.66,65.19,63.50,64.91
20160404,65.01,66.33,64.77,65.97
20160405,65.83,66.80,65.60,65.76
20160406,65.76,67.14,65.76,66.54
20160407,66.05,66.63,65.60,66.28
20160408,66.83,66.93,65.64,66.07
20160411,66.20,66.49,65.77,65.98
20160412,65.96,67.29,65.86,66.84
20160413,67.00,67.66,66.42,67.57
20160414,67.66,68.31,67.52,67.87
20160415,67.94,68.30,67.57,68.05
20160418,68.08,68.95,67.59,68.86
20160419,68.85,69.74,68.19,68.91
20160420,69.18,69.55,68.41,69.23
20160421,69.02,70.24,68.88,70.16
20160422,70.25,71.07,70.25,70.68
20160425,70.61,70.83,70.04,70.63
