Date,Open,High,Low,Close
20151127,55.02,55.20,54.66,55.10
20151130,55.11,55.49,54.70,54.98
20151201,55.20,55.32,54.92,55.21
20151202,55.20,55.20,54.54,54.65
20151203,54.70,54.84,53.65,54.04
20151204,54.21,55.15,54.20,54.95
20151207,54.91,55.11,54.01,54.65
20151208,54.19,54.31,53.69,54.15
20151209,53.89,53.99,52.40,52.57
20151210,52.40,53.19,52.31,52.86
20151211,52.24,53.09,52.20,52.67
20151214,52.83,53.25,52.76,53.18
20151215,53.47,53.74,53.06,53.66
20151216,54.10,54.68,53.59,54.44
20151217,54.47,54.88,53.87,53.87
20151218,53.72,54.06,53.28,53.55
20151221,53.83,54.08,53.40,53.86
20151222,54.00,54.36,53.72,54.18
20151223,54.51,54.65,54.13,54.63
20151224,54.50,54.78,54.50,54.60
20151228,54.47,54.76,54.13,54.75
20151229,55.22,55.38,54.49,54.84
20151230,54.80,55.16,54.50,54.54
20151231,54.35,54.57,53.73,53.73
20160104,52.91,53.04,51.96,52.39
20160105,52.39,53.07,52.31,52.93
20160106,52.32,53.00,52.21,52.52
20160107,51.62,51.85,50.74,50.83
20160108,51.85,52.18,50.35,50.48
20160111,50.54,50.94,49.79,50.67
20160112,51.03,51.42,50.80,51.27
20160113,51.36,51.36,49.38,49.64
20160114,49.75,50.84,49.09,50.73
20160115,49.38,50.45,49.27,50.41
20160119,50.82,51.06,50.07,50.81
20160120,50.13,50.77,48.56,50.24
20160121,50.27,50.82,49.77,50.14
20160122,50.80,51.85,50.75,51.85
20160125,51.79,52.15,51.43,51.53
20160126,51.65,52.16,51.25,52.09
20160127,52.07,53.19,51.78,52.21
20160128,52.60,52.90,51.96,52.37
20160129,52.50,54.00,52.21,53.56
20160201,53.17,54.12,52.93,53.86
20160202,53.19,53.38,52.33,52.54
20160203,52.93,53.11,52.10,52.98
20160204,54.28,54.28,52.02,52.73
20160205,52.50,52.92,51.03,51.49
20160208,50.86,52.10,50.30,51.95
20160209,51.31,52.70,51.30,52.22
20160210,52.71,54.15,52.45,53.53
20160211,52.76,53.71,52.65,53.40
20160212,53.91,54.40,53.58,54.35
20160216,54.96,55.36,54.78,55.08
20160217,55.43,55.62,54.89,55.43
20160218,55.43,55.58,55.01,55.52
20160219,55.45,55.95,55.36,55.75
20160222,56.18,56.47,55.88,56.14
20160223,56.00,56.92,55.86,56.52
20160224,55.91,56.04,55.23,55.72
20160225,55.86,56.63,55.43,56.62
20160226,56.78,57.06,56.42,56.57
20160229,56.45,56.97,56.11,56.13
20160301,56.55,57.57,56.32,57.55
20160302,57.47,57.61,56.91,57.42
20160303,57.43,57.54,57.12,57.51
20160304,57.45,57.56,57.06,57.50
20160307,57.21,57.46,56.90,57.29
20160308,56.86,57.00,56.37,56.52
20160309,56.77,56.98,56.37,56.70
20160310,56.68,56.83,55.53,55.80
20160311,56.17,56.37,55.94,56.20
20160314,55.91,56.38,55.90,56.21
20160315,55.94,56.44,55.90,56.15
20160316,56.09,56.74,55.96,56.58
20160317,56.68,57.59,56.56,57.38
20160318,57.35,58.10,57.18,57.98
20160321,57.90,58.01,57.56,57.69
20160322,57.60,57.86,57.31,57.60
20160323,57.53,57.58,57.21,57.31
20160324,57.06,57.22,56.40,56.97
20160328,56.97,58.05,56.77,57.76
20160329,57.59,59.04,57.33,59.02
20160330,59.22,59.48,59.06,59.18
20160331,59.11,59.65,58.85,59.31
20160401,59.01,59.59,58.20,59.42
20160404,59.39,59.69,58.91,58.98
20160405,58.65,58.97,58.33,58.58
20160406,58.70,59.49,58.42,59.42
20160407,59.09,59.09,58.26,58.62
20160408,58.94,59.32,58.49,58.91
20160411,59.03,59.26,58.75,59.06
20160412,58.86,59.03,58.34,58.52
20160413,58.88,59.74,58.61,59.73
20160414,59.62,60.12,58.57,59.71
20160415,59.46,59.99,59.42,59.59
20160418,59.41,60.49,59.41,60.36
20160419,60.45,61.06,60.40,61.05
20160420,60.97,60.97,60.06,60.43
20160421,60.44,60.56,59.69,59.85
20160422,59.66,60.17,59.39,60.08
