Date,Open,High,Low,Close
20151127,18.40,18.52,18.30,18.33
20151130,18.40,18.47,18.24,18.28
20151201,18.45,18.54,18.21,18.52
20151202,18.50,18.62,18.38,18.41
20151203,18.41,18.54,17.99,18.04
20151204,18.09,18.52,18.06,18.51
20151207,18.45,18.60,18.29,18.57
20151208,18.46,18.77,18.37,18.73
20151209,18.58,18.85,18.40,18.48
20151210,18.47,18.66,18.35,18.44
20151211,18.19,18.35,18.00,18.10
20151214,18.15,18.54,18.14,18.39
20151215,18.60,18.75,18.51,18.66
20151216,18.86,18.94,18.50,18.88
20151217,18.86,18.90,18.57,18.60
20151218,18.45,18.51,18.13,18.19
20151221,18.31,18.36,18.12,18.27
20151222,18.37,18.53,18.02,18.49
20151223,18.61,18.78,18.52,18.74
20151224,18.65,18.84,18.64,18.72
20151228,18.64,18.74,18.48,18.73
20151229,18.82,18.86,18.64,18.74
20151230,18.75,18.80,18.54,18.61
20151231,18.48,18.66,18.44,18.44
20160104,18.16,18.16,17.81,17.99
20160105,18.00,18.27,17.99,18.18
20160106,17.94,18.23,17.86,18.00
20160107,17.64,17.90,17.48,17.64
20160108,17.70,17.72,17.37,17.43
20160111,17.48,17.51,16.95,17.13
20160112,17.24,17.86,17.18,17.79
20160113,17.89,18.38,17.52,17.55
20160114,17.63,18.33,17.55,18.16
20160115,17.70,18.04,17.61,17.87
20160119,18.03,18.33,17.40,17.57
20160120,17.32,17.70,16.87,17.54
20160121,17.58,17.82,17.37,17.56
20160122,17.81,17.93,17.70,17.85
20160125,17.81,17.97,17.46,17.53
20160126,17.62,17.66,17.33,17.38
20160127,17.37,17.56,17.13,17.22
20160128,17.28,17.31,16.68,16.90
20160129,17.02,17.57,17.01,17.53
20160201,17.45,18.02,17.27,17.88
20160202,17.63,17.94,17.59,17.84
20160203,18.00,18.00,17.31,17.73
20160204,17.25,17.50,16.67,17.34
20160205,17.25,17.43,16.58,16.62
20160208,16.45,16.51,15.67,16.07
20160209,16.42,16.96,16.25,16.87
20160210,16.99,17.26,16.88,16.92
20160211,16.60,16.80,16.42,16.58
20160212,16.70,16.74,16.40,16.64
20160216,16.78,17.23,16.62,17.16
20160217,17.40,17.63,17.15,17.57
20160218,17.54,17.70,17.18,17.21
20160219,17.18,17.25,16.98,17.16
20160222,17.16,17.40,17.16,17.26
20160223,17.11,17.34,17.08,17.24
20160224,17.14,17.38,17.09,17.33
20160225,17.48,17.54,17.17,17.32
20160226,17.35,17.48,17.19,17.21
20160229,17.17,17.25,16.98,16.98
20160301,17.02,17.27,16.82,17.22
20160302,17.18,17.40,17.00,17.37
20160303,17.26,17.46,17.24,17.41
20160304,17.42,17.61,17.30,17.44
20160307,17.29,17.51,17.28,17.33
20160308,17.23,17.43,17.19,17.35
20160309,17.41,17.43,17.13,17.42
20160310,17.46,17.58,17.22,17.48
20160311,17.55,18.09,17.55,18.05
20160314,17.90,18.18,17.83,18.14
20160315,18.02,18.18,17.83,17.91
20160316,17.88,17.95,17.70,17.89
20160317,17.90,18.00,17.58,17.93
20160318,18.00,18.30,17.93,18.12
20160321,18.03,18.11,17.87,18.11
20160322,17.96,18.47,17.95,18.29
20160323,18.35,18.37,18.07,18.16
20160324,18.02,18.07,17.78,17.93
20160328,18.00,18.07,17.87,18.04
20160329,18.04,18.63,17.99,18.55
20160330,18.60,18.84,18.51,18.82
20160331,18.85,18.89,18.61,18.81
20160401,18.72,19.00,18.65,18.94
20160404,18.95,19.48,18.93,19.47
20160405,19.30,19.55,19.15,19.17
20160406,19.26,19.67,19.14,19.56
20160407,19.48,19.55,19.18,19.29
20160408,19.45,19.49,19.22,19.31
20160411,19.27,19.34,19.11,19.17
20160412,19.22,19.34,19.14,19.31
20160413,19.40,19.59,19.28,19.57
20160414,19.58,19.62,19.49,19.55
20160415,19.55,19.56,19.35,19.46
20160418,19.46,19.54,19.34,19.47
20160419,19.52,19.67,19.48,19.67
20160420,19.74,19.80,19.38,19.65
20160421,19.65,19.72,19.49,19.59
20160422,19.65,19.84,19.52,19.76
20160425,19.72,19.84,19.66,19.74
20160426,19.84,19.87,19.59,19.69
20160427,21.45,22.05,20.97,21.89
20160428,22.07,22.42,21.70,21.83
20160429,21.65,21.96,21.65,21.92
20160502,21.92,22.22,21.84,22.00
20160503,21.89,22.02,21.60,21.78
20160504,21.67,21.89,21.48,21.81
20160505,21.77,21.92,21.70,21.80
20160506,21.72,22.08,21.64,22.03
20160509,22.00,22.22,21.96,22.14
20160510,22.20,22.25,22.10,22.22
20160511,22.15,22.25,22.04,22.06
20160512,22.21,22.21,21.84,22.05
20160513,22.00,22.36,21.92,22.35
20160516,22.37,23.01,22.32,22.67
20160517,22.67,22.74,22.17,22.31
20160518,22.27,22.42,22.08,22.29
20160519,22.15,22.31,22.02,22.17
20160520,22.29,22.52,22.21,22.37
20160523,22.15,22.50,22.00,22.36
20160524,22.48,22.65,22.39,22.53
20160525,22.54,22.62,22.32,22.39
20160526,22.37,22.64,22.29,22.56
20160527,22.60,22.64,22.50,22.58
20160531,22.56,22.75,22.52,22.71
20160601,22.65,22.77,22.58,22.71
20160602,22.65,23.03,22.64,22.99
20160603,22.98,22.99,22.73,22.80
20160606,22.80,22.83,22.66,22.75
20160607,22.74,22.76,22.54,22.63
20160608,22.65,22.92,22.50,22.80
20160609,22.76,23.35,22.76,23.32
20160610,23.22,23.24,22.88,23.02
20160613,22.96,23.15,22.90,22.95
20160614,22.87,22.93,22.67,22.93
20160615,23.02,23.04,22.75,22.80
20160616,22.72,22.84,22.51,22.83
20160617,22.87,22.91,22.32,22.49
20160620,22.77,22.97,22.71,22.85
20160621,22.97,23.02,22.68,22.76
20160622,22.85,22.98,22.57,22.66
20160623,22.91,22.97,22.84,22.97
20160624,22.35,22.95,22.30,22.37
20160627,22.22,22.28,21.83,21.98
20160628,22.20,22.37,22.10,22.35
20160629,22.55,23.12,22.55,23.03
20160630,23.07,23.37,23.04,23.37
20160701,23.40,23.49,23.29,23.41
20160705,23.29,23.43,23.21,23.30
