Date,Open,High,Low,Close
20151127,54.06,54.37,53.72,54.21
20151130,54.34,54.46,53.97,54.09
20151201,54.40,54.91,54.25,54.88
20151202,54.99,55.02,54.03,54.14
20151203,54.42,54.60,53.35,53.51
20151204,53.66,55.33,53.52,55.09
20151207,54.77,54.88,53.91,54.40
20151208,53.84,54.01,53.18,53.39
20151209,53.05,53.81,52.31,52.81
20151210,52.89,53.24,52.17,52.65
20151211,51.94,52.21,50.67,51.11
20151214,51.14,51.73,50.50,51.10
20151215,51.85,52.80,51.85,52.52
20151216,53.04,54.01,52.30,53.90
20151217,54.01,54.20,52.71,52.84
20151218,52.46,52.68,51.16,51.21
20151221,51.71,51.91,51.08,51.79
20151222,51.99,52.13,51.39,52.01
20151223,52.30,52.64,52.08,52.63
20151224,52.48,52.97,52.45,52.71
20151228,52.57,52.57,51.96,52.38
20151229,52.76,53.22,52.74,52.98
20151230,52.84,52.94,52.25,52.30
20151231,52.07,52.39,51.75,51.75
20160104,50.75,51.19,50.19,51.13
20160105,51.54,51.61,50.41,50.86
20160106,50.10,50.58,49.76,50.12
20160107,49.07,49.38,47.50,47.56
20160108,48.73,48.74,46.03,46.13
20160111,46.56,46.99,45.93,46.85
20160112,47.50,47.50,46.27,46.88
20160113,47.32,47.35,44.97,45.19
20160114,45.42,45.82,44.57,45.38
20160115,42.51,43.69,41.85,42.47
20160119,42.85,43.12,41.66,41.94
20160120,40.52,41.03,39.44,40.49
20160121,40.51,41.39,40.03,40.15
20160122,41.05,41.35,40.82,41.06
20160125,40.81,40.96,39.45,39.55
20160126,39.60,40.79,39.50,40.50
20160127,40.37,41.69,40.23,40.56
20160128,41.20,41.39,40.07,40.39
20160129,40.80,42.59,40.78,42.58
20160201,42.36,42.83,42.00,42.48
20160202,41.86,41.86,40.28,40.42
20160203,40.65,40.71,38.04,40.36
20160204,40.11,41.57,40.05,40.79
20160205,41.02,41.44,39.55,39.86
20160208,39.14,39.18,37.18,37.81
20160209,36.93,38.07,36.68,37.51
20160210,38.50,39.09,37.38,37.41
20160211,36.00,36.16,34.52,34.98
20160212,36.03,37.87,35.98,37.54
20160216,38.59,39.22,38.32,38.89
20160217,39.71,40.29,39.50,39.78
20160218,39.93,39.99,38.62,38.92
20160219,38.82,39.06,38.06,38.99
20160222,39.67,39.97,39.30,39.52
20160223,39.12,39.19,38.04,38.22
20160224,37.44,38.18,36.61,38.09
20160225,38.23,38.65,38.01,38.62
20160226,39.06,40.02,38.76,39.50
20160229,39.43,39.80,38.85,38.85
20160301,39.15,41.29,39.10,41.27
20160302,41.24,42.25,41.09,42.22
20160303,42.14,42.87,41.89,42.83
20160304,43.07,43.59,42.47,42.83
20160307,42.36,42.93,42.08,42.61
20160308,42.15,42.31,40.99,41.05
20160309,41.36,41.43,40.63,41.15
20160310,41.61,42.15,40.61,41.37
20160311,42.27,43.01,41.76,42.99
20160314,42.66,42.91,42.21,42.67
20160315,42.26,42.62,41.97,42.59
20160316,42.13,43.05,41.50,42.23
20160317,41.99,42.93,41.38,42.85
20160318,43.43,43.97,43.25,43.54
20160321,43.43,44.26,43.25,43.60
20160322,43.27,43.63,42.91,43.38
20160323,43.28,43.50,42.28,42.37
20160324,41.78,41.94,41.03,41.94
20160328,42.10,42.18,41.68,41.92
20160329,41.78,41.78,41.14,41.72
20160330,41.98,42.59,41.85,41.88
20160331,41.83,42.34,41.59,41.75
20160401,41.52,42.60,41.30,42.47
20160404,42.36,42.70,41.98,42.06
20160405,41.45,41.90,41.12,41.51
20160406,41.53,41.89,41.19,41.86
20160407,41.30,41.48,39.95,40.27
20160408,40.86,41.28,40.37,40.47
20160411,40.74,41.51,40.71,41.12
20160412,41.28,41.96,41.12,41.90
20160413,42.55,44.49,42.55,44.25
20160414,44.14,45.29,44.02,44.98
20160415,46.45,46.56,44.60,44.92
20160418,44.42,45.25,44.21,45.11
20160419,45.42,45.93,45.23,45.63
20160420,45.74,46.75,45.73,46.74
20160421,46.79,46.95,46.23,46.60
20160422,46.69,47.35,46.62,46.97
20160425,46.63,46.93,46.14,46.69
20160426,46.71,47.16,46.42,47.10
20160427,46.89,47.84,46.79,47.33
20160428,46.79,47.53,46.55,46.73
20160429,46.52,46.86,46.06,46.28
20160502,46.54,46.83,45.90,46.68
20160503,45.77,45.83,44.98,45.57
20160504,44.88,45.02,44.17,44.66
20160505,44.78,45.08,44.16,44.23
20160506,43.81,44.42,43.72,44.41
20160509,44.31,44.61,43.65,43.89
20160510,44.34,44.90,44.11,44.84
20160511,44.66,45.38,44.46,44.47
20160512,44.84,45.17,43.77,44.00
20160513,43.98,44.57,43.00,43.11
20160516,43.11,43.50,42.94,43.15
20160517,43.07,43.89,42.81,43.70
20160518,43.75,46.14,43.75,45.87
20160519,45.60,46.06,44.63,45.06
20160520,45.42,45.70,44.79,44.90
20160523,44.85,45.18,44.57,45.11
20160524,45.45,46.19,45.31,45.86
20160525,46.19,47.60,46.19,46.94
20160526,47.04,47.12,46.07,46.11
20160527,46.24,46.67,46.08,46.58
20160531,46.88,46.90,46.31,46.57
20160601,46.04,46.99,45.48,46.94
20160602,46.86,47.06,46.60,46.97
20160603,45.11,45.60,44.25,45.39
20160606,45.39,46.26,45.21,45.74
20160607,46.04,46.10,45.51,45.54
20160608,45.48,45.90,45.30,45.56
20160609,45.18,45.21,44.65,45.01
20160610,44.27,44.40,43.68,43.90
20160613,43.23,44.06,43.15,43.16
20160614,43.04,43.54,41.52,41.96
20160615,42.30,42.89,41.97,42.01
20160616,41.61,42.18,41.15,42.12
20160617,42.44,42.94,42.15,42.48
20160620,43.46,44.05,42.78,42.80
20160621,43.17,43.21,42.47,42.92
20160622,42.87,43.43,42.64,42.68
20160623,43.51,44.50,43.47,44.46
20160624,40.63,41.39,40.26,40.30
20160627,39.58,39.64,38.31,38.48
20160628,39.81,40.63,39.20,40.44
20160629,41.14,42.19,40.90,42.12
20160630,42.68,42.80,41.68,42.39
20160701,42.30,42.69,41.97,42.17
20160705,41.38,41.50,40.42,40.78
20160706,40.15,41.08,40.03,41.06
20160707,41.33,42.06,41.09,41.29
20160708,41.80,42.27,41.63,41.98
20160711,42.39,42.75,42.29,42.29
20160712,42.82,43.48,42.76,43.44
20160713,43.33,43.68,43.02,43.33
20160714,44.38,44.77,44.12,44.45
20160715,44.45,45.03,43.85,44.33
20160718,44.28,44.90,44.24,44.57
20160719,44.19,44.69,44.06,44.35
20160720,44.53,44.70,44.20,44.47
20160721,44.50,44.70,44.11,44.13
20160722,44.10,44.36,43.83,44.30
20160725,44.31,44.36,43.91,44.04
20160726,43.93,44.24,43.90,44.15
20160727,44.20,44.71,44.13,44.29
20160728,44.00,44.17,43.68,44.08
20160729,43.87,44.16,43.76,43.81
20160801,43.92,44.02,43.24,43.42
20160802,43.23,43.63,42.50,42.99
20160803,42.93,43.94,42.86,43.89
20160804,43.74,44.04,43.66,43.84
20160805,44.63,45.73,44.51,45.72
20160808,45.83,46.16,45.48,45.96
20160809,45.95,46.11,45.67,45.90
20160810,45.80,45.90,45.39,45.45
20160811,45.51,45.91,45.29,45.73
20160812,45.41,45.60,45.22,45.58
20160815,45.82,46.50,45.82,46.39
20160816,46.25,46.79,46.14,46.62
20160817,46.51,46.80,46.38,46.63
20160818,46.57,46.70,46.21,46.50
