Date,Open,High,Low,Close
20151127,32.40,32.51,32.26,32.41
20151130,32.30,32.41,31.84,31.85
20151201,32.00,32.42,31.74,31.82
20151202,31.77,31.99,31.56,31.76
20151203,32.06,32.26,30.96,31.13
20151204,31.42,32.04,31.21,32.02
20151207,32.01,32.19,31.54,31.73
20151208,31.47,31.59,31.14,31.56
20151209,31.32,31.80,31.11,31.44
20151210,31.39,31.68,31.14,31.38
20151211,31.00,31.09,30.40,30.59
20151214,30.64,30.93,30.33,30.58
20151215,30.85,31.07,30.57,30.82
20151216,31.22,31.98,31.08,31.75
20151217,31.67,31.99,31.34,31.62
20151218,31.36,31.96,31.34,31.59
20151221,31.88,32.15,31.61,31.90
20151222,32.04,32.56,31.88,32.24
20151223,32.25,33.20,32.20,33.01
20151224,33.00,33.06,32.72,32.79
20151228,32.68,32.99,32.63,32.97
20151229,33.00,33.38,32.99,33.23
20151230,33.11,33.39,33.02,33.14
20151231,32.94,33.16,32.49,32.81
20160104,32.44,32.63,31.95,32.33
20160105,32.37,32.57,32.21,32.35
20160106,32.04,32.75,31.91,32.52
20160107,32.05,32.38,31.26,31.41
20160108,31.57,31.77,31.20,31.56
20160111,31.63,31.77,30.97,31.28
20160112,31.51,31.74,31.30,31.67
20160113,31.75,31.84,30.72,30.76
20160114,30.79,31.33,30.60,31.15
20160115,30.44,30.64,29.88,30.38
20160119,30.54,30.67,30.13,30.25
20160120,29.94,30.28,29.55,30.12
20160121,30.54,30.68,30.10,30.54
20160122,30.87,31.39,30.66,31.32
20160125,31.05,31.13,30.29,30.41
20160126,30.55,31.00,30.37,30.74
20160127,30.61,31.17,30.33,30.61
20160128,30.72,31.53,30.55,31.21
20160129,31.62,32.54,31.56,32.40
20160201,32.31,32.79,32.19,32.67
20160202,32.29,32.38,31.79,31.84
20160203,31.90,32.09,31.41,32.01
20160204,31.86,31.96,30.98,31.15
20160205,31.19,31.52,30.54,30.65
20160208,30.44,30.60,29.76,30.45
20160209,30.22,31.13,30.10,30.89
20160210,30.95,31.62,30.82,31.32
20160211,30.86,31.52,30.74,31.33
20160212,32.26,32.47,31.97,32.37
20160216,32.53,32.67,32.05,32.51
20160217,32.68,32.79,32.45,32.45
20160218,32.47,32.68,32.22,32.50
20160219,32.40,32.61,32.03,32.56
20160222,32.56,32.80,32.41,32.61
20160223,32.51,32.75,32.49,32.62
20160224,32.40,32.70,32.12,32.67
20160225,32.76,33.07,32.64,33.06
20160226,33.31,33.49,32.69,32.75
20160229,32.69,33.04,32.68,32.73
20160301,32.95,33.18,32.75,33.08
20160302,33.01,33.32,32.78,33.28
20160303,33.17,33.55,33.04,33.53
20160304,33.53,33.84,33.49,33.70
20160307,33.43,33.60,33.19,33.34
20160308,33.14,33.51,33.11,33.29
20160309,33.46,33.69,33.30,33.66
20160310,33.70,33.98,33.57,33.77
20160311,33.99,34.16,33.77,34.13
20160314,33.92,34.17,33.85,34.06
20160315,33.92,34.45,33.84,34.31
20160316,34.12,34.25,33.74,34.17
20160317,34.24,34.35,33.91,33.98
20160318,34.02,34.06,33.49,33.67
20160321,33.55,33.85,33.42,33.57
20160322,33.49,33.56,33.24,33.42
20160323,33.36,33.73,33.15,33.70
20160324,34.01,34.51,33.77,34.30
20160328,34.29,34.58,34.09,34.46
20160329,34.50,34.75,34.40,34.58
20160330,34.78,35.18,34.60,34.98
20160331,34.91,35.04,34.63,34.72
20160401,34.50,35.67,34.40,35.61
20160404,35.25,35.37,34.82,35.34
20160405,35.23,35.39,34.96,35.09
20160406,35.07,35.40,34.99,35.35
20160407,35.51,36.30,35.04,35.87
20160408,36.09,36.16,35.64,35.91
20160411,35.91,36.05,35.53,35.56
20160412,35.59,36.14,35.54,36.04
20160413,36.06,36.19,35.39,35.57
20160414,35.43,35.77,35.17,35.20
20160415,35.25,35.63,35.21,35.52
20160418,35.49,35.60,35.30,35.53
20160419,35.66,35.66,35.22,35.25
20160420,35.20,35.53,34.90,35.32
20160421,35.27,35.32,34.47,34.59
20160422,34.61,34.76,34.23,34.69
20160425,34.54,34.82,34.42,34.67
20160426,34.68,35.07,34.61,34.71
20160427,34.54,35.04,34.46,34.93
20160428,34.65,34.99,34.61,34.78
20160429,34.65,34.89,34.43,34.68
20160502,34.72,35.25,34.69,34.94
20160503,34.75,34.83,34.37,34.50
20160504,34.37,35.02,34.31,34.85
20160505,34.79,35.10,34.64,34.93
20160506,34.93,35.07,34.30,35.01
20160509,35.08,35.67,35.04,35.55
20160510,35.67,36.07,35.49,36.06
20160511,36.02,36.19,35.57,35.67
20160512,35.83,36.30,35.81,36.13
20160513,36.08,36.17,35.46,35.70
20160516,35.70,35.75,35.47,35.56
20160517,35.40,35.53,34.56,34.76
20160518,34.65,34.97,34.20,34.80
20160519,34.72,34.85,34.41,34.80
20160520,34.86,34.96,34.40,34.54
20160523,34.47,34.74,34.38,34.51
20160524,34.56,34.77,34.43,34.70
20160525,34.67,34.90,34.64,34.80
20160526,34.89,35.41,34.82,35.37
20160527,35.37,35.53,35.11,35.25
20160531,35.70,36.03,35.48,35.56
20160601,35.54,35.73,35.26,35.56
20160602,35.51,35.96,35.44,35.94
20160603,35.88,36.40,35.81,36.19
20160606,36.14,36.30,35.89,36.03
20160607,36.09,36.42,36.02,36.31
20160608,36.29,36.52,36.19,36.37
20160609,36.34,36.71,36.25,36.69
20160610,36.54,36.74,36.35,36.54
20160613,36.44,36.71,36.11,36.16
20160614,36.17,36.34,35.85,36.28
20160615,36.31,36.41,36.09,36.18
20160616,36.15,36.63,36.07,36.61
20160617,36.54,36.57,36.09,36.47
20160620,36.72,37.05,36.63,36.64
20160621,36.73,37.02,36.73,36.93
20160622,37.06,37.24,36.75,36.89
20160623,37.19,37.31,36.89,37.28
20160624,36.63,36.93,36.30,36.54
20160627,36.34,36.65,36.10,36.54
20160628,36.65,36.80,36.35,36.65
20160629,36.53,37.04,36.34,37.04
20160630,36.44,37.40,35.88,37.21
20160701,37.28,37.98,37.21,37.66
20160705,37.49,37.65,37.14,37.14
20160706,37.03,37.17,36.94,36.96
20160707,37.12,37.56,37.08,37.14
20160708,37.26,37.63,37.26,37.59
20160711,37.54,37.58,37.33,37.44
20160712,37.47,37.52,37.09,37.14
20160713,37.08,37.53,36.97,37.49
20160714,37.49,37.63,37.37,37.43
20160715,37.50,37.58,37.23,37.34
20160718,37.39,37.55,37.32,37.40
20160719,37.17,37.42,37.06,37.18
20160720,37.25,37.25,36.89,36.92
20160721,36.96,36.96,36.49,36.58
20160722,36.60,36.87,36.54,36.82
20160725,36.75,36.93,36.72,36.86
20160726,36.88,37.04,36.28,36.30
20160727,36.15,36.22,35.76,35.78
20160728,35.70,36.19,35.64,36.12
20160729,36.10,36.61,36.05,36.39
20160801,36.34,36.58,36.28,36.51
20160802,36.78,36.78,36.30,36.37
20160803,36.37,36.67,36.19,36.53
20160804,36.53,36.76,36.33,36.43
20160805,36.58,36.69,36.02,36.04
20160808,36.13,36.45,36.06,36.30
20160809,36.05,36.37,36.02,36.31
20160810,36.37,36.37,36.02,36.08
20160811,36.15,36.21,35.85,35.91
20160812,35.99,36.30,35.85,36.25
20160815,36.21,36.25,36.01,36.02
20160816,35.83,35.87,35.63,35.64
20160817,35.63,36.05,35.43,36.04
20160818,35.99,36.52,35.84,36.47
20160819,36.35,36.57,36.19,36.53
20160822,36.51,36.69,36.34,36.61
20160823,36.61,36.61,35.93,35.99
20160824,36.07,36.09,35.79,35.98
20160825,36.02,36.12,35.82,35.85
20160826,35.95,36.24,35.74,35.83
