Date,Open,High,Low,Close
20151127,87.07,87.70,86.74,87.29
20151130,87.39,87.88,86.80,86.85
20151201,87.39,88.94,87.26,88.91
20151202,88.60,88.88,86.87,87.29
20151203,87.46,87.61,85.64,86.30
20151204,86.76,88.56,86.73,88.44
20151207,88.29,88.86,88.08,88.74
20151208,88.09,88.79,87.68,88.55
20151209,87.96,88.84,86.91,87.51
20151210,87.66,88.05,86.87,87.14
20151211,86.14,86.97,85.89,85.90
20151214,86.06,86.57,85.34,86.52
20151215,87.01,88.09,86.46,86.68
20151216,87.47,88.31,86.73,88.22
20151217,88.99,89.55,87.94,87.96
20151218,87.54,87.93,86.61,86.61
20151221,87.31,88.09,86.75,88.05
20151222,88.50,89.08,87.55,88.87
20151223,89.32,89.94,89.08,89.65
20151224,89.48,90.00,89.27,89.71
20151228,89.44,90.81,89.24,90.49
20151229,90.70,91.23,90.63,90.85
20151230,90.47,90.81,90.19,90.54
20151231,89.42,90.55,89.25,89.27
20160104,87.73,88.07,87.20,87.95
20160105,88.38,89.97,88.19,89.68
20160106,87.94,88.58,86.77,87.24
20160107,85.96,86.76,84.69,85.00
20160108,85.36,85.76,83.57,83.86
20160111,82.31,83.35,78.23,79.27
20160112,81.27,81.57,79.03,79.89
20160113,79.99,80.55,77.78,78.17
20160114,78.30,82.04,78.16,81.78
20160115,80.00,81.59,79.70,81.24
20160119,82.20,82.28,80.37,81.58
20160120,80.32,81.02,77.80,80.28
20160121,80.32,81.53,79.39,80.08
20160122,81.39,81.92,81.01,81.59
20160125,81.73,82.29,81.00,81.20
20160126,81.50,82.84,80.77,82.71
20160127,82.64,83.53,81.35,81.75
20160128,82.32,82.32,78.56,79.00
20160129,79.73,81.42,78.89,81.37
20160201,76.50,80.75,76.23,79.80
20160202,79.46,79.95,77.38,77.73
20160203,78.43,78.58,75.72,77.33
20160204,76.89,78.74,75.85,76.60
20160205,76.26,77.36,75.91,76.61
20160208,75.96,76.60,74.73,76.16
20160209,75.39,77.33,75.36,76.65
20160210,76.84,79.02,76.20,78.22
20160211,76.70,78.23,76.23,77.12
