Date,Open,High,Low,Close
20151127,71.18,71.53,70.70,71.22
20151130,71.33,72.79,71.15,72.65
20151201,72.33,72.64,70.85,71.56
20151202,71.20,72.13,70.62,71.03
20151203,71.15,71.22,69.37,69.64
20151204,69.36,70.03,68.80,69.98
20151207,68.68,68.73,67.72,68.36
20151208,66.99,67.16,66.18,66.54
20151209,66.30,67.02,65.16,65.91
20151210,65.98,67.09,65.91,66.38
20151211,65.38,66.10,64.48,65.43
20151214,65.63,66.18,64.73,66.12
20151215,65.46,66.96,65.24,66.75
20151216,66.22,67.88,66.14,67.72
20151217,67.18,67.51,64.88,64.90
20151218,64.60,65.87,64.10,65.11
20151221,65.59,65.82,64.38,65.24
20151222,66.25,68.79,66.11,68.41
20151223,69.59,70.49,68.99,69.89
20151224,69.75,69.90,69.06,69.38
20151228,69.12,69.18,68.03,68.58
20151229,69.22,69.57,68.62,69.19
20151230,68.66,69.63,68.57,68.69
20151231,68.45,69.10,67.94,67.96
20160104,66.88,68.08,65.72,67.99
20160105,68.38,68.44,66.42,67.28
20160106,65.98,66.85,65.62,66.22
20160107,65.08,65.52,63.66,63.94
20160108,64.33,64.53,62.93,63.29
20160111,63.67,63.70,60.85,61.47
20160112,62.44,62.50,60.39,61.60
20160113,62.07,62.76,60.39,60.89
20160114,61.24,62.97,60.38,62.27
20160115,59.52,60.09,58.75,59.87
20160119,60.26,60.54,58.48,59.03
20160120,58.08,59.38,56.36,58.81
20160121,59.00,60.42,58.25,59.69
20160122,61.23,62.56,60.60,60.98
20160125,58.96,59.35,57.76,57.91
20160126,58.40,59.66,58.09,59.16
20160127,58.43,59.89,57.46,58.32
20160128,62.01,62.45,58.57,61.08
20160129,61.69,62.29,60.76,62.24
20160201,61.97,63.08,61.38,62.70
20160202,61.28,61.55,60.48,60.67
20160203,61.47,63.60,59.80,63.27
20160204,63.60,66.99,63.60,65.96
20160205,65.67,66.76,65.18,66.12
20160208,65.42,65.64,63.66,64.58
20160209,63.90,64.41,63.12,63.93
20160210,64.27,64.38,62.00,62.14
20160211,60.91,62.31,60.51,61.41
20160212,61.99,63.47,61.82,63.15
20160216,64.16,65.55,63.51,65.21
20160217,66.00,67.79,65.72,67.26
20160218,67.15,67.60,65.14,66.12
20160219,64.92,65.52,64.08,65.42
20160222,65.42,67.52,65.42,67.31
20160223,67.11,67.24,65.70,65.78
20160224,64.70,65.97,63.07,65.88
20160225,65.89,66.47,64.84,66.47
20160226,67.39,68.00,66.45,66.87
20160229,67.14,68.58,66.49,67.70
20160301,68.44,69.49,67.34,69.09
20160302,68.75,69.93,68.21,69.38
20160303,69.62,72.08,69.39,71.75
20160304,72.09,73.96,71.54,72.84
20160307,72.80,75.73,72.80,74.77
20160308,73.78,74.11,71.52,71.73
20160309,72.33,72.70,71.26,71.87
20160310,72.03,72.03,70.49,71.36
20160311,72.36,73.10,72.28,72.80
