Date,Open,High,Low,Close
20151127,37.32,37.38,37.08,37.34
20151130,37.51,37.58,37.25,37.47
20151201,37.50,37.76,37.38,37.71
20151202,37.62,37.79,36.77,36.88
20151203,36.96,37.00,35.87,35.98
20151204,36.12,36.73,35.75,36.67
20151207,36.59,36.76,36.24,36.38
20151208,36.11,36.50,35.79,36.09
20151209,35.88,36.34,35.13,35.33
20151210,35.40,35.51,35.04,35.18
20151211,34.73,35.43,34.44,34.57
20151214,34.43,34.75,34.01,34.69
20151215,35.19,35.87,35.02,35.57
20151216,35.79,36.36,35.58,36.28
20151217,36.33,36.45,35.38,35.38
20151218,35.04,35.26,33.95,33.95
20151221,34.27,34.30,33.50,33.92
20151222,34.03,34.44,33.78,34.30
20151223,34.57,34.87,34.42,34.87
20151224,34.88,34.96,34.66,34.74
20151228,34.49,34.74,34.29,34.73
20151229,34.98,35.17,34.77,35.13
20151230,35.09,35.23,34.64,34.64
20151231,34.59,34.92,34.34,34.58
20160104,33.84,34.12,33.34,34.09
20160105,34.09,34.46,33.92,34.39
20160106,33.79,33.90,32.69,32.91
20160107,32.16,32.32,30.99,31.07
20160108,31.24,31.57,30.64,30.72
20160111,30.98,31.01,29.66,30.09
20160112,30.50,30.69,29.84,30.33
20160113,30.51,30.57,29.05,29.09
20160114,29.31,29.82,28.52,29.47
20160115,28.61,29.17,28.52,28.94
20160119,29.38,29.40,28.39,28.56
20160120,28.06,28.39,26.99,28.01
20160121,28.12,28.97,27.73,28.35
20160122,28.93,29.10,28.49,28.75
20160125,28.54,28.64,27.27,27.30
20160126,27.41,28.21,27.41,28.00
20160127,27.80,28.23,27.50,27.74
20160128,28.03,28.33,27.08,27.10
20160129,27.46,28.08,27.36,27.97
20160201,27.76,27.87,27.47,27.53
20160202,27.26,27.33,26.24,26.29
20160203,27.59,28.61,25.41,25.68
20160204,25.68,26.80,25.34,26.36
20160205,26.23,26.34,24.81,24.87
20160208,24.60,24.69,22.74,23.36
20160209,22.90,23.71,22.85,23.32
20160210,23.45,24.42,23.36,24.01
20160211,23.88,23.96,23.36,23.53
20160212,23.98,24.43,23.80,24.34
20160216,24.78,24.86,24.24,24.32
20160217,24.65,25.91,24.45,25.84
20160218,25.84,25.94,25.05,25.25
20160219,25.24,25.33,24.55,25.06
20160222,25.90,26.44,25.37,25.79
20160223,25.58,25.83,25.45,25.80
20160224,25.46,25.53,24.69,25.27
20160225,25.41,25.72,25.09,25.71
20160226,25.86,26.40,25.81,26.20
20160229,26.18,26.32,25.39,25.41
20160301,25.70,26.73,25.20,26.70
20160302,26.48,26.79,25.67,26.43
20160303,26.39,27.03,26.26,27.01
20160304,27.03,28.02,26.98,27.89
20160307,27.67,28.00,27.39,27.95
20160308,27.66,27.71,26.67,26.72
20160309,26.89,27.02,26.03,26.78
20160310,26.98,27.32,26.18,26.54
20160311,27.02,27.78,26.74,27.72
20160314,27.64,28.07,27.51,27.89
20160315,27.53,27.63,26.62,26.94
20160316,26.72,27.64,26.62,27.25
20160317,27.28,27.94,27.16,27.82
20160318,28.00,28.70,27.89,28.62
20160321,28.54,29.42,28.54,28.86
20160322,28.69,29.69,28.63,29.51
20160323,29.40,29.53,28.43,28.50
20160324,28.00,28.20,27.76,28.04
20160328,28.19,28.49,28.06,28.14
20160329,28.03,28.64,27.91,28.58
20160330,28.75,29.22,28.44,28.69
20160331,28.57,29.03,28.51,28.82
20160401,28.54,29.19,28.49,29.11
20160404,29.15,29.61,29.02,29.24
20160405,28.92,29.21,28.83,28.89
20160406,28.90,28.98,28.40,28.89
20160407,28.70,28.92,27.92,28.04
20160408,28.29,29.04,28.18,28.66
20160411,28.89,29.18,28.36,28.39
20160412,28.59,29.26,28.40,29.02
20160413,29.35,30.20,29.32,30.15
20160414,30.10,30.47,29.86,30.37
20160415,30.36,30.66,30.29,30.41
20160418,30.13,30.84,30.04,30.71
20160419,30.71,30.83,30.49,30.62
20160420,30.67,30.88,30.47,30.68
20160421,30.62,30.89,30.08,30.13
20160422,30.24,30.80,30.24,30.52
20160425,30.35,30.57,29.84,30.01
20160426,30.02,30.38,29.87,30.38
20160427,30.44,30.82,30.20,30.60
20160428,30.63,31.31,30.63,30.88
20160429,30.60,30.82,29.42,29.63
20160502,29.86,30.16,29.50,30.04
20160503,29.67,29.69,28.92,29.33
20160504,28.95,29.50,28.89,29.41
20160505,29.46,29.94,29.36,29.56
20160506,29.31,29.65,28.85,29.34
20160509,29.36,29.62,28.82,29.03
20160510,29.23,29.49,29.08,29.34
20160511,29.32,29.47,29.05,29.28
20160512,29.40,29.51,28.63,28.81
20160513,28.71,29.05,28.41,28.68
20160516,28.48,28.86,28.30,28.43
20160517,28.26,28.62,28.02,28.31
20160518,28.28,28.72,27.97,28.29
20160519,28.21,28.32,27.34,27.76
20160520,28.05,28.87,28.02,28.80
20160523,28.85,28.88,28.33,28.61
20160524,28.82,29.29,28.82,29.18
20160525,29.41,30.05,29.36,30.00
20160526,30.00,30.00,29.11,29.39
20160527,29.33,29.70,29.30,29.56
20160531,29.75,30.08,29.25,29.85
20160601,29.67,30.04,29.28,30.03
20160602,29.96,30.29,29.65,30.19
20160603,30.17,30.22,29.72,30.15
20160606,30.24,30.68,30.23,30.65
20160607,30.67,31.14,30.67,30.97
20160608,31.00,31.23,30.94,31.04
20160609,30.72,30.99,30.49,30.75
20160610,30.26,30.30,29.74,29.80
20160613,29.65,29.92,29.36,29.40
20160614,29.26,29.45,28.53,28.60
20160615,28.72,29.09,28.56,28.69
20160616,28.33,28.38,27.76,28.35
20160617,28.33,28.57,28.01,28.11
20160620,28.61,29.95,28.59,29.43
20160621,29.47,29.54,29.01,29.10
20160622,29.20,29.71,29.10,29.23
20160623,29.57,30.01,29.48,30.01
20160624,28.02,28.18,27.29,27.31
20160627,26.84,26.89,24.49,24.88
20160628,25.40,25.83,25.02,25.69
20160629,26.07,26.53,25.72,26.50
20160630,26.51,26.53,25.84,26.48
20160701,26.44,26.68,25.70,25.93
20160705,25.68,25.72,24.11,24.54
20160706,24.32,24.82,24.15,24.75
