Date,Open,High,Low,Close
20151127,51.11,51.17,50.62,50.84
20151130,51.04,51.04,50.39,50.53
20151201,51.13,51.53,50.80,51.46
20151202,51.39,51.66,51.07,51.18
20151203,51.41,51.48,49.15,49.31
20151204,49.80,50.76,49.74,50.69
20151207,51.01,51.26,50.28,50.67
20151208,49.65,50.39,49.54,50.16
20151209,50.14,50.82,50.03,50.31
20151210,50.73,51.21,50.57,50.96
20151211,50.19,51.24,50.11,50.69
20151214,50.93,51.40,50.31,50.79
20151215,51.61,52.37,51.29,52.16
20151216,52.10,52.30,50.88,52.20
20151217,52.00,52.23,50.33,50.46
20151218,51.65,53.00,51.06,52.41
20151221,53.43,54.16,53.33,53.94
20151222,54.40,54.49,53.35,54.27
20151223,54.49,54.62,53.95,54.08
20151224,54.46,54.55,54.04,54.12
20151228,53.87,54.42,53.81,54.19
20151229,54.71,55.36,54.57,55.14
20151230,55.52,55.77,55.00,55.04
20151231,54.94,55.27,54.46,54.48
20160104,54.16,54.22,53.22,54.20
20160105,54.02,54.18,53.62,53.68
20160106,52.91,54.11,52.86,53.52
20160107,52.65,53.51,52.25,52.39
20160108,53.65,53.68,51.91,52.05
20160111,53.00,54.50,53.00,53.94
20160112,54.44,54.90,53.95,54.68
20160113,54.38,54.68,52.03,52.38
20160114,51.65,52.18,50.19,51.94
20160115,49.76,50.48,49.47,49.83
20160119,50.83,51.26,48.59,49.07
20160120,49.00,49.03,46.86,48.31
20160121,48.48,49.86,48.28,49.57
20160122,50.18,50.39,49.39,49.57
20160125,49.55,49.80,48.68,48.80
20160126,49.22,50.07,48.85,49.82
20160127,50.47,50.57,47.75,48.05
20160128,48.44,48.49,45.81,46.86
20160129,46.94,48.13,46.91,48.13
20160201,48.10,49.13,47.77,48.97
20160202,47.25,47.31,44.51,45.08
20160203,45.61,45.93,44.94,45.39
20160204,45.50,45.72,44.82,45.51
20160205,44.85,45.03,42.88,43.04
20160208,42.30,42.49,40.82,41.92
20160209,40.77,43.64,40.52,42.97
20160210,43.44,44.57,43.31,43.41
20160211,42.71,43.69,42.67,43.19
20160212,43.28,44.15,42.84,44.06
20160216,44.62,45.60,44.06,45.02
20160217,45.23,46.15,45.13,45.92
20160218,45.94,46.06,45.16,45.34
20160219,45.36,46.55,44.83,46.39
20160222,46.39,47.78,46.39,47.73
20160223,47.75,48.58,47.63,48.10
20160224,46.98,48.07,46.60,48.03
20160225,48.04,48.62,47.96,48.51
20160226,48.66,48.86,47.73,48.34
20160229,48.33,48.82,47.94,47.96
20160301,48.59,48.97,48.02,48.96
20160302,48.69,48.87,47.94,48.16
20160303,47.39,48.06,46.83,48.05
20160304,48.03,48.19,47.43,47.97
20160307,47.54,47.80,46.84,47.05
20160308,46.88,47.14,46.32,46.36
20160309,46.51,46.68,45.98,46.47
20160310,46.39,47.40,45.74,46.30
20160311,46.87,47.92,46.65,47.91
20160314,48.08,48.65,47.99,48.12
20160315,47.71,48.38,47.60,47.91
20160316,47.74,49.04,47.54,48.83
20160317,48.84,49.33,48.46,48.97
20160318,48.95,49.91,48.91,49.63
20160321,49.63,49.81,49.32,49.78
20160322,47.94,48.84,47.94,48.75
20160323,48.89,49.09,47.91,48.06
20160324,48.21,49.02,47.90,48.92
20160328,48.98,49.43,48.79,49.02
20160329,49.11,49.77,49.04,49.64
20160330,50.78,52.39,50.78,52.37
20160331,52.29,53.05,52.15,52.77
20160401,52.20,52.90,52.01,52.75
20160404,52.80,53.21,52.53,53.03
20160405,52.19,52.31,51.32,51.50
20160406,51.92,52.07,51.42,51.99
20160407,51.84,51.84,50.96,51.18
20160408,51.71,51.71,51.02,51.14
20160411,51.46,51.67,50.76,50.80
20160412,51.28,51.39,50.82,51.23
20160413,51.52,51.79,51.17,51.68
20160414,51.66,51.98,51.04,51.57
20160415,51.53,51.74,50.92,51.02
20160418,51.86,51.97,50.20,50.84
20160419,51.08,51.24,50.52,50.60
20160420,50.61,50.75,49.91,50.04
20160421,49.69,50.04,49.06,49.18
20160422,49.10,49.99,48.13,48.51
20160425,48.74,49.70,48.66,49.24
20160426,49.17,49.69,48.83,49.13
20160427,49.21,49.76,49.11,49.49
20160428,48.79,49.48,48.61,48.71
20160429,49.15,49.79,48.25,49.05
20160502,49.33,49.82,49.32,49.53
20160503,49.05,49.93,48.93,49.49
20160504,49.11,49.39,48.95,49.16
20160505,49.01,49.18,48.32,48.39
20160506,48.42,49.29,48.16,49.22
20160509,49.30,49.94,49.24,49.74
20160510,49.13,50.49,48.37,50.39
20160511,50.28,51.14,50.24,50.28
20160512,50.88,51.29,50.51,51.05
20160513,50.56,51.10,49.59,49.60
20160516,49.69,50.18,49.64,49.99
20160517,50.12,50.30,49.78,49.93
20160518,49.94,50.51,49.82,50.33
20160519,49.94,50.09,49.25,49.55
20160520,49.90,50.31,49.79,50.03
20160523,50.24,50.31,49.83,49.91
20160524,50.22,51.05,50.16,50.83
20160525,50.23,50.23,49.50,49.63
20160526,48.68,48.77,47.30,47.59
20160527,48.18,48.96,48.02,48.60
20160531,48.60,48.83,47.52,47.74
20160601,47.28,48.12,47.17,48.05
20160602,47.88,48.34,47.70,48.33
20160603,47.91,48.01,47.22,47.75
20160606,47.10,47.39,46.83,47.07
20160607,47.51,47.93,47.43,47.50
20160608,47.41,47.85,47.23,47.68
20160609,47.69,48.34,47.58,48.03
20160610,47.13,47.34,46.92,47.15
20160613,46.50,47.24,46.38,46.64
20160614,46.07,46.62,46.03,46.52
20160615,47.19,47.80,47.08,47.26
20160616,46.77,47.52,46.37,47.47
20160617,47.47,47.86,47.41,47.81
20160620,49.52,49.65,48.37,48.50
20160621,48.75,49.00,48.59,48.65
20160622,48.86,49.39,48.75,48.86
20160623,50.00,50.00,49.25,49.36
20160624,45.46,47.19,44.96,45.65
20160627,43.66,44.10,43.34,43.64
20160628,45.15,46.16,42.94,43.73
20160629,43.81,45.12,43.36,44.47
20160630,44.12,44.35,43.77,44.20
20160701,44.72,45.31,44.65,44.86
20160705,44.41,44.41,43.56,43.75
20160706,43.50,43.77,43.06,43.18
20160707,43.64,44.37,43.55,43.82
20160708,44.50,44.97,44.43,44.52
20160711,44.96,45.69,44.95,45.63
20160712,46.13,47.08,46.10,46.71
20160713,47.05,47.38,46.55,46.65
20160714,47.08,47.41,46.31,46.32
20160715,45.78,45.80,44.75,45.32
