Date,Open,High,Low,Close
20151127,59.41,59.96,59.38,59.61
20151130,59.82,60.11,59.29,59.60
20151201,59.75,60.21,59.28,60.16
20151202,60.58,61.18,60.20,60.33
20151203,60.30,60.34,58.99,59.23
20151204,59.28,60.31,58.91,60.13
20151207,59.83,60.12,59.39,59.96
20151208,59.45,60.54,59.31,60.26
20151209,59.65,60.89,59.65,60.00
20151210,59.66,60.44,59.12,60.11
20151211,59.06,60.29,59.00,60.00
20151214,60.10,60.60,59.11,59.94
20151215,60.35,60.83,59.92,60.42
20151216,60.71,61.24,60.28,61.16
20151217,61.16,61.34,60.37,60.38
20151218,60.08,60.19,58.92,59.02
20151221,59.43,60.01,59.06,59.68
20151222,61.33,61.50,59.31,60.43
20151223,60.74,61.24,60.44,60.75
20151224,60.69,60.95,60.31,60.69
20151228,60.60,60.65,59.91,60.62
20151229,60.94,61.94,60.92,61.85
20151230,61.82,61.96,60.59,60.63
20151231,60.51,61.01,60.08,60.17
20160104,59.05,59.25,57.76,58.16
20160105,58.09,58.65,57.81,58.08
20160106,57.30,57.95,57.11,57.62
20160107,57.31,58.84,57.22,57.67
20160108,58.09,59.34,57.85,58.74
20160111,58.97,59.48,56.55,57.26
20160112,57.40,59.17,57.20,59.16
20160113,59.30,59.92,58.23,58.33
20160114,58.53,58.75,57.53,58.19
20160115,56.67,57.18,55.85,56.77
20160119,57.36,57.76,56.02,56.39
20160120,55.77,56.56,53.91,56.03
20160121,56.11,56.61,55.11,55.83
20160122,56.66,57.49,56.35,57.38
20160125,56.96,57.26,56.02,56.18
20160126,56.20,56.71,55.91,56.52
20160127,56.59,57.41,55.97,56.30
20160128,56.72,57.04,55.39,55.96
20160129,56.27,58.02,56.02,58.01
20160201,57.38,57.98,56.76,57.62
20160202,56.83,57.13,55.91,56.64
20160203,57.26,57.81,55.92,57.21
20160204,57.19,59.07,57.05,58.49
20160205,58.36,58.43,55.04,55.31
20160208,54.89,54.97,52.91,54.29
20160209,53.64,54.67,53.39,53.71
20160210,54.22,55.51,53.97,54.55
20160211,53.58,54.33,53.39,53.95
20160212,54.37,54.98,53.76,54.90
20160216,55.39,56.01,55.03,55.46
20160217,50.10,53.50,49.89,52.81
20160218,53.00,53.46,50.90,52.15
20160219,51.80,52.26,50.37,51.46
20160222,51.70,52.50,51.44,52.46
20160223,51.16,51.40,50.23,50.65
20160224,50.17,51.85,50.01,51.79
20160225,51.87,52.12,51.09,51.36
20160226,51.82,52.17,51.33,52.01
20160229,51.93,52.16,51.05,51.06
20160301,51.48,51.53,51.07,51.48
20160302,51.52,51.85,50.66,51.30
20160303,51.12,51.29,49.59,50.00
20160304,50.21,52.15,49.90,51.64
20160307,51.24,53.42,51.21,52.61
20160308,52.57,53.78,52.28,52.79
20160309,53.03,53.71,52.98,53.54
20160310,53.65,54.45,52.83,53.40
20160311,53.87,54.06,53.18,54.01
20160314,54.00,54.65,53.15,53.30
20160315,52.97,53.20,51.92,52.08
20160316,52.03,53.04,51.80,52.65
20160317,52.59,52.88,51.91,52.30
20160318,52.53,53.60,52.43,53.48
20160321,53.19,53.41,52.70,53.14
20160322,52.71,54.85,52.71,54.56
20160323,54.54,54.55,52.22,52.66
20160324,52.49,52.90,51.13,51.46
20160328,51.72,51.94,51.26,51.57
20160329,51.54,52.51,51.51,52.48
20160330,52.86,53.00,52.52,52.72
20160331,52.56,53.37,52.52,52.96
20160401,52.79,54.32,52.60,54.08
20160404,54.14,54.98,54.04,54.60
20160405,54.15,54.35,53.60,54.03
20160406,54.16,55.27,54.06,55.23
20160407,55.80,56.48,55.65,55.98
20160408,56.20,56.66,55.69,56.45
20160411,56.56,56.97,54.96,55.11
20160412,55.05,55.59,54.60,55.50
20160413,55.48,55.95,55.17,55.91
20160414,55.94,56.52,55.78,56.44
20160415,56.51,57.04,56.19,57.02
20160418,56.69,58.28,56.58,58.08
20160419,58.14,58.44,57.59,58.04
20160420,58.04,58.60,58.02,58.36
20160421,58.17,58.85,58.08,58.46
20160422,58.33,58.79,57.73,58.51
20160425,58.42,58.89,57.92,58.57
20160426,58.66,58.87,57.68,58.16
20160427,58.34,58.57,57.36,57.81
20160428,57.57,58.31,57.08,57.65
20160429,57.11,57.31,55.42,56.14
20160502,56.24,56.98,56.01,56.96
20160503,56.50,57.08,56.20,56.92
20160504,56.53,56.86,55.53,55.72
20160505,55.72,56.37,55.35,55.46
20160506,54.23,54.92,52.89,53.63
20160509,53.83,55.56,53.50,55.43
20160510,55.61,55.80,54.90,55.24
20160511,55.18,55.61,54.32,54.34
20160512,54.70,54.88,53.85,54.46
20160513,54.27,54.61,53.72,53.74
20160516,53.75,54.59,53.75,54.46
20160517,54.27,54.45,52.93,53.20
20160518,53.10,53.71,52.88,53.40
20160519,53.25,53.78,52.84,53.62
20160520,53.64,54.89,53.39,54.56
20160523,54.48,55.01,54.10,54.14
20160524,54.37,55.17,54.37,55.04
20160525,55.06,55.66,55.05,55.31
20160526,55.17,55.26,54.70,54.98
20160527,55.15,55.42,54.83,55.28
20160531,55.50,55.94,55.30,55.61
20160601,55.58,55.84,55.39,55.62
20160602,55.46,55.86,54.99,55.61
20160603,55.26,55.61,55.00,55.22
20160606,55.21,55.54,54.91,55.20
20160607,55.23,57.13,55.23,56.97
20160608,57.01,57.32,56.83,57.09
20160609,56.93,57.36,56.45,56.96
20160610,56.24,56.96,55.40,55.61
20160613,55.72,56.41,55.48,55.72
20160614,55.62,55.94,55.34,55.50
20160615,55.74,55.85,54.42,54.51
20160616,54.28,54.41,53.38,54.36
20160617,54.40,54.42,53.58,53.85
20160620,54.27,54.71,53.71,53.75
20160621,54.00,54.97,53.80,54.81
20160622,54.72,55.55,54.52,55.28
20160623,56.28,57.32,56.05,56.89
20160624,54.75,55.99,54.35,55.13
20160627,54.72,54.80,53.33,53.71
20160628,54.04,55.20,53.79,55.08
20160629,55.30,57.72,55.21,57.48
20160630,57.67,58.74,57.37,58.60
20160701,58.48,59.14,58.26,58.91
20160705,58.25,58.52,57.83,58.26
20160706,58.11,58.89,57.59,58.79
20160707,58.73,59.73,58.04,59.61
20160708,59.99,60.79,59.54,60.62
20160711,60.59,61.53,60.08,60.10
20160712,60.07,61.26,60.02,60.74
20160713,61.15,61.20,60.23,60.36
20160714,60.86,60.96,60.08,60.80
20160715,61.03,61.25,60.53,60.58
20160718,60.48,60.93,60.40,60.89
20160719,60.55,61.10,60.50,60.63
20160720,61.03,62.28,60.85,62.04
20160721,61.75,62.34,61.68,61.99
20160722,62.13,62.16,61.25,61.95
20160725,61.79,62.10,61.42,62.07
20160726,62.11,62.38,61.78,62.25
20160727,62.14,62.28,61.46,61.95
20160728,62.01,62.61,61.94,62.24
20160729,62.31,62.71,62.02,62.39
20160801,62.33,62.71,62.00,62.22
20160802,62.06,62.47,61.37,61.95
20160803,63.69,66.74,62.65,66.30
20160804,65.97,67.03,65.92,66.30
20160805,66.30,67.44,65.72,66.87
20160808,66.85,67.48,66.53,67.33
20160809,67.39,67.50,66.87,66.91
20160810,67.19,67.35,66.36,66.94
20160811,66.63,67.26,66.50,67.06
20160812,66.72,66.98,66.18,66.45
20160815,66.46,66.79,66.08,66.61
20160816,66.58,66.68,65.69,65.98
20160817,66.24,66.25,64.92,65.36
20160818,65.35,65.50,64.91,65.15
20160819,65.15,65.16,64.44,64.71
20160822,64.64,65.08,64.20,64.62
20160823,65.03,65.71,64.56,64.60
20160824,64.19,64.97,64.13,64.50
20160825,64.41,64.86,63.77,64.47
20160826,64.33,64.89,64.11,64.64
20160829,64.43,65.24,64.03,65.00
20160830,64.97,65.17,64.47,64.75
20160831,64.74,64.92,63.01,64.54
20160901,64.75,65.14,64.05,65.01
20160902,65.27,65.32,64.44,64.77
20160906,64.73,64.99,64.39,64.96
20160907,64.95,65.28,64.74,65.00
20160908,64.31,64.69,63.70,64.14
20160909,63.66,63.97,62.14,62.22
20160912,62.10,62.93,61.62,62.81
20160913,62.40,62.55,61.27,61.94
20160914,61.79,62.37,61.49,62.19
20160915,62.16,63.13,62.01,62.77
20160916,62.80,62.82,61.82,62.02
20160919,62.29,62.52,61.43,61.48
20160920,61.69,62.38,61.55,62.11
20160921,62.10,62.48,61.70,62.37
20160922,62.81,63.08,62.58,62.98
20160923,62.65,63.18,62.58,62.75
20160926,62.39,62.50,61.74,61.94
20160927,61.93,62.41,61.84,62.15
20160928,62.31,62.53,61.86,62.45
20160929,62.43,62.43,61.43,61.53
20160930,61.87,62.06,61.19,61.75
20161003,61.62,61.72,60.78,61.42
20161004,61.42,61.76,60.77,60.92
20161005,61.01,61.56,61.01,61.25
20161006,60.89,61.42,60.67,60.86
20161007,61.17,61.23,60.57,61.13
20161010,61.48,61.91,61.42,61.79
20161011,62.53,62.53,60.26,60.73
20161012,60.87,61.46,60.75,61.02
20161013,60.60,61.39,60.22,61.26
20161014,61.50,61.82,60.76,60.95
20161017,60.93,61.04,60.57,60.83
20161018,61.41,61.75,61.14,61.15
20161019,60.17,61.15,60.16,60.67
20161020,60.73,61.21,60.49,61.00
20161021,60.68,60.87,58.41,58.46
20161024,58.74,59.74,58.50,59.33
20161025,59.33,59.63,58.77,58.90
20161026,58.77,58.77,57.94,58.24
20161027,58.38,58.50,57.57,57.76
20161028,57.68,58.59,57.31,58.40
20161031,58.51,58.80,58.12,58.58
20161101,58.52,58.63,56.91,57.34
20161102,53.49,54.49,52.78,53.15
20161103,54.26,54.26,52.79,52.81
20161104,52.42,53.12,52.00,52.32
20161107,52.20,52.78,50.72,52.65
20161108,52.81,52.86,52.18,52.65
20161109,50.22,51.13,49.56,50.80
20161110,51.28,51.53,49.29,49.46
20161111,49.46,49.70,48.08,48.47
20161114,48.77,49.82,48.52,48.68
20161115,48.04,49.33,48.04,49.20
20161116,49.13,49.31,48.88,48.93
20161117,49.01,50.01,48.66,49.59
20161118,49.55,49.90,49.43,49.53
20161121,49.58,50.64,49.50,50.51
20161122,50.52,50.63,49.75,50.06
20161123,50.02,50.62,50.00,50.51
20161125,50.65,50.91,50.44,50.49
20161128,50.39,51.06,50.35,50.87
20161129,50.74,51.11,49.53,49.77
20161130,50.41,50.41,49.17,49.78
20161201,49.30,49.87,47.55,47.98
20161202,47.95,48.62,47.47,47.85
20161205,48.23,48.69,48.08,48.35
20161206,48.63,48.64,47.46,47.55
20161207,47.60,48.28,47.40,48.00
20161208,47.99,48.24,47.77,48.08
20161209,48.10,48.53,48.02,48.40
20161212,48.27,48.92,48.11,48.89
20161213,47.46,48.63,47.01,48.21
20161214,48.20,49.30,47.95,48.01
20161215,49.90,50.29,48.80,49.15
20161216,49.19,49.19,48.46,48.92
20161219,48.80,49.23,48.58,48.69
20161220,48.51,48.96,48.17,48.50
20161221,48.56,48.69,48.02,48.54
20161222,48.40,48.51,47.59,47.81
20161223,47.99,48.77,47.87,48.04
20161227,48.06,48.80,48.05,48.28
20161228,48.29,48.40,47.37,47.47
20161229,47.47,48.13,47.47,47.92
20161230,48.00,48.25,47.21,47.37
20170103,47.70,49.46,47.58,49.40
20170104,49.08,49.22,47.80,47.93
20170105,47.98,48.28,47.58,47.65
20170106,47.87,47.90,47.09,47.55
20170109,47.54,48.15,47.16,47.99
20170110,48.52,49.76,48.30,49.27
20170111,49.27,50.58,49.27,50.51
20170112,50.31,51.36,50.13,51.31
20170113,51.28,51.55,51.02,51.35
20170117,51.33,52.60,51.08,52.54
20170118,52.81,52.88,51.94,52.29
20170119,52.03,52.03,51.32,51.64
20170120,51.77,51.96,50.83,51.87
20170123,51.86,51.86,50.51,50.79
20170124,50.92,51.34,50.33,51.22
20170125,51.34,52.30,51.34,52.27
20170126,52.27,52.48,51.93,52.43
20170127,52.58,53.07,52.32,53.02
20170130,52.93,53.00,52.58,52.94
20170131,52.77,53.75,52.77,53.71
20170201,53.61,53.92,53.33,53.86
20170202,53.81,54.11,53.32,53.62
20170203,53.43,53.73,52.17,53.66
20170206,53.49,54.09,53.25,54.05
20170207,54.07,54.07,53.30,53.60
20170208,53.49,53.66,52.71,52.93
20170209,53.16,54.11,53.00,53.88
20170210,51.50,52.72,51.29,51.50
20170213,51.53,52.55,51.26,52.52
20170214,52.63,54.58,52.62,54.55
20170215,54.42,55.28,54.35,55.07
20170216,55.24,55.64,54.78,55.61
20170217,55.50,56.24,55.19,56.15
20170221,56.07,56.59,54.99,55.27
20170222,55.45,55.95,55.20,55.37
20170223,55.37,55.57,55.09,55.39
20170224,54.55,55.63,54.44,55.61
20170227,55.56,55.70,54.69,55.35
20170228,55.35,55.53,54.90,55.04
20170301,55.48,55.59,54.80,55.45
20170302,55.33,55.60,55.00,55.57
20170303,55.55,55.78,55.23,55.74
20170306,55.60,55.67,55.07,55.08
20170307,54.97,55.19,54.56,54.97
20170308,54.98,55.08,54.01,54.37
20170309,54.59,54.83,54.08,54.77
20170310,55.10,55.48,54.67,55.24
20170313,55.29,55.53,54.88,55.48
20170314,55.29,55.39,54.49,55.09
20170315,55.23,55.84,55.14,55.71
20170316,55.75,56.40,55.50,56.35
20170317,56.56,57.03,56.13,56.61
20170320,56.68,56.78,56.32,56.57
20170321,56.77,57.05,56.25,56.81
20170322,56.91,57.00,56.20,56.40
20170323,56.44,56.83,56.17,56.53
20170324,56.79,58.13,56.51,57.77
20170327,57.61,59.49,57.48,59.29
20170328,59.12,59.42,58.97,59.26
20170329,59.02,59.83,58.91,59.14
20170330,58.92,59.22,58.53,59.17
20170331,59.13,59.25,58.73,58.85
20170403,58.72,59.14,58.41,59.00
20170404,58.82,59.18,58.57,59.15
20170405,59.15,59.98,58.92,59.06
20170406,59.08,59.51,58.86,59.49
20170407,59.53,59.79,58.97,59.60
20170410,59.57,59.61,59.04,59.24
20170411,59.18,59.69,59.02,59.64
20170412,59.12,59.78,58.52,58.77
20170413,58.70,58.99,58.48,58.61
20170417,58.53,59.00,58.39,58.78
20170418,58.76,58.77,58.09,58.31
20170419,58.61,59.04,58.51,58.67
20170420,58.75,59.48,58.37,59.35
20170421,59.38,59.48,58.68,58.97
20170424,59.50,59.50,58.64,59.29
20170425,59.35,60.25,59.13,59.45
20170426,59.64,59.96,59.45,59.53
20170427,59.52,60.46,59.37,60.06
20170428,62.59,66.27,62.16,64.75
20170501,64.63,65.81,64.43,65.27
20170502,64.84,65.78,64.49,65.28
20170503,65.33,65.34,64.22,64.28
20170504,64.32,64.61,63.41,64.12
20170505,64.39,65.07,64.10,64.89
20170508,64.90,65.02,64.50,64.61
20170509,64.50,65.31,64.29,64.85
20170510,64.75,65.24,64.20,64.73
20170511,64.74,64.94,64.12,64.75
20170512,64.80,64.89,63.92,64.36
20170515,64.75,64.91,64.20,64.29
20170516,64.40,65.06,64.36,64.83
20170517,64.19,64.34,63.62,63.66
20170518,63.69,64.21,63.46,63.82
20170519,63.77,64.39,63.57,64.10
20170522,64.05,64.76,64.00,64.58
20170523,64.72,64.90,64.29,64.67
20170524,64.82,64.89,64.30,64.36
20170525,64.67,65.20,64.55,65.10
20170526,65.15,65.18,64.73,64.95
20170530,64.78,65.47,64.36,65.43
20170531,65.40,65.58,64.88,65.35
20170601,65.50,66.86,65.42,66.70
20170602,66.74,67.67,66.44,67.42
20170605,67.63,69.28,67.07,67.91
20170606,67.94,69.25,67.75,68.23
20170607,68.35,68.74,67.77,68.17
20170608,68.12,68.42,67.56,68.11
20170609,68.01,68.16,66.05,66.28
20170612,67.37,67.37,64.79,65.79
20170613,65.82,66.64,65.70,66.47
20170614,66.53,66.98,65.46,65.95
20170615,65.55,66.07,65.15,65.93
20170616,65.89,66.29,65.53,66.04
20170619,66.17,67.40,65.89,67.34
20170620,67.32,67.46,66.80,66.85
20170621,67.00,67.52,66.86,67.15
20170622,66.89,67.72,66.77,67.34
20170623,67.57,68.41,67.15,68.32
20170626,68.33,68.71,67.15,67.31
20170627,67.21,67.39,66.28,66.34
20170628,66.56,67.29,65.93,67.15
20170629,67.06,67.14,65.36,66.13
20170630,66.52,66.83,66.16,66.47
20170703,66.77,66.98,65.13,65.50
20170705,65.67,66.89,65.34,66.58
20170706,66.18,66.57,64.95,65.03
20170707,65.29,66.04,65.18,65.74
20170710,65.48,65.65,64.62,65.34
20170711,65.18,65.46,64.84,65.31
20170712,66.16,66.50,65.57,65.71
20170713,65.94,65.95,64.79,65.22
20170714,65.35,65.99,65.31,65.83
20170717,65.85,66.45,65.56,66.23
20170718,66.17,66.22,65.48,66.16
20170719,66.34,66.34,65.46,65.57
20170720,65.71,65.93,65.26,65.46
20170721,65.21,65.83,65.12,65.38
20170724,65.25,65.77,65.00,65.74
20170725,65.82,65.97,65.31,65.55
20170726,65.57,65.90,64.43,64.62
20170727,63.43,64.08,62.57,63.52
20170728,64.60,65.61,64.17,64.60
20170731,64.48,65.40,64.04,64.37
20170801,64.48,64.97,64.15,64.81
20170802,64.81,64.85,63.88,64.08
20170803,63.90,64.29,63.25,63.58
20170804,63.56,63.97,62.90,63.08
20170807,63.14,63.65,62.74,63.38
20170808,63.18,63.49,62.86,63.16
20170809,62.97,63.05,62.36,62.49
20170810,62.58,62.71,61.55,61.60
20170811,61.85,62.32,61.53,62.11
20170814,62.36,63.25,62.35,62.91
20170815,62.96,63.61,62.67,63.44
20170816,63.45,64.01,63.15,63.96
20170817,63.81,64.69,63.30,63.36
20170818,63.28,64.57,63.19,64.25
20170821,64.19,64.97,63.69,64.93
20170822,65.01,65.55,64.76,65.37
20170823,65.22,65.39,64.60,64.77
20170824,64.78,65.36,64.36,65.05
20170825,65.34,65.50,65.01,65.25
