Date,Open,High,Low,Close
20151127,43.62,43.83,43.40,43.55
20151130,43.55,43.80,42.81,42.88
20151201,43.00,43.49,43.00,43.43
20151202,43.27,43.56,42.78,42.88
20151203,43.15,43.31,42.31,42.61
20151204,42.76,43.45,42.72,43.37
20151207,43.37,43.69,43.20,43.53
20151208,43.33,43.63,43.03,43.45
20151209,43.42,43.88,42.83,42.97
20151210,42.97,43.13,42.43,42.47
20151211,42.20,42.35,41.88,41.92
20151214,42.08,42.35,41.75,41.99
20151215,42.28,42.45,42.00,42.26
20151216,42.57,42.92,42.26,42.77
20151217,42.85,42.91,42.33,42.62
20151218,42.48,42.55,41.40,41.61
20151221,41.83,42.12,41.67,42.06
20151222,42.15,42.74,41.77,42.67
20151223,43.50,43.88,43.18,43.40
20151224,43.33,43.49,42.95,43.22
20151228,43.10,43.39,42.63,42.67
20151229,42.75,43.31,42.53,43.13
20151230,43.15,43.40,42.94,43.06
20151231,42.88,43.12,42.42,42.44
20160104,41.90,42.08,41.10,41.76
20160105,41.73,41.95,41.19,41.40
20160106,41.07,41.56,40.82,41.21
20160107,40.60,40.94,40.31,40.54
20160108,40.74,41.53,40.53,41.03
20160111,41.13,41.47,40.71,41.31
20160112,41.60,41.91,41.38,41.87
20160113,41.07,41.38,39.24,39.33
20160114,39.53,39.83,39.05,39.12
20160115,38.51,39.51,38.51,39.47
20160119,39.73,40.07,39.24,39.48
20160120,39.00,39.40,38.42,39.26
20160121,39.22,39.90,38.90,39.60
20160122,40.00,40.66,39.69,40.53
20160125,40.17,40.29,39.64,39.72
20160126,39.97,40.37,39.76,40.15
20160127,40.23,40.83,40.01,40.26
20160128,40.45,40.97,40.17,40.79
20160129,40.81,42.01,40.71,42.00
20160201,41.77,42.55,41.65,42.53
20160202,42.11,43.00,41.88,42.89
20160203,43.12,43.65,42.67,43.53
20160204,43.50,43.81,42.99,43.37
20160205,43.24,43.68,42.95,43.45
20160208,42.79,43.74,42.60,43.62
20160209,43.31,44.42,43.16,44.24
20160210,44.35,44.67,44.13,44.21
20160211,43.30,43.60,42.42,43.31
20160212,43.60,44.40,43.18,44.29
20160216,44.50,44.87,44.01,44.82
