Date,Open,High,Low,Close
20151127,68.66,69.32,68.66,68.86
20151130,68.84,69.45,67.38,67.43
20151201,67.74,68.46,67.21,67.95
20151202,64.87,65.31,62.82,63.58
20151203,63.35,64.21,61.89,62.22
20151204,62.09,63.19,62.09,62.80
20151207,62.51,63.05,61.71,62.08
20151208,61.56,61.87,59.71,60.51
20151209,60.64,61.77,60.12,60.55
20151210,60.64,61.66,60.23,61.51
20151211,60.92,62.11,60.61,62.00
20151214,62.00,62.18,61.15,61.68
20151215,61.90,63.21,61.21,62.61
20151216,63.53,64.47,63.50,64.27
20151217,64.48,65.10,64.19,64.20
20151218,63.68,63.84,61.77,62.36
20151221,63.01,63.08,61.94,62.50
20151222,62.87,63.42,62.46,63.40
20151223,63.61,64.13,63.38,63.98
20151224,63.96,64.54,63.29,63.53
20151228,63.39,63.53,62.57,63.18
20151229,63.73,63.73,62.33,63.19
20151230,62.88,63.40,62.30,62.36
20151231,62.23,62.64,61.86,62.02
20160104,61.09,62.02,60.31,61.79
20160105,61.69,63.92,61.11,63.47
20160106,62.33,63.43,62.05,63.16
20160107,64.00,64.08,62.67,63.09
20160108,63.24,63.88,62.85,63.12
20160111,63.07,63.26,61.11,61.75
20160112,61.99,63.20,61.95,62.98
20160113,63.06,63.59,62.49,62.69
20160114,62.84,63.53,62.05,63.13
20160115,61.93,63.93,61.85,63.56
20160119,64.48,64.49,62.95,63.66
20160120,62.77,64.32,62.18,63.73
20160121,64.30,65.23,63.72,64.51
20160122,65.09,65.50,64.03,64.23
20160125,62.75,64.00,62.61,62.72
20160126,63.10,64.35,62.73,64.07
20160127,64.00,65.11,63.05,63.18
20160128,63.55,64.17,62.72,63.05
20160129,63.26,64.78,63.05,64.77
20160201,64.05,65.63,63.94,65.21
20160202,64.38,65.21,62.92,63.48
20160203,65.21,66.61,64.27,64.91
20160204,65.68,67.47,65.12,67.45
20160205,66.96,68.88,66.51,68.08
20160208,67.68,69.61,67.66,69.52
20160209,68.78,70.40,68.42,69.69
