Date,Open,High,Low,Close
20151127,134.46,136.35,133.99,135.30
20151130,135.24,135.89,134.28,134.98
20151201,135.28,139.84,135.05,139.59
20151202,139.29,142.14,138.62,139.74
20151203,139.49,140.02,136.94,137.26
20151204,138.27,141.01,137.84,140.43
20151207,140.61,140.90,136.93,137.79
20151208,137.00,138.31,136.49,137.30
20151209,136.24,138.17,136.24,137.12
20151210,137.12,139.78,136.44,139.23
20151211,137.61,141.94,137.61,140.08
20151214,140.72,141.63,139.28,140.69
20151215,141.92,142.94,139.37,140.64
20151216,141.58,142.45,138.37,141.19
20151217,141.20,144.01,141.04,143.00
20151218,142.89,144.58,142.64,143.97
20151221,144.34,146.61,143.51,144.47
20151222,145.31,146.01,143.64,145.65
20151223,145.91,147.14,145.37,146.86
20151224,146.68,147.92,146.46,146.46
20151228,146.08,147.32,146.08,147.07
20151229,146.96,148.55,146.54,148.37
20151230,148.22,148.25,146.81,146.85
20151231,146.43,147.85,145.90,146.33
20160104,144.71,146.87,144.09,146.55
20160105,146.49,148.14,143.72,144.14
20160106,143.46,144.87,142.75,143.03
20160107,141.00,142.96,140.23,141.37
20160108,142.00,142.13,138.58,138.74
20160111,138.93,139.36,134.73,134.73
20160112,135.41,139.47,135.02,139.08
20160113,139.23,140.13,134.91,135.26
20160114,134.96,139.17,134.96,138.72
20160115,136.75,137.22,134.62,136.23
20160119,136.28,141.43,136.26,139.92
20160120,138.66,140.22,135.13,139.23
20160121,139.38,142.63,139.12,140.13
20160122,137.90,141.19,136.44,137.90
20160125,138.26,138.86,135.67,135.85
20160126,137.10,137.45,134.33,135.42
20160127,135.41,135.41,129.88,131.44
20160128,132.09,133.20,129.11,129.83
20160129,130.22,133.60,130.08,133.60
20160201,133.34,135.21,132.56,133.23
20160202,133.20,133.20,130.99,131.90
20160203,132.04,133.05,130.70,132.50
20160204,130.60,134.97,130.60,134.77
20160205,133.66,135.11,131.70,133.05
20160208,132.12,132.31,124.12,124.96
20160209,124.49,129.11,123.54,128.18
20160210,128.63,131.07,128.00,129.50
20160211,127.96,130.28,127.88,128.00
20160212,128.73,130.50,127.44,130.30
20160216,131.78,134.36,130.65,134.18
20160217,134.66,136.27,133.01,135.85
20160218,135.60,137.18,135.00,135.65
20160219,137.00,137.00,133.61,133.94
20160222,135.34,138.11,135.30,136.36
20160223,135.69,138.01,135.69,137.84
20160224,137.49,137.78,135.46,137.24
20160225,137.68,140.48,137.10,140.32
20160226,140.18,143.23,140.01,141.25
20160229,140.45,142.67,139.58,139.61
20160301,140.64,140.97,137.47,138.53
20160302,138.05,140.85,137.57,140.50
20160303,139.88,141.26,138.70,140.43
20160304,139.60,140.50,137.75,138.94
20160307,138.00,141.03,137.99,140.47
20160308,139.56,141.01,139.05,139.92
20160309,140.88,142.00,138.91,140.09
20160310,140.00,142.85,139.54,142.13
20160311,142.45,144.80,142.17,144.62
20160314,143.63,145.75,143.63,145.27
20160315,144.18,145.12,143.35,143.39
20160316,143.01,144.21,139.93,141.95
20160317,141.90,141.94,136.67,137.80
20160318,138.02,141.22,137.56,139.53
20160321,139.04,139.95,137.54,138.15
20160322,137.78,139.78,136.91,138.95
20160323,139.25,139.94,137.48,137.87
20160324,137.09,138.29,136.97,137.95
20160328,138.26,138.68,137.18,137.61
20160329,137.34,138.72,137.07,138.07
20160330,138.53,140.22,137.35,137.46
20160331,137.60,138.42,136.18,137.24
20160401,136.72,137.63,135.14,137.16
20160404,137.00,141.66,136.37,141.23
20160405,140.97,141.21,135.47,135.49
20160406,135.17,136.17,132.46,135.20
20160407,133.14,135.46,131.01,131.86
20160408,132.60,133.25,129.45,130.41
20160411,130.38,132.70,130.32,132.05
20160412,131.97,136.31,131.96,135.78
20160413,136.24,139.88,135.57,137.00
20160414,137.09,137.29,134.95,135.00
20160415,135.67,137.65,134.84,136.65
20160418,135.98,137.58,135.93,137.12
20160419,138.19,139.95,137.50,139.87
20160420,139.81,142.91,139.05,141.27
20160421,141.35,142.82,139.73,140.34
20160422,140.58,142.11,140.03,141.82
20160425,141.50,141.77,140.24,140.25
20160426,140.12,141.15,139.30,140.68
20160427,140.57,141.00,137.69,139.27
20160428,138.33,141.00,138.04,139.94
20160429,138.94,139.16,137.28,138.54
20160502,139.24,139.79,137.53,138.28
20160503,137.92,139.08,136.69,137.74
20160504,136.94,137.74,134.71,135.30
20160505,135.00,136.34,134.48,134.93
20160506,137.00,137.00,129.05,130.85
20160509,130.70,132.84,130.26,131.38
20160510,131.59,133.56,131.30,133.05
20160511,133.09,133.75,130.09,130.51
20160512,130.53,130.53,127.27,128.06
20160513,128.37,129.27,126.07,128.36
20160516,128.31,130.92,127.86,130.01
20160517,129.68,130.55,128.03,130.44
20160518,130.32,130.66,128.20,129.48
20160519,128.60,130.07,127.20,129.06
20160520,129.72,131.31,129.50,131.28
20160523,128.47,128.50,125.01,126.15
20160524,126.89,128.00,124.52,124.81
20160525,126.13,129.87,125.15,129.30
20160526,129.65,130.56,128.56,128.87
20160527,128.91,130.03,128.54,128.82
20160531,129.00,129.23,127.46,128.11
20160601,128.11,128.39,126.28,127.72
20160602,127.76,129.84,127.72,129.57
20160603,128.97,130.28,128.90,129.70
20160606,129.75,131.25,128.47,129.63
20160607,129.16,130.50,128.67,128.86
20160608,128.82,131.40,128.44,131.17
20160609,130.48,131.77,128.74,129.25
20160610,128.56,129.23,127.56,128.08
20160613,127.32,128.91,126.23,126.50
20160614,126.30,127.55,125.70,127.37
20160615,127.53,128.23,126.08,126.56
20160616,126.31,129.02,124.50,128.69
20160617,129.00,130.00,128.00,129.50
20160620,127.85,129.38,127.00,127.84
20160621,127.85,128.25,126.74,127.79
20160622,128.11,129.36,127.33,127.90
20160623,129.00,129.98,128.43,129.75
20160624,126.78,128.23,126.18,127.71
20160627,126.70,126.80,121.87,122.09
20160628,124.04,125.43,122.88,125.21
20160629,125.87,129.19,125.55,128.83
20160630,128.20,129.19,126.70,127.99
20160701,128.33,130.75,127.60,128.27
20160705,128.40,128.80,125.76,126.75
20160706,126.58,129.26,125.34,128.30
20160707,128.82,129.28,126.68,127.00
20160708,127.80,129.90,126.40,129.60
20160711,129.50,129.87,128.06,128.37
20160712,128.12,129.17,128.00,129.00
20160713,129.64,130.34,128.93,130.19
20160714,130.69,130.99,129.72,130.01
20160715,130.47,133.48,130.04,131.67
20160718,132.70,133.70,131.41,133.13
20160719,133.08,133.85,129.14,130.30
20160720,131.02,133.25,130.99,133.11
20160721,131.92,148.99,131.80,140.32
20160722,141.65,146.74,139.74,146.00
20160725,146.00,146.00,139.85,140.21
20160726,139.69,142.64,138.25,140.01
20160727,139.44,139.44,137.16,138.13
20160728,137.74,138.78,135.94,135.99
20160729,128.70,130.75,127.30,128.96
20160801,128.75,130.11,126.02,126.79
20160802,126.59,127.70,123.53,124.13
20160803,124.19,125.63,123.71,124.60
20160804,124.68,128.88,124.60,128.28
20160805,129.07,131.47,127.61,128.50
20160808,128.14,129.02,126.73,128.39
20160809,128.70,129.54,126.99,127.17
20160810,127.00,127.92,126.01,127.60
20160811,128.19,129.29,126.47,126.62
20160812,126.86,133.58,125.55,133.31
20160815,132.69,133.39,130.56,132.63
20160816,132.23,132.76,130.80,131.83
20160817,131.43,132.83,131.29,132.30
20160818,132.04,133.91,132.04,132.62
20160819,132.20,133.34,131.84,133.00
20160822,133.00,133.48,132.73,133.35
20160823,133.78,134.49,132.80,133.00
20160824,132.94,133.94,131.10,131.37
20160825,130.62,131.57,128.96,129.41
20160826,129.60,130.48,126.50,127.65
20160829,127.62,129.22,127.55,128.49
20160830,128.49,129.04,127.92,128.22
20160831,128.25,128.77,127.29,128.26
20160901,128.58,128.99,127.15,127.64
20160902,128.04,128.50,127.50,128.18
20160906,127.60,128.04,127.17,127.58
20160907,127.04,128.10,126.55,126.74
20160908,126.52,127.90,126.17,127.67
20160909,127.06,129.09,127.06,128.45
