Date,Open,High,Low,Close
20151127,61.01,61.21,60.61,61.08
20151130,61.34,61.51,60.71,61.11
20151201,61.10,61.48,60.84,61.47
20151202,61.34,61.59,60.85,60.94
20151203,61.22,61.22,59.79,60.04
20151204,60.32,61.53,60.32,61.49
20151207,61.30,61.56,61.06,61.38
20151208,60.99,61.29,60.79,61.03
20151209,60.78,61.29,60.05,60.22
20151210,60.23,60.33,59.70,59.99
20151211,59.37,59.85,58.92,59.14
20151214,58.94,59.47,58.41,58.98
20151215,59.57,59.92,59.38,59.75
20151216,60.10,60.69,58.50,60.65
20151217,60.57,60.57,59.59,59.65
20151218,59.37,59.50,57.93,57.97
20151221,58.28,58.68,57.60,58.33
20151222,58.50,59.50,58.28,59.40
20151223,59.71,59.73,59.12,59.37
20151224,59.46,59.86,59.25,59.63
20151228,59.55,60.06,59.31,60.05
20151229,60.37,60.73,60.10,60.54
20151230,60.35,60.66,60.03,60.10
20151231,60.09,60.16,59.15,59.17
20160104,58.11,58.20,56.94,57.54
20160105,57.50,57.90,57.29,57.88
20160106,57.10,57.37,56.78,57.09
20160107,56.28,56.58,55.53,55.82
20160108,56.35,56.64,55.42,55.53
20160111,55.97,56.56,55.28,55.89
20160112,56.05,56.39,55.59,56.27
20160113,56.60,56.75,55.13,55.24
20160114,55.52,56.69,55.30,56.19
20160115,55.14,55.54,54.56,55.12
20160119,55.97,55.97,54.90,55.24
20160120,54.66,55.11,53.64,54.46
20160121,54.63,54.97,53.89,54.11
20160122,54.67,55.12,54.34,54.98
20160125,54.90,55.02,54.11,54.16
20160126,54.32,55.20,54.32,54.92
20160127,54.93,55.65,54.56,54.82
20160128,55.23,55.91,55.04,55.71
20160129,56.00,57.68,55.87,57.63
20160201,57.66,58.09,57.13,57.80
20160202,57.74,58.14,56.71,56.85
20160203,57.28,57.51,55.89,56.96
20160204,57.35,59.09,56.81,59.04
20160205,59.24,60.32,59.19,60.25
20160208,59.76,61.09,59.58,60.93
20160209,60.34,61.52,60.34,61.24
20160210,61.52,61.63,61.07,61.30
20160211,60.26,60.86,59.52,60.51
20160212,61.30,61.93,61.00,61.77
20160216,62.42,62.49,61.41,62.11
20160217,62.52,62.66,62.10,62.45
20160218,62.48,62.54,62.04,62.48
20160219,62.38,62.75,62.13,62.57
20160222,63.17,63.48,62.84,63.08
20160223,62.81,63.12,62.63,62.74
20160224,62.43,63.07,61.96,62.92
20160225,63.27,63.86,62.96,63.75
20160226,64.14,64.22,63.43,63.57
20160229,63.65,63.65,62.80,63.14
20160301,63.61,64.10,63.34,64.07
20160302,64.07,64.27,63.75,64.26
20160303,64.09,64.52,63.80,64.50
20160304,64.38,64.58,63.95,64.52
20160307,64.22,64.59,63.89,64.20
20160308,64.00,64.32,63.75,64.03
20160309,64.27,64.34,63.57,63.99
20160310,64.30,64.41,63.63,64.11
20160311,64.62,65.90,64.17,65.90
20160314,65.89,65.91,64.91,65.18
20160315,64.86,65.30,64.67,65.11
20160316,65.06,65.52,64.87,65.33
20160317,65.35,65.95,65.12,65.80
