Date,Open,High,Low,Close
20151127,66.51,66.75,66.19,66.56
20151130,66.56,66.77,65.65,65.68
20151201,65.77,66.07,65.32,65.83
20151202,65.82,66.41,65.58,65.68
20151203,65.70,65.96,64.99,65.58
20151204,65.97,66.76,65.70,66.34
20151207,66.39,66.56,66.09,66.34
20151208,66.05,66.50,65.88,66.18
20151209,66.02,67.10,65.75,66.08
20151210,66.08,66.66,65.98,66.13
20151211,65.37,65.78,65.03,65.21
20151214,65.29,65.90,65.00,65.85
20151215,66.33,67.11,66.23,66.76
20151216,67.00,68.49,66.99,68.33
20151217,68.19,68.30,67.30,67.33
20151218,66.90,66.97,65.57,65.57
20151221,66.02,66.15,65.50,65.98
20151222,66.15,66.69,65.69,66.58
20151223,66.86,67.39,66.78,67.16
20151224,67.00,67.28,66.86,66.99
20151228,66.76,66.95,66.65,66.89
20151229,67.33,67.73,67.23,67.65
20151230,67.66,68.07,67.39,67.53
20151231,67.21,67.29,66.61,66.62
20160104,65.40,65.41,63.98,64.71
20160105,64.73,65.26,64.60,65.00
20160106,64.21,64.64,63.96,64.14
20160107,63.40,63.90,62.76,63.01
20160108,63.10,63.42,62.37,62.55
20160111,62.85,63.20,62.08,62.81
20160112,63.27,63.50,62.67,63.38
20160113,63.60,63.94,62.80,62.91
20160114,63.03,64.14,62.98,63.53
20160115,62.37,63.92,62.32,63.35
20160119,63.79,64.52,63.70,64.29
20160120,63.46,63.68,61.40,62.45
20160121,62.32,63.96,61.91,63.65
20160122,64.33,64.91,63.87,64.61
20160125,64.33,64.61,63.76,63.93
20160126,64.01,64.81,63.98,64.33
20160127,64.29,65.10,63.88,64.30
20160128,64.56,65.55,64.32,65.02
20160129,64.99,67.65,64.35,67.53
20160201,66.93,67.08,65.89,66.20
20160202,65.62,66.08,65.17,65.36
20160203,65.84,66.26,65.00,66.03
20160204,65.90,66.23,65.50,65.99
20160205,65.99,66.32,65.41,66.19
20160208,65.65,66.29,65.24,66.07
20160209,65.48,66.31,64.93,65.88
20160210,66.39,66.83,65.71,65.81
20160211,64.71,65.30,64.00,64.44
20160212,64.78,65.75,64.54,65.70
20160216,66.52,66.70,65.52,65.81
20160217,66.12,67.20,65.96,67.06
20160218,66.90,67.34,66.63,67.22
20160219,67.20,67.48,66.36,67.46
20160222,67.46,68.39,67.39,67.61
20160223,67.39,67.71,67.02,67.20
20160224,66.94,66.99,66.03,66.32
20160225,66.61,67.45,66.33,67.42
20160226,67.20,67.53,66.07,66.28
20160229,66.44,66.70,65.61,65.64
20160301,66.06,67.39,65.93,67.33
20160302,67.06,67.42,66.39,67.08
20160303,66.86,67.61,66.71,67.61
20160304,67.42,68.32,67.28,68.16
20160307,67.80,67.94,67.37,67.57
20160308,67.21,67.93,66.86,67.53
20160309,67.88,68.58,67.30,67.98
20160310,68.11,68.45,67.53,68.23
20160311,68.28,68.49,67.95,68.37
20160314,68.34,68.59,67.83,68.24
20160315,67.83,68.75,67.70,68.59
20160316,68.41,68.82,67.86,68.68
20160317,68.76,69.99,68.58,69.86
20160318,69.98,70.50,69.66,70.48
20160321,70.07,70.87,69.80,70.43
20160322,70.00,70.30,69.28,69.56
20160323,69.60,70.08,69.54,69.80
20160324,69.54,69.96,69.38,69.91
20160328,69.98,70.39,69.74,69.91
20160329,70.00,70.67,69.55,70.51
20160330,70.51,71.25,70.18,70.72
20160331,70.72,71.00,70.51,70.65
20160401,70.21,71.27,70.09,71.20
20160404,70.87,71.27,70.59,71.16
20160405,71.13,71.47,70.99,71.14
20160406,71.11,71.42,70.87,71.41
20160407,70.90,70.95,70.28,70.64
20160408,71.09,71.15,70.50,71.07
20160411,71.12,71.40,70.80,70.94
20160412,70.83,71.37,70.77,71.23
20160413,71.33,71.50,70.58,70.83
20160414,70.81,71.19,70.71,70.80
20160415,70.83,71.46,70.72,71.25
20160418,70.90,71.47,70.78,71.32
20160419,71.47,71.79,71.05,71.66
20160420,71.34,71.53,70.30,70.31
20160421,70.20,70.32,68.81,68.98
20160422,68.76,69.09,68.24,69.06
20160425,68.87,69.52,68.58,69.42
20160426,69.74,69.75,68.78,68.96
20160427,69.11,69.74,68.87,69.31
20160428,69.40,71.59,69.39,71.16
20160429,71.03,71.59,70.43,70.92
20160502,71.47,72.39,71.42,72.37
20160503,72.00,72.45,71.61,71.85
20160504,71.55,72.00,71.11,71.88
20160505,71.66,72.31,71.19,71.47
20160506,71.49,71.85,71.19,71.82
20160509,71.98,72.25,71.58,71.76
20160510,71.86,72.25,71.76,72.20
20160511,72.25,72.39,71.81,71.98
20160512,72.29,72.72,71.92,72.65
20160513,72.58,72.58,71.53,71.67
20160516,71.59,72.22,71.47,72.02
20160517,71.96,71.97,70.46,70.85
20160518,70.69,70.69,69.73,70.13
20160519,69.96,70.45,69.53,70.43
20160520,70.79,70.79,69.92,70.02
20160523,70.05,70.24,69.83,70.08
20160524,70.43,71.08,70.33,70.87
20160525,70.96,71.15,70.64,70.67
20160526,70.68,70.95,70.35,70.49
20160527,70.54,70.81,70.31,70.59
20160531,70.76,70.96,70.10,70.41
20160601,70.41,71.22,70.17,71.20
20160602,71.02,71.42,70.87,71.42
20160603,71.42,71.79,71.25,71.60
20160606,71.60,72.07,71.41,71.84
20160607,71.90,72.02,71.47,71.59
20160608,71.46,72.10,71.35,72.00
20160609,71.85,72.41,71.74,72.34
20160610,72.00,72.23,71.74,72.12
20160613,72.15,72.45,71.66,71.67
20160614,71.48,72.17,71.22,72.09
20160615,72.19,72.29,71.62,71.72
20160616,71.56,72.07,71.36,72.00
20160617,71.87,72.08,70.97,71.44
20160620,71.90,72.40,71.61,71.64
20160621,72.03,72.14,71.73,71.80
20160622,71.98,72.50,71.88,72.25
20160623,72.64,72.73,72.34,72.67
20160624,71.11,71.80,70.15,70.58
20160627,70.14,70.23,69.71,69.99
20160628,70.37,71.15,70.03,71.13
20160629,71.36,71.93,71.32,71.86
20160630,71.90,73.20,71.86,73.20
20160701,73.20,73.42,72.86,72.95
20160705,72.69,73.69,72.63,73.28
20160706,73.32,73.45,72.78,73.28
20160707,73.28,73.71,73.08,73.40
20160708,73.77,74.27,73.42,74.25
20160711,74.05,74.58,73.72,74.49
20160712,74.26,74.40,73.72,73.95
20160713,74.18,74.50,73.89,74.47
20160714,74.49,75.33,74.33,74.71
20160715,74.94,75.29,74.50,74.72
20160718,74.78,74.92,74.44,74.50
20160719,74.21,74.56,74.09,74.56
20160720,74.27,74.51,74.09,74.12
20160721,73.88,74.09,73.61,73.87
20160722,74.12,74.62,73.94,74.61
20160725,74.40,74.57,73.99,74.23
20160726,74.04,74.64,73.80,73.98
20160727,74.17,74.17,72.91,73.28
20160728,74.75,74.75,73.06,73.25
20160729,73.12,74.97,73.07,74.43
20160801,74.44,75.14,74.43,75.11
20160802,75.25,75.34,74.46,74.87
20160803,75.03,75.09,73.89,74.08
20160804,74.21,75.06,74.21,74.78
20160805,74.70,74.88,74.21,74.58
20160808,74.48,74.51,73.94,74.43
20160809,74.55,75.03,74.47,74.78
20160810,74.82,75.07,74.58,74.84
20160811,74.95,75.26,74.79,74.89
20160812,75.00,75.38,74.84,74.97
20160815,75.00,75.24,74.64,74.71
20160816,74.50,74.85,74.27,74.32
