Date,Open,High,Low,Close
20151127,46.35,46.68,45.89,46.39
20151130,46.51,46.57,46.03,46.35
20151201,46.74,47.10,46.29,46.74
20151202,46.87,46.99,45.84,45.85
20151203,46.14,46.24,45.13,45.25
20151204,45.48,46.46,45.07,46.37
20151207,46.18,46.20,43.91,44.32
20151208,43.74,43.91,42.76,43.01
20151209,42.82,43.48,42.06,42.49
20151210,42.46,43.17,42.20,42.63
20151211,41.74,42.22,41.48,41.76
20151214,41.92,42.35,40.69,41.21
20151215,41.93,43.48,41.80,42.96
20151216,43.17,43.56,42.23,43.26
20151217,42.84,43.38,42.30,42.31
20151218,41.85,41.85,40.48,40.54
20151221,40.89,41.15,40.44,41.14
20151222,41.46,41.54,40.68,41.27
20151223,41.66,42.36,41.49,42.32
20151224,42.28,42.55,42.12,42.31
20151228,42.00,42.18,41.41,42.03
20151229,42.40,42.69,41.92,42.28
20151230,42.15,42.30,41.36,41.98
20151231,41.56,42.27,41.42,41.83
20160104,40.61,41.46,40.61,41.43
20160105,41.53,41.74,40.76,40.98
20160106,40.31,40.84,40.07,40.51
20160107,40.15,40.55,39.57,39.69
20160108,40.24,40.30,38.93,39.00
20160111,39.33,39.47,38.35,38.75
20160112,38.29,38.91,37.70,38.51
20160113,38.79,38.84,36.48,36.67
20160114,36.74,37.21,35.99,36.93
20160115,35.39,36.28,35.12,36.05
20160119,36.50,36.97,34.51,34.72
20160120,34.38,34.38,32.95,33.99
20160121,34.17,34.22,33.15,33.30
20160122,33.90,34.18,33.47,33.67
20160125,33.40,33.59,31.92,32.04
20160126,32.31,33.33,32.31,32.97
20160127,32.94,34.61,32.66,33.47
20160128,34.02,35.19,34.02,34.19
20160129,34.31,34.60,33.79,34.30
20160201,34.28,34.28,33.30,33.61
20160202,33.48,33.53,32.91,33.40
20160203,33.65,34.33,32.29,34.24
20160204,34.32,35.44,34.07,34.94
20160205,35.10,35.69,34.45,34.57
20160208,33.90,33.90,32.01,32.29
20160209,31.61,32.71,31.45,32.45
20160210,32.78,33.30,32.03,32.05
20160211,30.87,31.41,30.48,31.02
20160212,31.74,33.22,31.74,32.92
20160216,33.60,34.60,32.99,34.25
20160217,33.86,34.96,33.68,33.87
20160218,34.03,34.56,33.73,34.13
20160219,33.88,34.69,33.67,34.32
20160222,34.76,35.85,34.71,35.56
20160223,35.36,35.44,33.60,33.96
20160224,33.20,33.95,32.74,33.89
20160225,33.92,34.29,33.31,34.26
20160226,34.72,35.48,34.50,34.96
20160229,34.54,34.66,33.77,33.78
20160301,33.89,35.37,33.61,35.11
20160302,35.15,35.82,34.84,35.79
20160303,35.78,37.24,35.62,37.21
20160304,37.56,38.33,37.56,38.23
20160307,37.79,38.43,37.57,38.17
20160308,37.60,37.85,36.41,36.61
20160309,37.03,37.15,35.89,36.08
20160310,36.61,36.94,35.58,36.42
20160311,36.57,37.79,36.57,37.61
20160314,37.97,38.31,37.65,38.14
20160315,37.69,38.17,37.40,38.15
20160316,37.88,38.76,37.50,38.13
20160317,38.16,38.90,37.67,38.85
20160318,39.23,39.74,38.84,39.23
20160321,39.25,39.85,38.82,39.53
20160322,39.00,39.71,38.58,39.37
20160323,39.36,39.36,38.55,38.57
20160324,38.07,38.78,37.65,38.78
20160328,39.02,39.02,38.28,38.69
20160329,38.13,38.14,37.25,38.01
20160330,38.22,38.76,37.85,38.23
20160331,38.01,38.27,37.37,37.87
20160401,37.58,37.79,36.96,37.68
20160404,37.98,39.31,37.82,38.08
20160405,37.51,37.72,37.15,37.34
20160406,37.31,37.95,37.03,37.88
20160407,37.38,37.64,36.27,36.55
20160408,37.02,37.73,36.61,36.76
20160411,37.08,37.98,37.01,37.25
20160412,37.49,38.45,37.23,38.20
20160413,38.70,39.95,38.46,39.69
20160414,39.56,40.45,39.49,39.87
20160415,39.93,40.03,39.13,39.40
20160418,38.93,40.04,38.78,39.96
20160419,38.81,41.85,38.75,41.64
20160420,41.30,42.55,41.13,42.35
20160421,42.80,43.17,42.39,42.49
20160422,42.55,45.09,42.39,44.02
20160425,43.73,43.95,43.35,43.68
20160426,43.75,45.68,43.56,45.13
20160427,44.95,45.99,44.90,45.53
20160428,44.95,45.97,44.73,44.93
20160429,44.71,45.27,43.14,44.40
20160502,44.57,44.65,43.63,44.34
20160503,43.61,43.74,42.81,43.37
20160504,42.74,43.31,41.74,42.28
20160505,42.47,43.01,42.06,42.28
20160506,41.98,42.44,41.71,42.28
20160509,42.47,42.67,41.88,42.19
20160510,42.51,43.11,42.27,42.90
20160511,42.59,43.50,42.59,43.03
20160512,43.40,43.82,42.33,42.69
20160513,42.14,43.14,41.74,41.97
20160516,42.01,42.88,42.01,42.54
20160517,42.37,43.48,42.11,43.15
20160518,43.19,44.85,43.10,44.63
20160519,44.74,45.14,43.98,44.37
20160520,44.61,45.18,44.46,45.18
20160523,45.11,45.46,44.86,45.15
20160524,45.50,46.25,45.28,45.92
20160525,46.27,47.25,46.15,46.80
20160526,46.90,47.00,46.30,46.62
20160527,46.65,47.05,46.46,47.00
20160531,47.32,47.49,46.66,47.10
20160601,46.46,47.55,46.03,47.41
20160602,47.21,47.31,46.55,47.05
20160603,46.22,46.25,44.82,45.80
20160606,46.00,46.65,45.88,46.25
20160607,46.40,46.47,45.96,46.10
20160608,46.08,46.53,45.84,46.21
20160609,45.73,45.73,44.84,45.29
20160610,44.47,44.52,43.98,44.15
20160613,43.65,44.19,43.39,43.45
20160614,43.32,43.68,42.27,42.50
20160615,42.71,43.50,42.44,42.77
20160616,42.68,42.69,41.14,41.93
20160617,42.10,42.52,41.84,42.21
20160620,43.35,43.74,42.36,42.43
20160621,42.60,42.74,41.85,42.47
20160622,42.59,43.07,42.39,42.58
20160623,43.42,44.48,43.39,44.48
20160624,40.98,42.09,40.01,40.02
20160627,39.30,39.36,36.82,36.96
20160628,37.96,38.88,37.50,38.84
20160629,38.84,39.98,38.66,39.95
20160630,40.33,41.13,39.89,41.13
20160701,40.62,41.12,40.43,40.70
20160705,40.07,40.07,38.82,39.15
20160706,38.68,39.85,38.39,39.81
20160707,39.90,40.92,39.90,40.50
20160708,41.40,41.98,41.04,41.50
20160711,41.81,42.33,41.59,41.61
20160712,42.29,42.99,42.26,42.84
20160713,42.75,43.00,42.28,42.72
20160714,43.68,43.86,43.23,43.60
20160715,44.01,44.01,43.40,43.66
20160718,43.53,43.85,43.37,43.73
20160719,44.30,44.85,43.35,44.79
20160720,45.36,45.60,44.81,45.23
20160721,45.28,45.75,44.97,45.00
20160722,45.16,45.66,44.88,45.46
20160725,45.35,45.57,45.14,45.27
20160726,45.23,45.84,45.18,45.77
20160727,45.95,46.37,45.47,45.59
20160728,45.47,45.81,45.06,45.68
20160729,45.60,45.81,45.14,45.24
20160801,45.38,45.49,44.54,44.63
20160802,44.56,44.81,43.74,44.00
20160803,44.05,44.95,44.05,44.73
20160804,44.67,44.98,44.59,44.83
20160805,45.57,46.31,45.56,46.23
20160808,46.39,46.61,45.90,46.02
20160809,46.10,46.35,45.96,46.08
20160810,46.01,46.05,45.26,45.33
20160811,45.45,45.72,45.18,45.52
20160812,44.96,45.25,44.55,45.19
20160815,45.45,46.15,45.43,46.10
20160816,45.92,46.00,45.48,45.49
20160817,45.33,45.89,45.33,45.67
20160818,45.73,45.97,45.53,45.95
20160819,45.92,45.98,45.25,45.85
20160822,45.74,45.88,45.43,45.76
20160823,46.00,46.38,45.82,45.85
20160824,45.88,46.26,45.68,45.81
20160825,45.70,46.23,45.70,46.07
20160826,46.37,46.91,46.02,46.85
20160829,46.92,47.59,46.92,47.16
20160830,47.37,47.55,47.08,47.45
20160831,47.56,47.60,46.68,47.29
20160901,47.50,47.57,46.59,47.03
20160902,47.27,47.61,46.83,47.58
20160906,47.70,47.70,46.55,46.80
20160907,46.84,47.05,46.53,46.99
20160908,47.04,47.32,46.56,46.97
20160909,46.97,47.44,46.18,46.20
20160912,45.72,46.50,45.26,46.37
20160913,45.57,46.22,45.15,46.04
20160914,46.01,46.38,45.55,45.86
20160915,45.93,46.73,45.70,46.66
20160916,47.10,47.10,46.07,46.34
20160919,46.67,47.01,46.14,46.35
20160920,46.73,46.84,45.97,46.15
20160921,46.54,46.79,46.04,46.51
20160922,46.73,46.89,46.40,46.74
20160923,46.43,47.35,46.43,46.96
20160926,46.54,46.62,45.65,45.72
20160927,45.47,46.40,45.14,46.34
20160928,46.66,47.70,46.43,47.68
20160929,47.53,47.81,46.31,46.63
20160930,46.95,47.63,46.59,47.32
20161003,46.82,47.64,46.75,47.37
20161004,47.03,48.31,46.85,47.87
20161005,48.33,49.62,48.23,49.21
20161006,49.36,49.61,48.71,49.20
20161007,49.12,49.48,48.18,48.98
20161010,49.46,49.75,49.26,49.47
20161011,49.21,49.45,48.23,48.64
20161012,48.61,49.05,48.49,48.61
20161013,48.00,48.06,47.12,47.91
20161014,48.77,48.99,48.08,48.40
20161017,48.40,48.63,47.88,48.06
20161018,49.44,50.54,48.68,50.05
20161019,50.43,52.04,50.18,51.77
20161020,51.60,51.88,51.14,51.64
20161021,51.07,51.65,50.70,51.46
20161024,51.90,52.15,51.58,51.71
20161025,51.73,52.18,51.47,51.80
20161026,51.46,52.16,51.40,52.01
20161027,52.48,52.59,51.84,52.31
20161028,52.40,52.40,51.57,52.02
20161031,52.26,52.42,51.99,52.09
20161101,52.39,52.55,51.25,52.10
20161102,51.83,51.95,50.22,50.41
20161103,50.80,51.19,50.48,50.49
20161104,50.43,51.10,49.81,50.53
20161107,51.95,52.25,51.64,52.00
20161108,51.87,52.24,51.12,52.02
20161109,54.53,54.99,52.11,54.76
20161110,55.05,56.75,54.96,56.39
20161111,56.00,58.18,55.75,57.83
20161114,58.27,59.43,57.93,59.05
20161115,58.44,60.19,58.03,60.18
20161116,58.93,59.98,58.78,59.21
20161117,59.22,60.59,59.15,60.57
20161118,60.61,61.08,60.39,61.04
20161121,61.11,61.38,60.63,60.93
20161122,61.34,61.93,61.01,61.55
20161123,61.88,62.44,61.48,62.17
20161125,62.08,62.20,61.62,62.16
20161128,61.98,62.50,61.05,61.13
20161129,61.76,62.30,61.51,61.75
20161130,62.92,63.99,62.87,63.75
20161201,64.01,65.44,63.97,65.14
20161202,64.66,65.74,64.40,65.36
20161205,66.12,66.65,65.48,66.06
20161206,66.37,67.73,65.61,67.69
20161207,67.62,68.68,67.01,68.35
20161208,68.88,70.40,68.05,69.62
20161209,69.54,70.05,69.01,70.03
20161212,69.66,70.44,68.30,68.85
20161213,68.95,69.08,67.43,68.04
20161214,67.47,69.40,66.40,67.53
20161215,68.48,69.23,67.75,68.61
20161216,68.97,68.97,67.67,67.67
20161219,67.98,68.10,67.25,67.89
20161220,68.64,69.35,68.25,68.72
20161221,68.76,69.55,68.39,69.15
20161222,69.17,69.33,68.51,69.02
20161223,68.99,69.50,68.83,69.25
20161227,69.34,69.67,69.09,69.59
20161228,69.62,69.72,68.43,68.63
20161229,68.82,68.92,67.45,67.92
20161230,68.30,68.42,67.74,68.11
20170103,68.93,69.87,68.00,68.96
20170104,69.31,69.70,69.03,69.54
20170105,69.87,71.20,68.23,69.54
20170106,70.00,70.99,69.56,70.27
20170109,69.59,69.95,68.75,69.54
20170110,69.16,70.27,68.92,69.61
20170111,69.43,69.88,68.83,69.81
20170112,69.55,69.82,68.24,69.22
20170113,69.69,70.56,69.34,69.92
20170117,67.98,68.25,64.91,65.37
20170118,65.55,67.16,65.16,67.06
20170119,67.02,67.42,66.18,66.31
20170120,66.77,67.46,66.52,66.96
20170123,66.44,67.22,66.26,67.04
20170124,67.01,67.90,66.80,67.66
20170125,68.24,69.58,68.01,69.39
20170126,69.34,69.92,68.93,69.58
20170127,69.50,69.54,68.83,69.11
20170130,68.78,68.78,67.43,68.10
20170131,68.00,68.61,66.88,67.53
20170201,68.31,69.24,67.78,68.14
20170202,67.41,67.95,66.80,67.27
20170203,68.44,68.71,67.71,68.49
20170206,67.97,69.11,67.84,68.22
20170207,68.53,68.81,67.75,68.25
20170208,67.56,67.82,66.90,67.75
20170209,67.75,68.97,67.75,68.91
20170210,69.17,69.53,68.55,68.99
20170213,69.36,70.60,69.36,69.84
20170214,69.99,72.23,69.75,72.03
20170215,72.71,73.85,72.36,73.24
20170216,72.99,73.10,72.02,72.55
20170217,72.00,72.50,71.58,72.37
20170221,72.71,73.37,72.29,72.66
20170222,72.00,72.79,71.53,72.00
20170223,72.26,72.40,71.48,71.95
20170224,70.78,71.32,67.91,71.20
20170227,71.30,71.83,71.25,71.67
20170228,71.27,71.72,70.66,71.28
20170301,73.35,75.00,73.22,74.58
20170302,74.88,74.94,72.45,72.63
20170303,72.70,73.63,72.39,73.46
20170306,72.70,73.36,72.13,73.25
20170307,73.12,73.50,72.50,72.63
20170308,73.77,74.08,72.29,72.40
20170309,72.76,73.32,72.02,72.48
20170310,73.00,73.00,70.88,72.16
20170313,71.93,72.38,71.44,72.00
20170314,71.38,71.54,70.31,71.49
20170315,71.92,72.45,70.92,71.01
20170316,71.69,72.32,70.97,71.89
20170317,71.92,72.03,70.55,71.36
20170320,71.09,71.55,70.44,70.65
20170321,71.08,71.08,65.97,66.37
20170322,65.92,67.47,64.76,66.97
20170323,66.78,68.53,66.44,67.15
20170324,67.69,67.92,66.30,67.23
20170327,65.56,66.83,64.27,66.73
20170328,66.50,68.43,66.30,67.97
20170329,67.87,68.54,67.26,67.83
20170330,67.88,69.59,67.86,69.13
20170331,68.72,69.10,68.24,68.58
20170403,68.74,69.17,67.16,68.44
20170404,67.99,68.80,67.82,68.62
20170405,69.44,69.70,67.19,67.26
20170406,67.14,68.32,66.48,68.01
20170407,67.32,68.77,67.32,68.14
20170410,68.12,68.55,66.93,67.31
20170411,66.57,67.09,65.91,67.05
20170412,67.30,67.30,66.00,66.12
20170413,65.73,66.47,64.87,65.21
20170417,65.34,66.93,64.75,66.93
20170418,65.78,68.25,65.15,67.71
20170419,68.60,69.71,67.77,67.97
20170420,68.63,69.43,68.25,69.21
20170421,68.90,69.60,67.94,68.71
20170424,70.68,71.57,70.08,70.11
20170425,71.01,71.30,70.06,70.65
20170426,70.56,72.30,70.54,71.58
20170427,71.75,71.76,70.06,70.75
20170428,70.90,71.66,70.55,70.70
20170501,71.05,71.93,70.74,71.48
20170502,71.46,71.79,70.77,71.18
20170503,70.61,72.04,70.29,71.98
20170504,72.91,73.41,71.70,71.94
20170505,72.19,72.23,70.90,71.60
20170508,71.74,72.50,71.57,71.91
20170509,72.17,72.51,70.72,71.21
20170510,71.05,71.49,70.79,71.33
20170511,70.91,71.15,69.67,70.64
20170512,70.06,70.34,69.18,70.10
20170515,70.52,71.13,70.32,70.84
20170516,70.97,71.43,70.36,71.28
20170517,71.28,71.28,66.70,67.27
20170518,67.11,68.28,67.11,67.63
20170519,67.96,69.17,67.81,68.36
20170522,68.64,69.17,68.07,68.64
20170523,68.70,70.08,68.17,69.57
20170524,69.72,69.81,68.40,69.20
20170525,69.62,69.84,68.73,69.07
20170526,68.93,69.67,68.73,69.22
20170530,68.85,68.99,67.87,68.50
20170531,68.63,68.63,67.17,68.56
20170601,69.20,69.24,67.69,69.08
20170602,68.25,69.08,67.63,68.57
20170605,68.63,69.60,68.52,69.11
20170606,68.25,68.91,67.93,68.42
20170607,68.64,69.43,68.49,68.85
20170608,68.85,71.53,68.60,70.79
20170609,72.00,73.16,71.49,72.67
20170612,72.62,73.58,72.10,72.80
20170613,74.00,74.45,73.52,73.87
20170614,73.30,74.51,72.59,74.26
20170615,73.67,74.76,73.65,74.08
20170616,74.16,75.01,73.84,74.12
20170619,74.64,75.30,74.40,74.62
20170620,74.42,74.44,73.12,73.28
20170621,73.59,73.65,71.96,72.32
20170622,72.32,72.40,71.14,71.42
20170623,71.88,71.96,70.47,70.85
20170626,71.03,71.75,70.46,71.07
20170627,71.70,72.77,71.25,71.80
20170628,72.47,72.95,71.92,71.94
20170629,73.78,74.97,72.13,72.79
20170630,73.10,73.67,72.46,73.24
20170703,73.91,74.93,73.65,74.39
20170705,74.61,74.71,73.64,74.43
20170706,74.55,75.05,73.97,74.13
20170707,74.84,74.98,73.76,74.67
20170710,74.38,75.44,74.21,75.13
20170711,75.19,75.72,74.73,75.23
20170712,74.92,75.34,74.60,74.89
20170713,75.11,75.29,74.69,75.10
20170714,74.13,74.63,73.19,74.26
20170717,74.15,74.67,73.64,74.52
20170718,73.00,74.10,72.39,73.05
20170719,73.40,73.56,71.90,72.49
20170720,72.59,73.28,72.15,72.43
20170721,72.11,72.91,71.72,72.46
20170724,72.50,73.51,72.50,73.28
20170725,74.74,75.20,73.77,74.13
20170726,74.52,74.61,72.38,72.53
20170727,72.66,72.66,71.11,72.01
20170728,72.02,72.41,71.18,71.98
20170731,72.02,73.03,72.02,72.31
20170801,72.96,73.09,71.92,72.31
20170802,72.21,72.73,72.05,72.49
20170803,72.58,73.34,72.49,72.84
20170804,73.57,74.77,73.46,73.86
20170807,73.90,74.23,73.33,73.43
20170808,73.30,74.76,73.12,73.46
20170809,72.83,73.30,71.84,72.47
20170810,71.98,72.11,70.36,70.81
20170811,70.74,71.23,69.86,70.21
20170814,71.14,71.91,70.95,71.67
20170815,72.50,73.28,71.88,71.94
20170816,72.31,72.78,71.42,71.66
20170817,71.35,71.76,69.39,69.48
20170818,69.16,70.10,68.88,69.37
20170821,69.41,69.51,68.45,68.77
20170822,69.17,69.99,69.09,69.85
20170823,69.31,70.64,69.06,70.11
20170824,70.39,70.86,70.14,70.37
20170825,70.57,70.95,70.28,70.32
20170828,70.54,70.59,68.99,69.24
20170829,68.26,68.93,67.67,68.59
20170830,68.73,69.18,68.54,68.65
20170831,69.06,69.07,68.10,68.25
20170901,68.47,69.76,68.33,69.30
20170905,68.60,68.60,66.54,66.74
20170906,67.15,67.41,66.64,66.88
20170907,66.71,66.77,64.04,64.46
20170908,64.35,65.18,64.30,64.72
20170911,65.69,67.04,65.59,66.75
20170912,68.04,69.83,67.84,69.20
20170913,68.95,69.07,68.15,68.78
20170914,68.71,68.92,68.05,68.18
20170915,67.98,69.11,67.83,69.09
20170918,69.38,70.76,69.20,70.68
20170919,70.76,71.87,70.44,71.84
20170920,71.98,72.70,70.84,72.53
20170921,72.60,73.45,72.43,73.33
20170922,72.81,73.54,72.47,73.42
20170925,73.24,73.94,73.00,73.62
20170926,73.80,74.18,73.43,73.78
20170927,75.00,75.98,74.52,75.12
20170928,75.29,75.61,74.59,75.52
20170929,75.60,76.76,75.47,76.26
20171002,76.36,76.75,75.83,76.65
20171003,76.63,76.73,75.61,76.17
20171004,76.17,76.66,75.18,75.30
20171005,75.67,77.05,75.03,77.00
20171006,77.37,77.95,76.72,76.92
20171009,77.09,77.17,76.28,76.41
20171010,76.66,77.33,76.42,76.95
20171011,76.69,76.96,76.24,76.57
20171012,76.73,76.87,75.73,75.83
20171013,75.72,76.05,74.89,75.55
20171016,75.61,76.14,74.97,75.34
20171017,76.03,76.81,74.66,74.80
20171018,75.53,76.76,74.83,76.57
20171019,75.84,77.61,75.29,77.48
20171020,78.50,79.20,78.23,79.07
20171023,79.13,79.22,78.45,78.54
20171024,79.00,80.04,78.99,79.56
20171025,80.22,80.25,78.34,78.88
20171026,79.12,80.01,79.12,79.71
20171027,79.35,80.00,79.19,79.79
20171030,79.28,79.58,78.39,78.82
20171031,78.64,79.48,78.46,78.57
20171101,79.08,79.78,78.39,78.45
20171102,78.45,79.92,78.10,79.44
20171103,79.20,80.25,79.04,79.75
20171106,79.51,79.72,78.87,79.54
20171107,79.49,79.71,77.02,77.16
20171108,76.68,76.88,75.57,76.14
20171109,75.45,76.30,74.34,75.28
20171110,75.55,76.22,74.89,74.93
20171113,74.33,77.15,74.16,76.94
20171114,76.53,79.35,76.53,78.71
20171115,77.70,79.69,76.83,78.88
20171116,79.54,79.99,78.31,78.42
20171117,78.30,79.82,77.88,79.13
20171120,79.41,80.04,79.28,79.80
20171121,80.06,80.06,79.19,79.40
20171122,79.51,80.09,79.17,79.34
20171124,79.59,79.66,78.54,78.67
20171127,78.76,79.29,78.39,78.64
20171128,78.67,81.01,78.67,80.83
20171129,81.46,84.83,81.45,83.49
20171130,84.18,85.28,83.21,83.31
20171201,83.45,84.81,81.46,83.78
20171204,85.58,86.78,84.52,85.11
20171205,85.20,85.61,83.85,83.94
20171206,83.65,84.02,83.09,83.23
20171207,82.77,84.96,82.70,84.43
20171208,84.90,85.63,84.68,85.40
20171211,85.22,85.47,84.39,84.67
20171212,85.06,86.26,84.92,85.87
20171213,85.81,86.45,84.73,84.81
20171214,84.89,85.03,83.74,83.75
20171215,84.39,85.90,84.14,85.29
20171218,86.11,86.84,85.73,86.26
20171219,87.05,87.48,86.46,86.54
20171220,87.51,87.63,85.62,86.56
20171221,87.19,88.07,87.04,87.66
20171222,87.95,88.22,87.25,87.74
20171226,87.61,88.20,86.96,87.33
20171227,87.12,87.36,86.78,87.12
20171228,87.28,87.50,86.66,87.29
20171229,87.43,87.62,86.76,86.81
