Date,Open,High,Low,Close
20151127,30.66,30.91,30.52,30.80
20151130,30.77,30.83,30.33,30.43
20151201,30.73,30.89,30.62,30.88
20151202,30.76,30.87,30.17,30.24
20151203,30.20,30.41,29.66,29.81
20151204,29.80,30.54,29.75,30.38
20151207,30.29,30.48,29.93,30.18
20151208,30.10,30.14,29.39,29.77
20151209,29.61,29.77,29.04,29.30
20151210,29.10,30.14,29.10,29.83
20151211,29.42,29.79,28.97,28.99
20151214,28.94,29.00,28.09,28.68
20151215,29.03,29.57,28.76,28.88
20151216,29.12,29.43,28.91,29.35
20151217,29.25,29.41,28.70,28.70
20151218,28.50,28.61,28.17,28.20
20151221,28.41,28.42,27.70,28.23
20151222,28.57,28.76,28.38,28.45
20151223,28.55,28.63,28.43,28.58
20151224,28.71,28.76,28.57,28.65
20151228,28.56,28.73,28.36,28.59
20151229,28.75,28.96,28.64,28.78
20151230,28.75,28.78,28.34,28.36
20151231,28.27,28.60,28.10,28.21
20160104,27.58,27.83,27.42,27.82
20160105,27.92,28.02,27.74,27.83
20160106,27.46,27.83,27.38,27.61
20160107,27.05,27.68,26.89,27.30
20160108,27.43,28.02,27.29,27.33
20160111,27.44,27.54,26.96,27.36
20160112,27.31,27.71,27.18,27.43
20160113,27.73,27.75,26.72,26.77
20160114,26.77,27.83,26.67,27.52
20160115,26.66,27.12,26.65,26.95
20160119,27.41,27.42,26.84,27.12
20160120,26.99,27.00,26.17,26.80
20160121,26.80,27.42,26.59,27.16
20160122,27.76,27.76,27.34,27.67
20160125,27.54,27.66,27.05,27.11
20160126,27.03,27.50,26.98,27.42
20160127,27.46,27.72,26.98,27.06
20160128,27.24,27.29,26.81,27.05
20160129,27.37,27.92,27.26,27.86
20160201,27.54,28.07,27.49,27.91
20160202,27.45,27.80,27.19,27.30
20160203,28.35,28.98,27.61,28.92
20160204,29.09,29.73,28.80,29.11
20160205,29.11,29.74,28.99,29.70
20160208,29.58,29.85,28.96,29.70
20160209,29.20,29.50,28.58,29.11
20160210,29.05,29.06,27.88,27.91
20160211,27.43,28.16,27.35,28.02
20160212,28.42,28.52,27.80,28.39
20160216,28.91,28.93,28.50,28.74
20160217,28.86,29.16,28.66,28.85
20160218,28.72,28.88,28.30,28.66
20160219,28.50,28.91,28.48,28.88
20160222,29.11,29.43,28.95,29.08
20160223,28.89,29.09,28.70,28.77
20160224,28.53,29.32,28.30,29.20
20160225,29.08,29.26,28.86,29.26
20160226,29.39,29.49,28.83,28.95
20160229,29.07,29.36,28.84,28.86
20160301,29.11,29.79,29.02,29.61
20160302,29.48,29.71,29.42,29.68
20160303,29.73,30.14,29.73,29.96
20160304,30.00,30.02,29.67,29.87
20160307,29.61,29.88,29.31,29.48
20160308,29.44,29.50,29.02,29.14
20160309,29.35,29.55,29.15,29.39
20160310,29.30,29.57,29.03,29.18
20160311,29.55,29.61,29.25,29.58
20160314,29.51,29.72,29.44,29.61
20160315,29.35,29.71,29.35,29.70
20160316,29.32,30.14,29.32,29.95
20160317,29.96,30.57,29.86,30.38
20160318,30.42,30.45,29.76,29.88
20160321,29.86,30.03,29.81,29.92
20160322,29.65,30.15,29.65,29.93
20160323,29.55,29.85,29.50,29.62
20160324,29.38,30.09,29.34,30.00
20160328,29.79,30.17,29.73,30.05
20160329,29.91,30.45,29.84,30.38
20160330,30.46,30.62,30.26,30.40
20160331,30.36,30.68,30.33,30.54
20160401,30.30,31.00,30.20,30.93
20160404,30.75,30.91,30.56,30.71
20160405,30.42,30.71,30.40,30.57
20160406,30.52,31.13,30.50,31.10
20160407,31.02,31.16,30.51,30.70
20160408,30.82,30.99,30.64,30.80
20160411,30.96,31.05,30.72,30.72
20160412,30.70,31.03,30.63,30.86
20160413,31.09,31.20,30.86,30.98
20160414,31.08,31.15,30.83,30.92
20160415,31.07,31.21,30.70,30.99
20160418,30.84,31.33,30.77,31.24
20160419,31.22,31.45,31.02,31.14
20160420,31.30,31.30,30.66,30.73
20160421,30.62,30.68,30.19,30.47
20160422,30.44,30.75,30.30,30.55
20160425,30.51,30.55,30.24,30.50
20160426,30.51,30.78,30.44,30.52
20160427,31.10,31.39,30.24,30.65
20160428,30.36,31.00,30.25,30.58
20160429,30.26,30.52,30.01,30.38
20160502,30.55,30.76,30.29,30.61
20160503,30.45,30.89,30.33,30.48
20160504,30.30,30.80,30.25,30.45
20160505,30.52,30.73,30.27,30.52
20160506,30.45,30.72,30.30,30.71
20160509,30.79,30.94,30.59,30.71
20160510,30.71,31.36,30.70,31.32
20160511,31.24,31.39,30.94,31.04
20160512,31.17,31.33,30.91,31.13
20160513,31.01,31.26,30.83,30.92
20160516,30.74,31.26,30.68,31.00
20160517,30.86,30.88,30.17,30.21
