Date,Open,High,Low,Close
20151127,96.06,96.69,95.68,96.65
20151130,96.70,98.12,96.08,97.65
20151201,98.19,98.48,97.13,97.85
20151202,97.92,98.29,97.70,98.23
20151203,98.49,98.49,94.94,95.43
20151204,95.82,100.06,95.57,99.67
20151207,99.52,100.08,98.40,99.54
20151208,98.48,98.79,97.07,97.81
20151209,96.49,97.19,92.79,94.05
20151210,94.08,95.95,93.51,94.92
20151211,93.36,94.28,91.63,92.15
20151214,92.60,94.77,92.33,94.69
20151215,95.48,96.84,95.11,95.15
20151216,96.06,96.74,93.82,95.52
20151217,95.73,96.00,93.82,94.97
20151218,94.59,94.95,92.52,92.55
20151221,93.14,93.53,91.61,92.44
20151222,93.38,94.94,92.64,94.69
20151223,92.80,92.99,90.16,90.99
20151224,91.10,92.26,90.97,91.90
20151228,91.68,92.28,91.31,91.89
20151229,92.37,93.13,92.04,92.32
20151230,92.30,92.96,91.49,91.52
20151231,90.96,92.00,90.57,90.60
20160104,88.80,89.15,87.73,88.67
20160105,89.41,89.72,88.51,89.37
20160106,88.37,89.85,88.10,88.93
20160107,87.36,89.76,87.21,87.53
20160108,88.36,88.36,86.12,86.23
20160111,86.45,87.42,85.43,86.95
20160112,87.69,87.76,86.43,87.25
20160113,88.86,88.86,83.75,84.17
20160114,84.62,85.34,83.90,84.70
20160115,82.33,85.31,82.33,84.71
20160119,85.96,86.77,85.16,86.11
20160120,85.30,85.75,83.12,84.20
20160121,84.49,85.24,81.87,81.99
20160122,83.57,84.90,83.00,84.77
20160125,84.59,85.88,84.50,84.64
20160126,85.25,86.71,84.45,86.37
20160127,86.12,88.05,85.94,86.72
20160128,87.17,87.90,86.06,87.09
20160129,87.61,89.94,87.04,89.85
20160201,89.78,90.20,88.93,89.44
20160202,88.40,89.79,88.08,89.11
20160203,89.43,90.00,87.13,89.40
20160204,89.28,89.62,85.47,86.33
20160205,87.76,88.89,86.96,88.55
20160208,88.41,90.67,87.00,90.19
20160209,89.05,93.81,89.05,93.31
20160210,93.03,93.49,90.44,90.53
20160211,88.36,90.55,88.32,89.32
20160212,90.92,91.29,89.51,91.15
20160216,92.25,92.37,90.09,90.71
20160217,91.68,92.19,90.21,92.15
20160218,91.97,92.13,90.72,91.30
20160219,91.43,93.87,90.81,93.32
20160222,94.00,94.45,91.55,91.97
20160223,92.04,93.39,91.21,91.90
20160224,91.48,92.59,90.37,92.30
20160225,92.97,93.59,92.22,93.19
20160226,93.64,94.00,92.91,93.17
20160229,92.45,93.49,91.33,91.44
20160301,91.79,92.57,89.87,92.56
20160302,92.99,93.88,92.56,93.30
20160303,93.58,94.44,92.93,94.34
20160304,94.77,95.02,92.93,94.80
20160307,93.95,94.31,92.57,93.58
20160308,92.12,94.23,92.07,93.29
20160309,93.45,94.50,93.03,93.90
20160310,94.44,94.44,92.52,93.73
20160311,93.93,95.08,93.53,94.59
20160314,94.67,96.81,94.22,96.39
20160315,95.40,97.74,95.40,96.71
20160316,96.09,96.94,95.79,96.38
20160317,96.19,96.86,95.86,96.42
20160318,96.66,96.72,95.11,95.95
20160321,95.95,96.38,95.00,95.80
20160322,95.78,96.07,95.05,95.58
20160323,95.77,96.82,94.90,96.36
20160324,96.19,96.19,94.42,95.17
20160328,95.17,95.65,94.91,95.21
20160329,95.00,95.16,93.55,95.00
20160330,95.62,95.95,95.14,95.57
20160331,95.69,96.37,95.53,96.05
20160401,95.82,97.09,95.55,96.95
20160404,96.87,96.87,95.66,96.74
20160405,97.47,97.52,94.35,94.53
20160406,94.22,94.70,93.76,94.38
20160407,93.74,94.02,91.61,92.22
20160408,90.00,90.05,89.00,89.09
20160411,89.67,90.38,89.56,89.70
20160412,89.99,90.38,89.46,90.05
20160413,90.82,90.88,89.58,90.27
20160414,90.58,91.29,90.00,90.97
20160415,91.15,91.61,90.59,91.44
20160418,91.39,91.78,91.00,91.48
20160419,91.36,92.62,91.00,92.62
20160420,92.67,93.50,92.36,93.10
20160421,93.07,93.33,92.58,93.05
20160422,93.05,94.63,92.71,94.20
20160425,93.91,94.47,93.39,93.70
20160426,94.13,94.32,93.41,94.12
20160427,93.86,94.83,93.44,94.46
20160428,92.68,93.81,91.75,92.33
20160429,91.75,92.19,90.69,91.91
20160502,92.60,93.70,92.19,93.62
20160503,93.21,93.66,92.00,92.83
20160504,92.36,92.94,92.13,92.32
20160505,92.75,93.32,92.22,92.93
20160506,92.34,92.99,92.14,92.88
20160509,92.92,94.20,92.68,94.00
20160510,93.92,94.81,93.86,94.74
20160511,94.38,94.69,93.24,93.68
20160512,93.98,95.35,93.84,95.10
20160513,95.00,95.56,94.29,94.33
20160516,94.15,95.32,94.00,95.04
20160517,94.94,95.49,94.24,94.44
20160518,94.50,96.83,94.17,96.79
20160519,96.50,97.22,95.67,95.78
20160520,95.90,96.90,95.58,96.45
20160523,96.70,96.92,96.12,96.63
20160524,96.95,98.04,96.34,97.95
20160525,98.10,98.50,97.34,97.72
20160526,96.44,97.89,96.44,97.47
20160527,97.97,98.75,97.60,98.61
20160531,98.62,99.00,97.54,97.89
20160601,97.79,98.23,97.46,98.01
20160602,98.06,98.23,97.09,97.54
20160603,97.21,97.42,95.91,96.81
20160606,96.72,96.98,96.09,96.78
20160607,97.02,97.02,95.99,96.04
20160608,95.25,95.86,95.24,95.39
20160609,95.34,95.35,94.61,95.03
20160610,94.49,95.55,94.49,95.23
20160613,94.95,95.82,94.59,95.26
20160614,94.95,95.41,94.55,94.82
20160615,94.92,95.21,94.04,94.18
20160616,93.83,95.26,93.50,95.16
20160617,95.16,95.48,93.92,94.09
20160620,95.15,95.60,94.00,94.03
20160621,94.41,94.75,93.49,93.49
20160622,93.81,94.35,93.38,94.05
20160623,94.77,96.22,94.24,96.16
20160624,95.00,97.85,94.61,96.92
20160627,96.13,96.90,92.42,92.97
20160628,93.20,94.24,92.29,94.22
