Date,Open,High,Low,Close
20151127,34.87,35.28,34.87,35.17
20151130,35.20,35.39,34.96,35.02
20151201,35.13,35.40,34.96,35.39
20151202,35.27,35.39,34.75,34.79
20151203,34.66,34.66,34.18,34.24
20151204,34.37,35.05,34.24,34.98
20151207,34.91,35.51,34.82,35.50
20151208,35.44,35.60,35.10,35.38
20151209,35.22,35.62,35.08,35.26
20151210,35.27,35.31,34.72,34.87
20151211,34.73,35.09,34.51,34.86
20151214,34.76,35.22,34.76,35.03
20151215,35.11,35.49,35.04,35.22
20151216,35.35,36.25,35.29,36.23
20151217,36.17,36.42,35.86,36.20
20151218,36.05,36.09,35.34,35.61
20151221,35.71,35.98,35.25,35.59
20151222,35.69,35.82,35.00,35.69
20151223,35.86,36.18,35.76,36.10
20151224,36.03,36.14,35.89,36.01
20151228,35.91,36.45,35.89,36.41
20151229,36.53,36.77,36.42,36.57
20151230,36.64,36.82,36.59,36.68
20151231,36.57,36.72,35.83,36.08
20160104,35.83,36.09,35.26,35.61
20160105,35.56,36.02,34.96,35.89
20160106,35.67,36.07,35.54,35.94
20160107,35.59,36.24,35.52,36.16
20160108,36.16,36.39,35.99,36.10
20160111,36.15,36.42,35.83,36.08
20160112,36.23,36.27,35.50,35.91
20160113,35.94,36.47,35.94,36.13
20160114,36.10,36.95,35.91,36.71
20160115,36.24,36.74,35.87,36.19
20160119,36.50,36.98,36.28,36.87
20160120,36.67,36.85,35.49,35.96
20160121,36.02,36.27,35.60,35.96
20160122,36.22,36.64,35.81,36.55
20160125,36.64,36.66,36.20,36.38
20160126,36.49,37.26,36.44,36.88
20160127,36.86,37.60,36.74,37.37
20160128,37.35,38.31,37.04,37.87
20160129,38.24,39.10,38.04,38.88
20160201,38.87,39.44,38.66,39.19
20160202,39.28,39.61,38.97,39.46
20160203,39.78,39.78,39.21,39.44
20160204,37.57,39.76,37.57,39.26
20160205,39.06,40.00,38.63,39.88
20160208,39.97,40.58,39.39,39.84
20160209,39.83,40.21,39.53,39.87
20160210,39.75,40.13,38.96,39.48
20160211,39.45,39.61,39.08,39.27
20160212,39.33,39.64,38.85,39.19
20160216,39.34,39.34,38.63,39.18
20160217,39.19,39.28,38.80,39.00
20160218,38.98,39.85,38.83,39.68
20160219,39.65,39.79,39.27,39.40
20160222,39.47,39.84,39.36,39.68
20160223,39.58,39.99,39.20,39.93
20160224,39.94,40.28,39.75,40.20
20160225,40.39,40.79,40.12,40.59
20160226,40.31,40.47,39.40,39.50
20160229,39.41,39.89,39.33,39.56
20160301,39.71,39.89,39.09,39.44
20160302,39.26,39.46,38.32,39.45
20160303,39.33,39.71,38.78,39.69
20160304,39.42,40.48,39.27,40.39
20160307,40.48,40.61,40.13,40.56
20160308,40.53,41.12,40.39,40.88
20160309,40.66,41.15,40.66,40.90
20160310,40.92,41.16,40.63,41.01
20160311,41.12,41.32,40.79,40.99
20160314,40.99,41.18,40.70,40.96
20160315,40.86,41.18,40.86,41.07
20160316,40.92,41.50,40.60,41.39
20160317,41.50,41.87,41.36,41.78
20160318,41.86,41.92,41.31,41.31
20160321,41.09,41.60,40.83,41.32
20160322,41.43,41.56,41.06,41.09
20160323,41.15,41.87,40.95,41.59
20160324,41.58,41.85,41.52,41.68
20160328,41.79,42.11,41.45,41.66
20160329,41.78,42.29,41.66,42.23
20160330,42.18,42.33,41.89,42.22
20160331,42.26,42.49,42.05,42.44
20160401,42.39,42.75,42.17,42.71
20160404,42.75,42.87,42.16,42.69
20160405,42.21,42.65,41.74,41.77
20160406,41.63,41.90,41.51,41.85
20160407,41.67,42.07,41.43,41.57
20160408,41.72,41.99,41.62,41.71
20160411,41.78,41.94,41.52,41.61
20160412,41.70,41.82,41.48,41.72
20160413,41.82,41.82,41.04,41.33
