Date,Open,High,Low,Close
20151127,28.48,29.52,28.27,29.36
20151130,29.50,29.64,28.69,28.88
20151201,29.16,29.62,28.74,29.50
20151202,29.50,29.89,29.07,29.51
20151203,29.60,29.80,28.37,28.42
20151204,28.34,29.55,28.28,29.34
20151207,29.39,29.50,28.64,28.88
20151208,28.70,29.00,28.36,28.70
20151209,28.42,28.98,28.16,28.76
20151210,28.73,29.25,28.52,28.74
20151211,28.45,28.84,28.26,28.43
20151214,28.50,28.98,27.95,28.40
20151215,28.66,29.41,28.48,29.36
20151216,29.66,30.82,29.51,30.68
20151217,30.73,31.39,30.62,30.93
20151218,31.08,32.74,31.08,32.38
20151221,32.32,32.99,32.10,32.60
20151222,32.90,32.90,32.19,32.58
20151223,32.88,33.21,32.67,32.90
20151224,32.90,33.05,32.54,32.78
20151228,32.74,33.23,32.33,33.03
20151229,33.16,33.76,33.09,33.37
20151230,33.38,33.58,32.95,33.15
20151231,32.99,33.35,32.85,32.90
20160104,32.30,33.03,32.30,33.01
20160105,33.01,34.21,33.01,33.49
20160106,33.17,33.44,32.61,32.99
20160107,32.35,32.75,31.70,31.79
20160108,31.95,32.38,31.14,31.27
20160111,31.34,31.34,29.92,30.41
20160112,30.71,31.56,30.68,31.52
20160113,31.53,31.80,30.16,30.63
20160114,30.58,31.31,30.23,31.29
20160115,30.43,30.82,29.55,30.45
20160119,30.85,32.21,30.51,31.25
20160120,30.59,31.57,28.93,31.27
20160121,31.28,31.46,29.77,29.88
20160122,30.37,31.58,30.01,31.55
20160125,31.43,31.49,30.57,30.69
20160126,30.36,30.56,29.50,30.00
20160127,31.55,31.64,30.28,30.92
20160128,31.05,31.11,28.94,29.51
20160129,29.57,31.03,29.46,31.03
20160201,30.76,32.15,30.76,31.80
20160202,31.42,31.64,30.20,30.42
20160203,30.50,30.74,28.95,29.97
20160204,29.86,30.55,29.46,30.17
20160205,30.01,30.11,28.16,28.50
20160208,27.89,28.01,26.36,26.86
20160209,26.26,28.25,23.68,27.75
20160210,27.75,28.52,27.08,27.45
20160211,26.86,27.27,26.48,26.86
20160212,27.25,27.27,26.33,26.92
20160216,27.11,27.62,26.82,27.58
20160217,27.89,28.95,27.52,28.81
20160218,29.02,29.05,27.89,27.96
20160219,27.84,28.13,27.10,27.71
20160222,28.26,29.25,28.23,28.86
20160223,28.83,29.23,28.55,28.57
20160224,28.20,28.66,27.89,28.64
20160225,28.92,29.19,28.22,28.75
20160226,29.00,29.07,28.58,28.84
20160229,28.88,29.24,28.46,28.48
20160301,28.77,29.41,28.41,29.24
20160302,29.09,29.62,28.99,29.59
20160303,29.51,30.17,29.26,30.16
20160304,30.08,30.23,29.18,29.38
20160307,29.22,29.65,28.83,29.20
20160308,29.09,29.19,28.61,28.63
20160309,28.75,29.16,28.50,29.08
20160310,29.16,29.57,28.54,28.96
20160311,29.21,30.37,28.99,30.33
20160314,30.21,30.34,29.89,30.01
20160315,29.86,29.89,29.15,29.27
20160316,29.27,29.77,28.73,29.02
20160317,29.00,29.00,26.70,28.09
20160318,28.05,29.53,28.02,29.27
20160321,29.11,29.49,28.79,28.99
20160322,28.77,30.23,28.60,30.19
20160323,30.75,32.36,30.67,31.35
20160324,31.35,32.33,31.32,31.88
20160328,32.19,32.38,30.89,31.20
20160329,31.21,32.08,31.11,31.30
20160330,31.55,31.82,30.67,31.23
20160331,31.25,31.47,30.61,30.79
20160401,30.58,30.95,30.29,30.89
20160404,31.12,31.19,30.50,30.70
20160405,30.55,30.57,30.09,30.32
20160406,30.21,30.92,30.14,30.73
20160407,30.42,31.28,30.40,30.96
20160408,31.20,31.36,30.36,30.45
20160411,30.47,30.74,29.64,29.71
20160412,29.75,29.86,29.25,29.51
20160413,29.70,29.96,29.38,29.86
20160414,29.92,30.07,29.58,29.61
20160415,29.61,29.71,28.90,29.30
20160418,29.30,29.88,29.16,29.70
20160419,29.75,29.96,29.50,29.58
20160420,29.59,30.07,29.41,29.85
20160421,29.86,30.26,29.52,30.25
20160422,30.38,31.20,30.21,31.17
20160425,31.17,32.11,31.04,31.43
20160426,32.00,33.48,31.75,33.35
20160427,33.24,33.25,32.40,32.75
20160428,32.50,33.24,31.75,31.81
20160429,30.90,31.44,30.55,30.98
20160502,31.02,31.46,30.73,31.43
20160503,31.24,31.74,31.20,31.32
20160504,31.11,31.15,30.47,30.57
20160505,30.55,30.67,30.07,30.34
20160506,30.29,30.34,29.48,29.88
20160509,29.95,30.52,29.89,30.33
20160510,30.45,30.49,29.31,29.58
20160511,29.67,29.70,28.64,28.67
20160512,28.75,28.87,27.80,28.21
20160513,28.14,28.62,27.92,28.32
20160516,28.32,28.80,28.12,28.57
20160517,28.50,28.82,28.07,28.21
20160518,28.19,28.79,28.01,28.50
20160519,28.31,28.80,28.08,28.32
20160520,28.42,28.70,28.34,28.62
20160523,28.65,28.93,28.45,28.71
20160524,28.79,29.45,28.75,29.38
20160525,29.62,30.29,29.62,30.08
20160526,30.68,30.85,30.15,30.50
20160527,30.50,31.08,30.50,30.89
20160531,30.92,31.43,30.87,31.17
20160601,31.17,31.67,30.88,31.62
20160602,31.57,32.58,31.45,32.58
20160603,32.38,32.61,32.14,32.53
20160606,32.51,33.34,32.36,33.33
20160607,33.16,33.43,33.07,33.31
20160608,33.31,34.13,33.23,34.11
20160609,34.00,34.22,33.61,34.18
20160610,33.81,34.19,33.58,33.96
20160613,33.69,34.26,33.63,33.65
20160614,33.49,33.78,33.16,33.51
20160615,33.57,33.96,33.40,33.51
20160616,33.20,33.72,32.99,33.47
20160617,33.50,33.52,33.15,33.51
20160620,34.13,35.00,34.13,34.61
20160621,34.62,34.62,34.15,34.55
20160622,34.50,34.99,34.33,34.59
20160623,34.83,35.00,34.30,34.92
20160624,33.58,35.06,33.50,34.60
20160627,34.21,34.32,33.18,33.87
20160628,34.22,34.38,33.49,33.90
20160629,34.65,35.40,34.44,35.33
20160630,35.30,35.76,35.05,35.69
20160701,35.50,35.74,35.13,35.65
20160705,35.51,35.53,34.60,34.85
20160706,34.69,35.10,34.40,34.72
20160707,34.72,35.01,34.33,34.50
20160708,34.65,35.50,34.58,35.47
20160711,35.49,36.00,35.30,35.80
20160712,35.89,36.28,35.89,36.22
20160713,36.25,36.49,35.85,36.14
20160714,36.37,36.43,35.72,36.03
20160715,36.16,36.16,35.58,35.67
20160718,35.81,36.14,35.72,36.05
20160719,35.96,36.05,35.34,35.90
20160720,35.99,36.42,35.99,36.22
20160721,36.08,36.83,35.99,36.50
20160722,36.82,37.78,36.71,37.70
20160725,37.63,37.69,37.21,37.63
20160726,36.24,36.24,31.72,34.44
20160727,34.38,34.55,32.51,33.71
20160728,33.57,35.22,33.44,34.98
20160729,34.69,35.40,34.51,35.28
20160801,35.21,35.46,34.62,34.72
20160802,34.71,35.01,34.16,34.43
20160803,34.41,36.33,34.28,35.77
20160804,35.85,36.38,35.45,35.63
