Date,Open,High,Low,Close
20151127,17.07,17.16,17.00,17.00
20151130,17.01,17.09,16.94,16.95
20151201,17.01,17.15,16.84,16.99
20151202,16.94,17.00,16.57,16.60
20151203,16.52,16.63,16.35,16.45
20151204,16.48,16.63,16.37,16.51
20151207,16.46,16.50,16.21,16.41
20151208,16.29,16.38,16.15,16.34
20151209,16.33,16.64,16.26,16.41
20151210,16.41,16.53,16.07,16.14
20151211,16.14,17.47,16.05,16.69
20151214,16.67,16.84,16.30,16.54
20151215,16.61,16.96,16.59,16.89
20151216,16.95,17.63,16.93,17.60
20151217,17.63,17.89,17.44,17.84
20151218,17.73,17.81,17.41,17.43
20151221,17.46,17.54,17.26,17.53
20151222,17.55,17.71,17.26,17.59
20151223,17.68,18.14,17.68,18.05
20151224,18.05,18.22,17.98,18.11
20151228,18.04,18.21,17.90,18.18
20151229,18.33,18.48,18.24,18.46
20151230,18.40,18.48,18.22,18.30
20151231,18.29,18.48,18.06,18.36
20160104,18.26,18.29,17.95,18.27
20160105,18.31,18.49,18.04,18.44
20160106,18.28,18.45,18.10,18.21
20160107,17.98,18.11,17.78,17.85
20160108,17.94,18.24,17.77,17.81
20160111,17.71,17.88,17.44,17.60
20160112,17.64,17.69,17.13,17.30
20160113,17.32,17.51,17.03,17.07
20160114,17.11,17.71,16.94,17.63
20160115,17.29,17.43,17.01,17.30
20160119,17.43,17.53,17.32,17.50
20160120,17.27,17.44,16.38,16.90
20160121,16.95,17.61,16.90,17.43
20160122,17.77,17.87,17.61,17.78
20160125,17.69,17.81,17.02,17.10
20160126,17.20,17.48,17.20,17.37
20160127,17.35,17.45,17.17,17.31
20160128,17.50,17.68,17.26,17.54
20160129,17.70,17.94,17.68,17.87
20160201,18.25,18.80,18.24,18.62
20160202,18.52,18.61,18.21,18.42
20160203,18.55,19.27,18.54,19.05
20160204,19.06,19.24,18.91,18.95
20160205,19.04,19.04,18.66,18.85
20160208,18.87,19.06,18.28,18.43
20160209,18.43,18.73,18.32,18.55
20160210,18.59,18.72,18.12,18.51
20160211,18.10,18.27,17.52,17.65
20160212,17.69,17.99,17.55,17.97
20160216,18.08,18.21,17.80,18.10
20160217,18.26,18.47,18.04,18.34
20160218,18.38,18.66,18.30,18.56
20160219,18.43,18.49,18.30,18.44
20160222,18.57,18.85,18.49,18.64
20160223,18.47,18.59,18.39,18.58
20160224,18.41,18.89,18.36,18.86
