Date,Open,High,Low,Close
20151127,78.98,79.25,78.27,79.00
20151130,79.08,79.50,78.37,78.51
20151201,79.04,79.86,78.76,79.82
20151202,79.61,79.96,78.65,78.77
20151203,79.10,79.10,77.05,77.33
20151204,77.91,79.56,77.40,79.37
20151207,78.73,79.06,77.82,78.33
20151208,77.45,77.73,76.54,76.86
20151209,76.37,77.24,74.88,75.42
20151210,75.39,76.45,75.18,75.61
20151211,74.29,74.55,73.30,73.68
20151214,73.81,74.68,72.49,73.31
20151215,74.27,75.52,74.08,75.37
20151216,76.19,76.55,74.40,76.36
20151217,76.55,76.74,74.28,74.38
20151218,73.92,73.92,72.32,72.47
20151221,73.04,73.50,71.95,72.58
20151222,72.62,73.01,71.10,72.77
20151223,73.17,73.92,72.96,73.69
20151224,73.68,73.90,73.26,73.52
20151228,73.15,73.42,72.28,73.15
20151229,73.60,73.99,73.19,73.79
20151230,73.62,73.80,73.16,73.21
20151231,72.71,73.26,72.16,72.18
20160104,70.77,70.91,69.86,70.74
20160105,69.43,70.55,68.70,69.46
20160106,68.55,69.69,67.98,68.55
20160107,66.34,67.00,64.85,65.08
20160108,65.75,65.89,64.07,64.23
20160111,64.82,65.54,64.00,64.76
20160112,65.56,65.97,64.68,65.80
20160113,66.28,66.66,63.41,63.64
20160114,64.01,65.11,62.51,64.60
20160115,62.00,63.46,61.84,62.85
20160119,63.69,63.70,61.51,62.19
20160120,60.80,61.37,58.92,60.76
20160121,60.85,62.30,60.51,61.18
20160122,62.15,62.60,60.52,61.10
20160125,60.69,61.01,58.49,58.66
20160126,59.10,60.50,59.10,60.38
20160127,61.30,64.59,61.26,63.30
20160128,63.79,63.79,62.12,62.99
20160129,63.49,65.70,63.28,65.62
20160201,65.00,65.45,63.79,65.01
20160202,63.83,63.86,62.82,63.21
20160203,63.66,64.01,59.86,63.15
20160204,63.00,64.36,62.84,63.73
20160205,63.92,64.63,62.64,63.36
20160208,62.33,62.45,60.10,60.89
20160209,60.04,62.93,59.75,62.42
20160210,62.92,64.12,62.18,62.24
20160211,59.71,60.88,58.74,60.15
20160212,61.21,62.84,60.62,62.54
20160216,63.71,65.13,63.08,64.21
20160217,64.96,66.05,64.87,65.18
20160218,65.48,66.68,65.18,65.93
20160219,65.50,65.88,64.76,65.73
20160222,66.44,67.79,66.40,67.76
20160223,67.61,67.61,65.32,65.72
20160224,64.77,65.64,63.45,65.41
20160225,65.76,66.42,64.87,66.42
20160226,66.73,68.19,66.64,67.20
20160229,66.93,67.18,65.70,65.73
20160301,66.67,68.00,66.15,67.99
20160302,68.02,69.14,67.74,69.14
20160303,68.97,69.66,68.69,69.66
20160304,69.81,70.39,68.96,69.59
20160307,68.94,69.62,68.78,69.52
20160308,68.85,69.17,68.01,68.49
20160309,69.04,69.30,68.25,68.70
20160310,69.18,70.00,68.12,69.23
20160311,70.19,71.12,70.01,71.03
20160314,70.78,71.01,69.73,69.93
20160315,69.29,69.32,68.31,69.32
20160316,69.21,70.08,68.85,69.38
20160317,69.05,70.06,68.59,69.50
20160318,69.82,71.12,69.53,70.57
20160321,70.31,71.39,70.08,70.81
20160322,70.28,70.78,69.95,70.46
20160323,70.52,70.77,70.00,70.21
20160324,69.44,69.78,68.88,69.76
20160328,69.81,69.97,68.96,69.20
20160329,68.83,68.96,67.58,68.85
20160330,69.30,70.00,69.04,69.15
20160331,69.15,69.79,68.98,69.31
20160401,69.73,70.97,69.26,70.80
20160404,70.59,70.89,69.72,69.83
20160405,68.10,68.95,67.79,68.53
20160406,68.01,68.42,67.20,68.27
20160407,67.66,67.98,66.10,66.58
20160408,67.03,67.72,66.41,66.67
20160411,66.83,67.70,66.73,67.20
20160412,67.55,68.46,67.41,68.31
20160413,69.00,70.87,68.98,70.84
20160414,70.66,72.18,70.48,71.47
20160415,71.72,72.24,71.05,71.34
20160418,70.89,71.90,70.55,71.66
20160419,71.96,72.89,71.46,72.80
20160420,73.35,75.55,73.31,75.43
20160421,75.25,76.30,74.69,74.73
20160422,74.50,75.73,74.48,75.56
20160425,75.08,75.47,74.48,74.99
20160426,75.03,76.00,74.63,75.96
20160427,73.13,74.50,72.82,74.31
20160428,73.56,74.26,72.99,73.37
20160429,72.99,73.29,71.87,72.39
20160502,72.87,73.73,72.00,73.58
20160503,72.56,72.71,71.44,71.97
20160504,71.16,71.17,69.27,69.68
20160505,69.93,70.33,68.61,69.12
20160506,68.80,69.43,68.43,69.39
20160509,70.31,70.37,69.25,69.60
20160510,70.01,71.28,69.96,71.14
20160511,70.83,71.45,70.35,70.35
