Date,Open,High,Low,Close
20151127,19.11,19.32,18.96,19.08
20151130,19.19,19.34,18.61,18.83
20151201,18.78,18.96,18.31,18.60
20151202,18.32,18.42,17.51,17.93
20151203,18.07,18.11,16.96,17.13
20151204,16.84,17.42,16.67,17.22
20151207,16.54,17.03,16.20,16.80
20151208,16.24,17.71,16.15,17.56
20151209,17.59,18.05,17.05,17.37
20151210,17.22,18.00,17.04,17.68
20151211,17.24,17.33,16.06,16.10
20151214,15.91,16.23,15.55,15.65
20151215,15.86,15.94,14.94,15.03
20151216,15.16,15.58,14.95,15.39
20151217,15.43,15.48,15.10,15.35
20151218,15.29,15.79,15.28,15.49
20151221,15.70,16.36,15.48,16.24
20151222,16.16,16.76,16.07,16.52
20151223,17.01,17.92,16.99,17.64
20151224,17.68,18.09,17.38,17.70
20151228,17.40,17.65,17.06,17.24
20151229,17.81,18.12,17.23,17.70
20151230,17.20,17.70,16.97,17.01
20151231,17.09,17.76,16.97,17.69
20160104,17.67,17.94,17.31,17.59
20160105,17.66,17.87,17.07,17.57
20160106,17.02,17.03,15.89,16.02
20160107,15.71,16.70,15.68,16.58
20160108,16.78,17.34,16.54,17.20
20160111,17.08,17.16,15.78,16.00
20160112,16.32,16.33,14.88,15.48
20160113,15.71,16.24,15.25,15.70
20160114,15.85,16.45,15.65,16.31
20160115,15.47,16.43,15.39,16.41
20160119,16.53,16.77,16.15,16.43
20160120,16.05,17.37,15.82,17.15
20160121,16.95,18.96,16.87,18.65
20160122,19.36,19.56,18.60,19.54
20160125,18.94,19.78,18.38,18.40
20160126,18.81,19.50,18.58,19.43
20160127,19.27,20.45,19.01,19.52
20160128,20.40,20.47,19.32,19.39
20160129,19.68,20.80,19.60,20.75
20160201,20.24,20.87,19.78,20.56
20160202,20.17,21.00,19.79,20.39
20160203,20.82,21.21,19.88,21.17
20160204,21.07,21.48,20.20,20.90
20160205,20.79,21.12,20.07,20.66
20160208,20.31,22.25,20.01,20.92
20160209,20.42,20.77,18.96,19.59
20160210,19.49,20.00,18.86,19.75
20160211,19.27,20.09,18.73,19.87
20160212,20.21,20.46,19.07,19.75
20160216,20.09,20.09,18.48,19.26
20160217,19.41,20.54,19.03,20.49
20160218,20.53,20.53,19.31,19.55
20160219,19.35,20.48,18.73,19.91
20160222,20.44,21.94,20.17,21.54
20160223,20.33,20.40,19.16,19.26
20160224,18.92,19.97,18.81,19.71
20160225,19.71,20.06,19.02,19.41
20160226,20.13,20.45,19.62,20.44
20160229,20.35,20.43,19.01,20.13
20160301,20.39,21.17,19.58,20.99
20160302,20.86,22.06,20.80,22.05
20160303,21.89,22.55,21.68,22.17
20160304,22.52,22.70,21.13,21.47
20160307,21.44,22.49,21.01,22.39
20160308,22.02,22.06,21.26,21.37
20160309,21.86,21.98,19.77,21.25
20160310,20.68,22.16,20.45,21.91
20160311,22.41,22.50,21.64,21.96
20160314,21.57,22.21,21.47,22.10
20160315,21.87,22.60,21.65,22.58
20160316,22.60,23.02,22.27,22.94
20160317,23.25,23.31,22.42,22.76
20160318,22.89,22.92,22.08,22.77
20160321,22.64,22.69,21.64,21.79
20160322,21.80,22.08,21.42,21.77
20160323,21.63,22.00,21.39,21.47
20160324,21.02,22.14,20.93,21.97
20160328,22.00,22.17,21.41,22.06
20160329,21.67,22.72,21.61,22.64
20160330,22.88,22.90,22.33,22.71
20160331,22.74,22.89,22.51,22.71
20160401,22.26,22.71,22.20,22.51
