Date,Open,High,Low,Close
20151127,53.83,54.09,53.25,53.48
20151130,53.51,54.49,53.35,54.05
20151201,54.46,54.75,53.90,54.61
20151202,54.21,54.57,52.18,52.55
20151203,52.81,52.98,51.48,51.61
20151204,50.84,51.49,50.16,51.19
20151207,49.73,50.29,48.16,48.99
20151208,47.65,49.15,46.88,48.30
20151209,48.35,49.74,47.75,48.47
20151210,48.23,49.95,48.01,49.22
20151211,48.25,48.45,46.81,48.13
20151214,47.58,50.14,47.40,49.53
20151215,50.35,51.06,50.14,50.56
20151216,50.30,50.84,49.12,49.35
20151217,49.37,49.46,46.92,47.28
20151218,47.05,47.58,45.76,45.93
20151221,46.03,46.15,44.56,45.10
20151222,45.18,46.56,44.91,46.28
20151223,47.29,49.07,47.27,49.03
20151224,49.04,49.21,48.06,48.59
20151228,47.61,47.79,46.94,47.19
20151229,48.23,48.37,47.20,47.77
20151230,46.94,47.74,46.54,46.60
20151231,46.06,47.20,45.88,46.69
20160104,46.41,47.77,46.08,46.88
20160105,46.67,47.52,45.99,47.40
20160106,46.10,46.32,45.04,45.35
20160107,44.74,45.62,43.92,44.06
20160108,44.18,44.59,42.87,43.29
20160111,43.32,43.62,40.60,41.12
20160112,41.87,42.04,39.13,40.25
20160113,40.75,41.79,38.87,39.00
20160114,39.21,41.83,38.66,41.25
20160115,39.34,40.45,38.36,39.36
20160119,39.74,39.89,35.60,36.40
20160120,35.54,35.61,32.71,34.75
20160121,34.87,37.34,34.64,36.91
20160122,38.21,39.57,36.74,37.67
20160125,36.80,37.48,34.19,34.20
20160126,35.07,35.91,33.44,35.35
20160127,34.92,37.73,34.18,36.21
20160128,37.92,39.43,37.08,38.02
20160129,38.09,39.27,37.52,39.08
20160201,38.24,38.98,37.61,38.60
20160202,37.61,38.18,36.44,36.59
20160203,37.59,38.73,35.59,38.63
20160204,38.50,39.00,35.02,35.32
20160205,34.02,34.41,31.59,32.90
20160208,31.95,34.50,31.68,34.43
20160209,33.22,34.16,32.70,33.58
20160210,33.29,34.38,32.06,32.34
20160211,31.23,32.38,31.05,31.88
20160212,32.29,33.35,31.90,32.90
20160216,33.49,33.70,32.55,32.76
20160217,33.30,34.39,33.03,33.91
20160218,34.48,34.51,33.44,33.70
20160219,33.15,33.28,32.09,32.87
20160222,32.87,34.70,32.87,34.45
20160223,33.92,34.61,32.91,32.92
20160224,32.10,33.04,31.82,32.96
20160225,33.07,33.35,31.97,33.06
20160226,33.86,34.81,33.82,34.12
20160229,34.57,34.59,33.58,33.83
20160301,34.07,34.75,33.34,34.46
20160302,34.28,36.51,34.10,36.49
20160303,36.50,38.81,36.32,38.56
20160304,38.92,41.68,38.80,41.12
20160307,41.25,42.45,40.90,41.40
20160308,41.20,41.25,38.56,38.62
20160309,39.35,39.72,38.38,39.05
20160310,38.87,39.14,38.36,39.03
20160311,39.80,40.66,39.73,40.52
20160314,39.70,40.46,39.39,40.01
20160315,39.21,39.85,38.82,39.83
20160316,40.24,41.97,40.18,41.87
20160317,42.40,43.78,42.19,43.01
20160318,43.59,44.40,42.45,43.02
20160321,42.73,43.41,42.16,42.58
20160322,42.25,42.78,41.91,41.92
20160323,41.29,41.68,39.81,39.85
20160324,38.93,40.10,38.53,40.04
20160328,40.10,40.15,39.02,39.68
20160329,39.02,39.73,38.56,39.62
20160330,40.48,40.76,39.57,40.08
20160331,39.96,40.54,39.70,40.27
20160401,39.39,39.92,38.79,39.78
20160404,39.79,40.34,38.98,39.10
20160405,38.75,39.29,38.19,39.04
20160406,39.40,40.98,39.17,40.75
20160407,40.43,41.03,39.74,40.31
20160408,41.62,41.89,40.93,41.23
20160411,41.43,41.98,41.15,41.19
20160412,41.57,43.83,41.36,43.47
20160413,43.63,43.96,43.01,43.58
20160414,43.83,44.30,43.46,44.22
20160415,43.75,44.17,43.52,43.70
20160418,42.09,45.00,42.04,45.00
20160419,45.21,47.10,44.97,47.06
20160420,46.73,47.66,46.09,47.08
20160421,46.99,47.32,46.12,46.23
20160422,46.34,47.74,46.26,47.62
20160425,47.16,47.23,45.84,46.27
20160426,46.60,48.17,46.34,48.08
20160427,48.55,48.91,47.82,48.11
20160428,48.13,49.35,47.50,47.67
20160429,47.90,48.83,46.95,47.79
20160502,47.56,47.69,46.12,46.85
20160503,46.10,46.26,44.71,45.08
20160504,45.17,45.65,43.19,43.41
20160505,44.54,44.98,42.76,43.21
20160506,42.73,43.58,42.27,42.76
20160509,42.31,42.49,41.12,41.65
20160510,41.62,42.89,41.58,42.87
20160511,42.87,44.43,42.31,43.68
20160512,44.05,44.69,43.05,43.73
20160513,43.37,43.92,42.84,43.02
20160516,43.79,44.51,43.79,44.08
20160517,43.88,44.45,43.46,43.78
20160518,43.38,44.12,43.05,43.34
20160519,42.75,43.62,42.07,43.36
20160520,43.52,43.99,43.04,43.58
20160523,43.20,43.92,43.00,43.59
20160524,43.92,43.98,43.29,43.46
20160525,43.90,45.06,43.85,44.90
20160526,45.42,45.78,44.69,44.73
20160527,44.27,44.43,43.85,44.33
20160531,44.59,45.27,43.68,43.79
20160601,43.37,44.08,43.21,44.06
20160602,43.75,44.63,43.45,44.38
20160603,44.39,44.72,43.70,44.18
20160606,44.80,45.63,44.47,45.52
20160607,45.97,47.57,45.80,47.54
20160608,47.95,48.45,47.44,47.49
20160609,46.72,47.14,46.55,46.57
20160610,45.90,46.12,44.26,44.51
20160613,43.96,44.96,43.80,43.88
20160614,43.84,44.60,43.35,44.32
20160615,43.91,44.51,43.41,43.71
20160616,43.20,43.32,42.22,43.16
20160617,43.60,44.74,43.51,44.15
20160620,45.00,45.36,44.57,44.69
20160621,44.58,45.08,44.25,44.80
20160622,45.12,45.18,43.91,43.99
20160623,44.60,45.64,44.27,45.63
20160624,43.32,44.42,42.92,43.17
20160627,42.51,42.66,40.52,40.78
20160628,41.97,42.14,41.44,41.95
20160629,42.50,44.22,42.19,43.91
20160630,43.72,44.12,43.21,43.60
20160701,43.85,44.42,43.50,43.51
20160705,42.72,42.77,41.37,41.70
20160706,41.55,42.03,41.17,41.90
20160707,42.30,42.79,41.19,41.51
20160708,42.35,42.43,41.62,42.30
20160711,42.74,42.96,42.40,42.45
20160712,43.16,44.29,43.11,43.80
20160713,43.80,44.05,42.11,42.87
20160714,43.51,43.52,42.68,43.02
