Date,Open,High,Low,Close
20151127,163.11,164.41,162.49,163.58
20151130,164.17,164.44,160.79,161.42
20151201,162.02,163.04,160.74,161.29
20151202,161.71,162.44,160.63,161.09
20151203,164.51,166.10,163.31,163.67
20151204,164.12,167.24,164.01,166.80
20151207,167.33,167.50,165.55,167.12
20151208,166.74,169.73,165.87,168.87
20151209,162.72,163.89,158.22,159.72
20151210,160.93,163.41,160.61,161.86
20151211,159.73,161.20,159.36,160.02
20151214,160.09,161.88,159.41,161.84
20151215,163.32,163.74,160.72,161.29
20151216,161.95,163.25,160.00,162.76
20151217,162.44,163.58,160.60,160.68
20151218,159.79,160.68,157.60,157.70
20151221,158.81,159.43,157.33,159.39
20151222,159.90,161.39,159.03,161.23
20151223,162.43,162.43,160.78,161.71
20151224,161.85,162.33,161.44,161.75
20151228,161.05,162.26,160.40,161.16
20151229,161.90,163.23,161.52,162.66
20151230,162.96,163.45,162.51,162.71
20151231,162.08,164.00,161.50,161.50
20160104,159.81,160.10,157.87,159.54
20160105,160.17,161.23,159.45,159.93
20160106,158.36,159.80,157.63,158.45
20160107,154.85,157.06,153.55,154.82
20160108,155.28,155.30,151.81,152.11
20160111,152.30,155.96,152.12,154.72
20160112,155.71,156.43,154.94,156.06
20160113,155.97,156.02,151.88,152.12
20160114,151.96,154.16,151.33,153.18
20160115,149.29,151.52,148.25,150.39
20160119,151.79,152.00,149.58,150.47
20160120,148.46,150.00,144.91,148.82
20160121,148.97,151.24,148.11,150.38
20160122,152.18,153.71,151.65,153.69
20160125,154.07,154.48,150.55,150.78
20160126,150.78,151.72,148.30,148.50
20160127,149.29,149.59,146.72,147.73
20160128,148.55,149.97,147.81,149.59
20160129,149.50,151.62,146.91,151.12
20160201,150.84,152.19,150.19,151.25
20160202,149.99,150.79,148.11,148.50
20160203,149.28,149.98,145.45,146.70
20160204,145.00,145.14,141.79,143.28
20160205,143.27,145.20,142.40,143.99
20160208,142.74,147.55,141.62,147.02
20160209,146.24,149.72,146.23,147.94
20160210,149.37,150.17,147.58,148.05
20160211,147.13,148.39,144.76,146.65
20160212,147.98,149.27,147.00,148.65
20160216,149.35,150.64,147.70,149.11
20160217,149.75,151.98,148.91,150.91
20160218,149.13,149.84,146.82,148.65
20160219,149.00,149.14,146.85,148.70
20160222,149.63,150.18,148.49,150.06
20160223,149.89,151.76,149.12,150.36
20160224,150.03,154.41,149.66,153.87
20160225,154.69,154.88,152.86,154.72
20160226,153.09,153.41,148.76,149.68
20160229,149.99,152.30,149.69,150.03
20160301,150.40,151.20,149.38,150.52
20160302,151.13,152.95,150.39,152.79
20160303,148.56,151.96,147.38,151.60
20160304,151.74,151.77,150.03,150.90
20160307,149.96,150.89,147.60,148.17
20160308,147.66,151.92,147.10,150.95
20160309,151.35,153.50,151.31,153.05
20160310,153.21,154.69,151.05,152.87
20160311,153.85,154.00,151.40,152.71
20160314,152.26,153.30,151.65,152.67
20160315,151.80,154.42,151.80,154.18
20160316,153.70,155.00,152.63,154.06
20160317,153.82,154.74,153.59,153.84
20160318,154.58,154.70,152.77,153.15
20160321,152.82,154.35,152.47,153.94
20160322,153.21,153.81,152.00,152.23
20160323,152.18,153.93,151.64,153.51
20160324,153.24,154.08,150.85,151.43
20160328,151.80,153.94,151.78,152.67
20160329,152.77,155.46,152.52,155.26
20160330,155.91,158.24,155.65,157.60
20160331,157.96,159.80,157.52,157.58
20160401,157.87,159.09,157.00,158.25
20160404,158.68,158.99,156.46,157.73
20160405,157.89,158.00,155.72,155.99
20160406,155.81,157.41,155.22,156.77
20160407,154.42,154.58,151.48,152.03
20160408,152.98,152.98,150.92,151.65
20160411,151.34,151.94,148.97,149.05
20160412,149.60,150.68,148.51,150.52
20160413,151.57,152.08,150.59,151.88
20160414,152.59,152.91,151.14,151.40
20160415,151.96,153.81,151.84,153.17
20160418,152.78,153.71,152.27,153.30
20160419,153.78,153.90,152.49,153.68
20160420,153.72,153.89,152.60,152.74
20160421,152.49,152.74,150.69,151.42
20160422,151.05,151.81,149.36,149.92
20160425,149.98,151.68,149.47,151.51
20160426,152.08,153.45,151.67,152.60
20160427,152.24,152.51,150.60,151.77
20160428,152.01,153.65,151.14,151.44
20160429,150.01,150.98,147.46,148.13
20160502,148.76,151.42,147.75,150.93
20160503,150.08,152.53,149.60,151.41
20160504,150.12,152.00,149.44,151.51
20160505,148.98,150.38,146.37,147.84
20160506,147.06,147.50,144.74,146.44
20160509,146.83,148.97,146.51,148.59
20160510,149.38,149.98,148.75,149.56
20160511,148.39,148.69,146.58,147.12
20160512,147.32,147.77,146.32,146.72
20160513,146.33,146.72,144.30,144.50
20160516,144.50,146.58,143.40,145.79
20160517,145.50,146.24,143.22,143.60
20160518,140.18,141.66,138.57,141.29
20160519,142.45,143.08,141.42,142.70
20160520,142.73,143.50,142.02,142.69
20160523,142.84,144.00,141.91,142.01
20160524,142.57,143.48,142.38,142.57
20160525,142.62,145.68,142.51,144.54
20160526,149.01,153.88,147.70,149.71
20160527,150.24,150.77,148.11,149.08
20160531,149.57,149.88,147.63,148.77
20160601,150.50,153.00,150.32,152.52
20160602,150.05,151.51,148.55,151.51
20160603,150.30,151.78,150.27,151.71
20160606,151.83,152.49,151.71,152.24
20160607,152.08,153.85,151.90,152.62
20160608,152.68,153.47,152.05,153.37
20160609,153.00,154.14,152.92,154.05
20160610,153.00,155.15,152.94,154.87
20160613,154.76,155.96,154.57,154.95
20160614,154.55,156.36,153.57,155.87
20160615,155.70,156.78,154.66,154.86
20160616,154.86,156.50,154.11,156.42
20160617,157.03,157.25,155.76,155.89
20160620,157.38,158.38,156.45,156.48
20160621,157.07,157.90,156.66,157.20
20160622,157.61,158.42,157.16,158.12
20160623,158.60,158.79,156.34,157.03
20160624,153.16,157.69,153.10,155.56
20160627,154.24,154.93,152.55,154.26
20160628,154.66,155.93,153.71,155.60
20160629,156.44,157.28,155.89,157.08
20160630,156.96,157.82,155.50,157.04
20160701,157.19,157.19,155.40,156.11
20160705,156.08,156.15,154.70,155.25
20160706,155.20,156.55,154.67,156.01
20160707,158.33,164.16,158.00,163.70
20160708,164.84,166.10,164.49,165.44
20160711,165.06,167.49,165.06,166.72
20160712,166.49,166.92,165.82,166.28
20160713,167.00,167.19,166.02,166.78
20160714,167.15,168.00,166.28,166.94
