Date,Open,High,Low,Close
20151127,19.79,19.84,19.67,19.83
20151130,19.88,19.92,19.71,19.74
20151201,19.83,19.85,19.61,19.68
20151202,19.70,19.70,19.55,19.62
20151203,19.67,19.70,19.30,19.42
20151204,19.49,19.56,19.35,19.52
20151207,19.50,19.58,19.36,19.50
20151208,19.40,19.54,19.34,19.48
20151209,19.44,19.53,19.23,19.41
20151210,19.44,19.61,19.40,19.43
20151211,19.30,19.38,19.09,19.14
20151214,19.18,19.24,19.00,19.16
20151215,19.27,19.38,19.15,19.36
20151216,19.43,19.43,19.19,19.34
20151217,19.39,19.42,19.17,19.19
20151218,19.16,19.23,19.04,19.05
20151221,19.14,19.28,19.11,19.28
20151222,19.36,19.44,19.20,19.39
20151223,19.42,19.47,19.36,19.45
20151224,19.20,19.25,18.64,19.14
20151228,18.93,19.30,18.84,19.18
20151229,19.27,19.46,19.25,19.41
20151230,19.35,19.39,19.05,19.06
20151231,19.04,19.25,18.96,19.00
20160104,18.80,18.84,18.47,18.83
20160105,18.96,19.07,18.83,18.87
20160106,18.62,18.75,18.45,18.52
20160107,18.25,18.39,17.75,17.83
20160108,17.91,18.00,17.54,17.55
20160111,17.60,17.68,17.33,17.57
20160112,17.72,17.75,17.37,17.58
20160113,17.62,17.67,17.21,17.25
20160114,17.30,17.50,17.07,17.39
20160115,16.90,17.01,16.63,16.86
20160119,16.95,16.98,16.51,16.65
20160120,16.47,16.80,16.13,16.58
20160121,16.62,16.77,16.38,16.50
20160122,16.69,17.07,16.69,17.04
20160125,16.99,17.00,16.70,16.74
20160126,16.81,17.09,16.67,17.08
20160127,17.05,17.05,16.46,16.57
20160128,16.66,16.79,16.31,16.61
20160129,16.65,16.78,16.62,16.75
20160201,16.62,16.88,16.52,16.77
20160202,16.67,16.67,16.38,16.55
20160203,16.68,16.74,16.42,16.67
20160204,16.65,17.08,16.44,17.05
20160205,17.00,17.04,16.54,16.59
20160208,16.39,16.79,16.34,16.76
20160209,16.60,17.18,16.56,17.05
20160210,17.11,17.74,17.08,17.14
20160211,16.91,17.25,16.59,17.15
20160212,17.30,17.46,17.20,17.45
20160216,17.58,17.86,16.83,17.76
20160217,17.88,18.03,17.76,17.96
20160218,18.03,18.03,17.77,17.88
20160219,17.80,18.00,17.61,18.00
20160222,18.12,18.20,17.93,18.11
20160223,18.11,18.25,17.78,17.99
20160224,18.07,18.46,17.58,18.39
20160225,18.61,19.05,18.48,19.05
20160226,19.14,19.31,19.00,19.25
20160229,19.23,19.24,18.84,18.88
20160301,19.01,19.71,18.90,19.70
20160302,19.62,19.78,19.56,19.75
20160303,19.75,19.95,19.59,19.95
20160304,20.00,20.00,19.30,19.82
20160307,19.70,20.05,19.39,19.95
20160308,19.93,20.01,19.74,19.86
20160309,19.95,20.10,19.75,20.07
20160310,20.11,20.12,19.17,20.05
20160311,20.11,20.25,19.95,20.20
20160314,20.16,20.34,20.11,20.25
20160315,20.14,20.39,20.05,20.24
20160316,20.21,20.55,20.19,20.48
20160317,20.43,20.64,20.36,20.37
20160318,20.33,20.86,20.33,20.83
20160321,20.23,20.76,19.98,20.69
20160322,20.59,20.75,20.50,20.56
20160323,20.50,20.55,20.30,20.34
20160324,20.21,20.35,20.12,20.33
20160328,20.48,20.61,19.93,20.21
20160329,20.21,20.68,19.93,20.65
20160330,20.75,20.89,20.61,20.80
20160331,20.75,20.90,20.29,20.39
20160401,20.32,20.64,20.20,20.59
20160404,20.67,20.89,20.33,20.34
20160405,20.14,20.36,19.99,20.26
20160406,20.31,20.49,20.11,20.45
20160407,20.41,20.43,20.11,20.23
20160408,20.39,20.39,20.14,20.27
20160411,20.42,20.70,20.35,20.46
20160412,20.51,20.88,20.46,20.80
20160413,20.94,21.06,20.81,21.05
20160414,21.09,21.27,21.04,21.08
20160415,21.08,21.11,20.93,21.08
20160418,21.05,21.18,20.99,21.09
20160419,21.21,21.27,21.01,21.24
20160420,21.26,21.55,20.93,21.42
20160421,21.27,21.37,21.02,21.08
20160422,21.09,21.20,20.96,21.14
20160425,21.05,21.19,20.95,21.11
20160426,21.10,21.31,21.04,21.20
20160427,21.20,21.48,21.14,21.38
20160428,21.34,21.71,21.23,21.41
20160429,21.37,21.46,21.24,21.42
20160502,21.42,21.55,21.34,21.50
20160503,21.33,21.52,21.12,21.25
20160504,21.20,21.39,21.15,21.34
20160505,21.45,21.67,21.36,21.50
20160506,21.38,21.61,21.26,21.43
20160509,21.40,21.68,21.36,21.60
20160510,21.74,21.91,21.57,21.84
20160511,21.80,21.91,21.62,21.68
20160512,21.80,21.83,21.50,21.62
20160513,21.66,21.67,21.25,21.36
20160516,21.38,21.76,21.30,21.73
20160517,21.73,21.83,21.49,21.58
20160518,21.54,21.83,21.50,21.65
20160519,21.58,21.67,21.18,21.33
20160520,21.45,21.73,21.31,21.71
20160523,21.73,21.98,21.61,21.67
20160524,21.84,22.05,21.66,22.02
20160525,22.09,22.18,21.88,21.96
20160526,23.00,24.27,23.00,24.07
20160527,24.00,24.57,23.92,24.43
20160531,24.62,24.95,24.36,24.75
20160601,24.89,24.95,24.61,24.68
20160602,24.67,24.76,24.48,24.73
20160603,24.70,24.87,24.38,24.41
20160606,24.45,24.61,24.30,24.51
20160607,24.51,24.76,24.39,24.67
20160608,24.62,24.85,24.41,24.85
20160609,24.71,25.04,24.45,25.00
20160610,24.77,24.80,24.48,24.51
20160613,24.40,24.57,24.29,24.44
20160614,24.32,24.45,24.27,24.36
20160615,24.45,24.50,24.28,24.42
20160616,24.31,24.45,24.14,24.42
20160617,24.34,24.55,24.27,24.30
20160620,24.57,24.79,24.34,24.57
20160621,24.52,24.68,24.42,24.49
20160622,24.59,24.70,24.39,24.42
20160623,24.67,24.71,24.50,24.71
20160624,23.84,24.25,23.55,23.82
20160627,23.38,23.55,22.99,23.23
20160628,23.39,23.49,23.18,23.36
20160629,23.63,24.79,23.50,24.05
20160630,24.14,24.51,23.99,24.50
20160701,24.54,24.82,24.30,24.67
20160705,24.51,24.85,24.42,24.70
20160706,24.70,24.88,24.54,24.66
20160707,24.69,24.84,24.42,24.46
20160708,24.71,25.01,24.61,24.92
20160711,24.95,25.18,24.95,25.00
20160712,25.16,25.34,24.75,25.00
20160713,25.14,25.14,24.76,24.78
20160714,24.98,25.04,24.83,24.95
20160715,24.86,24.99,24.75,24.95
20160718,25.06,25.20,24.75,24.78
20160719,24.67,24.83,24.55,24.73
20160720,24.76,25.07,24.76,24.88
20160721,24.83,25.18,24.58,24.88
20160722,24.89,25.27,24.80,25.18
20160725,25.14,25.58,25.14,25.42
20160726,25.34,25.49,25.21,25.30
20160727,25.34,25.66,25.02,25.65
20160728,25.61,25.64,25.19,25.21
20160729,25.24,25.40,25.18,25.22
20160801,25.32,25.70,25.20,25.66
20160802,25.73,25.74,25.39,25.42
20160803,25.50,25.50,24.96,25.00
20160804,24.99,25.25,24.98,25.11
20160805,25.26,25.58,25.20,25.50
20160808,25.50,25.52,25.18,25.20
20160809,25.20,25.36,24.94,25.21
20160810,25.25,25.46,25.23,25.46
20160811,25.50,25.65,25.33,25.34
20160812,25.33,25.39,25.14,25.31
20160815,25.41,25.47,25.27,25.42
20160816,25.40,25.42,25.20,25.37
20160817,25.38,25.62,25.25,25.59
20160818,25.59,26.05,25.47,26.04
20160819,26.00,26.21,25.93,26.08
20160822,26.10,26.41,26.02,26.40
20160823,26.53,26.60,26.44,26.48
20160824,26.51,26.51,26.30,26.35
20160825,26.02,26.85,25.86,26.09
20160826,26.02,26.05,25.59,25.79
20160829,25.74,26.02,25.57,25.84
20160830,25.93,25.93,25.46,25.57
20160831,25.59,25.79,25.42,25.51
20160901,25.61,25.73,25.47,25.61
20160902,25.75,25.92,25.54,25.84
20160906,25.76,25.76,25.29,25.67
20160907,25.60,25.67,25.39,25.58
20160908,25.51,25.72,25.18,25.30
20160909,25.08,25.16,24.90,25.00
20160912,24.96,25.24,24.81,25.23
20160913,25.19,25.19,24.73,24.88
20160914,24.99,25.06,24.78,24.86
20160915,24.91,25.18,24.71,25.16
20160916,25.05,25.21,24.91,25.03
20160919,25.07,25.49,25.05,25.37
20160920,25.58,25.85,25.38,25.70
20160921,27.25,27.42,25.76,26.75
20160922,27.00,27.00,26.42,26.43
20160923,26.46,27.07,26.46,27.02
20160926,26.99,27.01,26.75,26.83
20160927,26.81,27.12,26.67,27.02
20160928,27.06,27.17,26.72,26.96
20160929,26.91,26.95,26.36,26.51
20160930,26.57,26.93,26.57,26.78
20161003,26.88,27.09,26.88,26.93
20161004,27.05,27.14,26.64,26.71
20161005,26.80,26.98,26.69,26.75
20161006,26.79,26.99,26.66,26.84
20161007,26.86,26.88,26.56,26.74
20161010,26.92,27.26,26.87,27.10
20161011,27.10,27.11,26.72,26.83
20161012,26.75,27.20,26.71,27.07
20161013,26.83,27.01,26.39,26.94
20161014,27.02,27.11,26.87,26.99
20161017,26.89,27.11,26.83,26.98
20161018,27.11,27.18,27.00,27.06
20161019,27.11,27.26,26.92,27.23
20161020,27.17,27.17,26.86,27.02
20161021,26.88,27.23,26.56,26.75
20161024,26.86,27.15,26.70,26.73
20161025,26.79,26.86,26.42,26.49
20161026,26.36,26.62,26.18,26.25
20161027,26.20,26.32,25.72,25.88
20161028,25.85,26.42,25.83,26.27
20161031,26.23,26.33,26.02,26.24
20161101,26.31,26.33,25.93,25.96
20161102,25.87,26.20,25.86,25.91
20161103,25.88,26.02,25.80,26.02
20161104,25.93,26.08,25.37,25.39
20161107,25.65,25.94,25.54,25.93
20161108,25.82,26.35,25.82,26.25
20161109,26.00,26.70,25.73,26.67
20161110,26.80,26.92,26.43,26.63
20161111,26.58,27.05,26.41,27.04
20161114,27.18,27.61,27.16,27.59
20161115,27.52,27.79,27.45,27.58
20161116,27.58,27.92,27.45,27.90
20161117,27.98,28.37,27.95,28.32
20161118,28.30,28.33,27.82,28.03
20161121,28.25,28.49,27.99,28.12
20161122,27.50,28.17,26.61,26.86
20161123,26.49,27.26,26.48,27.25
20161125,27.33,27.38,27.12,27.32
20161128,27.16,27.24,26.96,27.16
20161129,27.16,27.42,27.00,27.27
20161130,27.33,27.57,27.21,27.36
20161201,27.46,27.49,27.12,27.34
20161202,27.30,27.45,27.08,27.20
20161205,27.34,27.44,27.22,27.29
20161206,27.34,27.42,27.05,27.41
20161207,27.42,27.99,27.28,27.96
20161208,27.95,28.05,27.79,27.86
20161209,27.92,27.92,27.54,27.67
20161212,27.79,27.95,27.46,27.89
20161213,28.00,28.15,27.67,28.08
20161214,28.18,28.25,27.91,28.01
20161215,28.00,28.09,27.80,28.07
20161216,28.05,28.27,27.84,27.92
20161219,27.99,28.23,27.70,27.95
20161220,27.95,28.32,27.93,28.27
20161221,28.29,28.37,28.04,28.13
20161222,28.21,28.46,27.66,27.68
20161223,27.80,27.91,27.68,27.77
20161227,27.88,28.17,27.75,28.00
20161228,28.09,28.17,27.68,27.77
20161229,27.72,27.92,27.56,27.76
20161230,27.85,27.89,27.65,27.70
20170103,27.79,28.08,27.64,27.86
20170104,27.90,28.42,27.76,28.23
20170105,28.21,28.45,27.95,28.20
20170106,28.13,28.43,28.08,28.34
20170109,28.34,28.45,28.23,28.26
20170110,28.23,28.57,28.13,28.36
20170111,28.50,28.69,28.28,28.66
20170112,28.49,28.54,27.92,28.42
20170113,28.52,28.79,28.46,28.70
20170117,28.63,28.63,28.21,28.27
20170118,28.28,28.35,28.11,28.33
20170119,28.33,28.49,28.17,28.26
20170120,28.33,28.50,28.18,28.48
20170123,28.42,28.54,28.09,28.19
20170124,28.21,28.70,28.17,28.69
20170125,28.73,28.99,28.70,28.80
20170126,28.84,28.97,28.49,28.54
20170127,28.63,28.84,28.42,28.51
20170130,28.59,28.75,28.04,28.46
20170131,28.46,28.52,28.08,28.37
20170201,28.52,28.87,27.83,27.98
20170202,28.00,28.16,27.74,27.83
20170203,27.91,28.30,27.91,28.26
20170206,28.30,28.55,28.15,28.26
20170207,28.36,28.45,28.05,28.42
20170208,28.42,28.63,28.17,28.59
20170209,28.61,28.93,28.53,28.91
20170210,28.93,29.11,28.83,29.08
20170213,29.10,29.42,29.10,29.35
20170214,29.24,29.42,29.20,29.30
20170215,29.26,29.70,29.21,29.64
20170216,29.67,29.93,29.57,29.92
20170217,29.77,29.79,29.38,29.50
20170221,29.59,30.28,29.53,30.15
20170222,29.25,29.74,28.44,29.23
20170223,29.05,30.16,28.83,29.70
20170224,29.70,29.78,29.41,29.50
20170227,29.50,29.77,29.42,29.76
20170228,29.58,29.97,29.40,29.57
20170301,29.83,30.03,29.67,30.00
20170302,29.91,30.24,29.84,30.06
20170303,30.02,30.37,29.58,30.25
20170306,30.23,30.34,29.98,30.32
20170307,30.36,30.42,30.16,30.32
20170308,30.39,30.52,30.21,30.29
20170309,30.34,30.34,29.99,30.23
20170310,30.30,30.42,30.10,30.28
20170313,30.25,30.44,30.23,30.30
20170314,30.19,30.31,29.86,30.20
20170315,30.32,30.57,30.22,30.54
20170316,30.59,30.80,30.44,30.64
20170317,30.73,30.85,30.61,30.75
20170320,30.75,30.92,30.55,30.90
20170321,30.97,31.08,30.27,30.38
20170322,30.40,30.77,30.38,30.61
20170323,30.49,30.81,30.44,30.70
20170324,30.73,30.91,30.58,30.66
20170327,30.51,31.08,30.38,31.04
20170328,30.98,31.35,30.75,31.20
20170329,31.23,31.32,31.00,31.15
20170330,31.12,31.57,30.96,31.04
20170331,31.07,31.14,30.92,30.96
20170403,31.05,31.28,30.33,30.40
20170404,30.36,30.39,29.91,29.98
20170405,30.05,30.25,29.83,29.84
20170406,29.93,30.20,29.59,30.00
20170407,29.93,30.11,29.80,29.84
20170410,29.90,30.21,29.89,30.05
20170411,30.18,30.65,29.67,30.12
20170412,30.11,30.18,29.76,29.83
20170413,29.84,30.00,29.64,29.65
20170417,29.71,30.00,29.67,29.92
20170418,29.66,29.95,29.65,29.82
20170419,29.95,30.02,29.78,29.98
20170420,30.11,30.29,30.00,30.23
20170421,30.11,30.36,30.11,30.24
20170424,30.53,30.74,30.40,30.68
20170425,30.84,31.01,30.69,30.86
20170426,30.93,31.14,30.82,30.99
20170427,31.14,31.41,30.91,31.18
20170428,31.21,31.29,30.87,30.90
20170501,31.02,31.03,30.62,30.64
20170502,30.70,30.81,30.43,30.65
20170503,30.55,30.55,30.20,30.27
20170504,30.31,30.55,30.15,30.52
20170505,30.58,30.66,30.28,30.65
20170508,30.63,30.77,30.43,30.50
20170509,30.53,30.67,30.34,30.41
20170510,30.32,30.51,30.02,30.17
20170511,30.10,30.20,29.64,29.92
20170512,29.90,29.94,29.75,29.89
20170515,29.89,30.22,29.79,29.98
20170516,29.95,30.13,29.76,29.97
20170517,29.69,29.86,29.17,29.18
20170518,29.19,29.55,29.09,29.34
20170519,29.24,29.41,28.89,29.31
20170522,29.39,29.76,29.37,29.70
20170523,29.85,30.11,29.75,30.02
20170524,29.98,30.08,29.81,29.98
20170525,30.00,31.67,29.93,31.41
20170526,31.38,31.60,30.99,31.05
20170530,31.10,31.44,30.88,30.89
20170531,31.02,31.28,30.57,31.19
20170601,31.36,31.79,31.34,31.79
20170602,31.79,32.00,31.46,31.72
20170605,31.64,31.74,31.29,31.29
20170606,31.13,31.24,30.96,30.98
20170607,31.10,31.35,30.89,31.16
20170608,31.24,31.38,31.04,31.07
20170609,31.09,31.40,31.05,31.35
20170612,31.30,31.61,31.16,31.44
20170613,31.58,31.68,31.40,31.57
20170614,31.64,31.76,31.34,31.50
20170615,31.18,31.49,31.10,31.45
20170616,31.43,31.50,31.14,31.24
20170619,31.44,31.78,31.28,31.58
20170620,31.53,31.53,31.08,31.18
20170621,31.30,31.30,30.85,30.99
20170622,30.99,31.34,30.84,31.27
20170623,31.27,31.57,31.22,31.54
20170626,31.54,31.59,31.40,31.45
20170627,31.46,31.58,31.26,31.28
20170628,31.44,31.72,31.12,31.51
